stock,announce_date,utilisation_delta_pp,wafer_asp_delta_pct,rd_delta_pct,util_source,asp_source,rd_source
2303.TW,2015-05-04,,,,NA,NA,NA
2303.TW,2015-07-31,,,,NA,NA,NA
2303.TW,2015-11-02,,,,NA,NA,NA
2303.TW,2016-03-21,,,,NA,NA,NA
2303.TW,2016-05-03,,,,NA,NA,NA
2303.TW,2016-08-01,,,,NA,NA,NA
2303.TW,2016-10-28,,,,NA,NA,NA
2303.TW,2017-02-24,,,,NA,NA,NA
2303.TW,2017-05-05,,,,NA,NA,NA
2303.TW,2017-07-31,,,,NA,NA,NA
2303.TW,2017-10-30,,,,NA,NA,NA
2303.TW,2018-03-12,,,,NA,NA,NA
2303.TW,2018-04-27,,,,NA,NA,NA
2303.TW,2018-07-30,,,,NA,NA,NA
2303.TW,2018-10-25,,,,NA,NA,NA
2303.TW,2019-03-11,,,,NA,NA,NA
2303.TW,2019-05-02,-4.0,,,HAND_CODED,NA,NA
2303.TW,2019-07-25,,,,NA,NA,NA
2303.TW,2019-10-31,,,,NA,NA,NA
2303.TW,2020-02-27,,,,NA,NA,NA
2303.TW,2020-04-28,-3.0,,,HAND_CODED,NA,NA
2303.TW,2020-07-30,,,,NA,NA,NA
2303.TW,2020-10-30,,,,NA,NA,NA
2303.TW,2021-02-25,,,,NA,NA,NA
2303.TW,2021-04-29,,,,NA,NA,NA
2303.TW,2021-07-29,,,,NA,NA,NA
2303.TW,2021-10-28,,,,NA,NA,NA
2303.TW,2022-02-25,,,,NA,NA,NA
2303.TW,2022-04-28,-1.0,4.0,,HAND_CODED,HAND_CODED,NA
2303.TW,2022-07-28,,,,NA,NA,NA
2303.TW,2022-11-03,,,,NA,NA,NA
2303.TW,2023-02-23,,,,NA,NA,NA
2303.TW,2023-04-27,,,,NA,NA,NA
2303.TW,2023-07-27,,,,NA,NA,NA
2303.TW,2023-10-26,,,,NA,NA,NA
2303.TW,2024-02-29,,,2.5498524186527094,NA,NA,PROXY_ANNUAL
2303.TW,2024-04-25,,,2.5498524186527094,NA,NA,PROXY_ANNUAL
2303.TW,2024-08-01,,,2.5498524186527094,NA,NA,PROXY_ANNUAL
2303.TW,2024-11-01,,,2.5498524186527094,NA,NA,PROXY_ANNUAL
2303.TW,2025-02-27,,,17.55675132849488,NA,NA,PROXY_ANNUAL
2303.TW,2025-04-24,-4.184990554947154,-3.678429111012954,17.55675132849488,PROXY_PIT,PROXY_PIT,PROXY_ANNUAL
2303.TW,2025-07-31,1.5532599386470114,2.027865834320075,17.55675132849488,PROXY_PIT,PROXY_PIT,PROXY_ANNUAL
2303.TW,2025-10-30,0.6286550874552432,1.0809182706547127,17.55675132849488,PROXY_PIT,PROXY_PIT,PROXY_ANNUAL
GFS,2021-12-01,,,,NA,NA,NA
GFS,2022-02-09,,,,NA,NA,NA
GFS,2022-05-11,,,,NA,NA,NA
GFS,2022-08-10,,,,NA,NA,NA
GFS,2022-11-09,,,,NA,NA,NA
GFS,2023-02-15,,,,NA,NA,NA
GFS,2023-05-10,,,,NA,NA,NA
GFS,2023-08-09,,,,NA,NA,NA
GFS,2023-11-08,,,,NA,NA,NA
GFS,2024-02-14,,,-11.203319502074693,NA,NA,PROXY_ANNUAL
GFS,2024-05-08,,,-11.203319502074693,NA,NA,PROXY_ANNUAL
GFS,2024-08-07,,,-11.203319502074693,NA,NA,PROXY_ANNUAL
GFS,2024-11-06,,,-11.203319502074693,NA,NA,PROXY_ANNUAL
GFS,2025-02-12,,,15.88785046728971,NA,NA,PROXY_ANNUAL
GFS,2025-05-07,-13.387978142076506,-2.1380427849890555,15.88785046728971,PROXY_PIT,PROXY_PIT,PROXY_ANNUAL
GFS,2025-08-06,6.498422712933749,1.7731397730500698,15.88785046728971,PROXY_PIT,PROXY_PIT,PROXY_ANNUAL
GFS,2025-11-13,0.0,0.6516587677725116,15.88785046728971,PROXY_PIT,PROXY_PIT,PROXY_ANNUAL
0981.HK,2020-05-14,,,,NA,NA,NA
0981.HK,2020-08-28,,,,NA,NA,NA
0981.HK,2020-11-12,,,,NA,NA,NA
0981.HK,2021-02-05,,,,NA,NA,NA
0981.HK,2021-05-14,,,,NA,NA,NA
0981.HK,2021-08-06,,,,NA,NA,NA
0981.HK,2021-11-12,,,,NA,NA,NA
0981.HK,2022-02-11,-2.0,,,HAND_CODED,NA,NA
0981.HK,2022-05-13,-4.0,,,HAND_CODED,NA,NA
0981.HK,2022-08-12,,,,NA,NA,NA
0981.HK,2022-11-11,,,,NA,NA,NA
0981.HK,2023-02-10,-12.0,-5.0,,HAND_CODED,HAND_CODED,NA
0981.HK,2023-05-12,-6.0,,,HAND_CODED,NA,NA
0981.HK,2023-08-11,,,,NA,NA,NA
0981.HK,2023-11-10,,,,NA,NA,NA
0981.HK,2024-02-07,3.0,,-3.5221853618080057,HAND_CODED,NA,PROXY_ANNUAL
0981.HK,2024-05-10,2.0,,-3.5221853618080057,HAND_CODED,NA,PROXY_ANNUAL
0981.HK,2024-08-09,,,-3.5221853618080057,NA,NA,PROXY_ANNUAL
0981.HK,2024-11-08,,,-3.5221853618080057,NA,NA,PROXY_ANNUAL
0981.HK,2025-02-11,1.6623618037682641,2.1504943780326524,8.20105333851755,PROXY_PIT,PROXY_PIT,PROXY_ANNUAL
0981.HK,2025-05-09,0.0,,8.20105333851755,PROXY_PIT,NA,PROXY_ANNUAL
0981.HK,2025-08-08,0.0,,8.20105333851755,PROXY_PIT,NA,PROXY_ANNUAL
0981.HK,2025-11-14,0.0,,20.987702496292915,PROXY_PIT,NA,PROXY_PIT
