Date,MTUM,VLUE,QUAL,USMV,RPV,IVE,IWF,SPY
2021-02-09,166.111940684938,82.77885021542703,111.30239809096521,62.35895438632421,59.68772581963163,120.16101657703473,61.385397240271146,362.95780588853523
2021-02-10,166.847928708419,82.84824639959737,111.69542119819846,62.54202593082035,59.98766403030066,120.51259789923832,61.5718017139484,364.24840035419544
2021-02-11,167.20646957662314,83.03912696606044,111.92934766988508,62.38642433276244,59.82888493896211,120.52160017449107,61.487076521470584,363.70056961850463
2021-02-12,168.0745391930955,83.74187313815938,112.17262950609032,62.29488704553039,59.952374434434425,120.67487214089896,61.697670249159295,364.8241347977366
2021-02-16,169.2539650018636,84.14100411434684,112.51882162096437,62.31318712434553,60.55225045728149,121.22484027631388,61.87681880752978,366.0033342269587
2021-02-17,166.44220292530414,83.95011218079883,112.00419600831381,62.001991536813634,60.693402677177176,121.35108735960787,61.247414362534435,364.60119044464864
2021-02-18,165.50804542975038,83.74189189179403,111.97610827059941,62.13929600332792,60.4199275385339,121.00846449876543,61.121539411254936,363.54274901362083
2021-02-19,166.48933223982255,84.5227382845004,112.22875928165969,62.17590644493768,61.10801631915425,121.50433487314474,61.264367598367244,364.3411973179349
2021-02-22,162.73402339493572,84.74831939215593,111.24626961241489,61.297226534491664,62.290139600555854,122.3247630941755,60.044304496462104,361.7783935972179
2021-02-23,158.27107812039813,84.4186258545106,111.4053282554344,61.480292411477244,62.44010769328408,122.76650519781731,59.43427064374201,361.15627216355455
2021-02-24,158.6673440084432,86.1278221885998,112.36912391166278,61.709103206042755,63.78981894434859,124.45244293445096,59.620662181993914,364.2019298681405
2021-02-25,158.6767443866528,86.10180746777861,112.11647106083404,61.64502408426408,64.08094613477327,124.34425602790215,59.55047583731851,363.87702252268934
2021-02-26,155.51592872244345,84.29716629060682,110.33863496563922,61.013489923800336,62.21955128833052,122.12640002415608,58.68385031287614,358.0271655270358
2021-03-01,158.59184351176452,85.6853511929342,111.95741369405866,61.51688929714825,63.454608939918,123.62299132456832,59.52868650068836,362.98560406297776
2021-03-02,159.19576900828451,85.60726808139333,111.73283072282096,61.40705045895818,63.4104991926261,123.36155399011403,59.572254333834444,362.19629994312015
2021-03-03,155.41207931803456,85.65929777107284,110.6661364551624,60.89449143066233,64.46910863957619,123.78530678896387,58.61121298802229,359.18787685432164
2021-03-04,150.11879742388638,85.31227468988337,109.76784895317641,60.79381400803599,64.05448515772787,123.27138849979814,57.487990681742424,356.5600826850542
2021-03-05,146.75975300336316,85.9629610767611,110.41349931636192,61.16907939253674,64.84842546709703,124.29917292638277,57.030465178509296,357.2656872416636
2021-03-08,147.58062840655447,87.50730934379611,111.69539372250885,62.03859741938379,66.6304114356643,126.67930193669484,57.325800036103175,359.977094609663
2021-03-09,149.4677495016613,87.56804943532147,112.16325390775428,62.111826875373914,66.16284495314429,126.38180126010711,57.87289170125942,362.04764329458783
2021-03-10,151.82662676697242,88.1927363910265,112.62177231517106,62.130145638420444,66.7274398082813,127.0759679221099,58.21905974123963,363.4312860296286
2021-03-11,153.8363386049034,88.81741267757896,113.79139095307163,62.477949277913126,67.15088501407202,127.6800336682566,58.92833251526933,367.37750035793965
2021-03-12,151.96814090491864,89.24254951147702,112.97732632961744,62.377257535669585,67.58315448650441,127.95057585785015,58.35945905732615,366.04042915723414
2021-03-15,153.65712024769672,90.03206214267325,114.10018417426994,62.825767023372485,67.74195040531893,128.4914830437042,58.90896910977108,368.34318144087337
2021-03-16,155.31775196473689,90.1882446737013,114.55866796672068,62.99051517488766,67.43320759321294,128.13085869081863,59.632773765602636,369.40177242737843
2021-03-17,154.43079441508218,90.6567611694336,114.30602463902012,62.88066692197363,67.29203968115051,128.16690010219136,59.42701064868583,369.67112159743425
2021-03-18,151.6190292255628,91.25541343629597,113.83816294204472,62.54202220871665,68.40360520363598,129.02336841494028,58.514396967458666,368.371135091279
2021-03-19,150.0621372080159,90.35309295412196,112.81824349931789,62.413886173929036,67.35380399182917,127.4817025763811,58.015720607129275,364.77995178052817
2021-03-22,152.94942615174497,90.37045381348268,113.25802591604968,62.63354022415373,66.74919266942693,127.07598486358167,58.94044176229175,367.1089472702704
2021-03-23,152.8739314130271,89.51150849512197,113.29547958929619,62.96305276163465,65.8356832316242,126.56211260435266,59.124427747817556,366.5405922291803
2021-03-24,151.38311886360404,88.92153093416134,113.22995972821039,62.85321991644205,65.65829715577505,126.80551277485895,58.7080425795998,365.87923909623805
2021-03-25,147.50718920718697,88.36013164500164,112.52200441277674,62.88627845194315,65.764727595813,127.01901936579976,57.77677669548324,363.82972563036685
2021-03-26,149.60311640744092,89.78093804355082,114.74969548168241,63.89715161230147,66.41216632327337,128.9941711158459,58.56468563898527,369.2888795951097
2021-03-29,149.50871225290493,89.67634215137973,115.07869008826991,64.32908436016639,66.13725311413602,129.05761454177184,58.656801973598576,369.60557150137186
2021-03-30,148.97056860889796,89.71991208547514,114.56171052332614,64.0717782069057,66.35010213783885,128.84014181771707,58.264067700972014,368.39452632963565
2021-03-31,152.80364340321924,89.88553254802675,114.93768987627112,63.88797336457349,66.30574611432307,128.67708455498203,59.265313774257194,370.77001997622074
2021-04-01,154.98452334202923,90.28648739204901,115.70844483072966,64.08096917728844,66.1904591260086,128.85830170739658,59.88594937587564,373.25739818982174
2021-04-05,156.87270904712037,91.53296720949731,117.40977407730838,64.92642939636478,66.8378960004105,130.29890887611887,60.98902095186132,379.09840904135075
2021-04-06,158.31723221803006,91.71599518356489,117.51315151210409,64.9447875768887,66.83791060578575,130.3623120808507,61.24357027347966,379.3778104361055
2021-04-07,158.0340017296578,91.4981086566066,117.27817230330706,64.93560329325632,66.88225406991938,130.37138288963914,61.1975088232857,379.11695894712534
2021-04-08,159.82777068205755,91.20173973091448,117.5601777815652,64.93561389072646,66.42992251010025,129.81874157877306,61.75025869255794,380.626174688792
2021-04-09,160.8851844348864,91.54167647947268,118.52831883082226,65.04589684999104,66.63390991516404,130.51636188267688,62.2787690698814,383.50474266034735
2021-04-12,161.76319396309836,91.70729376342942,118.48130808472824,65.11939843421524,66.91771610937748,130.72471987285954,62.38301951203403,383.7470368351651
2021-04-13,164.99206403483961,91.11456573786832,118.46252144992563,65.37673725941104,66.57183086495809,130.29890887611887,63.04244333141162,385.2375459689583
2021-04-14,165.43577522695492,91.14942866754264,118.63172059347774,65.41348609277674,67.28136332369391,131.11434858317196,63.03516652747472,385.63799708242254
2021-04-15,165.73791255576117,91.1842913905502,119.48708216245595,66.03839904883787,67.12169272318074,131.29555567926312,63.352755095197736,387.68752538741427
2021-04-16,165.73789108990863,91.74216363029414,120.1074649236427,66.4703257534138,67.55630503575024,132.17442318684343,63.46912565816832,389.31783402254797
2021-04-19,164.64273625580526,91.4196300138088,119.89125402856956,66.36005235983451,67.31683391974376,131.9297980419811,63.33335069536372,388.2278720552796
2021-04-20,163.65141999960147,90.58283010636856,119.28027740906347,66.40598070485737,66.74033872678415,131.0781026252109,63.04243335256608,386.6907567846418
2021-04-21,162.8678005491265,91.20174287828907,119.88185251578271,66.68167810053404,67.0064200649414,131.96604804945864,63.03273443940522,387.80864810285476
