date,finra_margin_debt_yoy_z_lag22,finra_margin_debt_mom_z_lag22
2024-01-26,0.7523967573474979,0.8052570806343039
2024-01-29,0.7971950124017767,0.7999573672558188
2024-01-30,0.8794813112781164,0.794693481769523
2024-01-31,1.0608249559679785,0.7894648447746823
2024-02-01,1.0444623740318124,0.7946272444978801
2024-02-02,6.383872150671167,1.2206726108158363
2024-02-05,5.513254064248352,1.2195108583689538
2024-02-06,4.914879921077949,1.2183510747470498
2024-02-07,4.470519369714609,1.217193253632678
2024-02-08,4.12327974267626,1.216037388736741
2024-02-09,3.8419424712604013,1.2148834737983276
2024-02-12,3.6077571087082765,1.2137315025845477
2024-02-13,3.4086900939194695,1.2125814688903718
2024-02-14,3.236616017242914,1.2114333665384702
2024-02-15,3.0858229976518357,1.210287189379053
2024-02-16,2.95216228061185,1.2091429312897108
2024-02-20,2.832537637690202,1.2080005861752603
2024-02-21,2.724584921276145,1.2068601479675838
2024-02-22,2.6264633631260734,1.2057216106254784
2024-02-23,2.5367152961446306,1.2045849681344993
2024-02-26,2.4541692707614216,1.2034502145068064
2024-02-27,2.3778715406650317,1.202317343781015
2024-02-28,2.3070365932832786,1.2011863500220423
2024-02-29,2.2410107674075848,1.200057227320959
2024-03-01,2.1792499853101606,1.193307536216473
2024-03-04,1.1263159779180494,-0.05648901648826008
2024-03-05,1.1101272584370712,-0.04969269191041166
2024-03-06,1.094242355072118,-0.042862397821536474
2024-03-07,1.0786485057392348,-0.03599672761383867
2024-03-08,1.0633336250580978,-0.029094234914661725
2024-03-11,1.0482862568379936,-0.022153431538958206
2024-03-12,1.0334955305151876,-0.015172785328772103
2024-03-13,1.018951121155464,-0.008150717871750035
2024-03-14,1.004643212678399,-0.001085602090056014
2024-03-15,0.9905624639973784,0.006024240309637007
2024-03-18,0.9766999778022785,0.013180541535172629
2024-03-19,0.9630472717406352,0.02038509056788817
2024-03-20,0.9495962517786235,0.027639736193399773
2024-03-21,0.9363391875456684,0.034946390217063125
2024-03-22,0.9232686894864017,0.04230703087808901
2024-03-25,0.9103776876613081,0.04972370647751479
