date,debit_balances_margin_millions,free_credit_cash_millions,free_credit_margin_millions
2011-09-30,298277,141806,204307.0
2011-10-31,317028,133639,188141.0
2011-11-30,303930,132934,188259.0
2011-12-31,301616,142533,189143.0
2012-01-31,309844,137309,174889.0
2012-02-29,323021,139609,177639.0
2012-03-31,330815,142297,182814.0
2012-04-30,335154,138909,182021.0
2012-05-31,315147,139111,187938.0
2012-06-30,320952,138937,192149.0
2012-07-31,313525,124330,194741.0
2012-08-31,320395,124276,196786.0
2012-09-30,339159,129389,205176.0
2012-10-31,342325,124800,200406.0
2012-11-30,351441,135650,202425.0
2012-12-31,355009,162206,211576.0
2013-01-31,388123,142856,199709.0
2013-02-28,390351,142123,208682.0
2013-03-31,403933,144530,197887.0
2013-04-30,408677,140706,191719.0
2013-05-31,401606,146765,199756.0
2013-06-30,407681,150093,200308.0
2013-07-31,412101,144495,194790.0
2013-08-31,414442,143808,195181.0
2013-09-30,432852,149895,197780.0
2013-10-31,445022,151494,199889.0
2013-11-30,456378,150214,199153.0
2013-12-31,478502,157000,197521.0
2014-01-31,487549,151878,195863.0
2014-02-28,502093,154049,190312.0
2014-03-31,487932,156083,194461.0
2014-04-30,475195,149801,194679.0
2014-05-31,475362,150474,188551.0
2014-06-30,502270,160293,184723.0
2014-07-31,498671,155931,177981.0
2014-08-31,501000,155245,180820.0
2014-09-30,503901,161621,183243.0
2014-10-31,492888,158624,185193.0
2014-11-30,496341,158420,184227.0
2014-12-31,495756,169295,181223.0
2015-01-31,485872,163599,178259.0
2015-02-28,504923,168371,170930.0
2015-03-31,518055,171625,170074.0
2015-04-30,549964,168430,167073.0
2015-05-31,541671,166334,169076.0
2015-06-30,547957,170614,168441.0
2015-07-31,530744,168659,169132.0
2015-08-31,515960,175647,168692.0
2015-09-30,497279,173760,167132.0
2015-10-31,513941,174437,163210.0
2015-11-30,515410,174607,165584.0
2015-12-31,503444,181812,159677.0
2016-01-31,487200,180616,162825.0
2016-02-29,474156,178989,168308.0
2016-03-31,483909,182673,172525.0
2016-04-30,495178,176016,187000.0
2016-05-31,489867,177161,187495.0
2016-06-30,487636,186233,189585.0
2016-07-31,513221,183435,188155.0
2016-08-31,510157,177764,185695.0
2016-09-30,540615,184757,182833.0
2016-10-31,523760,182051,182986.0
2016-11-30,539972,179598,187085.0
2016-12-31,529372,188062,189979.0
2017-01-31,553557,186301,186029.0
2017-02-28,568637,185720,184598.0
2017-03-31,577674,186892,184977.0
2017-04-30,590797,180908,184930.0
2017-05-31,582764,176970,185463.0
2017-06-30,584258,176707,187500.0
2017-07-31,594414,173195,184246.0
2017-08-31,596567,170524,183744.0
2017-09-30,606334,172872,183599.0
2017-10-31,607838,169368,184047.0
2017-11-30,627422,170948,185312.0
2017-12-31,642798,172999,182773.0
2018-01-31,665716,168450,181763.0
2018-02-28,645064,164657,183267.0
2018-03-31,645235,166148,180751.0
2018-04-30,652303,155989,179410.0
2018-05-31,668940,155344,181890.0
2018-06-30,646931,157150,179399.0
2018-07-31,652790,148947,178299.0
2018-08-31,652395,148873,178601.0
2018-09-30,648126,151384,188152.0
2018-10-31,607645,148037,183432.0
2018-11-30,592593,146452,178810.0
2018-12-31,554285,159572,190743.0
2019-01-31,568433,151804,186050.0
2019-02-28,581205,149686,181955.0
2019-03-31,574013,141074,180765.0
2019-04-30,588721,143802,178523.0
2019-05-31,568751,137489,179019.0
2019-06-30,596304,139826,179542.0
2019-07-31,602139,138703,182613.0
2019-08-31,564894,135567,181451.0
2019-09-30,555910,150648,187887.0
2019-10-31,554604,145650,183966.0
2019-11-30,563482,146935,186866.0
2019-12-31,579221,151543,186315.0
2020-01-31,561812,152854,186847.0
2020-02-29,545127,163001,197716.0
2020-03-31,479291,191046,226202.0
2020-04-30,524696,180942,217187.0
2020-05-31,552543,175794,210935.0
2020-06-30,584676,185497,229078.0
2020-07-31,613830,181420,223768.0
2020-08-31,645547,185113,215042.0
2020-09-30,654324,189462,211547.0
2020-10-31,659313,193293,217739.0
2020-11-30,722118,200723,221567.0
2020-12-31,778037,224987,227127.0
2021-01-31,798605,224133,241220.0
2021-02-28,813680,220840,240481.0
2021-03-31,822551,219522,237154.0
2021-04-30,847186,218132,233145.0
2021-05-31,861626,213356,234992.0
2021-06-30,882103,221862,239290.0
2021-07-31,844324,215463,195762.0
2021-08-31,911545,219365,198913.0
2021-09-30,903117,229279,205564.0
2021-10-31,935862,226159,200548.0
2021-11-30,918598,235638,211623.0
2021-12-31,910021,250435,215116.0
2022-01-31,829637,247752,194545.0
2022-02-28,835255,250686,195269.0
2022-03-31,799660,256076,196008.0
2022-04-30,772940,242724,188652.0
2022-05-31,752944,244857,184151.0
2022-06-30,683445,249399,186931.0
2022-07-31,696781,232147,177054.0
2022-08-31,687787,226182,175974.0
2022-09-30,664009,223400,173050.0
2022-10-31,649618,216057,172976.0
2022-11-30,643783,205158,165434.0
2022-12-31,606659,205902,164065.0
2023-01-31,641228,208720,161224.0
2023-02-28,624379,198644,159103.0
2023-03-31,645429,191618,152014.0
2023-04-30,631949,175460,145594.0
2023-05-31,644170,178576,147377.0
2023-06-30,681228,181569,145173.0
2023-07-31,709834,174804,147921.0
2023-08-31,689185,177711,145989.0
2023-09-30,680846,153918,141751.0
2023-10-31,635276,162865,142117.0
2023-11-30,660887,171207,146319.0
2023-12-31,700774,161639,147019.0
2024-01-31,701975,165025,144941.0
2024-02-29,742963,166144,150620.0
2024-03-31,784136,166990,151339.0
2024-04-30,775464,161749,149855.0
2024-05-31,809431,155256,145072.0
2024-06-30,809322,157240,149714.0
2024-07-31,810835,154951,150738.0
2024-08-31,797162,148702,152107.0
2024-09-30,813211,167901,158358.0
2024-10-31,815369,173621,164813.0
2024-11-30,890852,170052,167223.0
2024-12-31,899168,181280,175795.0
2025-01-31,937253,178301,166346.0
2025-02-28,918144,183278,176051.0
2025-03-31,880316,189855,176161.0
2025-04-30,850558,187958,175824.0
2025-05-31,920960,187685,176698.0
2025-06-30,1007961,200573,185584.0
2025-07-31,1022548,194712,186672.0
2025-08-31,1059723,188221,181563.0
2025-09-30,1126494,204106,194884.0
2025-10-31,1183654,197923,195376.0
2025-11-30,1214321,202131,194418.0
2025-12-31,1225597,211720,199762.0
2026-01-31,1279042,203700,196911.0
2026-02-28,1253192,205060,200047.0
2026-03-31,1220922,221860,205600.0
2026-04-30,1304281,217836,215445.0
2026-05-31,1415557,206600,217256.0
