market,ticker,yahoo_sector,yahoo_industry,gics_sector,source
JP,7974.T,Communication Services,Electronic Gaming & Multimedia,Communication Services,yfinance
JP,6594.T,Industrials,Specialty Industrial Machinery,Industrials,yfinance
JP,8035.T,Technology,Semiconductor Equipment & Materials,Information Technology,yfinance
JP,4063.T,Basic Materials,Chemicals,Materials,yfinance
JP,6501.T,Industrials,Conglomerates,Industrials,yfinance
JP,9433.T,Communication Services,Telecom Services,Communication Services,yfinance
JP,8316.T,Financial Services,Banks - Diversified,Financials,yfinance
JP,8411.T,Financial Services,Banks - Regional,Financials,yfinance
JP,6902.T,Consumer Cyclical,Auto Parts,Consumer Discretionary,yfinance
JP,6367.T,Industrials,Building Products & Equipment,Industrials,yfinance
JP,8001.T,Industrials,Conglomerates,Industrials,yfinance
JP,8058.T,Industrials,Conglomerates,Industrials,yfinance
JP,4502.T,Healthcare,Drug Manufacturers - Specialty & Generic,Health Care,yfinance
JP,6273.T,Industrials,Specialty Industrial Machinery,Industrials,yfinance
JP,7741.T,Healthcare,Medical Instruments & Supplies,Health Care,yfinance
JP,6981.T,Technology,Electronic Components,Information Technology,yfinance
JP,8801.T,Real Estate,Real Estate - Diversified,Real Estate,yfinance
JP,6178.T,Financial Services,Banks - Regional,Financials,yfinance
JP,7267.T,Consumer Cyclical,Auto Manufacturers,Consumer Discretionary,yfinance
JP,8031.T,Industrials,Conglomerates,Industrials,yfinance
JP,4503.T,Healthcare,Drug Manufacturers - General,Health Care,yfinance
JP,8002.T,Industrials,Conglomerates,Industrials,yfinance
JP,6701.T,Technology,Information Technology Services,Information Technology,yfinance
EU,SAP.DE,Technology,Software - Application,Information Technology,yfinance
EU,SIE.DE,Industrials,Specialty Industrial Machinery,Industrials,yfinance
EU,ALV.DE,Financial Services,Insurance - Diversified,Financials,yfinance
EU,MRK.DE,Healthcare,Drug Manufacturers - Specialty & Generic,Health Care,yfinance
EU,BMW.DE,Consumer Cyclical,Auto Manufacturers,Consumer Discretionary,yfinance
EU,BAS.DE,Basic Materials,Chemicals,Materials,yfinance
EU,MBG.DE,Consumer Cyclical,Auto Manufacturers,Consumer Discretionary,yfinance
EU,DTE.DE,Communication Services,Telecom Services,Communication Services,yfinance
EU,ADS.DE,Consumer Cyclical,Footwear & Accessories,Consumer Discretionary,yfinance
EU,VOW3.DE,Consumer Cyclical,Auto Manufacturers,Consumer Discretionary,yfinance
EU,TTE.PA,Energy,Oil & Gas Integrated,Energy,yfinance
EU,AIR.PA,Industrials,Aerospace & Defense,Industrials,yfinance
EU,SAN.PA,Healthcare,Drug Manufacturers - General,Health Care,yfinance
EU,BNP.PA,Financial Services,Banks - Regional,Financials,yfinance
EU,SHEL.L,Energy,Oil & Gas Integrated,Energy,yfinance
EU,AZN.L,Healthcare,Drug Manufacturers - General,Health Care,yfinance
EU,HSBA.L,Financial Services,Banks - Diversified,Financials,yfinance
EU,BP.L,Energy,Oil & Gas Integrated,Energy,yfinance
KR,005930.KS,Technology,Consumer Electronics,Information Technology,yfinance
KR,000660.KS,Technology,Semiconductors,Information Technology,yfinance
KR,207940.KS,Healthcare,Biotechnology,Health Care,yfinance
KR,005380.KS,Consumer Cyclical,Auto Manufacturers,Consumer Discretionary,yfinance
KR,035420.KS,Communication Services,Internet Content & Information,Communication Services,yfinance
KR,005490.KS,Basic Materials,Steel,Materials,yfinance
KR,035720.KS,Communication Services,Internet Content & Information,Communication Services,yfinance
KR,028260.KS,Industrials,Engineering & Construction,Industrials,yfinance
KR,105560.KS,Financial Services,Banks - Regional,Financials,yfinance
KR,055550.KS,Financial Services,Banks - Regional,Financials,yfinance
CA,RY.TO,Financial Services,Banks - Diversified,Financials,yfinance
CA,TD.TO,Financial Services,Banks - Diversified,Financials,yfinance
CA,ENB.TO,Energy,Oil & Gas Midstream,Energy,yfinance
CA,BNS.TO,Financial Services,Banks - Diversified,Financials,yfinance
CA,BMO.TO,Financial Services,Banks - Diversified,Financials,yfinance
CA,CNQ.TO,Energy,Oil & Gas E&P,Energy,yfinance
CA,BCE.TO,Communication Services,Telecom Services,Communication Services,yfinance
CA,CP.TO,Industrials,Railroads,Industrials,yfinance
CA,MFC.TO,Financial Services,Insurance - Life,Financials,yfinance
CA,CSU.TO,Technology,Software - Application,Information Technology,yfinance
HK,0700.HK,Communication Services,Internet Content & Information,Communication Services,yfinance
HK,0388.HK,Financial Services,Financial Data & Stock Exchanges,Financials,yfinance
HK,0939.HK,Financial Services,Banks - Diversified,Financials,yfinance
HK,0005.HK,Financial Services,Banks - Diversified,Financials,yfinance
HK,1398.HK,Financial Services,Banks - Diversified,Financials,yfinance
BR,VALE3.SA,Basic Materials,Other Industrial Metals & Mining,Materials,yfinance
BR,ITUB4.SA,Financial Services,Banks - Regional,Financials,yfinance
BR,PETR4.SA,Energy,Oil & Gas Integrated,Energy,yfinance
BR,BBDC4.SA,Financial Services,Banks - Regional,Financials,yfinance
BR,BBAS3.SA,Financial Services,Banks - Regional,Financials,yfinance
BR,ABEV3.SA,Consumer Defensive,Beverages - Brewers,Consumer Staples,yfinance
BR,B3SA3.SA,Financial Services,Financial Data & Stock Exchanges,Financials,yfinance
BR,ITSA4.SA,Industrials,Conglomerates,Industrials,yfinance
BR,MGLU3.SA,Consumer Cyclical,Specialty Retail,Consumer Discretionary,yfinance
BR,RENT3.SA,Industrials,Rental & Leasing Services,Industrials,yfinance
IN,RELIANCE.NS,Energy,Oil & Gas Refining & Marketing,Energy,yfinance
IN,TCS.NS,Technology,Information Technology Services,Information Technology,yfinance
IN,HDFCBANK.NS,Financial Services,Banks - Regional,Financials,yfinance
IN,INFY.NS,Technology,Information Technology Services,Information Technology,yfinance
IN,ICICIBANK.NS,Financial Services,Banks - Regional,Financials,yfinance
IN,SBIN.NS,Financial Services,Banks - Regional,Financials,yfinance
IN,BHARTIARTL.NS,Communication Services,Telecom Services,Communication Services,yfinance
IN,HINDUNILVR.NS,Consumer Defensive,Household & Personal Products,Consumer Staples,yfinance
IN,ITC.NS,Consumer Defensive,Tobacco,Consumer Staples,yfinance
IN,KOTAKBANK.NS,Financial Services,Banks - Regional,Financials,yfinance
MX,WALMEX.MX,Consumer Defensive,Discount Stores,Consumer Staples,yfinance
MX,AMXB.MX,Communication Services,Telecom Services,Communication Services,yfinance
MX,GFNORTEO.MX,Financial Services,Banks - Regional,Financials,yfinance
MX,FEMSAUBD.MX,Consumer Defensive,Beverages - Brewers,Consumer Staples,yfinance
MX,CEMEXCPO.MX,Basic Materials,Building Materials,Materials,yfinance
MX,BIMBOA.MX,Consumer Defensive,Packaged Foods,Consumer Staples,yfinance
MX,GMEXICOB.MX,Basic Materials,Other Industrial Metals & Mining,Materials,yfinance
MX,KOFUBL.MX,Consumer Defensive,Beverages - Non-Alcoholic,Consumer Staples,yfinance
MX,TLEVISACPO.MX,Communication Services,Telecom Services,Communication Services,yfinance
ID,BBCA.JK,Financial Services,Banks - Regional,Financials,yfinance
ID,BBRI.JK,Financial Services,Banks - Regional,Financials,yfinance
ID,TLKM.JK,Communication Services,Telecom Services,Communication Services,yfinance
ID,ASII.JK,Industrials,Conglomerates,Industrials,yfinance
ID,UNVR.JK,Consumer Defensive,Household & Personal Products,Consumer Staples,yfinance
ID,ICBP.JK,Consumer Defensive,Packaged Foods,Consumer Staples,yfinance
ID,BMRI.JK,Financial Services,Banks - Regional,Financials,yfinance
ID,ADRO.JK,Energy,Thermal Coal,Energy,yfinance
ID,GGRM.JK,Consumer Defensive,Tobacco,Consumer Staples,yfinance
ID,INDF.JK,Consumer Defensive,Packaged Foods,Consumer Staples,yfinance
AU,BHP.AX,Basic Materials,Other Industrial Metals & Mining,Materials,yfinance
AU,CBA.AX,Financial Services,Banks - Diversified,Financials,yfinance
AU,CSL.AX,Healthcare,Biotechnology,Health Care,yfinance
AU,NAB.AX,Financial Services,Banks - Diversified,Financials,yfinance
AU,ANZ.AX,Financial Services,Banks - Diversified,Financials,yfinance
AU,WBC.AX,Financial Services,Banks - Diversified,Financials,yfinance
AU,WES.AX,Consumer Cyclical,Home Improvement Retail,Consumer Discretionary,yfinance
AU,MQG.AX,Financial Services,Capital Markets,Financials,yfinance
AU,TLS.AX,Communication Services,Telecom Services,Communication Services,yfinance
AU,RIO.AX,Basic Materials,Other Industrial Metals & Mining,Materials,yfinance
