date,actual_rv,jump_share_lag1,jump_event_lag1,HAR_forecast,HAR_C_forecast,HAR_RVJ_forecast,HAR_CJ_forecast,HAR_CJ_cluster_forecast
2024-10-07,7.607127247460679e-05,0.2819233489921178,1.0,7.124712866969417e-05,6.301602481999176e-05,6.914619945923954e-05,6.875172508168162e-05,6.89696578424603e-05
2024-10-08,5.964896201264797e-05,0.0,0.0,7.16482719297588e-05,7.082482168011427e-05,7.499936167018216e-05,7.475579053114862e-05,7.508698905496391e-05
2024-10-09,5.0767427992003854e-05,0.029051327126222028,1.0,6.627789776984329e-05,6.491596601910549e-05,6.61061325638785e-05,6.56314518578692e-05,6.59030948465144e-05
2024-10-11,3.252662424381585e-05,0.37016341725802254,1.0,6.084453278421748e-05,5.165933145951669e-05,5.9171347513663773e-05,5.880999269260995e-05,5.908090225803429e-05
2024-10-14,5.549734409415256e-05,0.01997272655272502,1.0,5.0945239677245635e-05,4.933067160844203e-05,5.131813642108029e-05,5.0755962641108514e-05,5.093409939138404e-05
2024-10-15,2.948936532266642e-05,0.2250655724541389,1.0,5.62181900730194e-05,5.1426910952660315e-05,5.549924290660426e-05,5.582217642267792e-05,5.5973799670731394e-05
2024-10-16,5.242638021028218e-05,0.0,0.0,4.2321273283233896e-05,4.140795992313359e-05,4.4748085408537826e-05,4.4252353942915174e-05,4.431530513651949e-05
2024-10-17,5.6717715390579654e-05,0.06873806246987028,1.0,4.922156416056402e-05,4.6816436148912234e-05,4.943053046311918e-05,4.8800178603583875e-05,4.886452487570903e-05
2024-10-18,7.053433560574892e-05,0.02689082094026607,1.0,5.083694561633852e-05,5.0981979227691506e-05,5.100222943487747e-05,5.056529510900633e-05,5.060274649117136e-05
2024-10-21,1.72377429265216e-05,0.0,0.0,5.794756691983152e-05,5.8847967301581974e-05,6.085377595366812e-05,6.0797273812939066e-05,6.087128217129539e-05
2024-10-22,7.17762583437848e-05,0.018653944278969558,1.0,3.5432135027833135e-05,3.643603630498901e-05,3.557585131316585e-05,3.523798979211668e-05,3.528400411341781e-05
2024-10-23,3.164315054672872e-05,0.0,0.0,5.896817748128076e-05,6.117257908990095e-05,6.142724178352879e-05,6.138032968538947e-05,6.147346397678428e-05
2024-10-24,7.643280189660384e-05,0.0,0.0,4.458806904648487e-05,4.65712341441439e-05,4.610828027258382e-05,4.589574875210679e-05,4.602165174634886e-05
2024-10-25,3.53346795798712e-05,0.0,0.0,6.018375600777363e-05,6.311882342259012e-05,6.220105904828954e-05,6.21693663742842e-05,6.239382306082155e-05
2024-10-28,4.8592966141750504e-05,0.0,0.0,4.5028760150268004e-05,4.726946933717995e-05,4.658303469485087e-05,4.646369835149253e-05,4.660969247894321e-05
2024-10-29,0.00010590786419323443,0.0,0.0,5.2462626521325895e-05,5.504612866457113e-05,5.4181569427803136e-05,5.402873764850662e-05,5.4234255858556634e-05
2024-10-30,5.488639941789819e-05,0.0,0.0,7.0172128442003e-05,7.368597644699712e-05,7.242707982180021e-05,7.242391554861688e-05,7.267987138952586e-05
2024-11-01,0.00013792528823497398,0.04738581257263934,1.0,5.9833235653439655e-05,6.153281901871974e-05,5.901338099164795e-05,5.8781025486940715e-05,5.897682612402213e-05
2024-11-04,5.874842106492721e-05,0.2808165139949416,1.0,8.592472487528143e-05,7.742692074527207e-05,8.221425384847648e-05,8.060733497112303e-05,8.082639254000296e-05
2024-11-05,0.00012193395042011942,0.15669271937037402,1.0,6.845311736753505e-05,6.393233353624201e-05,6.681630389631253e-05,6.578509898953768e-05,6.582254786446695e-05
2024-11-06,0.00012522967547215326,0.26762833908816364,1.0,9.191710864547575e-05,8.01543546585218e-05,8.805375783207017e-05,8.670730946300654e-05,8.672978695981315e-05
2024-11-07,0.00011575686575596436,0.13184114151311277,1.0,9.496844147870463e-05,8.583515796694701e-05,9.297007420192709e-05,9.140638790156043e-05,9.123405831012549e-05
2024-11-08,7.9521197842449e-05,0.11692673393955694,1.0,9.789140372743625e-05,8.898510564548161e-05,9.585276512194336e-05,9.48854379157463e-05,9.489394308294087e-05
2024-11-11,7.876882707941723e-05,0.41829095622230056,1.0,8.348948776926476e-05,6.64394372648261e-05,7.919038571140745e-05,7.781990030383858e-05,7.785380990801557e-05
2024-11-12,8.659385060910103e-05,0.00786863991788447,0.0,8.485781116581872e-05,8.019261723114218e-05,8.867889206755774e-05,8.811053687306851e-05,8.803533894562461e-05
2024-11-13,7.487147468715495e-05,0.07874240053680226,1.0,8.492456523741582e-05,8.03685185124428e-05,8.409986975021878e-05,8.375141122816531e-05,8.374020815516607e-05
2024-11-14,0.00011941058487418386,0.2027156616111533,1.0,7.783682711170789e-05,7.01460672994257e-05,7.619267316290544e-05,7.613628188848034e-05,7.606992355712603e-05
2024-11-15,5.566657742951701e-05,0.0,0.0,9.024901563557722e-05,8.867006363071729e-05,9.397359051839292e-05,9.433393360644802e-05,9.432857515970713e-05
2024-11-18,7.470293578189151e-05,0.0,0.0,7.042412979491981e-05,7.154872370334264e-05,7.320583886640401e-05,7.28820245728312e-05,7.280792396754283e-05
2024-11-19,6.16893672823395e-05,0.010752359077932917,1.0,7.663070986513896e-05,7.767615023177208e-05,7.641664569917915e-05,7.583950216088464e-05,7.562143131696436e-05
2024-11-20,3.1700833922571634e-05,0.0,0.0,7.048291323329906e-05,7.219082333273207e-05,7.308013797869253e-05,7.272578989613222e-05,7.250324493697727e-05
2024-11-21,7.181698905882681e-05,0.123181326381284,1.0,5.4759620282961396e-05,5.4585001523190225e-05,5.4048902173433e-05,5.404016434590306e-05,5.38887571418022e-05
2024-11-22,6.376421277312413e-05,0.026508962246675843,1.0,6.558033856874989e-05,6.751889255576282e-05,6.545821750663019e-05,6.535184750498785e-05,6.501988568401659e-05
2024-11-25,2.961903681289127e-05,0.0030586146287293883,0.0,6.404657628094956e-05,6.634461706110581e-05,6.637817555014486e-05,6.642224454096443e-05,6.610541416690297e-05
2024-11-26,7.298411883476571e-05,0.1706903421505263,1.0,4.7588484659745705e-05,4.632222472523625e-05,4.691624920528991e-05,4.733440755712486e-05,4.7189207568209675e-05
2024-11-27,4.89265700167469e-05,0.18590867590664328,1.0,6.321533688643412e-05,5.983599872533555e-05,6.236364613519605e-05,6.283526062347143e-05,6.264414124963497e-05
2024-11-28,0.00010158797399634834,0.19144833685103246,1.0,5.7831597342474146e-05,5.415470652571429e-05,5.734169301270135e-05,5.7704412919664954e-05,5.760607803906921e-05
2024-11-29,0.00010709755992533283,0.0,0.0,7.52057365676143e-05,7.553755061421597e-05,7.933239503036589e-05,8.027223356479819e-05,8.030237646635244e-05
2024-12-02,2.9318129905316758e-05,0.03474937789715903,1.0,8.09083183812202e-05,8.025475984380757e-05,8.205447480518569e-05,8.300823517751973e-05,8.302312816236101e-05
2024-12-03,5.6835771506357756e-05,0.0,0.0,5.5177088274473963e-05,5.5544985788395347e-05,5.815513677784061e-05,5.806174796012046e-05,5.803550089814059e-05
2024-12-04,2.965672970941811e-05,0.15461730997672926,1.0,6.517644853526188e-05,6.297320422142498e-05,6.477921278581784e-05,6.524307867270973e-05,6.526102804513533e-05
2024-12-05,1.8028536106560577e-05,0.25446660899509266,1.0,5.237852680908098e-05,4.879971521077193e-05,5.156927202242325e-05,5.218697840958988e-05,5.2196853938462686e-05
2024-12-06,5.0836205302544116e-05,0.0,0.0,3.9251456354969175e-05,3.9735593222546435e-05,4.110960359781187e-05,4.111290635270842e-05,4.110763228187912e-05
2024-12-09,2.6213727047355372e-05,0.10184423324317617,1.0,4.7032959537452545e-05,4.574582184980746e-05,4.688601891841448e-05,4.6833741466806204e-05,4.685117997831248e-05
2024-12-10,5.0121362062981033e-05,0.0,0.0,3.808309119779835e-05,3.815984867104472e-05,3.981005590378666e-05,3.955643371458628e-05,3.952495911986424e-05
2024-12-11,4.1568855681210064e-05,0.0,0.0,4.514804466428225e-05,4.6483898881852424e-05,4.677765241307105e-05,4.699409767015138e-05,4.705655113668056e-05
2024-12-12,4.1031828005171074e-05,0.0,0.0,4.383191655237555e-05,4.59403895934007e-05,4.535663365915021e-05,4.532036799597078e-05,4.539712845445939e-05
2024-12-13,4.667838898078951e-05,0.0,0.0,4.5725832574100855e-05,4.7889894695063995e-05,4.7203313399868525e-05,4.717706886489876e-05,4.7186163232724956e-05
2024-12-16,4.809137330915553e-05,0.24770852929651369,1.0,4.6915010061287694e-05,4.459520173943441e-05,4.5255059433199986e-05,4.5404072388243546e-05,4.5455494655018705e-05
2024-12-17,2.4185877160194227e-05,0.02763764645100072,1.0,4.9062113659659665e-05,5.013686051628907e-05,4.864346360403786e-05,4.858681759841292e-05,4.8624190180483646e-05
2024-12-18,5.015186950735216e-05,0.11960753140857466,1.0,3.7891176005842266e-05,3.72343377569404e-05,3.717870381369017e-05,3.7265630880100077e-05,3.729596517568146e-05
