available_date,value,observation_date
2012-10-16,7.5,2012-09-01
2012-11-15,7.25,2012-10-01
2012-12-16,7.25,2012-11-01
2013-01-15,7.25,2012-12-01
2013-02-15,7.25,2013-01-01
2013-03-18,7.25,2013-02-01
2013-04-15,7.25,2013-03-01
2013-05-16,7.5,2013-04-01
2013-06-15,8.0,2013-05-01
2013-07-16,8.0,2013-06-01
2013-08-15,8.5,2013-07-01
2013-09-15,9.0,2013-08-01
2013-10-16,9.0,2013-09-01
2013-11-15,9.5,2013-10-01
2013-12-16,10.0,2013-11-01
2014-01-15,10.0,2013-12-01
2014-02-15,10.5,2014-01-01
2014-03-18,10.75,2014-02-01
2014-04-15,10.75,2014-03-01
2014-05-16,11.0,2014-04-01
2014-06-15,11.0,2014-05-01
2014-07-16,11.0,2014-06-01
2014-08-15,11.0,2014-07-01
2014-09-15,11.0,2014-08-01
2014-10-16,11.0,2014-09-01
2014-11-15,11.25,2014-10-01
2014-12-16,11.25,2014-11-01
2015-01-15,11.75,2014-12-01
2015-02-15,12.25,2015-01-01
2015-03-18,12.25,2015-02-01
2015-04-15,12.75,2015-03-01
2015-05-16,13.25,2015-04-01
2015-06-15,13.25,2015-05-01
2015-07-16,13.75,2015-06-01
2015-08-15,14.25,2015-07-01
2015-09-15,14.25,2015-08-01
2015-10-16,14.25,2015-09-01
2015-11-15,14.25,2015-10-01
2015-12-16,14.25,2015-11-01
2016-01-15,14.25,2015-12-01
2016-02-15,14.25,2016-01-01
2016-03-17,14.25,2016-02-01
2016-04-15,14.25,2016-03-01
2016-05-16,14.25,2016-04-01
2016-06-15,14.25,2016-05-01
2016-07-16,14.25,2016-06-01
2016-08-15,14.25,2016-07-01
2016-09-15,14.25,2016-08-01
2016-10-16,14.25,2016-09-01
2016-11-15,14.0,2016-10-01
2016-12-16,14.0,2016-11-01
2017-01-15,13.75,2016-12-01
2017-02-15,13.0,2017-01-01
2017-03-18,12.25,2017-02-01
2017-04-15,12.25,2017-03-01
2017-05-16,11.25,2017-04-01
2017-06-15,11.25,2017-05-01
2017-07-16,10.25,2017-06-01
2017-08-15,9.25,2017-07-01
2017-09-15,9.25,2017-08-01
2017-10-16,8.25,2017-09-01
2017-11-15,7.5,2017-10-01
2017-12-16,7.5,2017-11-01
2018-01-15,7.0,2017-12-01
2018-02-15,7.0,2018-01-01
2018-03-18,6.75,2018-02-01
2018-04-15,6.5,2018-03-01
2018-05-16,6.5,2018-04-01
2018-06-15,6.5,2018-05-01
2018-07-16,6.5,2018-06-01
2018-08-15,6.5,2018-07-01
2018-09-15,6.5,2018-08-01
2018-10-16,6.5,2018-09-01
2018-11-15,6.5,2018-10-01
2018-12-16,6.5,2018-11-01
2019-01-15,6.5,2018-12-01
2019-02-15,6.5,2019-01-01
2019-03-18,6.5,2019-02-01
2019-04-15,6.5,2019-03-01
2019-05-16,6.5,2019-04-01
2019-06-15,6.5,2019-05-01
2019-07-16,6.5,2019-06-01
2019-08-15,6.5,2019-07-01
2019-09-15,6.0,2019-08-01
2019-10-16,5.5,2019-09-01
2019-11-15,5.0,2019-10-01
2019-12-16,5.0,2019-11-01
2020-01-15,4.5,2019-12-01
2020-02-15,4.5,2020-01-01
2020-03-17,4.25,2020-02-01
2020-04-15,3.75,2020-03-01
2020-05-16,3.75,2020-04-01
2020-06-15,3.14,2020-05-01
2020-07-16,2.69,2020-06-01
2020-08-15,2.25,2020-07-01
2020-09-15,2.03,2020-08-01
2020-10-16,2.0,2020-09-01
2020-11-15,2.0,2020-10-01
2020-12-16,2.0,2020-11-01
2021-01-15,2.0,2020-12-01
2021-02-15,2.0,2021-01-01
2021-03-18,2.0,2021-02-01
2021-04-15,2.4,2021-03-01
2021-05-16,2.75,2021-04-01
2021-06-15,3.4,2021-05-01
2021-07-16,3.9,2021-06-01
2021-08-15,4.25,2021-07-01
2021-09-15,5.1,2021-08-01
2021-10-16,5.5,2021-09-01
2021-11-15,6.5,2021-10-01
2021-12-16,7.75,2021-11-01
2022-01-15,8.9,2021-12-01
2022-02-15,9.25,2022-01-01
2022-03-18,10.64,2022-02-01
2022-04-15,11.23,2022-03-01
2022-05-16,11.75,2022-04-01
2022-06-15,12.62,2022-05-01
2022-07-16,12.99,2022-06-01
2022-08-15,13.25,2022-07-01
2022-09-15,13.7,2022-08-01
2022-10-16,13.75,2022-09-01
2022-11-15,13.75,2022-10-01
2022-12-16,13.75,2022-11-01
2023-01-15,13.75,2022-12-01
2023-02-15,13.75,2023-01-01
2023-03-18,13.75,2023-02-01
2023-04-15,13.75,2023-03-01
2023-05-16,13.75,2023-04-01
2023-06-15,13.75,2023-05-01
2023-07-16,13.75,2023-06-01
2023-08-15,13.75,2023-07-01
2023-09-15,13.28,2023-08-01
2023-10-16,13.08,2023-09-01
2023-11-15,12.75,2023-10-01
2023-12-16,12.28,2023-11-01
2024-01-15,11.96,2023-12-01
