factor,variant,cost_bps,period,start,end,n_months,managed_sharpe,unmanaged_sharpe,sharpe_difference,managed_annual_return,unmanaged_annual_return,managed_annual_volatility,unmanaged_annual_volatility,managed_max_drawdown,unmanaged_max_drawdown,managed_mdd_per_annual_vol,unmanaged_mdd_per_annual_vol
MktRF,capped_3x,25,in_sample,1963-09,1999-12,436,0.3082531038,0.4516121085,-0.1433590047,0.04329704361,0.06880856171,0.1404593922,0.1523620833,-0.5505301098,-0.5537367132,-3.919496597,-3.634347215
MktRF,capped_3x,25,oos_full,2000-01,2026-04,316,0.3740792737,0.4717327496,-0.09765347593,0.03477787358,0.07429201962,0.09296926086,0.1574875174,-0.3138921622,-0.5411587487,-3.376300503,-3.436200898
MktRF,capped_3x,25,oos_2000_2012,2000-01,2012-12,156,0.2310725025,0.08599979535,0.1450727072,0.01422845666,0.01418460881,0.06157572411,0.1649377042,-0.1954917048,-0.5411587487,-3.174817798,-3.28098873
MktRF,capped_3x,25,oos_2013_latest,2013-01,2026-04,160,0.4742410659,0.8953142429,-0.421073177,0.05481355506,0.1328967452,0.1155816293,0.1484358662,-0.3138921622,-0.2523027197,-2.715761702,-1.699742294
MktRF,capped_3x,50,in_sample,1963-09,1999-12,436,0.2141048299,0.4516121085,-0.2375072786,0.03008999856,0.06880856171,0.1405386257,0.1523620833,-0.6077224842,-0.5537367132,-4.32423813,-3.634347215
MktRF,capped_3x,50,oos_full,2000-01,2026-04,316,0.2493986676,0.4717327496,-0.222334082,0.02321832821,0.07429201962,0.0930972424,0.1574875174,-0.3425455125,-0.5411587487,-3.679437797,-3.436200898
MktRF,capped_3x,50,oos_2000_2012,2000-01,2012-12,156,0.1202945141,0.08599979535,0.03429471878,0.007378169941,0.01418460881,0.0613342179,0.1649377042,-0.2054051198,-0.5411587487,-3.348948219,-3.28098873
MktRF,capped_3x,50,oos_2013_latest,2013-01,2026-04,160,0.3332118565,0.8953142429,-0.5621023863,0.03866248252,0.1328967452,0.1160297323,0.1484358662,-0.3425455125,-0.2523027197,-2.952221862,-1.699742294
SMB,uncapped,0,in_sample,1963-09,1999-12,436,0.1288205874,0.1516923747,-0.02287178736,0.01330242873,0.01568811628,0.1032632206,0.1034205992,-0.6596383612,-0.6163515179,-6.387931322,-5.959659127
SMB,uncapped,0,oos_full,2000-01,2026-04,316,0.08167099732,0.1843100981,-0.1026391007,0.003632992717,0.01972259598,0.04448326623,0.1070076799,-0.2410196891,-0.3606533174,-5.41821025,-3.370349845
SMB,uncapped,0,oos_2000_2012,2000-01,2012-12,156,0.4926295759,0.5047810492,-0.01215147325,0.02062714328,0.05827041106,0.0418715081,0.1154370022,-0.09278338026,-0.2187869607,-2.215907295,-1.895293161
SMB,uncapped,0,oos_2013_latest,2013-01,2026-04,160,-0.2780596395,-0.1836926124,-0.09436702713,-0.01293630408,-0.01786152372,0.0465234872,0.09723593939,-0.2410196891,-0.3606533174,-5.180602392,-3.709053666
SMB,uncapped,10,in_sample,1963-09,1999-12,436,0.06956302656,0.1516923747,-0.08212934816,0.007167559597,0.01568811628,0.1030369142,0.1034205992,-0.676273972,-0.6163515179,-6.563414456,-5.959659127
SMB,uncapped,10,oos_full,2000-01,2026-04,316,0.02977187085,0.1843100981,-0.1545382272,0.00132417391,0.01972259598,0.04447734966,0.1070076799,-0.2508320669,-0.3606533174,-5.639546168,-3.370349845
SMB,uncapped,10,oos_2000_2012,2000-01,2012-12,156,0.4399088067,0.5047810492,-0.06487224245,0.01845190849,0.05827041106,0.04194484905,0.1154370022,-0.09869185145,-0.2187869607,-2.352895616,-1.895293161
SMB,uncapped,10,oos_2013_latest,2013-01,2026-04,160,-0.3310810326,-0.1836926124,-0.1473884202,-0.01537536731,-0.01786152372,0.04643989174,0.09723593939,-0.2504465759,-0.3606533174,-5.392919031,-3.709053666
SMB,uncapped,25,in_sample,1963-09,1999-12,436,-0.01979468442,0.1516923747,-0.1714870591,-0.002034744099,0.01568811628,0.1027924496,0.1034205992,-0.7012996531,-0.6163515179,-6.822482158,-5.959659127
SMB,uncapped,25,oos_full,2000-01,2026-04,316,-0.0480792774,0.1843100981,-0.2323893755,-0.002139054302,0.01972259598,0.0444901508,0.1070076799,-0.3039458355,-0.3606533174,-6.831755568,-3.370349845
SMB,uncapped,25,oos_2000_2012,2000-01,2012-12,156,0.3610169678,0.5047810492,-0.1437640814,0.01518905631,0.05827041106,0.04207297071,0.1154370022,-0.1074888647,-0.2187869607,-2.554819945,-1.895293161
SMB,uncapped,25,oos_2013_latest,2013-01,2026-04,160,-0.4107539043,-0.1836926124,-0.2270612919,-0.01903396215,-0.01786152372,0.04633909003,0.09723593939,-0.2645072718,-0.3606533174,-5.708080836,-3.709053666
SMB,uncapped,50,in_sample,1963-09,1999-12,436,-0.1692507708,0.1516923747,-0.3209431455,-0.01737191693,0.01568811628,0.1026401053,0.1034205992,-0.7732147104,-0.6163515179,-7.533261082,-5.959659127
SMB,uncapped,50,oos_full,2000-01,2026-04,316,-0.1775015121,0.1843100981,-0.3618116102,-0.007911101321,0.01972259598,0.04456920523,0.1070076799,-0.3843008914,-0.3606533174,-8.622565501,-3.370349845
SMB,uncapped,50,oos_2000_2012,2000-01,2012-12,156,0.2303326373,0.5047810492,-0.2744484119,0.009750969343,0.05827041106,0.04233429295,0.1154370022,-0.1276512741,-0.2187869607,-3.015316076,-1.895293161
SMB,uncapped,50,oos_2013_latest,2013-01,2026-04,160,-0.5435379138,-0.1836926124,-0.3598453014,-0.02513162022,-0.01786152372,0.04623710615,0.09723593939,-0.3158767256,-0.3606533174,-6.831671614,-3.709053666
SMB,capped_3x,0,in_sample,1963-09,1999-12,436,0.09368716254,0.1516923747,-0.05800521217,0.009060933635,0.01568811628,0.09671478343,0.1034205992,-0.6374896679,-0.6163515179,-6.59143975,-5.959659127
SMB,capped_3x,0,oos_full,2000-01,2026-04,316,0.08167099732,0.1843100981,-0.1026391007,0.003632992717,0.01972259598,0.04448326623,0.1070076799,-0.2410196891,-0.3606533174,-5.41821025,-3.370349845
SMB,capped_3x,0,oos_2000_2012,2000-01,2012-12,156,0.4926295759,0.5047810492,-0.01215147325,0.02062714328,0.05827041106,0.0418715081,0.1154370022,-0.09278338026,-0.2187869607,-2.215907295,-1.895293161
SMB,capped_3x,0,oos_2013_latest,2013-01,2026-04,160,-0.2780596395,-0.1836926124,-0.09436702713,-0.01293630408,-0.01786152372,0.0465234872,0.09723593939,-0.2410196891,-0.3606533174,-5.180602392,-3.709053666
SMB,capped_3x,10,in_sample,1963-09,1999-12,436,0.04074454254,0.1516923747,-0.1109478322,0.003936759045,0.01568811628,0.09662052386,0.1034205992,-0.6533886924,-0.6163515179,-6.762421339,-5.959659127
SMB,capped_3x,10,oos_full,2000-01,2026-04,316,0.02977187085,0.1843100981,-0.1545382272,0.00132417391,0.01972259598,0.04447734966,0.1070076799,-0.2508320669,-0.3606533174,-5.639546168,-3.370349845
SMB,capped_3x,10,oos_2000_2012,2000-01,2012-12,156,0.4399088067,0.5047810492,-0.06487224245,0.01845190849,0.05827041106,0.04194484905,0.1154370022,-0.09869185145,-0.2187869607,-2.352895616,-1.895293161
SMB,capped_3x,10,oos_2013_latest,2013-01,2026-04,160,-0.3310810326,-0.1836926124,-0.1473884202,-0.01537536731,-0.01786152372,0.04643989174,0.09723593939,-0.2504465759,-0.3606533174,-5.392919031,-3.709053666
SMB,capped_3x,25,in_sample,1963-09,1999-12,436,-0.03884494925,0.1516923747,-0.190537324,-0.00374950284,0.01568811628,0.09652484847,0.1034205992,-0.6776368913,-0.6163515179,-7.020336235,-5.959659127
SMB,capped_3x,25,oos_full,2000-01,2026-04,316,-0.0480792774,0.1843100981,-0.2323893755,-0.002139054302,0.01972259598,0.0444901508,0.1070076799,-0.3039458355,-0.3606533174,-6.831755568,-3.370349845
SMB,capped_3x,25,oos_2000_2012,2000-01,2012-12,156,0.3610169678,0.5047810492,-0.1437640814,0.01518905631,0.05827041106,0.04207297071,0.1154370022,-0.1074888647,-0.2187869607,-2.554819945,-1.895293161
SMB,capped_3x,25,oos_2013_latest,2013-01,2026-04,160,-0.4107539043,-0.1836926124,-0.2270612919,-0.01903396215,-0.01786152372,0.04633909003,0.09723593939,-0.2645072718,-0.3606533174,-5.708080836,-3.709053666
SMB,capped_3x,50,in_sample,1963-09,1999-12,436,-0.1716275739,0.1516923747,-0.3233199486,-0.01655993932,0.01568811628,0.09648763854,0.1034205992,-0.7519667927,-0.6163515179,-7.793400317,-5.959659127
SMB,capped_3x,50,oos_full,2000-01,2026-04,316,-0.1775015121,0.1843100981,-0.3618116102,-0.007911101321,0.01972259598,0.04456920523,0.1070076799,-0.3843008914,-0.3606533174,-8.622565501,-3.370349845
SMB,capped_3x,50,oos_2000_2012,2000-01,2012-12,156,0.2303326373,0.5047810492,-0.2744484119,0.009750969343,0.05827041106,0.04233429295,0.1154370022,-0.1276512741,-0.2187869607,-3.015316076,-1.895293161
SMB,capped_3x,50,oos_2013_latest,2013-01,2026-04,160,-0.5435379138,-0.1836926124,-0.3598453014,-0.02513162022,-0.01786152372,0.04623710615,0.09723593939,-0.3158767256,-0.3606533174,-6.831671614,-3.709053666
HML,uncapped,0,in_sample,1963-09,1999-12,436,0.5068051031,0.5168261041,-0.01002100099,0.04470512953,0.04566314361,0.08820970676,0.08835301323,-0.2931553674,-0.3207355243,-3.323391247,-3.630159431
HML,uncapped,0,oos_full,2000-01,2026-04,316,0.09134065022,0.2350758097,-0.1437351595,0.005649171701,0.02830006314,0.0618472902,0.1203869644,-0.4141202903,-0.5596993243,-6.695851814,-4.649168844
HML,uncapped,0,oos_2000_2012,2000-01,2012-12,156,0.3104565159,0.5411215291,-0.2306650131,0.02521316323,0.06494217968,0.08121318746,0.1200140379,-0.3185247515,-0.2670799955,-3.92208164,-2.225406296
HML,uncapped,0,oos_2013_latest,2013-01,2026-04,160,-0.407299874,-0.06176600494,-0.3455338691,-0.01342572003,-0.007426000483,0.03296274045,0.1202279553,-0.2233703374,-0.5150431593,-6.776449236,-4.283888534
HML,uncapped,10,in_sample,1963-09,1999-12,436,0.4335399234,0.5168261041,-0.08328618067,0.03818621696,0.04566314361,0.08808004728,0.08835301323,-0.3083917143,-0.3207355243,-3.501266448,-3.630159431
HML,uncapped,10,oos_full,2000-01,2026-04,316,0.03949416893,0.2350758097,-0.1955816408,0.002447497299,0.02830006314,0.06197110525,0.1203869644,-0.4414784265,-0.5596993243,-7.123939854,-4.649168844
HML,uncapped,10,oos_2000_2012,2000-01,2012-12,156,0.2529193064,0.5411215291,-0.2882022226,0.02058324048,0.06494217968,0.0813826385,0.1200140379,-0.3352988768,-0.2670799955,-4.120029566,-2.225406296
HML,uncapped,10,oos_2013_latest,2013-01,2026-04,160,-0.4596093001,-0.06176600494,-0.3978432952,-0.0152348523,-0.007426000483,0.0331473978,0.1202279553,-0.2371569275,-0.5150431593,-7.15461675,-4.283888534
HML,uncapped,25,in_sample,1963-09,1999-12,436,0.3229255518,0.5168261041,-0.1939005524,0.02840784809,0.04566314361,0.08797027035,0.08835301323,-0.3306627715,-0.3207355243,-3.758801357,-3.630159431
HML,uncapped,25,oos_full,2000-01,2026-04,316,-0.03785607573,0.2350758097,-0.2729318854,-0.002355014303,0.02830006314,0.06220967857,0.1203869644,-0.4812403116,-0.5596993243,-7.735778784,-4.649168844
HML,uncapped,25,oos_2000_2012,2000-01,2012-12,156,0.1669303046,0.5411215291,-0.3741912244,0.01363835637,0.06494217968,0.08170090147,0.1200140379,-0.3597285813,-0.2670799955,-4.402994028,-2.225406296
HML,uncapped,25,oos_2013_latest,2013-01,2026-04,160,-0.5366384356,-0.06176600494,-0.4748724306,-0.01794855071,-0.007426000483,0.03344626385,0.1202279553,-0.2589043587,-0.5150431593,-7.740905228,-4.283888534
HML,uncapped,50,in_sample,1963-09,1999-12,436,0.1375982944,0.5168261041,-0.3792278097,0.01211056665,0.04566314361,0.08801392998,0.08835301323,-0.3901635602,-0.3207355243,-4.432975102,-3.630159431
HML,uncapped,50,oos_full,2000-01,2026-04,316,-0.1650965102,0.2350758097,-0.4001723199,-0.01035920031,0.02830006314,0.0627463312,0.1203869644,-0.5447979773,-0.5596993243,-8.682547121,-4.649168844
HML,uncapped,50,oos_2000_2012,2000-01,2012-12,156,0.02504310588,0.5411215291,-0.5160784232,0.002063549514,0.06494217968,0.08239990373,0.1200140379,-0.400155447,-0.2670799955,-4.856261099,-2.225406296
HML,uncapped,50,oos_2013_latest,2013-01,2026-04,160,-0.6609040562,-0.06176600494,-0.5991380513,-0.02247138138,-0.007426000483,0.03400097362,0.1202279553,-0.2990142201,-0.5150431593,-8.794284052,-4.283888534
HML,capped_3x,0,in_sample,1963-09,1999-12,436,0.5019306902,0.5168261041,-0.01489541389,0.04254534033,0.04566314361,0.08476337702,0.08835301323,-0.2835290339,-0.3207355243,-3.344947356,-3.630159431
HML,capped_3x,0,oos_full,2000-01,2026-04,316,0.1428216412,0.2350758097,-0.09225416853,0.007950853382,0.02830006314,0.05566980828,0.1203869644,-0.3684147362,-0.5596993243,-6.617855307,-4.649168844
HML,capped_3x,0,oos_2000_2012,2000-01,2012-12,156,0.418176491,0.5411215291,-0.1229450381,0.02987554407,0.06494217968,0.07144242852,0.1200140379,-0.2653616135,-0.2670799955,-3.71434201,-2.225406296
HML,capped_3x,0,oos_2013_latest,2013-01,2026-04,160,-0.407299874,-0.06176600494,-0.3455338691,-0.01342572003,-0.007426000483,0.03296274045,0.1202279553,-0.2233703374,-0.5150431593,-6.776449236,-4.283888534
HML,capped_3x,10,in_sample,1963-09,1999-12,436,0.431690414,0.5168261041,-0.08513569011,0.03656845797,0.04566314361,0.08470991429,0.08835301323,-0.2969053655,-0.3207355243,-3.504965954,-3.630159431
HML,capped_3x,10,oos_full,2000-01,2026-04,316,0.08818652854,0.2350758097,-0.1468892811,0.004901288471,0.02830006314,0.05557865302,0.1203869644,-0.3956041856,-0.5596993243,-7.117916036,-4.649168844
HML,capped_3x,10,oos_2000_2012,2000-01,2012-12,156,0.3585325076,0.5411215291,-0.1825890215,0.02555374055,0.06494217968,0.0712731482,0.1200140379,-0.2807035649,-0.2670799955,-3.938419615,-2.225406296
HML,capped_3x,10,oos_2013_latest,2013-01,2026-04,160,-0.4596093001,-0.06176600494,-0.3978432952,-0.0152348523,-0.007426000483,0.0331473978,0.1202279553,-0.2371569275,-0.5150431593,-7.15461675,-4.283888534
HML,capped_3x,25,in_sample,1963-09,1999-12,436,0.3259479578,0.5168261041,-0.1908781463,0.02760313443,0.04566314361,0.08468571061,0.08835301323,-0.3165232723,-0.3207355243,-3.737623148,-3.630159431
HML,capped_3x,25,oos_full,2000-01,2026-04,316,0.005892286673,0.2350758097,-0.229183523,0.0003269411041,0.02830006314,0.0554862861,0.1203869644,-0.4353922268,-0.5596993243,-7.846843921,-4.649168844
HML,capped_3x,25,oos_2000_2012,2000-01,2012-12,156,0.2683387573,0.5411215291,-0.2727827717,0.01907103527,0.06494217968,0.07107074454,0.1200140379,-0.3031412655,-0.2670799955,-4.26534529,-2.225406296
HML,capped_3x,25,oos_2013_latest,2013-01,2026-04,160,-0.5366384356,-0.06176600494,-0.4748724306,-0.01794855071,-0.007426000483,0.03344626385,0.1202279553,-0.2589043587,-0.5150431593,-7.740905228,-4.283888534
HML,capped_3x,50,in_sample,1963-09,1999-12,436,0.149312695,0.5168261041,-0.3675134091,0.01266092852,0.04566314361,0.08479472238,0.08835301323,-0.3661237479,-0.3207355243,-4.317765748,-3.630159431
HML,capped_3x,50,oos_full,2000-01,2026-04,316,-0.1315926345,0.2350758097,-0.3666684442,-0.007296971174,0.02830006314,0.05545121278,0.1203869644,-0.4997547933,-0.5596993243,-9.012513312,-4.649168844
HML,capped_3x,50,oos_2000_2012,2000-01,2012-12,156,0.1166402458,0.5411215291,-0.4244812832,0.008266526476,0.06494217968,0.07087199119,0.1200140379,-0.3407995848,-0.2670799955,-4.808663889,-2.225406296
HML,capped_3x,50,oos_2013_latest,2013-01,2026-04,160,-0.6609040562,-0.06176600494,-0.5991380513,-0.02247138138,-0.007426000483,0.03400097362,0.1202279553,-0.2990142201,-0.5150431593,-8.794284052,-4.283888534
RMW,uncapped,0,in_sample,1963-09,1999-12,436,0.6608262286,0.3967164201,0.2641098085,0.03650690963,0.0219166923,0.05524434118,0.05524523611,-0.1585710045,-0.2309176851,-2.870357417,-4.179866019
RMW,uncapped,0,oos_full,2000-01,2026-04,316,0.3410300102,0.4696635099,-0.1286334997,0.007892571879,0.04662023138,0.02314333532,0.0992630477,-0.1164439712,-0.2197188378,-5.031425662,-2.213500824
RMW,uncapped,0,oos_2000_2012,2000-01,2012-12,156,0.5099949964,0.6247470843,-0.1147520879,0.01205914048,0.07535763478,0.02364560548,0.1206210268,-0.05879222077,-0.2197188378,-2.486391005,-1.821563319
RMW,uncapped,0,oos_2013_latest,2013-01,2026-04,160,0.16906157,0.2578630349,-0.08880146497,0.003830167492,0.01860126307,0.02265545915,0.07213621399,-0.06125294725,-0.1637643741,-2.703672738,-2.270210273
RMW,uncapped,10,in_sample,1963-09,1999-12,436,0.5611053615,0.3967164201,0.1643889414,0.03094891407,0.0219166923,0.05515704571,0.05524523611,-0.1822607515,-0.2309176851,-3.304396549,-4.179866019
RMW,uncapped,10,oos_full,2000-01,2026-04,316,0.2511676255,0.4696635099,-0.2184958843,0.005814394621,0.04662023138,0.02314945889,0.0992630477,-0.1216884487,-0.2197188378,-5.25664333,-2.213500824
RMW,uncapped,10,oos_2000_2012,2000-01,2012-12,156,0.4119431747,0.6247470843,-0.2128039096,0.009754518004,0.07535763478,0.02367928055,0.1206210268,-0.06100390205,-0.2197188378,-2.576256568,-1.821563319
RMW,uncapped,10,oos_2013_latest,2013-01,2026-04,160,0.08713627668,0.2578630349,-0.1707267583,0.001972774323,0.01860126307,0.02264010351,0.07213621399,-0.06462704877,-0.1637643741,-2.854538574,-2.270210273
RMW,uncapped,25,in_sample,1963-09,1999-12,436,0.4103159416,0.3967164201,0.01359952154,0.02261192072,0.0219166923,0.05510856009,0.05524523611,-0.2166023202,-0.2309176851,-3.930465973,-4.179866019
RMW,uncapped,25,oos_full,2000-01,2026-04,316,0.1161420871,0.4696635099,-0.3535214228,0.002697128735,0.04662023138,0.0232226646,0.0992630477,-0.1295024476,-0.2197188378,-5.576554192,-2.213500824
RMW,uncapped,25,oos_2000_2012,2000-01,2012-12,156,0.2643386399,0.6247470843,-0.3604084444,0.006297584289,0.07535763478,0.02382392635,0.1206210268,-0.06431451188,-0.2197188378,-2.699576507,-1.821563319
RMW,uncapped,25,oos_2013_latest,2013-01,2026-04,160,-0.03590822999,0.2578630349,-0.2937712649,-0.0008133154296,0.01860126307,0.02264983347,0.07213621399,-0.06966864035,-0.1637643741,-3.075900776,-2.270210273
RMW,uncapped,50,in_sample,1963-09,1999-12,436,0.157778368,0.3967164201,-0.238938052,0.008716931814,0.0219166923,0.0552479527,0.05524523611,-0.3290663562,-0.2309176851,-5.956172856,-4.179866019
RMW,uncapped,50,oos_full,2000-01,2026-04,316,-0.1062517566,0.4696635099,-0.5759152665,-0.002498314409,0.04662023138,0.02351315863,0.0992630477,-0.1640278079,-0.2197188378,-6.976000566,-2.213500824
RMW,uncapped,50,oos_2000_2012,2000-01,2012-12,156,0.02204962775,0.6247470843,-0.6026974565,0.0005360280965,0.07535763478,0.02431007464,0.1206210268,-0.06981379654,-0.2197188378,-2.871805108,-1.821563319
RMW,uncapped,50,oos_2013_latest,2013-01,2026-04,160,-0.2398258626,0.2578630349,-0.4976888975,-0.005456798351,0.01860126307,0.02275316887,0.07213621399,-0.1012851094,-0.1637643741,-4.451472671,-2.270210273
RMW,capped_3x,0,in_sample,1963-09,1999-12,436,0.6558497521,0.3967164201,0.259133332,0.03567920275,0.0219166923,0.05440148851,0.05524523611,-0.1755722057,-0.2309176851,-3.227341944,-4.179866019
RMW,capped_3x,0,oos_full,2000-01,2026-04,316,0.3386813482,0.4696635099,-0.1309821617,0.007830144672,0.04662023138,0.02311950367,0.0992630477,-0.1164439712,-0.2197188378,-5.03661207,-2.213500824
RMW,capped_3x,0,oos_2000_2012,2000-01,2012-12,156,0.5056214646,0.6247470843,-0.1191256197,0.01193268537,0.07535763478,0.02360003719,0.1206210268,-0.05879222077,-0.2197188378,-2.49119187,-1.821563319
RMW,capped_3x,0,oos_2013_latest,2013-01,2026-04,160,0.16906157,0.2578630349,-0.08880146497,0.003830167492,0.01860126307,0.02265545915,0.07213621399,-0.06125294725,-0.1637643741,-2.703672738,-2.270210273
RMW,capped_3x,10,in_sample,1963-09,1999-12,436,0.5586920188,0.3967164201,0.1619755987,0.03038517131,0.0219166923,0.05438626343,0.05524523611,-0.1952943196,-0.2309176851,-3.590875845,-4.179866019
RMW,capped_3x,10,oos_full,2000-01,2026-04,316,0.2507222065,0.4696635099,-0.2189413034,0.005795341464,0.04662023138,0.02311459182,0.0992630477,-0.1216884487,-0.2197188378,-5.264572682,-2.213500824
RMW,capped_3x,10,oos_2000_2012,2000-01,2012-12,156,0.41150863,0.6247470843,-0.2132384543,0.009715923146,0.07535763478,0.02361049669,0.1206210268,-0.06100390205,-0.2197188378,-2.583761911,-1.821563319
RMW,capped_3x,10,oos_2013_latest,2013-01,2026-04,160,0.08713627668,0.2578630349,-0.1707267583,0.001972774323,0.01860126307,0.02264010351,0.07213621399,-0.06462704877,-0.1637643741,-2.854538574,-2.270210273
RMW,capped_3x,25,in_sample,1963-09,1999-12,436,0.4124027969,0.3967164201,0.01568637679,0.02244412415,0.0219166923,0.05442282235,0.05524523611,-0.2240202564,-0.2309176851,-4.116292517,-4.179866019
RMW,capped_3x,25,oos_full,2000-01,2026-04,316,0.1184353395,0.4696635099,-0.3512281704,0.002743136652,0.04662023138,0.02316147075,0.0992630477,-0.1295024476,-0.2197188378,-5.591287749,-2.213500824
RMW,capped_3x,25,oos_2000_2012,2000-01,2012-12,156,0.2696376989,0.6247470843,-0.3551093854,0.006390779812,0.07535763478,0.02370135867,0.1206210268,-0.06431451188,-0.2197188378,-2.713536923,-1.821563319
