Date,JPM,BAC,WFC,C,GS,MS,USB,PNC,TFC,COF,KBE,KRE,XLF,SPY
2022-09-23,99.50416564941406,28.844711303710938,36.732120513916016,38.8452033996582,275.559814453125,72.15476989746094,35.3278923034668,131.2506103515625,36.46733474731445,87.79225158691406,40.89542007446289,54.0772590637207,29.15100860595703,350.2196350097656
2022-09-26,97.36165618896484,28.208364486694336,36.36851501464844,37.73057556152344,268.8526306152344,70.60562896728516,34.4388313293457,128.5032501220703,35.71068572998047,85.4706039428711,40.382999420166016,53.61092758178711,28.690977096557617,346.75506591796875
2022-09-27,96.50463104248047,27.790189743041992,36.386695861816406,37.3795051574707,265.89599609375,70.3577651977539,34.35496139526367,127.88982391357422,35.39814758300781,85.55484771728516,39.97844314575195,52.974185943603516,28.568927764892578,345.869873046875
2022-09-28,98.4556884765625,28.244726181030273,37.0957145690918,38.090415954589844,274.4830322265625,72.11936950683594,34.74077606201172,130.96546936035156,36.393314361572266,88.97178649902344,40.6976432800293,53.88893127441406,29.132234573364258,352.67535400390625
2022-09-29,96.78726959228516,27.87200927734375,36.813926696777344,37.203983306884766,270.2123107910156,70.69413757324219,34.56257629394531,130.2224884033203,36.16302490234375,87.69865417480469,40.02339553833008,53.01006317138672,28.766084671020508,345.3082580566406
2022-09-30,95.27383422851562,27.453838348388672,36.55941390991211,36.572059631347656,267.4199523925781,69.94171905517578,34.21466064453125,129.09072875976562,35.809383392333984,86.28504943847656,39.81662368774414,52.803802490234375,28.503211975097656,339.9686279296875
2022-10-03,98.21865844726562,28.262907028198242,37.79561996459961,37.35318374633789,272.98638916015625,71.15446472167969,35.27538299560547,132.8748016357422,36.771636962890625,89.46797180175781,40.85946273803711,54.01448440551758,29.27305793762207,348.9442443847656
2022-10-04,102.81368255615234,29.435604095458984,39.57724380493164,38.97685623168945,287.33148193359375,74.33243560791016,36.17487335205078,138.7841796875,38.29317092895508,93.493408203125,42.711402893066406,56.38203048706055,30.36211395263672,359.7568359375
2022-10-05,101.54425811767578,29.017431259155273,39.36817169189453,38.47658920288086,281.9749755859375,73.57112121582031,35.809993743896484,137.56600952148438,37.71745681762695,92.62278747558594,42.37876510620117,55.91570281982422,30.12740135192871,358.91925048828125
2022-10-06,99.47455596923828,28.599258422851562,38.39556121826172,37.79201889038086,278.0236511230469,71.97772216796875,34.85957717895508,134.52491760253906,36.911460876464844,90.55390930175781,41.920284271240234,55.37762451171875,29.704925537109375,355.21661376953125
