ticker,bank_name,cik,form,accession,filing_date,report_date,report_year,primary_document,filing_url,word_count,ai_terms,ai_terms_per_10k,model_risk_terms,model_risk_terms_per_10k,operational_loss_terms,operational_loss_terms_per_10k,combined_ai_model_operational_per_10k
MS,Morgan Stanley,0000895421,10-K,0000895421-23-000284,2023-02-24,2022-12-31,2022,ms-20221231.htm,https://www.sec.gov/Archives/edgar/data/895421/000089542123000284/ms-20221231.htm,114887,0,0.0,14,1.2185887002010671,51,4.439144550732459,5.657733250933527
MS,Morgan Stanley,0000895421,10-K,0000895421-24-000300,2024-02-22,2023-12-31,2023,ms-20231231.htm,https://www.sec.gov/Archives/edgar/data/895421/000089542124000300/ms-20231231.htm,115788,5,0.4318236777558987,13,1.1227415621653367,69,5.959166753031403,7.513731992952639
MS,Morgan Stanley,0000895421,10-K,0000895421-25-000304,2025-02-21,2024-12-31,2024,ms-20241231.htm,https://www.sec.gov/Archives/edgar/data/895421/000089542125000304/ms-20241231.htm,115695,5,0.43217079389774843,13,1.1236440641341459,65,5.618220320670728,7.174035178702622
MS,Morgan Stanley,0000895421,10-K,0000895421-26-000086,2026-02-19,2025-12-31,2025,ms-20251231.htm,https://www.sec.gov/Archives/edgar/data/895421/000089542126000086/ms-20251231.htm,115609,11,0.9514830160281639,13,1.1244799280332844,63,5.449402728161302,7.52536567222275
PNC,PNC Financial,0000713676,10-K,0000713676-20-000042,2020-03-02,2019-12-31,2019,pnc201910-k.htm,https://www.sec.gov/Archives/edgar/data/713676/000071367620000042/pnc201910-k.htm,118565,4,0.3373676886096234,3,0.2530257664572176,20,1.6868384430481171,2.277231898114958
PNC,PNC Financial,0000713676,10-K,0000713676-21-000025,2021-02-26,2020-12-31,2020,pnc-20201231.htm,https://www.sec.gov/Archives/edgar/data/713676/000071367621000025/pnc-20201231.htm,134084,4,0.2983204558336565,3,0.22374034187524236,18,1.3424420512514543,1.8645028489603532
PNC,PNC Financial,0000713676,10-K,0000713676-22-000019,2022-02-25,2021-12-31,2021,pnc-20211231.htm,https://www.sec.gov/Archives/edgar/data/713676/000071367622000019/pnc-20211231.htm,130087,4,0.30748652824648115,3,0.2306148961848609,18,1.3836893771091656,1.9217908015405076
PNC,PNC Financial,0000713676,10-K,0000713676-23-000020,2023-02-22,2022-12-31,2022,pnc-20221231.htm,https://www.sec.gov/Archives/edgar/data/713676/000071367623000020/pnc-20221231.htm,129943,4,0.3078272781142501,3,0.23087045858568758,21,1.6160932100998129,2.154790946799751
PNC,PNC Financial,0000713676,10-K,0000713676-24-000028,2024-02-21,2023-12-31,2023,pnc-20231231.htm,https://www.sec.gov/Archives/edgar/data/713676/000071367624000028/pnc-20231231.htm,128078,10,0.7807742157123003,3,0.23423226471369007,28,2.186167803994441,3.201174284420431
PNC,PNC Financial,0000713676,10-K,0000713676-25-000027,2025-02-21,2024-12-31,2024,pnc-20241231.htm,https://www.sec.gov/Archives/edgar/data/713676/000071367625000027/pnc-20241231.htm,128680,7,0.5439850792663973,3,0.23313646254274167,27,2.0982281628846753,2.8753497046938143
PNC,PNC Financial,0000713676,10-K,0000713676-26-000020,2026-02-20,2025-12-31,2025,pnc-20251231.htm,https://www.sec.gov/Archives/edgar/data/713676/000071367626000020/pnc-20251231.htm,122959,11,0.8946071454712546,4,0.32531168926227444,28,2.277181824835921,3.4971006595694503
TFC,Truist Financial,0000092230,10-K,0000092230-20-000045,2020-03-03,2019-12-31,2019,tfc-20191231.htm,https://www.sec.gov/Archives/edgar/data/92230/000009223020000045/tfc-20191231.htm,86515,0,0.0,15,1.7338033866959486,14,1.618216494249552,3.352019880945501
TFC,Truist Financial,0000092230,10-K,0000092230-21-000032,2021-02-24,2020-12-31,2020,tfc-20201231.htm,https://www.sec.gov/Archives/edgar/data/92230/000009223021000032/tfc-20201231.htm,93174,0,0.0,16,1.7172172494472708,14,1.502565093266362,3.219782342713633
TFC,Truist Financial,0000092230,10-K,0000092230-22-000008,2022-02-23,2021-12-31,2021,tfc-20211231.htm,https://www.sec.gov/Archives/edgar/data/92230/000009223022000008/tfc-20211231.htm,89820,0,0.0,16,1.781340458695168,15,1.6700066800267201,3.4513471387218884
TFC,Truist Financial,0000092230,10-K,0000092230-23-000034,2023-02-28,2022-12-31,2022,tfc-20221231.htm,https://www.sec.gov/Archives/edgar/data/92230/000009223023000034/tfc-20221231.htm,89784,0,0.0,13,1.4479194511271496,18,2.0048115477145148,3.4527309988416643
TFC,Truist Financial,0000092230,10-K,0000092230-24-000010,2024-02-27,2023-12-31,2023,tfc-20231231.htm,https://www.sec.gov/Archives/edgar/data/92230/000009223024000010/tfc-20231231.htm,97975,4,0.40826741515692777,14,1.4289359530492471,20,2.041337075784639,3.878540443990814
TFC,Truist Financial,0000092230,10-K,0000092230-25-000020,2025-02-25,2024-12-31,2024,tfc-20241231.htm,https://www.sec.gov/Archives/edgar/data/92230/000009223025000020/tfc-20241231.htm,97890,4,0.4086219225661457,14,1.43017672898151,23,2.349576054755338,4.1883747063029935
TFC,Truist Financial,0000092230,10-K,0000092230-26-000030,2026-02-24,2025-12-31,2025,tfc-20251231.htm,https://www.sec.gov/Archives/edgar/data/92230/000009223026000030/tfc-20251231.htm,98366,9,0.9149502877010349,15,1.5249171461683917,24,2.4398674338694266,4.879734867738853
USB,U.S. Bancorp,0000036104,10-K,0001193125-20-043622,2020-02-20,2019-12-31,2019,d597518d10k.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312520043622/d597518d10k.htm,17067,0,0.0,0,0.0,7,4.101482392922013,4.101482392922013
USB,U.S. Bancorp,0000036104,10-K,0001193125-21-052547,2021-02-23,2020-12-31,2020,d14650d10k.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312521052547/d14650d10k.htm,23164,0,0.0,0,0.0,7,3.0219305819374895,3.0219305819374895
USB,U.S. Bancorp,0000036104,10-K,0001193125-22-048709,2022-02-22,2021-12-31,2021,d256232d10k.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312522048709/d256232d10k.htm,22156,0,0.0,0,0.0,7,3.159415056869471,3.159415056869471
USB,U.S. Bancorp,0000036104,10-K,0001193125-23-050691,2023-02-27,2022-12-31,2022,d410791d10k.htm,https://www.sec.gov/Archives/edgar/data/36104/000119312523050691/d410791d10k.htm,24966,0,0.0,0,0.0,6,2.403268445085316,2.403268445085316
USB,U.S. Bancorp,0000036104,10-K,0000036104-24-000018,2024-02-20,2023-12-31,2023,usb-20231231.htm,https://www.sec.gov/Archives/edgar/data/36104/000003610424000018/usb-20231231.htm,27282,0,0.0,0,0.0,21,7.6973828898174625,7.6973828898174625
USB,U.S. Bancorp,0000036104,10-K,0000036104-25-000016,2025-02-21,2024-12-31,2024,usb-20241231.htm,https://www.sec.gov/Archives/edgar/data/36104/000003610425000016/usb-20241231.htm,26231,0,0.0,0,0.0,20,7.624566352788685,7.624566352788685
USB,U.S. Bancorp,0000036104,10-K,0000036104-26-000011,2026-02-23,2025-12-31,2025,usb-20251231.htm,https://www.sec.gov/Archives/edgar/data/36104/000003610426000011/usb-20251231.htm,26861,1,0.37228695878783363,0,0.0,17,6.328878299393172,6.701165258181006
WFC,Wells Fargo,0000072971,10-K,0000072971-20-000217,2020-02-27,2019-12-31,2019,wfc-12312019x10k.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297120000217/wfc-12312019x10k.htm,36167,0,0.0,0,0.0,0,0.0,0.0
WFC,Wells Fargo,0000072971,10-K,0000072971-21-000197,2021-02-23,2020-12-31,2020,wfc-20201231.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297121000197/wfc-20201231.htm,33959,0,0.0,0,0.0,0,0.0,0.0
WFC,Wells Fargo,0000072971,10-K,0000072971-22-000096,2022-02-22,2021-12-31,2021,wfc-20211231.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297122000096/wfc-20211231.htm,30239,0,0.0,0,0.0,0,0.0,0.0
WFC,Wells Fargo,0000072971,10-K,0000072971-23-000071,2023-02-21,2022-12-31,2022,wfc-20221231.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297123000071/wfc-20221231.htm,31006,0,0.0,0,0.0,0,0.0,0.0
WFC,Wells Fargo,0000072971,10-K,0000072971-24-000064,2024-02-20,2023-12-31,2023,wfc-20231231.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297124000064/wfc-20231231.htm,29298,0,0.0,0,0.0,1,0.34132022663663053,0.34132022663663053
WFC,Wells Fargo,0000072971,10-K,0000072971-25-000066,2025-02-25,2024-12-31,2024,wfc-20241231.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297125000066/wfc-20241231.htm,27251,0,0.0,0,0.0,2,0.7339180213570143,0.7339180213570143
WFC,Wells Fargo,0000072971,10-K,0000072971-26-000133,2026-02-24,2025-12-31,2025,wfc-20251231_d2.htm,https://www.sec.gov/Archives/edgar/data/72971/000007297126000133/wfc-20251231_d2.htm,13087,1,0.7641170627340109,0,0.0,3,2.2923511882020327,3.0564682509360437
