Date,CEW,FXA,FXB,FXE,FXY,UUP
2012-06-01,16.832271575927734,84.32880401611328,138.36672973632812,117.41793823242188,125.73999786376953,19.147382736206055
2012-06-04,16.883981704711914,84.69434356689453,138.64857482910156,118.14020538330078,125.41000366210938,19.063840866088867
2012-06-05,16.952930450439453,84.82490539550781,138.5303497314453,117.76007080078125,124.83999633789062,19.130674362182617
2012-06-06,17.099449157714844,86.49597930908203,139.67596435546875,118.9195327758789,123.98999786376953,18.97194480895996
2012-06-07,17.142541885375977,86.23487091064453,139.88504028320312,118.79598999023438,123.5,18.99700927734375
2012-06-08,17.108068466186523,86.42635345458984,139.3486328125,118.17822265625,123.8499984741211,19.05548667907715
2012-06-11,16.987403869628906,85.95635223388672,139.46681213378906,118.00715637207031,123.72000122070312,19.080547332763672
2012-06-12,17.03911781311035,86.67878723144531,140.3124237060547,118.20674896240234,123.68000030517578,19.013715744018555
2012-06-13,17.064973831176758,86.6439208984375,139.78501892089844,118.83399963378906,123.83999633789062,18.955238342285156
2012-06-14,17.116687774658203,87.14874267578125,140.14866638183594,119.28065490722656,123.8499984741211,18.880054473876953
2012-06-15,17.202871322631836,87.90597534179688,141.41238403320312,119.6703109741211,124.91000366210938,18.7965145111084
2012-06-18,17.202871322631836,88.17578125,141.12155151367188,118.88150024414062,124.2300033569336,18.880054473876953
2012-06-19,17.297677993774414,88.82855224609375,141.69430541992188,119.87936401367188,124.48999786376953,18.738037109375
2012-06-20,17.26320457458496,88.68924713134766,141.43063354492188,119.869873046875,123.63999938964844,18.76309585571289
2012-06-21,17.064973831176758,87.43597412109375,140.36688232421875,118.577392578125,122.4000015258789,18.963594436645508
2012-06-22,17.082210540771484,87.79280090332031,140.3578338623047,118.72942352294922,122.2300033569336,18.921823501586914
2012-06-25,17.013261795043945,87.26190948486328,140.23963928222656,118.15921783447266,123.45999908447266,18.980302810668945
2012-06-26,17.09082794189453,87.77542877197266,140.8942108154297,118.09271240234375,123.7300033569336,18.94688606262207
2012-06-27,17.09082794189453,87.88858032226562,140.21234130859375,117.82660675048828,123.29000091552734,19.0053653717041
2012-06-28,17.047739028930664,87.64484405517578,139.73049926757812,117.655517578125,123.69000244140625,19.030427932739258
2012-06-29,17.39248275756836,89.25506591796875,141.0487823486328,119.63230895996094,122.94000244140625,18.77145004272461
2012-07-02,17.40110206604004,89.51152038574219,141.50338745117188,118.95755767822266,123.58999633789062,18.813220977783203
2012-07-03,17.513145446777344,89.78199005126953,141.3578643798828,119.20466613769531,123.04000091552734,18.7965145111084
2012-07-05,17.36662483215332,89.80821990966797,139.80316162109375,117.10431671142578,123.0199966430664,19.04713249206543
2012-07-06,17.26320457458496,89.2148666381836,139.4576873779297,116.07791137695312,123.43000030517578,19.172443389892578
2012-07-09,17.280441284179688,89.083984375,139.86683654785156,116.37254333496094,123.48999786376953,19.11396598815918
2012-07-10,17.280441284179688,88.92691802978516,139.766845703125,115.7833251953125,123.75,19.180797576904297
2012-07-11,17.358007431030273,89.45919799804688,139.61231994628906,115.70728302001953,123.33999633789062,19.197505950927734
2012-07-12,17.271821975708008,88.5692367553711,138.96678161621094,115.34614562988281,123.91999816894531,19.23927879333496
2012-07-13,17.340774536132812,89.2759780883789,140.25778198242188,115.67877197265625,123.94999694824219,19.15573501586914
2012-07-16,17.375246047973633,89.5726318359375,140.79421997070312,116.03040313720703,124.61000061035156,19.097257614135742
2012-07-17,17.478670120239258,90.09611511230469,140.8942108154297,116.1064224243164,124.22000122070312,19.080547332763672
2012-07-18,17.444196701049805,90.55855560302734,140.96697998046875,116.0494155883789,124.66999816894531,19.063840866088867
2012-07-19,17.538999557495117,91.10826110839844,141.5670623779297,116.00189208984375,124.98999786376953,19.05548667907715
2012-07-20,17.426958084106445,90.6894302368164,140.6214599609375,114.90897369384766,125.20999908447266,19.197505950927734
2012-07-23,17.228727340698242,89.85183715820312,139.85777282714844,114.67137908935547,125.33999633789062,19.22256851196289
2012-07-24,17.211490631103516,89.62496948242188,139.74868774414062,114.06312561035156,125.6500015258789,19.297754287719727
2012-07-25,17.237348556518555,90.15718841552734,139.55775451660156,114.85193634033203,125.68000030517578,19.197505950927734
2012-07-26,17.4183406829834,90.9075698852539,141.29428100585938,116.08740997314453,125.5999984741211,19.0053653717041
2012-07-27,17.48729133605957,91.57063293457031,141.57608032226562,116.2204818725586,125.13999938964844,18.99700927734375
2012-07-30,17.48729133605957,91.8411865234375,141.45790100097656,115.81183624267578,125.62000274658203,19.02207374572754
2012-07-31,17.478670120239258,91.89350128173828,141.15789794921875,116.22996520996094,125.73999786376953,18.97194480895996
2012-08-01,17.478670120239258,91.45178985595703,139.9395751953125,115.46968841552734,125.1500015258789,19.10561180114746
2012-08-02,17.375246047973633,91.46932220458984,139.65774536132812,115.08952331542969,125.61000061035156,19.139028549194336
2012-08-03,17.590713500976562,92.37893676757812,140.8306121826172,116.94275665283203,125.04000091552734,18.905115127563477
2012-08-06,17.60795021057129,92.49260711669922,140.52145385742188,117.09479522705078,125.58999633789062,18.880054473876953
2012-08-07,17.642423629760742,92.30022430419922,140.73963928222656,117.12332916259766,124.91999816894531,18.880054473876953
2012-08-08,17.642423629760742,92.50133514404297,140.93968200683594,116.76217651367188,125.19000244140625,18.913469314575195
2012-08-09,17.67690086364746,92.59756469726562,140.76690673828125,116.1729507446289,124.95999908447266,18.980302810668945
2012-08-10,17.68552017211914,92.58009338378906,141.2215576171875,116.14442443847656,125.5,18.94688606262207
2012-08-13,17.590713500976562,92.06409454345703,141.21243286132812,116.5340805053711,125.3499984741211,18.921823501586914
2012-08-14,17.538999557495117,91.88915252685547,141.19422912597656,116.43905639648438,124.76000213623047,18.93017578125
2012-08-15,17.547618865966797,91.96785736083984,141.19422912597656,116.05889892578125,124.51000213623047,18.980302810668945
2012-08-16,17.547618865966797,92.0990982055664,141.68516540527344,116.71463775634766,123.83999633789062,18.913469314575195
2012-08-17,17.504526138305664,91.29438781738281,141.27601623535156,116.50558471679688,123.45999908447266,18.94688606262207
2012-08-20,17.521766662597656,91.54801177978516,141.4215545654297,116.64816284179688,123.69999694824219,18.921823501586914
2012-08-21,17.582094192504883,91.74917602539062,142.03067016601562,117.75057220458984,123.97000122070312,18.7965145111084
2012-08-22,17.6165714263916,91.9853286743164,142.8489227294922,118.30177307128906,125.08000183105469,18.70461654663086
2012-08-23,17.642423629760742,91.46932220458984,142.78530883789062,118.65340423583984,125.18000030517578,18.67120361328125
2012-08-24,17.60795021057129,91.19817352294922,142.2489013671875,118.17822265625,124.79000091552734,18.729684829711914
2012-08-27,17.590713500976562,90.87456512451172,142.16705322265625,118.07367706298828,124.69000244140625,18.746389389038086
2012-08-28,17.547618865966797,90.9882583618164,142.40347290039062,118.71045684814453,125.05999755859375,18.67120361328125
2012-08-29,17.478670120239258,90.75210571289062,142.52162170410156,118.33979034423828,124.80999755859375,18.70461654663086
2012-08-30,17.43557357788086,90.27980041503906,142.1034393310547,118.14020538330078,124.86000061035156,18.746389389038086
2012-08-31,17.538999557495117,90.55970001220703,142.92169189453125,118.77696228027344,125.41000366210938,18.629430770874023
2012-09-04,17.53038215637207,89.66808319091797,142.8944091796875,118.66293334960938,125.19000244140625,18.654497146606445
2012-09-05,17.547618865966797,89.35248565673828,143.1307830810547,118.94804382324219,125.23999786376953,18.637786865234375
2012-09-06,17.668283462524414,90.1678695678711,143.45806884765625,119.36620330810547,124.4000015258789,18.587663650512695
2012-09-07,17.763084411621094,91.16720581054688,144.0763397216797,120.9722900390625,125.45999908447266,18.387165069580078
2012-09-10,17.72861099243164,90.70260620117188,143.90359497070312,120.5066146850586,125.45999908447266,18.445642471313477
2012-09-11,17.832035064697266,91.57933807373047,144.658203125,121.46650695800781,126.30999755859375,18.303625106811523
2012-09-12,17.771705627441406,91.74583435058594,144.93096923828125,121.75161743164062,126.11000061035156,18.286916732788086
2012-09-13,17.93545913696289,92.52613067626953,145.39466857910156,122.70198059082031,126.62999725341797,18.16996192932129
2012-09-14,18.013029098510742,92.66641235351562,146.06739807128906,123.92797088623047,125.23999786376953,18.07806968688965
2012-09-17,17.961315155029297,91.96501922607422,146.1855926513672,123.80443572998047,124.66999816894531,18.103130340576172
2012-09-18,17.909605026245117,91.72831726074219,146.1947021484375,123.129638671875,124.54000091552734,18.16160774230957
2012-09-19,17.92683982849121,92.0789794921875,145.9674072265625,123.28166198730469,125.30000305175781,18.103130340576172
2012-09-20,17.857892990112305,91.71952819824219,145.9674072265625,122.45489501953125,125.44999694824219,18.18667221069336
2012-09-21,17.90098762512207,91.76337432861328,146.24017333984375,122.64495849609375,125.66999816894531,18.16996192932129
2012-09-24,17.849273681640625,91.50911712646484,145.95828247070312,122.05570983886719,126.12000274658203,18.21173095703125
