ticker,date,stocktwits_messages,bullish_messages,bearish_messages
KOSS,2025-12-24,1,0,0
KOSS,2025-12-25,1,0,0
KOSS,2025-12-26,1,1,0
KOSS,2025-12-29,1,0,0
KOSS,2025-12-30,2,1,0
KOSS,2026-01-01,1,0,0
KOSS,2026-01-02,1,1,0
KOSS,2026-01-06,5,1,0
KOSS,2026-01-07,1,1,0
KOSS,2026-01-08,1,0,0
KOSS,2026-01-09,2,2,0
KOSS,2026-01-20,1,1,0
KOSS,2026-01-22,1,0,0
KOSS,2026-01-25,1,1,0
KOSS,2026-01-29,2,1,0
KOSS,2026-01-30,2,1,0
KOSS,2026-02-02,5,5,0
KOSS,2026-02-04,3,1,0
KOSS,2026-02-13,1,1,0
KOSS,2026-02-17,3,3,0
KOSS,2026-02-20,1,0,0
KOSS,2026-02-21,2,1,0
KOSS,2026-02-24,1,1,0
KOSS,2026-02-26,1,0,0
KOSS,2026-03-13,1,1,0
KOSS,2026-03-16,1,0,0
KOSS,2026-03-19,1,1,0
KOSS,2026-03-20,2,0,1
KOSS,2026-03-23,2,2,0
KOSS,2026-03-28,1,1,0
KOSS,2026-03-30,1,0,0
KOSS,2026-03-31,1,0,0
KOSS,2026-04-02,1,1,0
KOSS,2026-04-08,1,1,0
KOSS,2026-04-15,2,0,0
KOSS,2026-04-16,1,0,0
KOSS,2026-04-17,1,1,0
KOSS,2026-04-20,2,1,0
KOSS,2026-04-22,1,1,0
KOSS,2026-04-23,5,5,0
KOSS,2026-04-24,2,0,0
KOSS,2026-04-25,1,0,0
KOSS,2026-05-01,1,0,0
KOSS,2026-05-05,2,0,0
KOSS,2026-05-06,1,0,0
KOSS,2026-05-07,2,0,0
KOSS,2026-05-11,1,1,0
KOSS,2026-05-21,1,1,0
KOSS,2026-05-22,1,0,0
KOSS,2026-05-31,1,1,0
KOSS,2026-06-01,3,3,0
KOSS,2026-06-02,1,0,0
KOSS,2026-06-03,1,0,0
KOSS,2026-06-04,1,0,0
KOSS,2026-06-11,1,1,0
KOSS,2026-06-15,2,2,0
KOSS,2026-06-16,1,0,0
KOSS,2026-06-17,1,1,0
KOSS,2026-06-23,1,1,0
KOSS,2026-06-24,1,0,0
KSS,2026-05-11,24,2,2
KSS,2026-05-12,15,3,0
KSS,2026-05-13,19,5,1
KSS,2026-05-14,25,6,1
KSS,2026-05-15,18,3,1
KSS,2026-05-17,2,0,1
KSS,2026-05-18,14,3,1
KSS,2026-05-19,10,4,0
KSS,2026-05-20,7,2,1
KSS,2026-05-21,6,4,0
KSS,2026-05-22,12,4,1
KSS,2026-05-24,1,0,0
KSS,2026-05-26,6,2,0
KSS,2026-05-27,28,8,0
KSS,2026-05-28,84,28,1
KSS,2026-05-29,27,9,1
KSS,2026-05-30,1,0,0
KSS,2026-05-31,1,0,0
KSS,2026-06-01,14,6,0
KSS,2026-06-02,16,6,0
KSS,2026-06-03,10,5,0
KSS,2026-06-04,9,2,2
KSS,2026-06-05,10,3,0
KSS,2026-06-06,1,1,0
KSS,2026-06-08,10,6,0
KSS,2026-06-09,4,0,0
KSS,2026-06-10,3,1,0
KSS,2026-06-11,25,7,3
KSS,2026-06-12,2,0,0
KSS,2026-06-14,1,0,0
KSS,2026-06-15,5,1,0
KSS,2026-06-16,3,1,0
KSS,2026-06-17,7,1,0
KSS,2026-06-18,8,4,0
KSS,2026-06-22,2,2,0
KSS,2026-06-23,3,2,1
KSS,2026-06-24,8,4,0
KSS,2026-06-25,4,2,0
KSS,2026-06-26,3,1,0
KSS,2026-06-27,2,0,0
OPEN,2026-06-27,28,10,1
OPEN,2026-06-28,2,0,0
PLTR,2026-06-26,142,50,5
PLTR,2026-06-27,83,22,5
PLTR,2026-06-28,15,7,3
SOFI,2026-06-25,67,15,2
SOFI,2026-06-26,322,135,29
SOFI,2026-06-27,58,14,2
SOFI,2026-06-28,3,1,0
UPST,2026-06-10,19,7,0
UPST,2026-06-11,41,10,1
UPST,2026-06-12,34,10,9
UPST,2026-06-13,1,1,0
UPST,2026-06-14,2,1,0
UPST,2026-06-15,46,15,4
UPST,2026-06-16,38,8,6
UPST,2026-06-17,44,5,8
UPST,2026-06-18,19,7,2
UPST,2026-06-19,6,5,0
UPST,2026-06-20,1,1,0
UPST,2026-06-21,3,0,0
UPST,2026-06-22,30,3,6
UPST,2026-06-23,33,5,5
UPST,2026-06-24,60,15,4
UPST,2026-06-25,32,5,2
UPST,2026-06-26,37,6,7
UPST,2026-06-27,4,0,0
