Date,Close,High,Low,Open,Volume
2021-02-26,204.93118286132812,208.61094957178577,201.6456753351685,206.0670360513608,47734200
2021-03-01,212.21563720703125,212.81641516910548,209.2774501006162,209.78435068712278,26161000
2021-03-02,208.1322479248047,212.11241150791471,207.9726678199387,211.95281707937,26895400
2021-03-03,205.87930297851562,210.51655030623684,205.77604359391734,208.7893154399351,33407600
2021-03-04,200.1249542236328,207.16532731565792,196.59537134634508,205.11891808859792,59126500
2021-03-05,204.3679656982422,204.78098890650912,194.5114429218141,203.59821132986124,53204300
2021-03-08,205.33480834960938,208.64847573837577,204.33037503456129,205.9168078712715,40619700
2021-03-09,209.65289306640625,211.2017835412936,207.38120136024537,208.77989379083928,32247300
2021-03-10,213.29513549804688,214.937889151406,211.3989244132547,211.77441955679902,36812000
2021-03-11,217.98870849609375,218.04502918441523,214.76890401819387,215.48233760006502,25256700
2021-03-12,219.27476501464844,219.80044391783142,217.1908134172617,217.77282733750786,23732200
2021-03-15,220.05389404296875,220.1571534186365,217.69772106468196,219.04007862468757,21497400
2021-03-16,216.37413024902344,219.74411868810483,215.07869703315376,219.6784159884012,24675000
2021-03-17,218.07325744628906,218.55201209347643,213.42661300482416,214.93794734807094,29422600
2021-03-18,211.43649291992188,218.65521020298942,210.84509698804627,216.6557539559818,35637200
2021-03-19,213.03231811523438,214.59059089400657,209.28683424127206,210.8075646636405,40855600
2021-03-22,211.4270782470703,214.12120389570524,210.36633851795452,213.7269304262077,26128400
2021-03-23,203.7578125,210.1410879187951,202.79093559726462,209.48398919708336,43660700
2021-03-24,199.04541015625,207.76609313931237,199.04541015625,206.3861789477938,47270200
2021-03-25,203.7647705078125,204.57358535154415,195.64840876727624,196.8804375099183,59244600
2021-03-26,207.47967529296875,207.54550155183398,203.10644098315663,205.92788617674182,34452600
2021-03-29,201.63929748535156,207.7806426528955,201.33835076375192,205.97491927145634,38078800
2021-03-30,205.03445434570312,205.66457549814422,200.45431207388876,201.62991445171502,36205400
2021-03-31,207.79002380371094,209.16311901440892,206.07834026499714,206.12536721892218,34800100
2021-04-01,210.4234161376953,210.5738823285532,208.80578619340528,209.1631595411338,29799200
2021-04-05,211.58016967773438,213.05671848777072,210.2635010349878,212.92505162349607,27826600
2021-04-06,210.95947265625,213.19782395785114,210.517445057184,211.60840740171344,24907800
2021-04-07,207.5548553466797,211.01582022523783,206.8494942528923,210.8841533950885,26233700
2021-04-08,209.31361389160156,209.5581483285493,206.33228849597643,208.63646589032132,23989400
2021-04-09,209.34182739257812,209.81206826331967,208.0721856519434,209.2477878287973,23267400
2021-04-12,208.5236358642578,209.66161086059753,207.2821929403082,209.46411770945087,20533900
2021-04-13,207.9781036376953,209.32299980862618,205.80559340449452,208.29786394244985,24608400
2021-04-14,210.0283660888672,212.54884998804278,208.59882998228096,208.66465623456136,27362000
2021-04-15,210.9406280517578,211.72122956215793,209.03145140426065,211.69301626002635,20587300
2021-04-16,211.27920532226562,212.24790031218413,209.73681592904097,211.9845665877759,23943000
2021-04-19,208.5330047607422,211.2886236230614,206.84954882040336,210.39516887202308,25285900
2021-04-20,204.26316833496094,208.42949426840195,202.42923237836038,207.63009364660584,35570800
2021-04-21,209.2571563720703,209.37000957207567,202.67378516036473,204.10332121307744,31147800
2021-04-22,208.3919219970703,211.91872812141023,207.6395338204223,209.9719242524814,31943700
2021-04-23,212.3231658935547,213.1601941211035,208.80577314774013,209.55816145747932,27999500
2021-04-26,214.53329467773438,215.07877582017593,213.25423891112277,213.48935935093655,19069200
2021-04-27,214.85299682617188,215.73705173647159,213.96894191587214,215.0975312017239,19648100
2021-04-28,215.21981811523438,215.8311398002978,213.58338922274507,214.50505722488592,16222700
2021-04-29,214.42042541503906,217.20424317779518,212.35135421900338,217.11020361927373,25500300
2021-04-30,211.5049285888672,214.24173377548374,210.79956731503478,212.28553012064847,27006000
2021-05-03,212.53948974609375,213.87497219634378,211.53316731949903,213.68687870416738,18693400
2021-05-04,210.00015258789062,212.68053117452868,207.80884285429002,211.23219567004503,26892700
2021-05-05,209.1631317138672,211.17576204879862,208.18503702565337,210.93124196439825,25139500
2021-05-06,209.34182739257812,209.5487345237534,205.62692738384234,209.3982540009691,27647300
2021-05-07,211.9751434326172,212.48299717320293,208.9373919374935,209.40763272902515,26172700
2021-05-10,206.5862274169922,212.23851764400112,206.520386805316,211.82470337235878,28109100
2021-05-11,205.92787170410156,207.27275359689807,201.6580769082148,202.12831774076375,39519500
2021-05-12,199.2410430908203,205.7491743801512,198.94948172510246,204.17857174831627,42113400
2021-05-13,202.9088897705078,204.49830584974393,199.19399060311633,200.6141125449084,37739900
2021-05-14,207.86524963378906,208.23203688797065,202.84306692573517,204.96856455049914,25070400
2021-05-17,208.14739990234375,208.21322615370312,204.93094011987512,206.69905016510873,20048500
2021-05-18,206.56741333007812,209.95315340858025,206.40753315284508,208.21325641117528,24564500
2021-05-19,204.97793579101562,205.17544321617504,201.31006375755666,203.17221307065054,31202800
2021-05-20,206.34165954589844,206.78368705075897,203.4543884647863,205.27892508474503,24932800
2021-05-21,206.87777709960938,209.1349276183256,206.29468299157384,208.15683288704537,24213700
2021-05-24,208.22264099121094,209.210149638515,206.90597236188003,208.01573387080012,18324200
2021-05-25,206.2100067138672,210.39516164444478,206.14418045899274,209.0032384342223,20514900
2021-05-26,210.05657958984375,210.37633990262063,207.01881356663063,207.02822756740173,20388200
2021-05-27,212.21969604492188,212.88744438563697,210.83718675761213,211.64600161719054,21225700
2021-05-28,212.07862854003906,213.65863094641156,211.65541463480446,213.56459138447732,20668400
2021-06-01,214.48623657226562,214.95647738360555,212.51123377500437,213.92195620902413,23081500
2021-06-02,214.74020385742188,215.29508465651858,213.32948120510716,215.28568500505713,18927500
2021-06-03,212.94386291503906,214.07243807496943,210.7055118965721,213.32006420209035,24811500
2021-06-04,213.8655242919922,214.48624563333007,212.7463631682367,214.01600480212463,19395800
2021-06-07,216.73402404785156,217.04438475835184,213.72448521201838,214.32639297918502,24049900
2021-06-08,219.02879333496094,219.5836741211643,216.29198800891626,217.4487908893759,27770300
2021-06-09,217.57102966308594,219.73414040969584,217.2324556823069,219.64008650090824,18700600
2021-06-10,215.9575958251953,218.6890844553717,215.42072336905002,218.21813714863984,29069000
2021-06-11,218.2369384765625,218.33113366925858,216.70166031523004,216.91829201182875,16707200
2021-06-14,217.59649658203125,219.79111274552707,216.76762472706736,218.81153430381136,19182800
2021-06-15,216.97483825683594,218.0203418262833,215.2040718291162,217.690672971022,17039900
2021-06-16,216.51329040527344,217.2762226728883,214.412869633467,216.35317006028254,24527000
