converged,reason,fun,start_seed,start_theta_eav,start_theta0,market,theta0,theta_vix,theta_eav,loglik,nit,mean_sigma2
True,,,61,6.477316299193317e-05,1.0242947809569076e-05,CH,0.0002582061382205112,1.1810980984110492e-07,0.00033152650802906034,77372.27340999569,30.0,0.0003523132441568119
True,,,62,0.00012796135280570512,4.4109979240506425e-05,CH,0.0003249454562122617,2.8339637955748946e-08,8.938900203956667e-05,77334.99288387167,11.0,0.0003523132441568119
True,,,63,3.3951059286042443e-06,3.2481600817804704e-05,CH,0.0002597757846533375,9.534819343617153e-08,9.445795910088638e-05,77437.32958121115,10.0,0.0003523132441568119
True,,,64,1.5043602486919662e-06,0.0003519334348616875,CH,0.000308209469020229,1.620455213993041e-07,0.000519810023185705,77900.5065627067,24.0,0.0003523132441568119
True,,,65,1.0273821559071131e-05,1.3424811540590984e-06,CH,1.3424811540590984e-06,8.684733616596968e-09,1.0273821559071131e-05,64699.089115503804,0.0,0.0003523132441568119
True,,,66,1.5734348796721628e-06,0.0003112648129978985,CH,0.00030153120608621934,2.940823159624311e-08,0.0002218689990691119,77864.58623760086,2.0,0.0003523132441568119
True,,,67,2.4391033030946004e-05,1.3130107750595525e-05,CH,1.2725962755081623e-05,-2.31008681939101e-07,-0.00019324392286079658,70976.2612514372,3.0,0.0003523132441568119
True,,,68,6.57379882363098e-05,2.0290430497496525e-05,CH,0.00025768256513578725,1.645916677764262e-07,0.00036880174693604956,77788.22890875027,31.0,0.0003523132441568119
True,,,69,0.00021602577505474256,3.6847466446205684e-05,CH,0.00037240065990492855,1.3105481774714275e-07,0.0006021500923020506,77822.46113054756,15.0,0.0003523132441568119
True,,,70,7.405925300661456e-06,1.0655943934962279e-05,CH,0.0002713635733547042,7.614621375442025e-08,0.00011164863380398056,77424.46580310611,10.0,0.0003523132441568119
True,,,71,0.00011320872409775919,4.830097684783433e-06,CH,0.00030670092364335557,1.7035050730403292e-07,0.00044838180808037494,77891.68329992534,57.0,0.0003523132441568119
False,penalty-trap,10000000000000.0,72,4.213780405952901e-06,0.00018251401328837167,CH,,,,,,
True,,,73,5.307089180631442e-06,2.1360445092233017e-05,CH,1.997149436419556e-05,-2.5684055494104557e-07,-0.0004533901922942185,72078.88044643815,6.0,0.0003523132441568119
True,,,74,6.692594053766445e-05,0.00025935828099507867,CH,0.0003125479901093177,6.596650634276826e-08,8.83234231303204e-05,77638.50141720462,6.0,0.0003523132441568119
True,,,75,6.205718146120514e-05,3.764158052231611e-06,CH,2.1760523788511725e-06,-1.9064096149277042e-06,-0.0002949855919077077,71809.36077288513,3.0,0.0003523132441568119
True,,,76,6.946666239296982e-05,0.0001500598668526578,CH,0.00026745068789229496,6.181649520173062e-08,0.00011639978394902091,77254.26455595222,6.0,0.0003523132441568119
True,,,77,4.552468274998163e-06,0.00013219277706195317,CH,0.0002916975584540051,1.3018305168214623e-07,0.000365009384371793,77679.25004560156,18.0,0.0003523132441568119
True,,,78,2.5025395338309193e-05,1.3505134382385342e-05,CH,0.00027708822010939023,1.527962034019478e-07,0.00034233257683199015,77704.62254515174,25.0,0.0003523132441568119
False,penalty-trap,10000000000000.0,79,0.00031000513383016225,0.00030337462984444616,CH,,,,,,
False,penalty-trap,10000000000000.0,80,1.2556635361993149e-06,9.722277475356474e-05,CH,,,,,,
False,penalty-trap,6349423685169.797,81,0.0002894418779652185,1.4847685203374897e-05,CH,,,,,,
True,,,82,3.8683794022516e-06,0.0004927164566141472,CH,0.0003199147067656792,2.0187880722207157e-07,0.00022175155368402252,77740.61692675126,19.0,0.0003523132441568119
True,,,83,4.987739433794366e-05,7.144844120814117e-06,CH,7.733280062954388e-06,-1.0755564058332243e-07,-7.96541410899121e-05,70411.48538729135,5.0,0.0003523132441568119
True,,,84,0.00010527091859087323,9.460436763375337e-05,CH,0.00033223443206364765,7.495459200630205e-08,0.00039198679051338943,77780.31451329989,27.0,0.0003523132441568119
True,,,85,1.7756935987663593e-05,1.3171232734986884e-06,CH,1.312403477140525e-06,-1.374683654388013e-08,-7.300925038050528e-06,64288.67932757579,2.0,0.0003523132441568119
False,penalty-trap,10000000000000.0,86,4.5861119129164616e-05,4.5826251670455585e-05,CH,,,,,,
