DATE,VALUE,RELEASE_DATE,SOURCE_SERIES
2018-09-11,77.12,2018-09-11,WLEMUINDXD
2018-09-12,55.45,2018-09-12,WLEMUINDXD
2018-09-13,39.17,2018-09-13,WLEMUINDXD
2018-09-14,98.04,2018-09-14,WLEMUINDXD
2018-09-15,13.31,2018-09-17,WLEMUINDXD
2018-09-16,45.62,2018-09-17,WLEMUINDXD
2018-09-17,91.96,2018-09-17,WLEMUINDXD
2018-09-18,69.54,2018-09-18,WLEMUINDXD
2018-09-19,87.5,2018-09-19,WLEMUINDXD
2018-09-20,37.25,2018-09-20,WLEMUINDXD
2018-09-21,46.47,2018-09-21,WLEMUINDXD
2018-09-22,15.31,2018-09-24,WLEMUINDXD
2018-09-23,15.05,2018-09-24,WLEMUINDXD
2018-09-24,87.77,2018-09-24,WLEMUINDXD
2018-09-25,65.77,2018-09-25,WLEMUINDXD
2018-09-26,44.59,2018-09-26,WLEMUINDXD
2018-09-27,36.21,2018-09-27,WLEMUINDXD
2018-09-28,49.31,2018-09-28,WLEMUINDXD
2018-09-29,31.86,2018-10-01,WLEMUINDXD
2018-09-30,45.9,2018-10-01,WLEMUINDXD
2018-10-01,174.18,2018-10-01,WLEMUINDXD
2018-10-02,96.93,2018-10-02,WLEMUINDXD
2018-10-03,43.27,2018-10-03,WLEMUINDXD
2018-10-04,39.26,2018-10-04,WLEMUINDXD
2018-10-05,43.66,2018-10-05,WLEMUINDXD
2018-10-06,13.33,2018-10-08,WLEMUINDXD
2018-10-07,14.83,2018-10-08,WLEMUINDXD
2018-10-08,88.78,2018-10-08,WLEMUINDXD
2018-10-09,68.97,2018-10-09,WLEMUINDXD
2018-10-10,96.73,2018-10-10,WLEMUINDXD
2018-10-11,37.9,2018-10-11,WLEMUINDXD
2018-10-12,81.59,2018-10-12,WLEMUINDXD
2018-10-13,47.21,2018-10-15,WLEMUINDXD
2018-10-14,14.85,2018-10-15,WLEMUINDXD
2018-10-15,87.12,2018-10-15,WLEMUINDXD
2018-10-16,65.66,2018-10-16,WLEMUINDXD
2018-10-17,38.55,2018-10-17,WLEMUINDXD
2018-10-18,32.52,2018-10-18,WLEMUINDXD
2018-10-19,86.05,2018-10-19,WLEMUINDXD
2018-10-20,12.78,2018-10-22,WLEMUINDXD
2018-10-21,14.38,2018-10-22,WLEMUINDXD
2018-10-22,78.38,2018-10-22,WLEMUINDXD
2018-10-23,68.35,2018-10-23,WLEMUINDXD
2018-10-24,113.19,2018-10-30,WLEMUINDXD
2018-10-25,172.88,2018-10-30,WLEMUINDXD
2018-10-26,142.16,2018-10-30,WLEMUINDXD
2018-10-27,23.55,2018-10-30,WLEMUINDXD
2018-10-28,87.2,2018-10-30,WLEMUINDXD
2018-10-29,38.83,2018-10-30,WLEMUINDXD
2018-10-30,58.67,2018-10-30,WLEMUINDXD
2018-10-31,76.56,2018-10-31,WLEMUINDXD
2018-11-01,91.41,2018-11-01,WLEMUINDXD
2018-11-02,36.88,2018-11-02,WLEMUINDXD
2018-11-03,56.02,2018-11-05,WLEMUINDXD
2018-11-04,10.21,2018-11-05,WLEMUINDXD
2018-11-05,44.91,2018-11-05,WLEMUINDXD
2018-11-06,54.68,2018-11-06,WLEMUINDXD
2018-11-07,33.33,2018-11-07,WLEMUINDXD
2018-11-08,490.98,2018-11-08,WLEMUINDXD
2018-11-09,77.65,2018-11-09,WLEMUINDXD
2018-11-10,15.51,2018-11-12,WLEMUINDXD
2018-11-11,15.95,2018-11-12,WLEMUINDXD
2018-11-12,79.37,2018-11-12,WLEMUINDXD
2018-11-13,61.83,2018-11-13,WLEMUINDXD
2018-11-14,40.66,2018-11-14,WLEMUINDXD
2018-11-15,30.52,2018-11-15,WLEMUINDXD
2018-11-16,38.36,2018-11-16,WLEMUINDXD
2018-11-17,16.68,2018-11-19,WLEMUINDXD
2018-11-18,31.27,2018-11-19,WLEMUINDXD
2018-11-19,78.58,2018-11-19,WLEMUINDXD
2018-11-20,64.63,2018-11-20,WLEMUINDXD
2018-11-21,134.27,2018-11-21,WLEMUINDXD
2018-11-22,69.84,2018-11-22,WLEMUINDXD
2018-11-23,42.89,2018-11-23,WLEMUINDXD
2018-11-24,19.95,2018-11-26,WLEMUINDXD
2018-11-25,17.35,2018-11-26,WLEMUINDXD
2018-11-26,81.21,2018-11-26,WLEMUINDXD
2018-11-27,245.57,2018-11-27,WLEMUINDXD
2018-11-28,41.03,2018-11-28,WLEMUINDXD
2018-11-29,70.71,2018-11-29,WLEMUINDXD
2018-11-30,40.57,2018-11-30,WLEMUINDXD
2018-12-01,49.16,2018-12-03,WLEMUINDXD
2018-12-02,425.9,2018-12-03,WLEMUINDXD
2018-12-03,388.82,2018-12-03,WLEMUINDXD
2018-12-04,64.05,2018-12-04,WLEMUINDXD
2018-12-05,355.79,2018-12-05,WLEMUINDXD
2018-12-06,37.02,2018-12-06,WLEMUINDXD
2018-12-07,166.79,2018-12-07,WLEMUINDXD
2018-12-08,101.17,2018-12-10,WLEMUINDXD
2018-12-09,63.98,2018-12-10,WLEMUINDXD
2018-12-10,177.86,2018-12-10,WLEMUINDXD
2018-12-11,60.66,2018-12-11,WLEMUINDXD
2018-12-12,77.8,2018-12-12,WLEMUINDXD
2018-12-13,37.21,2018-12-13,WLEMUINDXD
2018-12-14,42.97,2018-12-14,WLEMUINDXD
2018-12-15,34.9,2018-12-17,WLEMUINDXD
2018-12-16,113.51,2018-12-17,WLEMUINDXD
2018-12-17,84.71,2018-12-17,WLEMUINDXD
2018-12-18,131.09,2018-12-18,WLEMUINDXD
2018-12-19,123.98,2018-12-19,WLEMUINDXD
2018-12-20,107.48,2018-12-20,WLEMUINDXD
2018-12-21,169.71,2018-12-21,WLEMUINDXD
2018-12-22,207.93,2018-12-24,WLEMUINDXD
2018-12-23,236.64,2018-12-24,WLEMUINDXD
2018-12-24,200.04,2018-12-24,WLEMUINDXD
2018-12-25,423.34,2018-12-25,WLEMUINDXD
2018-12-26,418.97,2018-12-26,WLEMUINDXD
2018-12-27,277.91,2018-12-27,WLEMUINDXD
2018-12-28,151.81,2018-12-28,WLEMUINDXD
2018-12-29,207.51,2018-12-31,WLEMUINDXD
2018-12-30,195.71,2018-12-31,WLEMUINDXD
2018-12-31,91.4,2018-12-31,WLEMUINDXD
2019-01-01,95.97,2019-01-02,WLEMUINDXD
2019-01-02,122.04,2019-01-02,WLEMUINDXD
2019-01-03,595.07,2019-01-03,WLEMUINDXD
2019-01-04,146.31,2019-01-04,WLEMUINDXD
2019-01-05,131.73,2019-01-07,WLEMUINDXD
2019-01-06,274.92,2019-01-07,WLEMUINDXD
2019-01-07,542.16,2019-01-07,WLEMUINDXD
2019-01-08,309.08,2019-01-08,WLEMUINDXD
2019-01-09,156.34,2019-01-09,WLEMUINDXD
2019-01-10,171.58,2019-01-10,WLEMUINDXD
2019-01-11,366.05,2019-01-11,WLEMUINDXD
2019-01-12,135.97,2019-01-14,WLEMUINDXD
2019-01-13,184.74,2019-01-14,WLEMUINDXD
2019-01-14,88.43,2019-01-14,WLEMUINDXD
2019-01-15,62.94,2019-01-15,WLEMUINDXD
2019-01-16,39.82,2019-01-16,WLEMUINDXD
2019-01-17,367.27,2019-01-17,WLEMUINDXD
2019-01-18,181.76,2019-01-18,WLEMUINDXD
2019-01-19,277.2,2019-01-21,WLEMUINDXD
2019-01-20,330.74,2019-01-21,WLEMUINDXD
2019-01-21,89.37,2019-01-21,WLEMUINDXD
2019-01-22,266.13,2019-01-22,WLEMUINDXD
2019-01-23,329.46,2019-01-23,WLEMUINDXD
2019-01-24,181.23,2019-01-24,WLEMUINDXD
2019-01-25,132.35,2019-01-25,WLEMUINDXD
2019-01-26,68.26,2019-01-28,WLEMUINDXD
2019-01-27,169.66,2019-01-28,WLEMUINDXD
2019-01-28,82.99,2019-01-28,WLEMUINDXD
2019-01-29,60.96,2019-01-29,WLEMUINDXD
2019-01-30,39.28,2019-01-30,WLEMUINDXD
2019-01-31,430.28,2019-01-31,WLEMUINDXD
2019-02-01,93.4,2019-02-01,WLEMUINDXD
2019-02-02,33.65,2019-02-04,WLEMUINDXD
2019-02-03,47.83,2019-02-04,WLEMUINDXD
2019-02-04,243.78,2019-02-04,WLEMUINDXD
2019-02-05,63.03,2019-02-05,WLEMUINDXD
2019-02-06,153.56,2019-02-06,WLEMUINDXD
2019-02-07,33.62,2019-02-07,WLEMUINDXD
2019-02-08,40.12,2019-02-08,WLEMUINDXD
2019-02-09,29.73,2019-02-11,WLEMUINDXD
2019-02-10,16.0,2019-02-11,WLEMUINDXD
2019-02-11,82.65,2019-02-11,WLEMUINDXD
2019-02-12,63.05,2019-02-12,WLEMUINDXD
2019-02-13,16.67,2019-02-13,WLEMUINDXD
2019-02-14,34.33,2019-02-14,WLEMUINDXD
2019-02-15,41.93,2019-02-15,WLEMUINDXD
2019-02-16,44.98,2019-02-18,WLEMUINDXD
2019-02-17,62.22,2019-02-18,WLEMUINDXD
2019-02-18,82.88,2019-02-18,WLEMUINDXD
2019-02-19,61.14,2019-02-19,WLEMUINDXD
2019-02-20,38.92,2019-02-20,WLEMUINDXD
2019-02-21,168.33,2019-02-21,WLEMUINDXD
2019-02-22,39.81,2019-02-22,WLEMUINDXD
2019-02-23,53.63,2019-02-25,WLEMUINDXD
2019-02-24,79.59,2019-02-25,WLEMUINDXD
2019-02-25,21.09,2019-02-26,WLEMUINDXD
2019-02-26,55.33,2019-02-26,WLEMUINDXD
2019-02-27,115.91,2019-02-27,WLEMUINDXD
2019-02-28,35.38,2019-02-28,WLEMUINDXD
2019-03-01,42.7,2019-03-01,WLEMUINDXD
2019-03-02,29.53,2019-03-04,WLEMUINDXD
2019-03-03,15.07,2019-03-04,WLEMUINDXD
2019-03-04,76.03,2019-03-04,WLEMUINDXD
2019-03-05,58.26,2019-03-05,WLEMUINDXD
2019-03-06,37.49,2019-03-06,WLEMUINDXD
2019-03-07,34.43,2019-03-07,WLEMUINDXD
2019-03-08,157.58,2019-03-08,WLEMUINDXD
2019-03-09,31.34,2019-03-11,WLEMUINDXD
2019-03-10,125.02,2019-03-11,WLEMUINDXD
2019-03-11,86.06,2019-03-11,WLEMUINDXD
2019-03-12,61.49,2019-03-12,WLEMUINDXD
2019-03-13,37.29,2019-03-13,WLEMUINDXD
2019-03-14,34.67,2019-03-14,WLEMUINDXD
2019-03-15,128.47,2019-03-15,WLEMUINDXD
2019-03-16,57.07,2019-03-18,WLEMUINDXD
2019-03-17,94.61,2019-03-18,WLEMUINDXD
2019-03-18,85.3,2019-03-18,WLEMUINDXD
2019-03-19,63.4,2019-03-19,WLEMUINDXD
2019-03-20,40.34,2019-03-20,WLEMUINDXD
2019-03-21,75.03,2019-03-21,WLEMUINDXD
2019-03-22,42.57,2019-03-22,WLEMUINDXD
2019-03-23,45.07,2019-03-25,WLEMUINDXD
2019-03-24,46.68,2019-03-25,WLEMUINDXD
2019-03-25,87.26,2019-03-25,WLEMUINDXD
2019-03-26,63.27,2019-03-26,WLEMUINDXD
2019-03-27,38.19,2019-03-27,WLEMUINDXD
2019-03-28,407.24,2019-03-28,WLEMUINDXD
2019-03-29,127.3,2019-03-29,WLEMUINDXD
2019-03-30,73.24,2019-04-01,WLEMUINDXD
2019-03-31,15.51,2019-04-01,WLEMUINDXD
2019-04-01,155.48,2019-04-01,WLEMUINDXD
2019-04-02,126.83,2019-04-02,WLEMUINDXD
2019-04-03,73.61,2019-04-03,WLEMUINDXD
2019-04-04,28.83,2019-04-05,WLEMUINDXD
2019-04-05,43.26,2019-04-05,WLEMUINDXD
2019-04-06,16.45,2019-04-08,WLEMUINDXD
2019-04-07,79.79,2019-04-08,WLEMUINDXD
2019-04-08,91.19,2019-04-08,WLEMUINDXD
2019-04-09,61.11,2019-04-09,WLEMUINDXD
2019-04-10,38.6,2019-04-10,WLEMUINDXD
