date,actual_rv,position,HAR_RV_forecast,HAR_RV_resid_var,HAR_MedRV_input_forecast,HAR_MedRV_input_resid_var,HAR_RK_input_forecast,HAR_RK_input_resid_var,HAR_TSRV_input_forecast,HAR_TSRV_input_resid_var
2020-02-26,4.989912935229179e-05,626,5.1069161433782224e-05,0.27480478984185436,5.0837253575644404e-05,0.28375902780609047,5.4670626123760725e-05,0.2824397356420154,5.210305742214892e-05,0.2855559122441624
2020-02-27,6.747631704829613e-05,627,4.912951484224682e-05,0.2743844639285112,4.9191486359159635e-05,0.2833277188214337,4.938798948506279e-05,0.2819903370457441,4.8682121137057144e-05,0.28511333088821494
2020-03-02,7.50878228896407e-05,628,5.5769187257661337e-05,0.2742733659455014,5.943485583995391e-05,0.28320665971441916,5.306474688842772e-05,0.2818649596711677,5.0425693103111464e-05,0.2850065302466825
2020-03-03,5.228874780676774e-05,629,5.871223482787295e-05,0.27413416283603154,5.847603090061478e-05,0.28297665726873833,6.452550300683684e-05,0.2817921964550216,6.476142011917457e-05,0.28501493535496586
2020-03-04,4.7913772716384036e-05,630,5.3743637609371683e-05,0.27369696019933637,5.357744224433477e-05,0.28252600949544593,5.428745992976989e-05,0.2813496513185375,5.504883673075387e-05,0.2845676912205426
2020-03-05,2.427487220855432e-05,631,5.037677913522479e-05,0.27326120923165004,4.934083027655327e-05,0.2820767887217776,4.8829872716763374e-05,0.2809013213146207,4.951301100849559e-05,0.28411385423979274
2020-03-06,4.76851751134829e-05,632,4.0666866994986675e-05,0.27338319306867953,4.1806777292754425e-05,0.282138357741538,3.8654332852038954e-05,0.2809472636262633,3.909871158427388e-05,0.2841766070360134
2020-03-09,0.0001592960823992336,633,4.516526179994094e-05,0.2730864716777583,4.8077926727770146e-05,0.2818070092988485,4.72977482448386e-05,0.28069331801083436,4.9485731077565495e-05,0.2839067236297879
2020-03-10,0.00016096987858334817,634,7.019706140148082e-05,0.27573684062696324,7.58742518187057e-05,0.2841894799178452,6.70118253864102e-05,0.2831455830093011,6.64109897333784e-05,0.2861691264659249
2020-03-11,8.94457448539374e-05,635,8.155956400150495e-05,0.27676103119272977,8.328364639416115e-05,0.2849856262132425,7.63375863542101e-05,0.28431421953661606,7.272068000031647e-05,0.2873681086667966
2020-03-12,0.0005240630952799009,636,7.39537323852809e-05,0.2764060688964616,8.109316313561909e-05,0.28460601350716963,8.012082760473116e-05,0.2840055115308193,7.909710918584453e-05,0.28710575843601843
2020-03-13,0.0015384439010693582,637,0.0001704946651371346,0.28283419613011196,0.00016559432396022602,0.29044367732453047,0.00019869514985546775,0.28992171133671285,0.0002009232341378086,0.29310952668534934
2020-03-16,0.00040082654100617694,638,0.0004105064349725111,0.2907370573530433,0.00036677722804250165,0.29859001847113903,0.00039479275886080366,0.2967479801825516,0.0003644176817426745,0.29986839617215183
2020-03-17,0.0008757584823312777,639,0.0003025118758295932,0.29030111673167586,0.00026799084414372954,0.2982043058685164,0.0002913125767960812,0.2963204896393728,0.00028059834652035745,0.29948596756788765
2020-03-19,0.0011392824354850423,640,0.00045399405318620207,0.29203707132483103,0.0004304584670338349,0.3004119759426547,0.0004720235494724433,0.2981892170869044,0.00045543359007019793,0.30150093001320877
2020-03-20,0.0010448996487061935,641,0.0006032106385272424,0.29327424302783683,0.0005420607297251216,0.30182467769957166,0.0005693312969338855,0.299301652215109,0.000547326799349445,0.3027263624949101
2020-03-23,0.0007016477243482923,642,0.0006595127697717966,0.2935327160013155,0.0005564712218692926,0.30231922151168567,0.0006245621300523202,0.2996824176491543,0.0005789975685206709,0.30319728402968843
