date,put_volume,call_volume,pc_volume_ratio,put_oi,call_oi,pc_oi_ratio
2018-04-24,539110,560407,96.2,400170,423904,94.4
2018-04-25,774087,695453,111.31,292284,251223,116.34
2018-04-26,368582,354060,104.1,358959,329636,108.9
2018-04-27,327383,301209,108.69,384858,349312,110.18
2018-04-30,420225,340918,123.26,452129,356520,126.82
2018-05-02,456322,414036,110.21,348616,290206,120.13
2018-05-03,282975,303810,93.14,391978,358246,109.42
2018-05-04,347144,340452,101.97,422965,395796,106.86
2018-05-07,370995,368611,100.65,456856,408627,111.8
2018-05-08,404819,344921,117.37,509753,411841,123.77
2018-05-09,581171,526220,110.44,395680,320487,123.46
2018-05-10,244179,225941,108.07,436580,346180,126.11
2018-05-11,317090,305345,103.85,475173,339854,139.82
2018-05-14,411378,418463,98.31,515404,356345,144.64
2018-05-15,396705,381631,103.95,539969,390742,138.19
2018-05-16,624429,527748,118.32,233859,158683,147.37
2018-05-17,213056,219432,97.09,277244,207634,133.53
2018-05-18,216253,207581,104.18,307874,232792,132.25
2018-05-21,300644,243365,123.54,358234,240028,149.25
2018-05-22,310260,336123,92.31,383179,294608,130.06
2018-05-23,466119,484549,96.2,282026,204558,137.87
2018-05-24,272719,217545,125.36,344762,242981,141.89
2018-05-25,270973,227612,119.05,383820,255520,150.21
2018-05-28,241437,196048,123.15,412775,272015,151.75
2018-05-29,260146,277604,93.71,436266,313165,139.31
2018-05-30,647809,575231,112.62,322681,245179,131.61
2018-05-31,246217,230094,107.01,374128,288033,129.89
2018-06-01,270416,238195,113.53,419977,291863,143.9
2018-06-04,410279,353782,115.97,489347,296544,165.02
2018-06-05,374570,374757,99.95,503683,329493,152.87
2018-06-06,609575,579280,105.23,385833,247343,155.99
2018-06-07,279206,287515,97.11,435893,285962,152.43
2018-06-08,262153,296665,88.37,448495,331960,135.11
2018-06-11,311893,303796,102.67,482249,365172,132.06
2018-06-12,410198,430845,95.21,514257,410160,125.38
2018-06-13,432494,444193,97.37,415572,300247,138.41
2018-06-14,284403,343643,82.76,449586,363160,123.8
2018-06-15,319391,314930,101.42,482218,377076,127.88
2018-06-19,421368,429105,98.2,491008,443386,110.74
2018-06-20,728629,714492,101.98,173420,160437,108.09
2018-06-21,191990,201315,95.37,218208,209610,104.1
2018-06-22,281454,292799,96.13,250537,251345,99.68
2018-06-25,223664,243969,91.68,261465,280087,93.35
2018-06-26,441570,429189,102.88,296438,333680,88.84
2018-06-27,477014,462308,103.18,201472,221584,90.92
2018-06-28,324083,302436,107.16,276697,279534,98.99
2018-06-29,341790,327617,104.33,328163,286530,114.53
2018-07-02,331847,291105,114.0,348289,312122,111.59
2018-07-03,571971,540391,105.84,370373,347960,106.44
2018-07-04,497444,491525,101.2,260209,250336,103.94
2018-07-05,298062,328180,90.82,297705,324387,91.77
2018-07-06,400546,420036,95.36,333002,370008,90.0
2018-07-09,369038,363256,101.59,370867,364886,101.64
2018-07-10,349072,296639,117.68,395978,375395,105.48
2018-07-11,491915,504339,97.54,275587,283958,97.05
2018-07-12,352691,294975,119.57,351984,318308,110.58
2018-07-13,348801,298867,116.71,383357,322873,118.73
2018-07-16,260741,251266,103.77,402868,350903,114.81
2018-07-17,288474,318167,90.67,411698,365847,112.53
2018-07-18,595314,537019,110.86,168877,149970,112.61
2018-07-19,243706,216787,112.42,231545,192116,120.52
2018-07-20,428538,348327,123.03,284838,215809,131.99
2018-07-23,329242,291919,112.79,309683,237597,130.34
2018-07-24,310787,238781,130.16,341511,253316,134.82
2018-07-25,386587,380600,101.57,217809,177421,122.76
2018-07-26,212929,198566,107.23,271293,214750,126.33
2018-07-27,291755,213518,136.64,321517,222959,144.2
2018-07-30,297789,268721,110.82,346328,264580,130.9
2018-07-31,320700,279594,114.7,370311,271355,136.47
2018-08-01,407914,338698,120.44,283452,203625,139.2
2018-08-02,388690,380259,102.22,322551,304102,106.07
2018-08-03,287444,268693,106.98,362618,321577,112.76
2018-08-06,344418,321218,107.22,400041,331305,120.75
2018-08-07,287719,295147,97.48,413554,355723,116.26
2018-08-08,533884,436510,122.31,333580,248412,134.28
2018-08-09,255626,225878,113.17,365641,289735,126.2
2018-08-10,244236,246699,99.0,390201,315490,123.68
2018-08-13,692759,580985,119.24,393800,396615,99.29
2018-08-14,475774,398121,119.5,418792,407098,102.87
2018-08-15,717135,689989,103.93,177076,168991,104.78
2018-08-16,382012,333738,114.46,257159,239897,107.2
2018-08-17,292959,282855,103.57,283998,273350,103.9
2018-08-20,320473,295764,108.35,313192,298389,104.96
2018-08-21,373294,329684,113.23,352739,307380,114.76
2018-08-22,536115,439618,121.95,231698,206771,112.06
2018-08-23,281112,264574,106.25,286156,250851,114.07
2018-08-24,266529,312415,85.31,302561,286626,105.56
2018-08-27,325678,314918,103.42,348199,277472,125.49
2018-08-28,360443,324623,111.03,385804,293352,131.52
2018-08-29,556659,529315,105.17,291359,215952,134.92
2018-08-30,367397,386534,95.05,358067,272456,131.42
2018-08-31,292878,287189,101.98,380332,301435,126.17
2018-09-03,337123,375731,89.72,407104,356878,114.07
2018-09-04,304515,308410,98.74,443638,358976,123.58
2018-09-05,548571,526695,104.15,338245,254773,132.76
2018-09-06,374793,316167,118.54,386971,312407,123.87
2018-09-07,433961,388920,111.58,400767,348406,115.03
2018-09-10,537546,520800,103.22,427085,426146,100.22
2018-09-11,431404,400710,107.66,446180,443996,100.49
2018-09-12,638077,609968,104.61,354363,318432,111.28
2018-09-13,269620,280701,96.05,392796,365076,107.59
2018-09-14,434710,363113,119.72,433377,348210,124.46
2018-09-17,277409,278956,99.45,450686,385091,117.03
2018-09-18,367697,341033,107.82,465057,417865,111.29
2018-09-19,467879,430850,108.59,157299,136197,115.49
2018-09-20,258048,262449,98.32,228222,210502,108.42
2018-09-21,325895,345843,94.23,280817,220584,127.31
2018-09-25,315784,271294,116.4,313970,258434,121.49
2018-09-26,394179,395360,99.7,213258,187417,113.79
2018-09-27,244121,293782,83.1,276523,245712,112.54
2018-09-28,318827,330748,96.4,303951,297638,102.12
2018-10-01,242712,213987,113.42,348419,315496,110.44
2018-10-02,367923,447870,82.15,345438,376457,91.76
2018-10-03,565629,531605,106.4,264940,241220,109.83
2018-10-04,356708,408270,87.37,299528,345936,86.58
2018-10-05,710576,700644,101.42,331261,442389,74.88
2018-10-08,476469,515623,92.41,372583,498265,74.78
2018-10-09,385515,434385,88.75,407133,521308,78.1
2018-10-11,892977,973420,91.74,293807,406682,72.24
2018-10-12,459635,523711,87.77,354578,453753,78.14
2018-10-15,318487,359272,88.65,384240,508159,75.61
2018-10-16,507183,493873,102.7,429137,527919,81.29
2018-10-17,665750,731846,90.97,170248,171022,99.55
2018-10-18,275847,258784,106.59,221909,229132,96.85
2018-10-19,380333,379960,100.1,254874,270174,94.34
2018-10-22,374322,409955,91.31,289993,300809,96.4
2018-10-23,437197,512058,85.38,312533,361110,86.55
2018-10-24,834657,889568,93.83,225478,239590,94.11
2018-10-25,366375,430070,85.19,261215,318105,82.12
2018-10-26,389312,445175,87.45,292621,365926,79.97
2018-10-29,356944,361747,98.67,323273,391240,82.63
2018-10-30,382411,376908,101.46,353448,408778,86.46
2018-10-31,667241,650748,102.53,266155,274624,96.92
2018-11-01,232133,284783,81.51,309860,314073,98.66
2018-11-02,297886,315471,94.43,345203,323968,106.55
2018-11-05,325712,344326,94.59,367854,355243,103.55
2018-11-06,280484,293215,95.66,397757,382758,103.92
2018-11-07,537806,495435,108.55,312190,287999,108.4
2018-11-08,286471,285737,100.26,358404,335654,106.78
2018-11-09,295023,336996,87.54,379768,380467,99.82
2018-11-12,332784,285297,116.64,419526,400799,104.67
2018-11-13,556447,526723,105.64,434737,437776,99.31
2018-11-14,499651,442922,112.81,351117,321971,109.05
2018-11-15,336484,290558,115.81,402435,351437,114.51
2018-11-16,307950,340972,90.32,423610,382042,110.88
2018-11-19,259623,217375,119.44,445526,399081,111.64
2018-11-20,379310,411934,92.08,453747,436557,103.94
2018-11-21,582418,543829,107.1,187310,145613,128.64
2018-11-22,153456,165239,92.87,221874,184781,120.07
2018-11-23,241778,229554,105.33,257918,224590,114.84
2018-11-26,392994,319830,122.88,307582,239932,128.2
2018-11-27,381654,415307,91.9,331715,277390,119.58
2018-11-28,539872,554883,97.29,232028,188538,123.07
2018-11-29,261528,248920,105.07,284037,224072,126.76
2018-11-30,210004,212243,98.95,306519,254892,120.25
2018-12-03,501689,394738,127.09,388661,261958,148.37
2018-12-04,333470,354767,94.0,395458,306596,128.98
2018-12-05,653236,610524,107.0,270525,250008,108.21
2018-12-06,351908,438525,80.25,305624,336395,90.85
2018-12-07,338307,296936,113.93,349390,364909,95.75
2018-12-10,351618,344504,102.06,391010,398875,98.03
2018-12-11,385131,352858,109.15,416863,418610,99.58
2018-12-12,612142,546594,111.99,333792,282532,118.14
2018-12-13,258937,246209,105.17,369144,313409,117.78
2018-12-14,340920,361650,94.27,384248,352887,108.89
2018-12-17,370319,304215,121.73,414806,369299,112.32
2018-12-18,421414,372635,113.09,412653,408239,101.08
2018-12-19,405509,396640,102.24,156361,131214,119.16
2018-12-20,241537,260867,92.59,217617,203199,107.1
2018-12-21,289187,281482,102.74,253141,235327,107.57
2018-12-22,134744,150249,89.68,263623,251025,105.02
2018-12-24,174361,143780,121.27,285955,265517,107.7
2018-12-25,402110,375081,107.21,316065,333603,94.74
2018-12-26,449709,416846,107.88,227951,189106,120.54
2018-12-27,334268,279059,119.78,287230,224380,128.01
2018-12-28,293161,223583,131.12,322549,243371,132.53
2019-01-02,626248,625443,100.13,244937,227073,107.87
2019-01-03,275171,335939,81.91,289911,295184,98.21
2019-01-04,373572,380509,98.18,319965,347266,92.14
2019-01-07,458639,402737,113.88,380999,350077,108.83
2019-01-08,355426,305377,116.39,404939,374369,108.17
2019-01-09,742602,643675,115.37,306879,254085,120.78
2019-01-10,221789,193870,114.4,347640,290775,119.56
2019-01-11,322258,294228,109.53,397940,310536,128.15
2019-01-14,258342,271574,95.13,412473,344195,119.84
2019-01-15,457911,412182,111.09,457890,352941,129.74
2019-01-16,414776,442013,93.84,192499,140478,137.03
2019-01-17,261910,268079,97.7,257841,202796,127.14
2019-01-18,285923,255087,112.09,309505,233416,132.6
2019-01-21,357486,289627,123.43,360360,262512,137.27
2019-01-22,250054,224008,111.63,380487,284641,133.67
2019-01-23,407597,380456,107.13,267288,202865,131.76
2019-01-24,214728,193008,111.25,310332,240258,129.17
2019-01-25,349917,293138,119.37,385921,259892,148.49
2019-01-28,277848,222504,124.87,422289,278266,151.76
2019-01-29,369372,351895,104.97,414479,316299,131.04
2019-01-30,386317,381256,101.33,302467,216969,139.41
2019-02-11,361119,339656,106.32,315563,226336,139.42
2019-02-12,321070,224867,142.78,385370,266477,144.62
2019-02-13,416426,447385,93.08,352991,262450,134.5
2019-02-14,239186,209072,114.4,395063,301321,131.11
2019-02-15,265244,240089,110.48,432721,319449,135.46
2019-02-18,370840,271089,136.8,484076,334364,144.78
2019-02-19,253181,192417,131.58,517403,350740,147.52
2019-02-20,549364,548115,100.23,235828,159627,147.74
2019-02-21,283035,235371,120.25,305890,201733,151.63
2019-02-22,237174,208884,113.54,342771,239480,143.13
2019-02-25,370776,320972,115.52,390679,264243,147.85
2019-02-26,352775,306580,115.07,419910,284910,147.38
2019-02-27,378701,338339,111.93,306333,212927,143.87
2019-03-04,301564,318825,94.59,369689,297329,124.34
2019-03-05,292032,306537,95.27,403699,324591,124.37
2019-03-06,425517,354517,120.03,344728,238090,144.79
2019-03-07,302964,274571,110.34,417223,305793,136.44
2019-03-08,384167,386961,99.28,439483,345739,127.11
2019-03-11,299900,240295,124.8,471797,366497,128.73
2019-03-12,494241,407671,121.24,516602,361164,143.04
2019-03-13,464939,441414,105.33,381006,288852,131.9
2019-03-14,255627,215987,118.35,434930,327160,132.94
2019-03-15,371890,288733,128.8,485863,341942,142.09
2019-03-18,341575,302218,113.02,518608,371942,139.43
2019-03-19,343006,270350,126.87,549977,381191,144.28
2019-03-20,430694,467009,92.22,209361,146105,143.29
2019-03-21,289526,239008,121.14,288432,192749,149.64
2019-03-22,352478,315380,111.76,326264,235218,138.71
2019-03-25,429500,394829,108.78,346545,312168,111.01
2019-03-26,377756,320347,117.92,382006,311409,122.67
2019-03-27,478166,448172,106.69,271804,189882,143.14
2019-03-28,256503,241737,106.11,332076,252822,131.35
2019-03-29,437855,371251,117.94,408518,272674,149.82
2019-04-01,470613,430518,109.31,461264,299943,153.78
2019-04-02,339370,265532,127.81,507692,321860,157.74
2019-04-03,424005,405045,104.68,373868,211393,176.86
2019-04-08,377032,273723,137.74,474819,260222,182.47
2019-04-09,329009,222962,147.56,522223,271534,192.32
2019-04-10,455377,399115,114.1,438239,213035,205.71
2019-04-11,325983,275552,118.3,494090,276057,178.98
2019-04-12,247634,203081,121.94,525599,298962,175.81
2019-04-15,309888,239837,129.21,547540,304030,180.09
2019-04-16,390846,336637,116.1,576086,310825,185.34
2019-04-17,528968,567713,93.18,221443,140352,157.78
2019-04-18,380580,323191,117.76,309772,208046,148.9
2019-04-19,335388,297562,112.71,353234,258103,136.86
2019-04-22,240714,214269,112.34,379612,284117,133.61
2019-04-23,381135,326391,116.77,409450,289257,141.55
2019-04-24,460236,461757,99.67,266439,198929,133.94
2019-04-25,242565,199517,121.58,328044,235176,139.49
2019-04-26,373233,330371,112.97,360095,299774,120.12
2019-04-29,287642,234568,122.63,412535,321573,128.29
2019-04-30,309252,282764,109.37,427739,335716,127.41
2019-05-02,508866,462123,110.11,328796,225967,145.51
2019-05-03,407065,350309,116.2,418256,272151,153.69
2019-05-06,631988,514823,122.76,437574,363239,120.46
2019-05-07,489312,389296,125.69,504096,374352,134.66
2019-05-08,723596,599266,120.75,361344,255351,141.51
2019-05-09,420053,416425,100.87,396596,331862,119.51
2019-05-10,611413,545600,112.06,454741,375590,121.07
2019-05-13,465550,552753,84.22,501475,453194,110.65
2019-05-14,679307,667150,101.82,534564,485482,110.11
2019-05-15,598257,599532,99.79,221977,165783,133.9
2019-05-16,338578,307945,109.95,299521,237369,126.18
2019-05-17,420518,444734,94.55,347914,311741,111.6
2019-05-20,392414,349446,112.3,386191,341281,113.16
2019-05-21,442535,420387,105.27,415024,350781,118.31
2019-05-22,474476,465997,101.82,276350,238699,115.77
2019-05-23,362568,343037,105.69,336579,322453,104.38
2019-05-24,374596,295730,126.67,390122,355023,109.89
2019-05-27,272852,261765,104.24,413713,386049,107.17
2019-05-28,245907,236890,103.81,430217,403773,106.55
2019-05-29,486269,457313,106.33,304853,288080,105.82
2019-05-30,303745,273897,110.9,374375,342190,109.41
2019-05-31,405682,355582,114.09,435402,373209,116.66
2019-06-03,398708,362749,109.91,467725,405929,115.22
2019-06-04,355083,390257,90.99,482085,440147,109.53
2019-06-05,471975,510693,92.42,334738,309654,108.1
2019-06-06,273240,309275,88.35,387142,380700,101.69
2019-06-10,410113,366925,111.77,444019,402493,110.32
2019-06-11,407895,361503,112.83,484471,422034,114.79
2019-06-12,412139,474341,86.89,361513,310923,116.27
2019-06-13,257372,269923,95.35,406516,375355,108.3
2019-06-14,184334,184483,99.92,424914,399587,106.34
2019-06-17,299449,294913,101.54,443581,410163,108.15
2019-06-18,212120,214237,99.01,456561,411296,111.01
2019-06-19,653242,687222,95.06,161714,127530,126.8
2019-06-20,185474,174954,106.01,213468,183142,116.56
2019-06-21,265775,327140,81.24,257993,233355,110.56
2019-06-24,262936,246199,106.8,289191,254704,113.54
2019-06-25,297193,315234,94.28,292504,290986,100.52
2019-06-26,422661,381553,110.77,183433,191518,95.78
2019-06-27,255692,231689,110.36,257778,237119,108.71
2019-06-28,187866,209065,89.86,279867,280776,99.68
2019-07-01,366090,318222,115.04,358225,298630,119.96
2019-07-02,225839,222503,101.5,375376,314462,119.37
2019-07-03,492262,389874,126.26,242080,229947,105.28
2019-07-04,215547,188955,114.07,301609,264896,113.86
2019-07-05,171450,156524,109.54,324420,284907,113.87
2019-07-08,321267,290470,110.6,350561,319440,109.74
2019-07-09,243380,265167,91.78,367755,357977,102.73
2019-07-10,483424,445931,108.41,293741,254785,115.29
2019-07-11,312078,279461,111.67,362823,286955,126.44
2019-07-12,222781,195458,113.98,386356,314275,122.94
2019-07-15,379533,378288,100.33,420481,325230,129.29
2019-07-16,284432,271434,104.79,453221,336203,134.81
2019-07-17,461680,530270,87.07,140822,133244,105.69
2019-07-18,172239,167410,102.88,200566,200691,99.94
2019-07-19,319428,275026,116.14,268282,237560,112.93
2019-07-22,272723,223583,121.98,315634,252144,125.18
2019-07-23,282552,259841,108.74,339159,265189,127.89
2019-07-24,362000,359495,100.7,211788,182012,116.36
2019-07-25,196786,183478,107.25,265539,225785,117.61
2019-07-26,160922,149132,107.91,298913,256164,116.69
2019-07-29,203964,198041,102.99,334287,278730,119.93
2019-07-30,296188,309159,95.8,349200,306599,113.89
2019-07-31,549920,526769,104.39,250450,221101,113.27
2019-08-01,306247,287559,106.5,316074,290326,108.87
2019-08-02,539398,503467,107.14,356636,373288,95.54
2019-08-05,469078,446309,105.1,394293,429506,91.8
2019-08-06,895460,743121,120.5,423324,453717,93.3
2019-08-07,609887,605765,100.68,282795,275381,102.69
2019-08-08,442927,397075,111.55,370430,341250,108.55
2019-08-12,338186,273523,123.64,408285,365310,111.76
2019-08-13,420863,389215,108.13,420483,405395,103.72
2019-08-14,698857,657126,106.35,322638,288150,111.97
2019-08-15,426052,355025,120.01,384569,366579,104.91
2019-08-16,462891,457113,101.26,427162,382700,111.62
2019-08-19,380195,317057,119.91,460397,389674,118.15
2019-08-20,358149,342550,104.55,474787,398618,119.11
2019-08-21,421268,391552,107.59,185392,154094,120.31
2019-08-22,268984,258396,104.1,258627,224791,115.05
2019-08-23,215734,199385,108.2,291624,250089,116.61
2019-08-26,514712,455962,112.88,335393,341276,98.28
2019-08-27,358166,308162,116.23,377747,358906,105.25
2019-08-28,461419,371970,124.05,255129,214853,118.75
2019-08-29,228098,194474,117.29,319256,261548,122.06
2019-08-30,368177,311557,118.17,380720,294673,129.2
2019-09-02,343629,270459,127.05,424380,315400,134.55
2019-09-03,372774,308144,120.97,444884,349215,127.4
2019-09-04,492852,470537,104.74,325029,244786,132.78
2019-09-05,351211,331962,105.8,401962,291431,137.93
2019-09-06,276767,223038,124.09,450846,309025,145.89
2019-09-09,258731,229016,112.98,472849,331834,142.5
2019-09-10,274042,263309,104.08,489907,349842,140.04
2019-09-11,463669,459892,100.82,374395,247614,151.2
2019-09-12,300543,297292,101.09,429926,310875,138.3
2019-09-16,332160,279976,118.64,490550,334071,146.84
2019-09-17,306305,245592,124.72,524279,359624,145.79
2019-09-18,434081,523029,82.99,196826,141099,139.49
2019-09-19,253951,208867,121.59,275490,213108,129.27
2019-09-20,184281,148891,123.77,322085,235207,136.94
2019-09-23,234192,194474,120.42,366109,265873,137.7
2019-09-24,303838,262029,115.96,383665,276621,138.7
2019-09-25,466203,407718,114.34,285350,194944,146.38
2019-09-26,267945,230692,116.15,344751,252054,136.78
2019-09-27,278763,234959,118.64,374810,283532,132.19
2019-10-01,417636,343975,121.41,430705,277298,155.32
2019-10-02,400731,347674,115.26,313396,215529,145.41
2019-10-03,382169,299051,127.79,378993,288002,131.59
2019-10-04,335115,283407,118.25,419249,314117,133.47
2019-10-07,301454,215759,139.72,459393,324617,141.52
2019-10-08,401745,332977,120.65,500795,301218,166.26
2019-10-09,543357,473204,114.83,341266,235952,144.63
2019-10-14,400678,292890,136.8,452358,264587,170.97
2019-10-15,337463,246469,136.92,509683,277583,183.61
2019-10-16,542110,474464,114.26,215466,142821,150.86
2019-10-17,200553,139819,143.44,291458,187266,155.64
2019-10-18,345735,319864,108.09,344881,239890,143.77
2019-10-21,193929,151384,128.1,367822,254201,144.7
2019-10-22,369620,294230,125.62,418711,255331,163.99
2019-10-23,419941,373056,112.57,285559,183303,155.79
2019-10-24,264458,192846,137.13,370126,229786,161.07
2019-10-25,244003,237422,102.77,404294,249934,161.76
2019-10-28,210584,166117,126.77,431251,269998,159.72
2019-10-29,326575,287732,113.5,450530,287833,156.52
2019-10-30,343824,364647,94.29,330106,209531,157.55
2019-10-31,267128,216622,123.32,398378,270600,147.22
2019-11-01,256210,185580,138.06,433958,282002,153.88
2019-11-04,564194,515732,109.4,529845,291881,181.53
2019-11-05,491714,473909,103.76,559874,317366,176.41
2019-11-06,571240,645210,88.54,408383,234066,174.47
2019-11-07,320024,271761,117.76,474904,301156,157.69
2019-11-08,340204,338297,100.56,502111,340022,147.67
2019-11-11,482724,447062,107.98,497451,411290,120.95
2019-11-12,431633,338645,127.46,544872,406530,134.03
2019-11-13,536428,511577,104.86,403099,290607,138.71
2019-11-14,324895,270958,119.91,456076,331033,137.77
2019-11-15,348287,320177,108.78,504278,343574,146.77
2019-11-18,325102,235946,137.79,534102,344345,155.11
2019-11-19,507447,413017,122.86,582344,356321,163.43
2019-11-20,478926,511752,93.59,191305,143068,133.72
2019-11-21,358393,309008,115.98,285608,219099,130.36
2019-11-22,232776,183370,126.94,322900,249527,129.4
2019-11-25,306648,266757,114.95,360281,275598,130.73
2019-11-26,363074,311367,116.61,398990,283270,140.85
2019-11-27,302303,298055,101.43,245069,179168,136.78
2019-11-28,253680,218603,116.05,313282,243477,128.67
2019-11-29,409349,395428,103.52,347032,303612,114.3
2019-12-02,386275,305568,126.41,389236,337748,115.24
2019-12-03,481097,365117,131.77,412544,350928,117.56
2019-12-04,616689,501783,122.9,287727,230384,124.89
2019-12-05,357434,290478,123.05,374708,277797,134.89
2019-12-06,349413,322128,108.47,419043,307053,136.47
2019-12-09,378989,293363,129.19,461539,318340,144.98
2019-12-10,292587,277702,105.36,456440,342218,133.38
2019-12-11,642022,589258,108.95,340160,237651,143.13
2019-12-12,474987,507420,93.61,440921,265204,166.26
2019-12-13,450352,481204,93.59,496663,298338,166.48
2019-12-16,397388,320784,123.88,534111,322369,165.68
2019-12-17,539637,451874,119.42,567165,296105,191.54
2019-12-18,441142,510157,86.47,149696,111483,134.28
2019-12-19,268214,283020,94.77,220305,195888,112.46
2019-12-20,368385,365727,100.73,264473,248527,106.42
2019-12-23,241297,259021,93.16,298528,274585,108.72
2019-12-24,222866,253288,87.99,312139,296739,105.19
2019-12-25,312560,349989,89.31,197814,161309,122.63
2019-12-26,139508,129317,107.88,251816,203696,123.62
2019-12-27,243700,236435,103.07,306369,221258,138.47
2019-12-30,247431,224874,110.03,328981,253301,129.88
2019-12-31,308635,302705,101.96,319829,282595,113.18
2020-01-02,552593,511342,108.07,237327,186703,127.11
2020-01-03,545847,505839,107.91,320519,262908,121.91
2020-01-06,413544,433142,95.48,346585,349763,99.09
2020-01-07,690967,739052,93.49,361652,405093,89.28
2020-01-08,904816,783899,115.43,258912,244537,105.88
2020-01-09,328871,328786,100.03,322439,286276,112.63
2020-01-10,309883,293393,105.62,385311,317790,121.25
2020-01-13,491154,383284,128.14,453623,323795,140.1
2020-01-14,411870,367042,112.21,506310,334734,151.26
2020-01-15,575697,543742,105.88,188760,119829,157.52
2020-01-16,212554,176779,120.24,248833,163652,152.05
2020-01-17,219122,197578,110.9,287146,192666,149.04
2020-01-20,216646,167584,129.28,321685,212915,151.09
2020-01-30,815341,862408,94.54,228523,215353,106.12
2020-01-31,380528,448299,84.88,314175,286491,109.66
2020-02-03,638723,598005,106.81,360434,370142,97.38
2020-02-04,565363,536058,105.47,420618,356092,118.12
2020-02-05,827144,818048,101.11,310689,241968,128.4
2020-02-06,418677,382226,109.54,398362,277864,143.37
2020-02-07,362062,325295,111.3,435314,328901,132.35
2020-02-10,539445,486241,110.94,476745,367483,129.73
2020-02-11,448976,364259,123.26,505735,379732,133.18
2020-02-12,656366,569082,115.34,396846,256246,154.87
2020-02-13,328202,294257,111.54,475097,293571,161.83
2020-02-14,373738,303634,123.09,498267,319230,156.08
2020-02-17,369312,343192,107.61,511537,353810,144.58
