DATE,VALUE,RELEASE_DATE
2008-02-01,1.0602796518591306,2008-03-31
2008-03-01,0.5734255066876637,2008-04-30
2008-04-01,-0.7427676334748168,2008-05-31
2008-05-01,-1.4383086308347726,2008-06-30
2008-06-01,-1.724935725071297,2008-07-31
2008-07-01,-1.9585471027037116,2008-08-31
2008-08-01,-3.6832804845724265,2008-09-30
2008-09-01,-8.130031129578574,2008-10-31
2008-10-01,-6.954317961916079,2008-11-30
2008-11-01,-8.669827230747885,2008-12-31
2008-12-01,-11.276192783181926,2009-01-31
2009-01-01,-13.374567704176643,2009-02-28
2009-02-01,-13.562730377303279,2009-03-31
2009-03-01,-14.656035046526473,2009-04-30
2009-04-01,-14.81395936696125,2009-05-31
2009-05-01,-15.160361194166793,2009-06-30
2009-06-01,-15.282480369076357,2009-07-31
2009-07-01,-14.018720654921957,2009-08-31
2009-08-01,-11.689299172061052,2009-09-30
2009-09-01,-6.805879122929537,2009-10-31
2009-10-01,-7.474512230012276,2009-11-30
2009-11-01,-5.83001235670767,2009-12-31
2009-12-01,-2.704223119324234,2010-01-31
2010-01-01,0.87230439200634,2010-02-28
2010-02-01,1.8708182344855606,2010-03-31
2010-03-01,4.200672107537207,2010-04-30
2010-04-01,5.4282103558062955,2010-05-31
2010-05-01,7.942609605426321,2010-06-30
2010-06-01,8.551328146848402,2010-07-31
2010-07-01,7.747013804699288,2010-08-31
2010-08-01,6.968742858593813,2010-09-30
2010-09-01,6.346682104150392,2010-10-31
2010-10-01,5.760258506490601,2010-11-30
2010-11-01,5.39500875348351,2010-12-31
2010-12-01,5.996200467756596,2011-01-31
2011-01-01,4.632504538708293,2011-02-28
2011-02-01,3.827364378514675,2011-03-31
2011-03-01,4.193025357503588,2011-04-30
2011-04-01,3.505332834432129,2011-05-31
2011-05-01,2.248891889831528,2011-06-30
2011-06-01,2.3688810428642126,2011-07-31
2011-07-01,2.484132372991299,2011-08-31
2011-08-01,2.7992943499441703,2011-09-30
2011-09-01,2.4123837996766095,2011-10-31
2011-10-01,3.4162150732061747,2011-11-30
2011-11-01,3.3174195787687877,2011-12-31
2011-12-01,2.859134467066693,2012-01-31
2012-01-01,3.6910016324102957,2012-02-29
2012-02-01,4.439148449901298,2012-03-31
2012-03-01,2.8286925428470555,2012-04-30
2012-04-01,3.9040297563633697,2012-05-31
2012-05-01,4.0185114178595605,2012-06-30
2012-06-01,3.7105509068513065,2012-07-31
2012-07-01,3.418677881567289,2012-08-31
2012-08-01,2.285596731143258,2012-09-30
2012-09-01,2.2951570495009843,2012-10-31
2012-10-01,1.9430024786973865,2012-11-30
2012-11-01,2.3257536633332743,2012-12-31
2012-12-01,2.0268355938483085,2013-01-31
2013-01-01,1.4467904237824847,2013-02-28
2013-02-01,1.5945538776370727,2013-03-31
2013-03-01,2.534732272069462,2013-04-30
2013-04-01,1.7145631127746475,2013-05-31
2013-05-01,1.5594777439077445,2013-06-30
2013-06-01,1.7645800035426706,2013-07-31
2013-07-01,1.2364196654177428,2013-08-31
2013-08-01,2.2593571227008002,2013-09-30
2013-09-01,2.854766330187619,2013-10-31
2013-10-01,2.4178437626957816,2013-11-30
2013-11-01,2.281966236973343,2013-12-31
2013-12-01,2.245344069429267,2014-01-31
2014-01-01,1.8566277042981971,2014-02-28
2014-02-01,2.148610089064018,2014-03-31
2014-03-01,2.724108069090181,2014-04-30
2014-04-01,2.9123215934373725,2014-05-31
2014-05-01,3.226027611336124,2014-06-30
2014-06-01,3.365841732090935,2014-07-31
2014-07-01,3.9177888079901857,2014-08-31
2014-08-01,3.1253041765382905,2014-09-30
2014-09-01,2.89843352202952,2014-10-31
2014-10-01,2.9919466037849007,2014-11-30
2014-11-01,3.3861066751199598,2014-12-31
2014-12-01,3.170492700276073,2015-01-31
2015-01-01,2.7262407410550527,2015-02-28
2015-02-01,1.30473816054415,2015-03-31
2015-03-01,-0.0027479483621140055,2015-04-30
2015-04-01,-0.6444572558062966,2015-05-31
2015-05-01,-1.460487812501221,2015-06-30
2015-06-01,-2.106390227283794,2015-07-31
2015-07-01,-1.6903126553953207,2015-08-31
2015-08-01,-1.6854337113987983,2015-09-30
2015-09-01,-2.2407414414912674,2015-10-31
2015-10-01,-2.72506606749946,2015-11-30
2015-11-01,-4.033068306068888,2015-12-31
2015-12-01,-4.496144811599123,2016-01-31
2016-01-01,-3.236256019749162,2016-02-29
2016-02-01,-3.1193297695960798,2016-03-31
2016-03-01,-3.515311400177057,2016-04-30
2016-04-01,-2.6579036961380753,2016-05-31
2016-05-01,-2.448153056399993,2016-06-30
2016-06-01,-1.678117946525337,2016-07-31
2016-07-01,-2.196738284260069,2016-08-31
2016-08-01,-2.164263084601936,2016-09-30
2016-09-01,-1.9939516469206886,2016-10-31
2016-10-01,-1.5023811304759715,2016-11-30
2016-11-01,-1.1862778785850958,2016-12-31
2016-12-01,-0.02049641716570516,2017-01-31
2017-01-01,-0.8031281419274894,2017-02-28
2017-02-01,-0.6864591168616152,2017-03-31
2017-03-01,0.7162067590550603,2017-04-30
2017-04-01,1.3993011097695573,2017-05-31
2017-05-01,1.7500792534729248,2017-06-30
2017-06-01,1.4803308546539107,2017-07-31
2017-07-01,1.1187969195710634,2017-08-31
2017-08-01,0.8523014668689877,2017-09-30
2017-09-01,1.0630336308315114,2017-10-31
2017-10-01,2.2919955326540453,2017-11-30
2017-11-01,2.9662701539719283,2017-12-31
2017-12-01,2.467143465957866,2018-01-31
2018-01-01,2.7352874765469437,2018-02-28
2018-02-01,3.3994953469032696,2018-03-31
2018-03-01,3.224806264183644,2018-04-30
2018-04-01,3.309758614070435,2018-05-31
2018-05-01,2.2584201444366236,2018-06-30
2018-06-01,2.8410387544831828,2018-07-31
2018-07-01,3.2543243815604805,2018-08-31
2018-08-01,4.353587280888749,2018-09-30
2018-09-01,4.313826088176409,2018-10-31
2018-10-01,2.930867401734427,2018-11-30
2018-11-01,2.7666629800210174,2018-12-31
2018-12-01,2.5912536810940523,2019-01-31
2019-01-01,1.9116422323518512,2019-02-28
2019-02-01,1.1096417703535089,2019-03-31
2019-03-01,0.6545559146318158,2019-04-30
2019-04-01,-1.0247462328067725,2019-05-31
2019-05-01,-0.010156011968476264,2019-06-30
2019-06-01,-0.7369328862962377,2019-07-31
2019-07-01,-1.3774541767684445,2019-08-31
2019-08-01,-1.3396749291328724,2019-09-30
2019-09-01,-1.7374573008364869,2019-10-31
2019-10-01,-2.4594751580988228,2019-11-30
2019-11-01,-2.047601522464615,2019-12-31
