date,post_widening,stock_count,event_count,control_count,event_rate,upper_event_count,lower_event_count,touch_count,near_close_count,event_next_abs_mean,control_next_abs_mean,diff_next_abs,event_side_adj_next_ret_mean,event_continuation_share
2015-12-04,1,863,16,847,0.01853997682502897,14,2,15,11,0.04382500742472045,0.01247139033921841,0.03135361708550204,0.033420298871442246,0.6875
2015-12-07,1,863,19,844,0.0220162224797219,19,0,19,17,0.04277541138870318,0.015483414333115208,0.02729199705558797,-0.017405363788238353,0.3157894736842105
2015-12-08,1,864,7,857,0.008101851851851851,5,2,5,5,0.05878723404726181,0.02199497149471386,0.03679226255254796,-0.01625991187652893,0.2857142857142857
2015-12-09,1,861,15,846,0.017421602787456445,1,14,13,13,0.02938216500852026,0.013816433964088578,0.015565731044431682,-0.01603770386758924,0.06666666666666667
2015-12-10,1,861,11,850,0.012775842044134728,8,3,6,10,0.05073033848196784,0.02101636261994426,0.02971397586202358,-0.02151266283397184,0.45454545454545453
2015-12-11,1,861,21,840,0.024390243902439025,7,14,15,13,0.03341075032817826,0.016750900525100112,0.016659849803078147,0.02309894809196053,0.7142857142857143
2015-12-14,1,862,6,856,0.0069605568445475635,4,2,4,4,0.049010264201876236,0.014092780850829956,0.03491748335104628,-0.018654204973461493,0.16666666666666666
2015-12-15,1,861,12,849,0.013937282229965157,11,1,12,9,0.03784447017039581,0.014821416218245032,0.023023053952150777,0.0034992519557850554,0.4166666666666667
2015-12-16,1,866,20,846,0.023094688221709007,17,3,18,15,0.01643031362536577,0.014548371777123951,0.0018819418482418204,-0.0009580274484754422,0.45
2015-12-17,1,865,8,857,0.009248554913294798,7,1,8,6,0.025726650608287674,0.012973743861032424,0.01275290674725525,0.013124988676582766,0.375
2015-12-18,1,868,8,860,0.009216589861751152,6,2,5,8,0.06393015400384229,0.01331665849183258,0.05061349551200971,0.01519414292325276,0.5
2015-12-21,1,869,19,850,0.02186421173762946,18,1,18,17,0.026964343294543346,0.010811368258844427,0.01615297503569892,-0.006722607285785009,0.42105263157894735
2015-12-22,1,871,10,861,0.011481056257175661,8,2,9,7,0.04332387591289063,0.010714535593930338,0.03260934031896029,-0.003295548261463402,0.5
2015-12-23,1,868,11,857,0.012672811059907835,8,3,11,6,0.04073296302106754,0.011892474231129473,0.028840488789938067,0.014997126497549994,0.45454545454545453
2015-12-24,1,866,10,856,0.011547344110854504,10,0,9,8,0.03148512141008551,0.00988049701485422,0.02160462439523129,0.014399490899156219,0.5
2015-12-25,1,865,6,859,0.006936416184971098,6,0,6,6,0.056668507388885674,0.01115010936446024,0.045518398024425435,0.05135630996794809,0.8333333333333334
2015-12-28,1,865,8,857,0.009248554913294798,8,0,7,7,0.05800971477945566,0.010077673744803376,0.04793204103465228,2.3629480725772395e-05,0.375
2015-12-29,1,868,7,861,0.008064516129032258,4,3,6,4,0.035149610029003804,0.010281130073059518,0.024868479955944288,0.0023301723733219503,0.42857142857142855
