target_date,origin_date,step1,step2,step3,step4,step5,step6,step7,step8,step9,step10,step11,step12,step13,step14,step15,step16,step17,step18,step19,step20,step21,step22,step23,step24,step25,step26,step27,step28,step29,step30,step31,step32
2022-05-06,2022-05-05,-8.565288537194085,-8.729431613208016,-8.842249034379144,-8.881977786526122,-8.902762076120453,-8.960159035070884,-8.991173947580293,-9.047868371501506,-9.139665285580847,-9.111485400140657,-9.089265592205406,-9.068569102110569,-9.12958954571001,-9.161186312384721,-9.153773963031831,-9.203046374789048,-9.26795926286612,-9.227638298576462,-9.189479231859892,-9.226561277479327,-9.282500333735047,-9.313284520560508,-9.347381105130593,-9.362839586921801,-9.31568993487685,-9.276146792123104,-9.323129951847159,-9.366031929452149,-9.37248807760507,-9.402151725925094,-9.408014063052924,-9.386317715316565
2022-05-09,2022-05-06,-8.605858716663205,-8.691500191944822,-8.755119243201854,-8.77934845136899,-8.825572916710478,-8.890472780468425,-8.952890847969089,-9.01341872962038,-9.000596115624411,-8.979686835873748,-8.957986791805338,-9.007063706763406,-9.069360916609797,-9.078903516561567,-9.113945479417069,-9.166614896855682,-9.144241323877099,-9.09711617296228,-9.116918508053558,-9.193617840432296,-9.232713445636515,-9.250744711067934,-9.261166611405798,-9.228111590181676,-9.18578306014034,-9.212482431580172,-9.278318506792536,-9.290337539290132,-9.292647975415136,-9.30354250928858,-9.290568666492941,-9.275972475127858
2022-05-10,2022-05-09,-8.76936955330737,-8.800460994003545,-8.826154997754115,-8.893901723697086,-8.952326903768952,-9.004124792868868,-9.089924930629318,-9.099594635244868,-9.077974549110316,-9.04525955324349,-9.116193410256887,-9.152612893277128,-9.16393370168193,-9.214533888434426,-9.275184996889234,-9.21503959737993,-9.181178300005957,-9.209432232986252,-9.262884224838965,-9.286318962890919,-9.330343398998416,-9.351143791678751,-9.300418415634134,-9.26320274266466,-9.31529759889876,-9.344948002740429,-9.339903048626237,-9.36089551446006,-9.383823148699744,-9.351571876288807,-9.323996615732826,-9.320141552712172
2022-05-11,2022-05-10,-8.478887340552365,-8.554339804234477,-8.642911742568518,-8.727766158533294,-8.824709477959512,-8.910287363009239,-8.903959857232236,-8.888784133699758,-8.898496963074004,-8.951030507772332,-9.007056124284418,-9.027852871946154,-9.078535904503429,-9.13674227452842,-9.104218322994141,-9.072986395387591,-9.096130275576842,-9.152085355775592,-9.19076239475013,-9.211226244568351,-9.225134691303843,-9.18812696514016,-9.140072651106552,-9.191079144042227,-9.245039004301505,-9.248024179377898,-9.263824523286647,-9.274963738128992,-9.267381119398928,-9.248697175501276,-9.226688797133155,-9.245503467399429
2022-05-12,2022-05-11,-8.308765502804246,-8.472271350072933,-8.593311608755554,-8.676435152037744,-8.75844579842561,-8.796583298888208,-8.78298532213547,-8.799267344339224,-8.880503210385116,-8.92996782562293,-8.944530177509122,-8.995097456428853,-9.06952136735663,-9.046852348711564,-9.02164304022263,-9.054866636196806,-9.120444916267155,-9.143791990369817,-9.16353949696367,-9.193554420124821,-9.144452453112933,-9.109302209586726,-9.164543403136827,-9.217290776841859,-9.224937299494973,-9.239636327848224,-9.267034632615443,-9.23827706286072,-9.211359929348035,-9.219179295164105,-9.233963623650899,-9.23467665426596
2022-05-13,2022-05-12,-8.205183355846197,-8.344579525013,-8.471691634337557,-8.580050099508865,-8.603196949632508,-8.612223670822134,-8.63523230111559,-8.71063422934995,-8.783309851957085,-8.800710986363685,-8.870980435594666,-8.93267444367936,-8.925035802486502,-8.9163869801943,-8.94502257198393,-8.999959632949578,-9.042176548408134,-9.063983702477595,-9.068849334584904,-9.038690873957014,-9.019406896980144,-9.07065823584784,-9.100678896766608,-9.106850265142063,-9.13890431201251,-9.145983562008126,-9.135603140728836,-9.116507868130057,-9.109286617214677,-9.121526144224099,-9.129520697978679,-9.171351452158879
2022-05-16,2022-05-13,-8.813578909828873,-8.858926414527712,-8.934598801543503,-8.945413624590188,-8.920021022071165,-8.915189308145102,-8.974689638478885,-9.031096937965213,-9.033068127098558,-9.075999459690616,-9.149798492199107,-9.115177360201432,-9.084856819865019,-9.11339574754103,-9.175271701485903,-9.19813292934994,-9.215721732263077,-9.226260839545454,-9.184321789570738,-9.156516726637978,-9.210449097216344,-9.259948095567246,-9.253019835327725,-9.274559910564466,-9.29720824131814,-9.266997511070231,-9.24604528397309,-9.23925582704697,-9.25004690926457,-9.246804500280142,-9.27776954459901,-9.326308545058845
2022-05-17,2022-05-16,-8.920596504356668,-8.977620069686877,-8.975915758530222,-8.956086948873486,-8.9641465427652,-9.018282233916484,-9.069108539531044,-9.059491110204391,-9.116848987298871,-9.168491022016292,-9.147342951093425,-9.121584079191418,-9.152411235012286,-9.210613954396552,-9.240446642942914,-9.258741831498064,-9.274466171683828,-9.227297700061992,-9.197148475591451,-9.247016845382406,-9.303405939191807,-9.305003735275147,-9.329837283721591,-9.337735635347261,-9.332622771860922,-9.307731346958741,-9.298322888728617,-9.310949473851837,-9.318238198142657,-9.356773910005208,-9.387650264312633,-9.337795681295294
2022-05-18,2022-05-17,-9.11396875431456,-9.082911899709941,-9.055890457703574,-9.06422984366911,-9.123658015198677,-9.192545322678104,-9.180311735551003,-9.216949417356474,-9.272065984360307,-9.239867956519191,-9.219614931996539,-9.250047851884371,-9.313824453530005,-9.34733020989164,-9.371283996210677,-9.412694162506048,-9.358857669824676,-9.319303135224597,-9.363770805666237,-9.416051942235834,-9.422027069293614,-9.444180532313483,-9.465822987759537,-9.455192819040338,-9.453789771049788,-9.438560149107808,-9.444591844753017,-9.452019132256895,-9.478342918355183,-9.532028363106635,-9.476282610588916,-9.461391700065226
2022-05-19,2022-05-18,-8.767624333406351,-8.780089370494943,-8.79272345499546,-8.869666962776508,-8.938405498393621,-8.953601527986729,-9.010010264444789,-9.079975621321058,-9.048554126525959,-9.01898303452197,-9.06135108575282,-9.135168338719728,-9.17240653751228,-9.200767923430767,-9.234658422313975,-9.182084186196281,-9.152748778550826,-9.20898194419061,-9.249132878991535,-9.259020819850203,-9.2961810884873,-9.31586262631707,-9.287424151972978,-9.287693014516508,-9.288483468991604,-9.301905342489352,-9.285194900604354,-9.314052696703005,-9.36611452977335,-9.327053073977412,-9.302400139353965,-9.368903671781801
