Date,SPY,^VIX,AAPL,MSFT,NVDA,AMZN,META,GOOGL,BRK-B,JPM,XOM,UNH,JNJ,PG,HD,MA,V,BAC,WMT,KO,PEP,COST
2023-07-28,441.3301086425781,13.329999923706055,193.12257385253906,330.54876708984375,46.65910720825195,132.2100067138672,322.9456787109375,131.4147186279297,349.80999755859375,147.55026245117188,94.22327423095703,476.0448913574219,159.8511505126953,145.61181640625,307.1136169433594,386.6594543457031,230.42919921875,29.592243194580078,51.59088134765625,57.569881439208984,171.39698791503906,541.2048950195312
2023-07-31,442.1704406738281,13.630000114440918,193.73402404785156,328.1553955078125,46.63814163208008,133.67999267578125,316.1192626953125,131.55348205566406,351.9599914550781,148.53759765625,97.00942993164062,479.320068359375,153.48388671875,145.50942993164062,309.4028015136719,387.958251953125,232.364501953125,29.68501091003418,51.57475280761719,57.063106536865234,168.8302459716797,538.658935546875
2023-08-01,440.9051513671875,13.930000305175781,192.90560913085938,328.565673828125,46.41657257080078,131.69000244140625,320.1972351074219,130.39376831054688,352.260009765625,147.80413818359375,96.44859313964844,477.7771911621094,154.72987365722656,145.462890625,307.76239013671875,390.7034912109375,234.3682098388672,29.332500457763672,51.3327751159668,56.91567611694336,168.2538299560547,533.6631469726562
2023-08-02,434.7717590332031,16.09000015258789,189.91749572753906,319.9300231933594,44.18292999267578,128.2100067138672,311.8626708984375,127.25164794921875,351.19000244140625,146.1302947998047,95.2454605102539,477.8338928222656,155.66433715820312,145.77938842773438,304.4537048339844,383.7665710449219,232.19833374023438,28.93360710144043,51.36826705932617,57.09075164794922,169.5957794189453,530.6654663085938
2023-08-03,433.5259094238281,15.920000076293945,188.52700805664062,319.1094665527344,44.42844772338867,128.91000366210938,310.7513732910156,127.32100677490234,353.80999755859375,147.02362060546875,96.9009017944336,477.89068603515625,156.33314514160156,146.16107177734375,305.704833984375,386.7086486816406,233.37127685546875,29.1376953125,51.381168365478516,56.79589080810547,168.5240020751953,535.7958984375
2023-08-04,431.56512451171875,17.100000381469727,179.4739227294922,320.20355224609375,44.59312438964844,139.57000732421875,308.3105773925781,126.9840087890625,349.989990234375,146.71331787109375,97.1722640991211,475.87451171875,154.86727905273438,144.55984497070312,302.5352478027344,385.0752258300781,233.5960693359375,29.03565216064453,51.08435821533203,55.93898391723633,166.2544403076172,530.36767578125
2023-08-07,435.3319396972656,15.770000457763672,176.37733459472656,322.479736328125,45.32868957519531,142.22000122070312,314.0950927734375,130.37393188476562,362.5799865722656,147.4091796875,96.97325897216797,483.45660400390625,158.58688354492188,146.08660888671875,305.07464599609375,390.5068054199219,236.05917358398438,29.57369041442871,51.77800369262695,56.38125991821289,168.31687927246094,536.4876098632812
2023-08-08,433.4389343261719,15.989999771118164,177.31419372558594,318.5135192871094,44.57716369628906,139.94000244140625,310.2056579589844,130.2450714111328,363.7300109863281,146.58164978027344,97.45269775390625,478.83734130859375,158.66018676757812,146.244873046875,303.81414794921875,386.8857421875,233.8892822265625,29.007823944091797,51.82960891723633,56.132476806640625,166.1103515625,534.28759765625
2023-08-09,430.541259765625,15.960000038146973,175.7264404296875,314.7818908691406,42.47126388549805,137.85000610351562,302.83349609375,128.5203857421875,358.0199890136719,144.61634826660156,99.10812377929688,475.2876281738281,158.55938720703125,146.05868530273438,304.1848449707031,387.35809326171875,234.34866333007812,28.62748146057129,51.91349792480469,56.261478424072266,165.696044921875,537.72705078125
2023-08-10,430.69580078125,15.850000381469727,175.5094757080078,315.46563720703125,42.30558776855469,138.55999755859375,303.3594055175781,128.5500946044922,356.9800109863281,144.40005493164062,99.61470031738281,476.5844421386719,157.73487854003906,145.3325653076172,305.2878112792969,390.7724304199219,235.18106079101562,28.701696395874023,51.887596130371094,56.132476806640625,165.48892211914062,539.4467163085938
2023-08-11,430.44464111328125,14.84000015258789,175.56875610351562,313.59002685546875,40.77555847167969,138.41000366210938,299.2913513183594,128.4212646484375,358.3500061035156,145.23695373535156,101.16156768798828,480.8724365234375,159.27398681640625,146.1797332763672,306.87261962890625,388.64703369140625,235.06353759765625,29.026376724243164,52.19194793701172,56.36282730102539,165.75009155273438,540.8589477539062
2023-08-14,432.8207092285156,14.819999694824219,177.21788024902344,316.5499572753906,43.66792678833008,140.57000732421875,303.805908203125,130.17567443847656,358.4800109863281,145.5378875732422,101.24297332763672,483.63641357421875,158.8983612060547,145.03463745117188,305.79754638671875,392.1893005371094,237.86424255371094,28.692420959472656,51.80341720581055,56.095619201660156,165.371826171875,539.427490234375
