date,actual_var,baseline_har_vix,plus_oil_volshock,plus_oil_ovx
2022-04-06,7.809567709711033e-05,8.269716023137683e-05,8.660087294310244e-05,8.86854795721244e-05
2022-04-07,0.00019041386890362235,8.703555080054409e-05,8.999146610953454e-05,9.08783518808892e-05
2022-04-08,0.0002820408732442096,7.170412231248722e-05,7.324009023134598e-05,7.746974108523491e-05
2022-04-11,0.0006787399433118007,7.014485934738143e-05,7.088985558072663e-05,7.314667001881534e-05
2022-04-12,0.0004253507324238985,8.823661598526486e-05,8.741174157375205e-05,9.19152456169387e-05
2022-04-13,0.00024386803606148103,9.170899515555133e-05,9.052654181839418e-05,9.328943932760134e-05
2022-04-14,2.1736580565570657e-07,7.787088533913233e-05,7.738640775776152e-05,7.605995986468518e-05
2022-04-18,0.00017728437892417727,5.909948524420595e-05,5.917846616968859e-05,6.419135502654535e-05
2022-04-19,0.00014202002266594174,6.0823889231509184e-05,6.065294517110341e-05,6.126211823017557e-05
2022-04-20,1.653020020226772e-05,5.522792037263168e-05,5.533847423444318e-05,5.7039026849018845e-05
2022-04-21,0.0022254373159163224,4.9014156273272557e-05,4.965127097311723e-05,5.436889238801451e-05
2022-04-22,0.0004974211884398479,7.870997133626506e-05,8.023188122047894e-05,8.008264780909522e-05
2022-04-25,0.00047227235323310524,0.000108457658624912,0.00011218680080579501,0.00011341708635064159
2022-04-26,3.738453175065375e-05,0.00010582640129725972,0.00010918376663453147,0.0001123951982144966
2022-04-27,3.4392335765935006e-06,0.00013580156057852344,0.00014200208106155562,0.00014164745269585173
2022-04-28,0.0012184346145667302,0.00012002660777729406,0.0001267749744652608,0.00012678335629370894
2022-04-29,0.0010340942524663477,0.00012157440390385941,0.00012787010874459385,0.00012386353811759924
2022-05-02,0.00037901565337048837,0.0001480683187738958,0.00015624276065239305,0.0001544145726018773
2022-05-03,0.00028921361668815564,0.00014288268282167807,0.00015389892448155934,0.00015442987500313246
2022-05-04,0.0009550637920900886,0.00012651716126663078,0.00013646680961316594,0.0001375555455868969
2022-05-05,6.348431305646807e-05,0.00011497085640686278,0.00012302006514672875,0.00012258568866519272
2022-05-06,0.0006914819989000046,0.00014132216427558992,0.00015178693196960734,0.0001533503989744137
2022-05-09,0.004812687002533765,0.00014092906170141807,0.0001506635055832206,0.00014949097839171005
2022-05-10,9.142592512284506e-05,0.0002183653198415182,0.00022918366073277038,0.00022751280179370494
2022-05-11,0.00021591458770402563,0.00019769159209452402,0.0002055188910430393,0.0001937139507008512
2022-05-12,8.939804676350577e-05,0.00019317614242220539,0.00019718652595905392,0.00018151224217757343
2022-05-13,0.00036114725630778,0.00018183557877532181,0.0001839688927147074,0.00017369889946581792
2022-05-16,0.0009095806019451571,0.0001626064801595231,0.00016230896936413337,0.00015224591003679727
2022-05-17,3.455332627844271e-05,0.00014634460247357905,0.00014454186246670562,0.00014177810235095536
2022-05-18,0.0007136108734031421,0.00013475429836888318,0.00013349238517220316,0.0001280131328725045
2022-05-19,5.134917293545467e-05,0.0001725610724418259,0.00017121918592545162,0.00016962052753142186
2022-05-20,3.291051884650485e-05,0.0001583844164471133,0.00015673864674009045,0.00015166238528715033
2022-05-23,0.0005277667050436372,0.00015625675022290782,0.00015599137599612588,0.0001523780888929007
2022-05-24,2.855323647922091e-05,0.0001414139140657247,0.0001404532206818939,0.00013368406120050104
2022-05-25,0.00025337308260025394,0.00014094839309480758,0.0001381780579005253,0.00013206843420559555
2022-05-26,4.4947541944812515e-05,0.00013197190002881988,0.00012626126464440452,0.0001244870634498277
2022-05-27,9.072025511939063e-05,0.00012568963227288556,0.00012031025015860076,0.00011713159770044231
2022-05-31,0.0004208310869270257,0.00011779084407806387,0.00011175208637592774,0.00011553555726319702
2022-06-01,8.947825916445075e-05,0.00011631937077756603,0.00011171879557014457,0.00011734287069786853
2022-06-02,3.2992108008316757e-06,0.00010829966346619033,0.00010393089028472436,0.00010500153554623104
2022-06-03,8.189995497987904e-05,9.759035372037915e-05,9.465896953499111e-05,9.419243016990781e-05
2022-06-06,1.887891572065875e-05,9.912323873090064e-05,0.00010027905285229571,9.858882839773483e-05
2022-06-07,0.0003563955117024713,9.39244427181856e-05,9.704641759821867e-05,0.00010257492370847096
2022-06-08,2.6499415478697333e-05,9.189901578379042e-05,9.673474570285743e-05,9.336076230427094e-05
2022-06-09,0.00040529444599673634,8.614693021654198e-05,9.089323569836676e-05,8.705450847866118e-05
2022-06-10,0.00014434030570889488,7.135479781308152e-05,7.640559678047574e-05,7.48822676914005e-05
2022-06-13,0.0022185241224546323,7.656136467361376e-05,8.346355480880794e-05,8.036143497124577e-05
2022-06-14,1.7266057214559263e-06,0.0001255878915789449,0.00013888863118831227,0.00014843472638214586
2022-06-15,0.00039328619726358927,0.0001124891876324136,0.0001245623789955961,0.00011968843645732564
2022-06-16,0.0030176630498469424,0.00010508368487488854,0.00011417254859688477,0.00011312576642892957
2022-06-17,0.002184680277247664,0.00014244616441256127,0.00015340729888003397,0.00014399120717704873
2022-06-21,0.0016809907498190762,0.0001516383903505009,0.00016397954676713918,0.00016458654729439604
2022-06-22,0.0019751849720560707,0.00015169019004851542,0.00016664842336369123,0.00014632204958435274
2022-06-23,0.00140496617796837,0.00015859920144853634,0.00017602738349054584,0.00017258877205925506
2022-06-24,0.0002655480962702359,0.00016744817903100026,0.0001868271594398451,0.00017147082562588077
2022-06-27,0.0003669683131627325,0.00014967297752475371,0.0001695627296282961,0.00015118595708639996
2022-06-28,0.0002538489039147736,0.00014716221150399737,0.00016694747186810638,0.0001564071577783553
2022-06-29,0.0003975569847406015,0.00015217782547148306,0.0001724519033787367,0.0001580900475968883
2022-06-30,0.0002274412567827847,0.00014853951182597957,0.0001697406806341362,0.00016704042766135056
2022-07-01,0.0001410894245940621,0.0001461663945137161,0.00016770570246471287,0.00015765930577903373
2022-07-05,0.0007091033341106556,0.000132302813988471,0.00015184534287005657,0.0001457914030836894
2022-07-06,0.00017599084188445177,0.00014288456563912752,0.0001587556029425,0.00015760388658296227
2022-07-07,0.00037157056816741925,0.000137101158772571,0.0001471166662333763,0.0001451903364274468
2022-07-08,2.745104827533085e-05,0.00013490737537926435,0.00013909536777183062,0.000126586712451915
2022-07-11,7.858462912361418e-05,0.000123390091079451,0.00012429137812100093,0.00011640181821113365
2022-07-12,0.0003412204902913823,0.00013112993378448516,0.00012908507933257984,0.00012500381932876916
2022-07-13,4.511646756888874e-05,0.00013712473582576083,0.0001323560286985183,0.00012939959301567453
2022-07-14,0.0002240334754766088,0.00012986038305220682,0.00012437528949253845,0.00011251456817482135
2022-07-15,0.00015627112547520248,0.0001275096446348143,0.00012133152136606503,0.00011976577066696117
2022-07-18,0.00019386584646477397,0.0001087044624383603,0.00010545314260308893,0.00010035884309830524
2022-07-19,0.0012533417716277593,0.0001158589487826973,0.00011720450898066306,0.00010687578992618726
2022-07-20,0.00017216906493223993,0.00012142643278741353,0.00012120575569170617,0.00011592730933346333
2022-07-21,5.887513062138818e-05,0.00010510129775192181,0.00010347133761799499,9.860930365851712e-05
2022-07-22,6.983765866049934e-05,9.078137075206567e-05,8.750893728114556e-05,9.427966564060814e-05
2022-07-25,0.0008595698126082274,8.265866365915138e-05,7.906058666476815e-05,7.311284398808195e-05
2022-07-26,6.151806608697106e-05,8.1135935000924e-05,7.531862979897614e-05,7.526970373783137e-05
2022-07-27,0.00017115479292684264,7.365294544047957e-05,6.676029165624427e-05,6.635246518665685e-05
2022-07-28,5.688616866971756e-05,6.861469972040184e-05,6.25932844907505e-05,6.458276129750663e-05
2022-07-29,0.007274734537246216,6.335636691921332e-05,5.9871618903782034e-05,5.8937638763646925e-05
2022-08-01,0.0004067349619946915,0.00010459361656170522,9.882993085886788e-05,9.611593866555244e-05
2022-08-02,7.347382178418213e-05,0.00011056830027905427,0.00010361147820337166,0.00011170699236104808
2022-08-03,0.0005778921368391271,0.00011455166996263495,0.00010921678481092985,0.00011642777680016446
2022-08-04,0.0007583824164110636,0.00010721462505137541,0.00010225321508902307,9.780742344826347e-05
