month,gcpu_proxy_equal_weight,gcpu_proxy_country_count
2001-10-01,61.18411097870887,7
2001-11-01,57.71729792019754,7
2001-12-01,55.990046491708206,7
2002-01-01,56.05494190569713,7
2002-02-01,71.3211963669646,7
2002-03-01,62.1370505245642,7
2002-04-01,70.50869121101002,7
2002-05-01,61.176809204553,7
2002-06-01,58.228111904254014,7
2002-07-01,68.08322467698754,7
2002-08-01,55.31445725495696,7
2002-09-01,66.88139885964526,7
2002-10-01,64.87406879977013,7
2002-11-01,51.38053126367363,7
2002-12-01,58.93076381231038,7
2003-01-01,68.06960122077575,7
2003-02-01,79.75422954534022,7
2003-03-01,80.95347646882487,7
2003-04-01,99.25572324286797,7
2003-05-01,64.2544238720905,7
2003-06-01,55.599691409006844,7
2003-07-01,92.07576044281411,7
2003-08-01,99.78693572604523,7
2003-09-01,109.03851236521471,7
2003-10-01,64.9114573629607,7
2003-11-01,58.3795043506638,7
2003-12-01,57.19930271994166,7
2004-01-01,60.578111397374215,9
2004-02-01,64.71965318130374,9
2004-03-01,82.49051388304696,9
2004-04-01,79.11999947204238,9
2004-05-01,83.29915025195876,9
2004-06-01,68.16661235204384,9
2004-07-01,54.57335761746137,9
2004-08-01,81.26296920135613,9
2004-09-01,67.36551395846926,9
2004-10-01,89.59331097985547,9
2004-11-01,69.87301119649103,9
2004-12-01,67.9527152066226,9
2005-01-01,54.87394520005553,11
2005-02-01,75.8839759559347,11
2005-03-01,59.93231953459026,11
2005-04-01,74.41187821274131,11
2005-05-01,73.7850553466439,11
2005-06-01,69.64666013628708,11
2005-07-01,59.12149921350565,11
2005-08-01,71.01253112900051,11
2005-09-01,129.79155250947326,11
2005-10-01,84.71591430561911,11
2005-11-01,72.76873344140414,11
2005-12-01,69.98603112101313,11
2006-01-01,67.07783376020815,11
2006-02-01,54.61729903217012,11
2006-03-01,61.61601678744837,11
2006-04-01,103.93491377549634,11
2006-05-01,77.79625268802268,11
2006-06-01,85.3323569316538,11
2006-07-01,86.9032913633505,11
2006-08-01,71.24631625785477,11
2006-09-01,59.78244432329636,11
2006-10-01,90.15092436302876,11
2006-11-01,94.94322145589693,11
2006-12-01,115.46578478834896,11
2007-01-01,118.80521476406842,11
2007-02-01,106.80378462884045,11
2007-03-01,103.25014714420905,11
2007-04-01,102.34724550397912,11
2007-05-01,87.4147304115341,11
2007-06-01,94.01167639576998,11
2007-07-01,71.64562648199542,11
2007-08-01,65.11034170634468,11
2007-09-01,100.51484877014883,11
2007-10-01,103.76766503914718,11
2007-11-01,90.80697106195022,11
2007-12-01,140.50985456268484,11
2008-01-01,120.02270515364467,11
2008-02-01,114.52975604805464,11
2008-03-01,110.30675708788065,11
2008-04-01,107.36405434146478,11
2008-05-01,112.61970272817244,11
2008-06-01,131.9562568675262,11
2008-07-01,126.4405478364487,11
2008-08-01,105.85190140737524,11
2008-09-01,117.75345330088463,11
2008-10-01,146.78894342255464,11
2008-11-01,105.24099200629593,11
2008-12-01,99.36159772179737,11
2009-01-01,83.66417828543257,11
2009-02-01,79.82668351761873,11
2009-03-01,98.84444407138344,11
2009-04-01,69.50273174909333,11
2009-05-01,80.99640220195054,11
2009-06-01,80.35450809461902,11
2009-07-01,80.97005028510331,11
2009-08-01,85.26908070506593,11
2009-09-01,102.96276602672577,11
2009-10-01,101.68356685366321,11
2009-11-01,99.95044063416164,11
2009-12-01,134.45200290910677,11
2010-01-01,115.40019316299744,11
2010-02-01,109.25117272108501,11
2010-03-01,94.33154545568745,11
2010-04-01,91.7654774446031,11
2010-05-01,141.64313442695885,11
2010-06-01,119.21356168698001,11
2010-07-01,121.75692626325163,11
2010-08-01,99.7724270883807,11
2010-09-01,126.18662210547915,11
2010-10-01,102.63663367115068,11
2010-11-01,107.69917875950365,11
2010-12-01,101.6664810481348,11
2011-01-01,107.4091839930116,11
2011-02-01,86.27987819921465,11
2011-03-01,150.74195457565065,11
2011-04-01,115.07555695977906,11
2011-05-01,125.68479789980175,11
2011-06-01,115.4004742183311,11
2011-07-01,143.68718073219804,11
2011-08-01,109.85537878764143,11
2011-09-01,112.90612159318495,11
2011-10-01,140.90507920360946,11
2011-11-01,131.59003039506413,11
2011-12-01,133.53800476905056,11
2012-01-01,95.97543010692839,11
2012-02-01,94.2815984726179,11
2012-03-01,109.84651874544015,11
2012-04-01,107.96789604286182,11
2012-05-01,116.93391310861615,11
2012-06-01,115.9646005655337,11
2012-07-01,115.42711736126813,11
2012-08-01,95.09413452750071,11
2012-09-01,97.93094293135704,11
2012-10-01,95.49185070544199,11
2012-11-01,114.78486389505086,11
2012-12-01,125.60242257004374,11
2013-01-01,88.8471103878116,11
2013-02-01,98.69005606262932,11
2013-03-01,95.78057442976416,11
2013-04-01,90.8353048424792,11
2013-05-01,103.36303326570223,11
2013-06-01,106.7912075105934,11
2013-07-01,98.89458157413246,11
2013-08-01,87.89996845668064,11
2013-09-01,136.97718168711,11
2013-10-01,112.25691274453207,11
2013-11-01,138.51644942661437,11
2013-12-01,149.02419816468867,11
2014-01-01,106.13345024726108,11
2014-02-01,94.10594608738434,11
2014-03-01,99.8434855182449,11
2014-04-01,84.78519442383146,11
2014-05-01,102.43172378501164,11
2014-06-01,111.31611856451899,11
2014-07-01,110.78695828698,11
2014-08-01,68.29410862872265,11
2014-09-01,104.24266251705329,11
2014-10-01,91.34160920126266,11
2014-11-01,79.01070056972607,11
2014-12-01,110.89608527895567,11
2015-01-01,92.38757123556276,11
2015-02-01,86.45152407983427,11
2015-03-01,86.5831590271972,11
2015-04-01,79.89487598703091,11
2015-05-01,102.0792263890101,11
2015-06-01,91.30455986314809,11
2015-07-01,87.81609100327933,11
2015-08-01,78.64295079465022,11
2015-09-01,112.70508786936311,11
2015-10-01,98.72653338320968,11
2015-11-01,106.45390493501242,11
2015-12-01,101.42168865286864,11
2016-01-01,106.06159010507523,11
2016-02-01,95.62015643060266,11
2016-03-01,81.43848950159547,11
2016-04-01,77.05329127318936,11
2016-05-01,95.06419476231211,11
2016-06-01,99.31169393771467,11
2016-07-01,111.4370244284754,11
2016-08-01,80.06932902373264,11
2016-09-01,103.140252389553,11
2016-10-01,97.41427215841112,11
2016-11-01,142.35205328668695,11
2016-12-01,136.83523351542738,11
2017-01-01,214.173871477369,11
2017-02-01,163.9663632128361,11
2017-03-01,142.9066811545537,11
2017-04-01,103.75749623777538,11
2017-05-01,130.29848100696265,11
2017-06-01,155.20593582513575,11
2017-07-01,133.61630170530253,11
2017-08-01,108.52343077752518,11
2017-09-01,156.5556792943337,11
2017-10-01,127.97935304853094,11
2017-11-01,123.32296962599307,11
2017-12-01,109.68423054611772,11
2018-01-01,126.0358544909743,11
2018-02-01,135.92029766492644,11
2018-03-01,109.5579375881012,11
2018-04-01,105.14387388210258,11
2018-05-01,113.85592626948056,11
2018-06-01,160.1147244755822,11
2018-07-01,136.48264624513342,11
2018-08-01,165.53704343343355,11
2018-09-01,135.49980724768454,11
2018-10-01,182.78118338369174,11
2018-11-01,148.76676269753847,11
2018-12-01,163.89303245547183,11
2019-01-01,174.14506749269174,11
2019-02-01,199.24551089378656,11
2019-03-01,165.34956247903145,11
2019-04-01,180.9077387516036,11
2019-05-01,187.05980127712834,11
2019-06-01,197.34589366256762,11
2019-07-01,230.69332156161573,11
2019-08-01,193.24034632539463,11
2019-09-01,255.31986676177056,11
2019-10-01,294.75049086450485,11
2019-11-01,223.3145904305605,11
2019-12-01,256.8616335800343,11
