comparison,month,ticker,sector,actual_rv,pred_har,pred_har_gcpu_proxy,train_n,loss_har,loss_har_gcpu_proxy,loss_diff_challenger_minus_har
har_gcpu_proxy,2017-02-01,USO,energy,0.026118047981895702,0.0899155527097552,0.078112839762541,118,0.5267174426714913,0.4298909341116772,-0.09682650855981412
har_gcpu_proxy,2017-03-01,DBA,agriculture,0.005925740368888935,0.009375456753811965,0.011979848007836365,110,0.09083783412423929,0.1985626359572028,0.10772480183296351
har_gcpu_proxy,2017-03-01,GLD,metal,0.010413720520641526,0.01573659018952647,0.017138987038154908,122,0.07461639968929834,0.10583579537051424,0.0312193956812159
har_gcpu_proxy,2017-03-01,UNG,energy,0.07471304418684035,0.20410759825902727,0.25232967788510696,106,0.3710399431463043,0.5131747519646517,0.1421348088183474
har_gcpu_proxy,2017-03-01,USO,energy,0.06745947519355582,0.04191314877191199,0.041023056715309536,119,0.13357879765924974,0.14703551206496468,0.013456714405714942
har_gcpu_proxy,2017-04-01,DBA,agriculture,0.01189940679773586,0.009300497998222641,0.010263681845950565,111,0.033016992684617774,0.011493272328841675,-0.0215237203557761
har_gcpu_proxy,2017-04-01,GLD,metal,0.008595000291380226,0.016609337037820228,0.01703569197463067,123,0.1762643704353608,0.18865897806601373,0.01239460763065292
har_gcpu_proxy,2017-04-01,UNG,energy,0.06716051392078459,0.11861499885778344,0.12217416548109547,107,0.13500337478005586,0.1480733839468109,0.013070009166755048
har_gcpu_proxy,2017-04-01,USO,energy,0.043536294483913544,0.07296371867355704,0.07528370715896178,120,0.11305151732471486,0.1259651616920212,0.012913644367306354
har_gcpu_proxy,2017-05-01,DBA,agriculture,0.014378868956336312,0.012291443473195681,0.013810812255265245,112,0.012971202288530437,0.0008233897097797982,-0.012147812578750639
har_gcpu_proxy,2017-05-01,GLD,metal,0.012311340158435012,0.014086393954354504,0.01431097642809986,124,0.008676624400444588,0.010778571637156897,0.0021019472367123093
har_gcpu_proxy,2017-05-01,UNG,energy,0.10335344633460865,0.10719401584592964,0.10190046526952239,108,0.0006575847850587291,0.00010070094537661944,-0.0005568838396821096
har_gcpu_proxy,2017-05-01,USO,energy,0.11404115991136358,0.05478546577632692,0.06099098087500328,121,0.34846065174243046,0.24397023421232045,-0.10449041753011001
har_gcpu_proxy,2017-06-01,CORN,agriculture,0.03602569632511168,0.036667737200217605,0.031501015906077505,72,0.00015510796235385094,0.009423341478088876,0.009268233515735025
har_gcpu_proxy,2017-06-01,DBA,agriculture,0.019365178360141604,0.014199633004903005,0.013514039984814007,113,0.05351979764930004,0.07321999238451182,0.019700194735211785
har_gcpu_proxy,2017-06-01,GLD,metal,0.007034175764167146,0.01681217410854582,0.016608623316944973,125,0.28972049846023573,0.2826670320977338,-0.007053466362501926
har_gcpu_proxy,2017-06-01,UNG,energy,0.07086147557730463,0.13627738361136918,0.1410704774384116,109,0.17394518948993998,0.190845263089932,0.016900073599992016
har_gcpu_proxy,2017-06-01,USO,energy,0.08931738055199988,0.10934942050132282,0.09820781008840118,122,0.01915942482711408,0.004362938826979024,-0.014796486000135056
har_gcpu_proxy,2017-07-01,CORN,agriculture,0.057138461227557204,0.037580526110693194,0.026471876887833676,73,0.10143591701731025,0.38906446516735027,0.28762854815004
har_gcpu_proxy,2017-07-01,DBA,agriculture,0.015973800281447095,0.016962793157956905,0.01730843314370121,114,0.0017687528850194312,0.0031351296193489198,0.0013663767343294886
har_gcpu_proxy,2017-07-01,GLD,metal,0.009506269997960034,0.01369854443560857,0.01331581445771064,126,0.05930005234278046,0.05090907024707225,-0.00839098209570821
har_gcpu_proxy,2017-07-01,UNG,energy,0.11200217133625949,0.10810766845516058,0.11113294264726899,110,0.000633700775122481,3.0429531330700144e-05,-0.0006032712437917809
har_gcpu_proxy,2017-07-01,USO,energy,0.0785811344114917,0.09871835496743572,0.0890932427157988,123,0.0241526564310639,0.007561880060419801,-0.0165907763706441
har_gcpu_proxy,2017-08-01,CORN,agriculture,0.035507664951600314,0.04652326087135124,0.03335795487086283,74,0.033427741499846286,0.001991384808019969,-0.03143635669182632
har_gcpu_proxy,2017-08-01,DBA,agriculture,0.01882015693350608,0.015447453525124331,0.017294355485098323,115,0.0208496377188776,0.0036771039895071578,-0.017172533729370443
har_gcpu_proxy,2017-08-01,GLD,metal,0.010449636418950446,0.015034826189627934,0.015028914075879357,127,0.058830818361483406,0.05871092532278466,-0.00011989303869874846
har_gcpu_proxy,2017-08-01,UNG,energy,0.04834714399130452,0.13862336028613748,0.13688385892603988,111,0.4021196765478121,0.3939239538875441,-0.008195722660268023
har_gcpu_proxy,2017-08-01,USO,energy,0.06908186056490165,0.0961344428709457,0.09964378553753059,124,0.04905183034288063,0.05959769390064951,0.010545863557768875
har_gcpu_proxy,2017-09-01,CORN,agriculture,0.012707487799126227,0.040112097168990744,0.03424401903122828,75,0.4662859407655,0.36240685563741004,-0.10387908512808997
har_gcpu_proxy,2017-09-01,DBA,agriculture,0.01059295404747155,0.01747477049934962,0.019082582061313975,116,0.10675467633505953,0.14369806609006952,0.03694338975500999
har_gcpu_proxy,2017-09-01,GLD,metal,0.014571648032099154,0.014739461535813715,0.014964801589224898,128,6.530895138956438e-05,0.0003512720369904798,0.00028596308560091543
har_gcpu_proxy,2017-09-01,UNG,energy,0.08255619220974705,0.08562774814378658,0.08172850278101483,112,0.0006591771919439715,5.0937529665784353e-05,-0.0006082396622781872
har_gcpu_proxy,2017-09-01,USO,energy,0.04466635031450912,0.08486465630265813,0.09130340881271194,125,0.16816180960296956,0.2041756101731922,0.03601380057022263
har_gcpu_proxy,2017-10-01,CORN,agriculture,0.010161883498462053,0.026520916670323025,0.023261282081526922,76,0.34245478790434536,0.2650047286441195,-0.07745005926022586
har_gcpu_proxy,2017-10-01,DBA,agriculture,0.005413067699349814,0.01304168504003146,0.012468849514858795,117,0.29439371382730384,0.26854479862930125,-0.025848915198002587
har_gcpu_proxy,2017-10-01,GLD,metal,0.006394427914390057,0.0183231744200566,0.017584752208961753,129,0.40172000270612096,0.3752400055340164,-0.026479997172104586
har_gcpu_proxy,2017-10-01,UNG,energy,0.05605893150020788,0.11417311951580711,0.12026920770870864,113,0.20231178842174558,0.2294412298480566,0.02712944142631102
har_gcpu_proxy,2017-10-01,USO,energy,0.045751002985423804,0.0628504027869479,0.05256916229351388,126,0.04547855002467793,0.009217126140481202,-0.03626142388419673
har_gcpu_proxy,2017-11-01,CORN,agriculture,0.012463781017686124,0.021330978112990923,0.016838278509554425,77,0.12163771080330865,0.04103304005734376,-0.08060467074596489
har_gcpu_proxy,2017-11-01,DBA,agriculture,0.004422264817770495,0.009116424359565061,0.010290880045094635,118,0.20851333868649258,0.2743326961371033,0.06581935745061074
har_gcpu_proxy,2017-11-01,GLD,metal,0.008877597192174031,0.0137887898250943,0.013822239487989964,130,0.08415214204698152,0.08501700922330646,0.000864867176324946
har_gcpu_proxy,2017-11-01,UNG,energy,0.1273716627745975,0.08956951757767595,0.08530017804023694,114,0.06994828845743384,0.09228409603228727,0.022335807574853428
har_gcpu_proxy,2017-11-01,USO,energy,0.04254642261320334,0.05990099238650491,0.06262644681495942,127,0.05237638996924576,0.06596018387308988,0.013583793903844121
