date,news_count,gdelt_total,news_share,log_news_share,news_z
2025-03-14,1674,143512,0.011664529795417804,-4.451202683329506,-1.1906759942988476
2025-03-15,1611,150245,0.010722486605211488,-4.535412190796543,-1.5790957975806472
2025-03-16,1220,112469,0.010847433515013025,-4.523826769371346,-1.5125383481551427
2025-03-17,1820,160620,0.01133109201842859,-4.4802048256716125,-1.2956071308989419
2025-03-18,1727,147941,0.011673572572849988,-4.450427746469428,-1.1456663927254538
2025-03-19,1971,149691,0.013167124276008578,-4.330032141207225,-0.5752981959669262
2025-03-20,2548,197273,0.012916111175883167,-4.349279818513741,-0.659946774373769
2025-03-21,2497,172522,0.014473516421094122,-4.2354347532736085,-0.12488982833580556
2025-03-22,2166,149284,0.014509257522574422,-4.232968383445278,-0.11083778645225911
2025-03-23,1314,104219,0.012608065707788408,-4.373418534285301,-0.7664559612039851
2025-03-24,1978,153599,0.012877688005781287,-4.352259077075192,-0.6728300342702689
2025-03-25,2413,204855,0.011779063239852578,-4.4414316251556025,-1.08667743174321
2025-03-26,2463,185704,0.013263042260802136,-4.322773889106745,-0.5253029213653191
2025-03-27,2705,193692,0.013965470953885551,-4.271167356280698,-0.2815452880668404
2025-03-28,2641,191047,0.01382382345705507,-4.281361837758996,-0.32639458805697474
2025-03-29,1463,134699,0.010861253609900593,-4.5225535374458,-1.4501583391148458
2025-03-30,844,86924,0.009709631402144403,-4.63463695804367,-1.967792355941438
2025-03-31,1998,172293,0.011596524525082273,-4.457049835668534,-1.1230259947291863
2025-04-01,1960,172861,0.011338589965347881,-4.47954333009368,-1.2183274628523095
2025-04-02,2008,188793,0.010635987563098208,-4.543511974923389,-1.5038479579853001
2025-04-03,2715,221947,0.012232650137194916,-4.403646661245013,-0.8462503479681872
2025-04-04,2050,185299,0.011063200556937706,-4.504130943472361,-1.30230911020101
2025-04-05,1504,147776,0.010177566045907319,-4.587569388204382,-1.6748793390561154
2025-04-06,1036,118945,0.008709907940644836,-4.743294057559939,-2.3699401717732442
2025-04-07,1523,137322,0.011090721078923988,-4.501646459091233,-1.2403475533464936
2025-04-08,2421,175789,0.013772192799321915,-4.285103734233975,-0.25232468287173826
2025-04-09,2630,201814,0.013031801559852141,-4.340362634942884,-0.4993404907938147
2025-04-10,2463,189314,0.013010131316225953,-4.34202689302473,-0.5059611276060318
2025-04-11,2028,166352,0.012191016639415216,-4.4070559395066775,-0.7996312278676774
2025-04-12,1717,176536,0.009726061539855894,-4.632946239665441,-1.8154179106960608
2025-04-13,1128,115680,0.00975103734439834,-4.630381605334588,-1.7922110178236785
2025-04-14,1357,127257,0.010663460556197301,-4.540932282888098,-1.377658521396995
2025-04-15,2129,177031,0.01202614231405799,-4.420672472569987,-0.8328412645127159
2025-04-16,2226,194439,0.011448320552975483,-4.46991223633598,-1.0458810913429977
2025-04-17,2429,196536,0.012359058900150608,-4.393365970615961,-0.7007363558771375
2025-04-18,2167,183104,0.011834804264243272,-4.436710574873423,-0.8893466910921739
2025-04-19,1220,114390,0.01066526794300201,-4.540762803792417,-1.3465828125445578
2025-04-20,1161,113903,0.01019288341834719,-4.586065506284286,-1.5447768326391376
2025-04-21,3239,143372,0.022591579945875066,-3.790178010891473,1.9683432987426404
2025-04-22,3057,184415,0.016576742672776076,-4.0997546098078645,0.5966972744907794
2025-04-23,2831,165490,0.017106773823191732,-4.06828076390109,0.7342225328912447
2025-04-24,1885,137983,0.01366110317937717,-4.293202668263119,-0.2507526643804549
2025-04-25,2314,183720,0.012595253646853908,-4.374435230686108,-0.603805408813672
2025-04-26,1877,140252,0.01338305336109289,-4.313766046946312,-0.3368044323912483
2025-04-27,1172,115405,0.010155539188076773,-4.5897359895368925,-1.5434534090750789
2025-04-28,1606,143480,0.011193197658210204,-4.492449037139512,-1.1069972662709322
2025-04-29,2666,194849,0.013682389953245847,-4.2916456778620935,-0.2286974587556888
2025-04-30,2197,168980,0.013001538643626465,-4.342687571322226,-0.4491174543895634
2025-05-01,2125,173886,0.01222065031112338,-4.404628109705119,-0.7173905993746977
2025-05-02,1854,158770,0.011677269005479624,-4.450111146945757,-0.9113703384196568
2025-05-03,1290,89978,0.014336837893707351,-4.244922977630827,-0.0197698071682744
2025-05-04,1073,116129,0.009239724788812442,-4.684243178532677,-1.9259823083155116
