ticker,event_date,label_source,label_status
BWV,2022-04-07,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BWV,2022-04-08,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
BWV,2022-05-17,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CAR,2021-11-05,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CARG,2022-02-25,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CARV,2021-06-07,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CARV,2021-06-08,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CARV,2021-06-11,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CARV,2021-06-24,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CARV,2021-06-29,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CARV,2021-07-07,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CARV,2021-07-08,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CARV,2021-07-09,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CARV,2021-07-13,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CARV,2021-07-15,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CARV,2021-07-19,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CARV,2021-07-20,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CARV,2021-07-21,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CARV,2021-08-09,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CARV,2021-08-10,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CARV,2021-08-16,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CARV,2021-09-28,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CARV,2021-10-01,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CARV,2021-10-25,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CAVA,2023-06-15,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CAVA,2023-07-13,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CCG,2023-09-18,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CCG,2023-09-25,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CCG,2023-09-26,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CCG,2023-09-28,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CCG,2023-10-03,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CCXI,2021-10-08,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
CDT,2023-09-26,SEC complaint Attachment A,alleged manipulative trading date; retrospective weak label
