obs_date,release_date,value
1996-02-01,1996-03-08,5.5
1996-03-01,1996-04-05,5.6
1996-04-01,1996-05-03,5.4
1996-05-01,1996-06-07,5.6
1996-06-01,1996-07-05,5.3
1996-07-01,1996-08-02,5.4
1996-08-01,1996-09-06,5.1
1996-09-01,1996-10-04,5.2
1996-10-01,1996-11-01,5.2
1996-11-01,1996-12-06,5.4
1996-12-01,1997-01-10,5.3
1997-01-01,1997-02-07,5.4
1997-02-01,1997-03-07,5.3
1997-03-01,1997-04-04,5.2
1997-04-01,1997-05-02,4.9
1997-05-01,1997-06-06,4.8
1997-06-01,1997-07-03,5.0
1997-07-01,1997-08-01,4.8
1997-08-01,1997-09-05,4.9
1997-09-01,1997-10-03,4.9
1997-10-01,1997-11-07,4.7
1997-11-01,1997-12-05,4.6
1997-12-01,1998-01-09,4.7
1998-01-01,1998-02-06,4.7
1998-02-01,1998-03-06,4.6
1998-03-01,1998-04-03,4.7
1998-04-01,1998-05-08,4.3
1998-05-01,1998-06-05,4.3
1998-06-01,1998-07-02,4.5
1998-07-01,1998-08-07,4.5
1998-08-01,1998-09-04,4.5
1998-09-01,1998-10-02,4.6
1998-10-01,1998-11-05,4.6
1998-11-01,1998-12-04,4.4
1998-12-01,1999-01-08,4.3
1999-01-01,1999-02-05,4.3
1999-02-01,1999-03-05,4.4
1999-03-01,1999-04-02,4.2
1999-04-01,1999-05-07,4.3
1999-05-01,1999-06-04,4.2
1999-06-01,1999-07-02,4.3
1999-07-01,1999-08-06,4.3
1999-08-01,1999-09-03,4.2
1999-09-01,1999-10-08,4.2
1999-10-01,1999-11-05,4.1
1999-11-01,1999-12-03,4.1
1999-12-01,2000-01-07,4.1
2000-01-01,2000-02-04,4.0
2000-02-01,2000-03-03,4.1
2000-03-01,2000-04-07,4.1
2000-04-01,2000-05-05,3.9
2000-05-01,2000-06-02,4.1
2000-06-01,2000-07-07,4.0
2000-07-01,2000-08-04,4.0
2000-08-01,2000-09-01,4.1
2000-09-01,2000-10-06,3.9
2000-10-01,2000-11-03,3.9
2000-11-01,2000-12-08,4.0
2000-12-01,2001-01-05,4.0
2001-01-01,2001-02-02,4.2
2001-02-01,2001-03-09,4.2
2001-03-01,2001-04-06,4.3
2001-04-01,2001-05-04,4.5
2001-05-01,2001-06-01,4.4
2001-06-01,2001-07-06,4.5
2001-07-01,2001-08-03,4.5
2001-08-01,2001-09-07,4.9
2001-09-01,2001-10-05,4.9
2001-10-01,2001-11-02,5.4
2001-11-01,2001-12-07,5.7
2001-12-01,2002-01-04,5.8
2002-01-01,2002-02-01,5.6
2002-02-01,2002-03-08,5.5
2002-03-01,2002-04-05,5.7
2002-04-01,2002-05-03,6.0
2002-05-01,2002-06-07,5.8
2002-06-01,2002-07-05,5.9
2002-07-01,2002-08-02,5.9
2002-08-01,2002-09-06,5.7
2002-09-01,2002-10-04,5.6
2002-10-01,2002-11-01,5.7
2002-11-01,2002-12-06,6.0
2002-12-01,2003-01-10,6.0
2003-01-01,2003-02-07,5.7
2003-02-01,2003-03-07,5.8
2003-03-01,2003-04-04,5.8
2003-04-01,2003-05-02,6.0
2003-05-01,2003-06-06,6.1
2003-06-01,2003-07-03,6.4
2003-07-01,2003-08-01,6.2
2003-08-01,2003-09-05,6.1
2003-09-01,2003-10-03,6.1
2003-10-01,2003-11-07,6.0
2003-11-01,2003-12-05,5.9
2003-12-01,2004-01-09,5.7
2004-01-01,2004-02-06,5.6
2004-02-01,2004-03-05,5.6
2004-03-01,2004-04-02,5.7
2004-04-01,2004-05-07,5.6
2004-05-01,2004-06-04,5.6
2004-06-01,2004-07-02,5.6
2004-07-01,2004-08-06,5.5
2004-08-01,2004-09-03,5.4
2004-09-01,2004-10-08,5.4
2004-10-01,2004-11-05,5.5
2004-11-01,2004-12-03,5.4
2004-12-01,2005-01-07,5.4
2005-01-01,2005-02-04,5.2
2005-02-01,2005-03-04,5.4
2005-03-01,2005-04-01,5.2
2005-04-01,2005-05-06,5.2
2005-05-01,2005-06-03,5.1
2005-06-01,2005-07-08,5.0
2005-07-01,2005-08-05,5.0
2005-08-01,2005-09-02,4.9
2005-09-01,2005-10-07,5.1
2005-10-01,2005-11-04,5.0
2005-11-01,2005-12-02,5.0
2005-12-01,2006-01-06,4.9
2006-01-01,2006-02-03,4.7
2006-02-01,2006-03-10,4.8
2006-03-01,2006-04-07,4.7
2006-04-01,2006-05-05,4.7
2006-05-01,2006-06-02,4.6
2006-06-01,2006-07-07,4.6
2006-07-01,2006-08-04,4.8
2006-08-01,2006-09-01,4.7
2006-09-01,2006-10-06,4.6
2006-10-01,2006-11-03,4.4
2006-11-01,2006-12-08,4.5
2006-12-01,2007-01-05,4.5
2007-01-01,2007-02-02,4.6
2007-02-01,2007-03-09,4.5
2007-03-01,2007-04-06,4.4
2007-04-01,2007-05-04,4.5
2007-05-01,2007-06-01,4.5
2007-06-01,2007-07-06,4.5
2007-07-01,2007-08-03,4.6
2007-08-01,2007-09-07,4.6
2007-09-01,2007-10-05,4.7
2007-10-01,2007-11-02,4.7
2007-11-01,2007-12-07,4.7
2007-12-01,2008-01-04,5.0
2008-01-01,2008-02-01,4.9
2008-02-01,2008-03-07,4.8
2008-03-01,2008-04-04,5.1
2008-04-01,2008-05-02,5.0
2008-05-01,2008-06-06,5.5
2008-06-01,2008-07-03,5.5
2008-07-01,2008-08-01,5.7
2008-08-01,2008-09-05,6.1
2008-09-01,2008-10-03,6.1
2008-10-01,2008-11-07,6.5
2008-11-01,2008-12-05,6.7
2008-12-01,2009-01-09,7.2
2009-01-01,2009-02-06,7.6
2009-02-01,2009-03-06,8.1
2009-03-01,2009-04-03,8.5
2009-04-01,2009-05-08,8.9
2009-05-01,2009-06-05,9.4
2009-06-01,2009-07-02,9.5
2009-07-01,2009-08-07,9.4
2009-08-01,2009-09-04,9.7
2009-09-01,2009-10-02,9.8
2009-10-01,2009-11-06,10.2
2009-11-01,2009-12-04,10.0
2009-12-01,2010-01-08,10.0
2010-01-01,2010-02-05,9.7
2010-02-01,2010-03-05,9.7
2010-03-01,2010-04-02,9.7
2010-04-01,2010-05-07,9.9
2010-05-01,2010-06-04,9.7
2010-06-01,2010-07-02,9.5
2010-07-01,2010-08-06,9.5
2010-08-01,2010-09-03,9.6
2010-09-01,2010-10-08,9.6
2010-10-01,2010-11-05,9.6
2010-11-01,2010-12-03,9.8
2010-12-01,2011-01-07,9.4
2011-01-01,2011-02-04,9.0
2011-02-01,2011-03-04,8.9
2011-03-01,2011-04-01,8.8
2011-04-01,2011-05-06,9.0
2011-05-01,2011-06-03,9.1
2011-06-01,2011-07-08,9.2
2011-07-01,2011-08-05,9.1
2011-08-01,2011-09-02,9.1
2011-09-01,2011-10-07,9.1
2011-10-01,2011-11-04,9.0
2011-11-01,2011-12-02,8.6
2011-12-01,2012-01-06,8.5
2012-01-01,2012-02-03,8.3
2012-02-01,2012-03-09,8.3
2012-03-01,2012-04-06,8.2
2012-04-01,2012-05-04,8.1
2012-05-01,2012-06-01,8.2
2012-06-01,2012-07-06,8.2
2012-07-01,2012-08-03,8.3
2012-08-01,2012-09-07,8.1
2012-09-01,2012-10-05,7.8
2012-10-01,2012-11-02,7.9
2012-11-01,2012-12-07,7.7
2012-12-01,2013-01-04,7.8
2013-01-01,2013-02-01,7.9
2013-02-01,2013-03-08,7.7
2013-03-01,2013-04-05,7.6
2013-04-01,2013-05-03,7.5
2013-05-01,2013-06-07,7.6
2013-06-01,2013-07-05,7.6
2013-07-01,2013-08-02,7.4
2013-08-01,2013-09-06,7.3
2013-09-01,2013-10-22,7.2
2013-10-01,2013-11-08,7.3
2013-11-01,2013-12-06,7.0
2013-12-01,2014-01-10,6.7
2014-01-01,2014-02-07,6.6
2014-02-01,2014-03-07,6.7
2014-03-01,2014-04-04,6.7
2014-04-01,2014-05-02,6.3
2014-05-01,2014-06-06,6.3
2014-06-01,2014-07-03,6.1
2014-07-01,2014-08-01,6.2
2014-08-01,2014-09-05,6.1
2014-09-01,2014-10-03,5.9
2014-10-01,2014-11-07,5.8
2014-11-01,2014-12-05,5.8
2014-12-01,2015-01-09,5.6
2015-01-01,2015-02-06,5.7
2015-02-01,2015-03-06,5.5
2015-03-01,2015-04-03,5.5
2015-04-01,2015-05-08,5.4
2015-05-01,2015-06-05,5.5
2015-06-01,2015-07-02,5.3
2015-07-01,2015-08-07,5.3
2015-08-01,2015-09-04,5.1
2015-09-01,2015-10-02,5.1
2015-10-01,2015-11-06,5.0
2015-11-01,2015-12-04,5.0
2015-12-01,2016-01-08,5.0
2016-01-01,2016-02-05,4.9
2016-02-01,2016-03-04,4.9
2016-03-01,2016-04-01,5.0
2016-04-01,2016-05-06,5.0
2016-05-01,2016-06-03,4.7
2016-06-01,2016-07-08,4.9
2016-07-01,2016-08-05,4.9
2016-08-01,2016-09-02,4.9
2016-09-01,2016-10-07,5.0
2016-10-01,2016-11-04,4.9
2016-11-01,2016-12-02,4.6
2016-12-01,2017-01-06,4.7
2017-01-01,2017-02-03,4.8
2017-02-01,2017-03-10,4.7
2017-03-01,2017-04-07,4.5
2017-04-01,2017-05-05,4.4
2017-05-01,2017-06-02,4.3
2017-06-01,2017-07-07,4.4
2017-07-01,2017-08-04,4.3
2017-08-01,2017-09-01,4.4
2017-09-01,2017-10-06,4.2
2017-10-01,2017-11-03,4.1
2017-11-01,2017-12-08,4.1
2017-12-01,2018-01-05,4.1
2018-01-01,2018-02-02,4.1
2018-02-01,2018-03-09,4.1
2018-03-01,2018-04-06,4.1
2018-04-01,2018-05-04,3.9
2018-05-01,2018-06-01,3.8
2018-06-01,2018-07-06,4.0
2018-07-01,2018-08-03,3.9
2018-08-01,2018-09-07,3.9
2018-09-01,2018-10-05,3.7
2018-10-01,2018-11-02,3.7
2018-11-01,2018-12-07,3.7
2018-12-01,2019-01-04,3.9
2019-01-01,2019-02-01,4.0
2019-02-01,2019-03-08,3.8
2019-03-01,2019-04-05,3.8
2019-04-01,2019-05-03,3.6
2019-05-01,2019-06-07,3.6
2019-06-01,2019-07-05,3.7
2019-07-01,2019-08-02,3.7
2019-08-01,2019-09-06,3.7
2019-09-01,2019-10-04,3.5
2019-10-01,2019-11-01,3.6
2019-11-01,2019-12-06,3.5
2019-12-01,2020-01-10,3.5
2020-01-01,2020-02-07,3.6
2020-02-01,2020-03-06,3.5
2020-03-01,2020-04-03,4.4
2020-04-01,2020-05-08,14.7
2020-05-01,2020-06-05,13.3
2020-06-01,2020-07-02,11.1
2020-07-01,2020-08-07,10.2
2020-08-01,2020-09-04,8.4
2020-09-01,2020-10-02,7.9
2020-10-01,2020-11-06,6.9
2020-11-01,2020-12-04,6.7
2020-12-01,2021-01-08,6.7
2021-01-01,2021-02-05,6.3
2021-02-01,2021-03-05,6.2
2021-03-01,2021-04-02,6.0
2021-04-01,2021-05-07,6.1
2021-05-01,2021-06-04,5.8
2021-06-01,2021-07-02,5.9
2021-07-01,2021-08-06,5.4
2021-08-01,2021-09-03,5.2
2021-09-01,2021-10-08,4.8
2021-10-01,2021-11-05,4.6
2021-11-01,2021-12-03,4.2
2021-12-01,2022-01-07,3.9
2022-01-01,2022-02-04,4.0
2022-02-01,2022-03-04,3.8
2022-03-01,2022-04-01,3.6
2022-04-01,2022-05-06,3.6
2022-05-01,2022-06-03,3.6
2022-06-01,2022-07-08,3.6
2022-07-01,2022-08-05,3.5
2022-08-01,2022-09-02,3.7
2022-09-01,2022-10-07,3.5
2022-10-01,2022-11-04,3.7
2022-11-01,2022-12-02,3.7
2022-12-01,2023-01-06,3.5
2023-01-01,2023-02-03,3.4
2023-02-01,2023-03-10,3.6
2023-03-01,2023-04-07,3.5
2023-04-01,2023-05-05,3.4
2023-05-01,2023-06-02,3.7
2023-06-01,2023-07-07,3.6
2023-07-01,2023-08-04,3.5
2023-08-01,2023-09-01,3.8
2023-09-01,2023-10-06,3.8
2023-10-01,2023-11-03,3.9
2023-11-01,2023-12-08,3.7
2023-12-01,2024-01-05,3.7
2024-01-01,2024-02-02,3.7
2024-02-01,2024-03-08,3.9
2024-03-01,2024-04-05,3.8
2024-04-01,2024-05-03,3.9
2024-05-01,2024-06-07,4.0
2024-06-01,2024-07-05,4.1
2024-07-01,2024-08-02,4.3
2024-08-01,2024-09-06,4.2
2024-09-01,2024-10-04,4.1
2024-10-01,2024-11-01,4.1
2024-11-01,2024-12-06,4.2
2024-12-01,2025-01-10,4.1
2025-01-01,2025-02-07,4.0
2025-02-01,2025-03-07,4.1
2025-03-01,2025-04-04,4.2
2025-04-01,2025-05-02,4.2
2025-05-01,2025-06-06,4.2
2025-06-01,2025-07-03,4.1
2025-07-01,2025-08-01,4.2
2025-08-01,2025-09-05,4.3
2025-09-01,2025-11-20,4.4
2025-11-01,2025-12-16,4.6
2025-12-01,2026-01-09,4.4
2026-01-01,2026-02-11,4.3
2026-02-01,2026-03-06,4.4
2026-03-01,2026-04-03,4.3
2026-04-01,2026-05-08,4.3
2026-05-01,2026-06-05,4.3
2026-06-01,2026-07-02,4.2
