obs_date,release_date,value
2004-03-01,2004-04-14,187.2
2004-04-01,2004-05-14,187.6
2004-05-01,2004-06-15,188.8
2004-06-01,2004-07-16,189.4
2004-07-01,2004-08-17,189.3
2004-08-01,2004-09-16,189.4
2004-09-01,2004-10-19,189.7
2004-10-01,2004-11-17,190.9
2004-11-01,2004-12-17,191.2
2004-12-01,2005-01-19,191.1
2005-01-01,2005-02-23,191.3
2005-02-01,2005-03-23,192.0
2005-03-01,2005-04-20,193.2
2005-04-01,2005-05-18,194.2
2005-05-01,2005-06-15,194.1
2005-06-01,2005-07-14,194.1
2005-07-01,2005-08-16,195.1
2005-08-01,2005-09-15,196.1
2005-09-01,2005-10-14,198.5
2005-10-01,2005-11-16,198.9
2005-11-01,2005-12-15,197.8
2005-12-01,2006-01-18,197.7
2006-01-01,2006-02-22,199.0
2006-02-01,2006-03-16,199.1
2006-03-01,2006-04-19,199.8
2006-04-01,2006-05-17,201.0
2006-05-01,2006-06-14,201.9
2006-06-01,2006-07-19,202.3
2006-07-01,2006-08-16,203.2
2006-08-01,2006-09-15,203.7
2006-09-01,2006-10-18,202.7
2006-10-01,2006-11-16,201.7
2006-11-01,2006-12-15,201.7
2006-12-01,2007-01-18,202.8
2007-01-01,2007-02-21,203.153
2007-02-01,2007-03-16,203.906
2007-03-01,2007-04-17,205.146
2007-04-01,2007-05-15,205.999
2007-05-01,2007-06-15,207.387
2007-06-01,2007-07-18,207.784
2007-07-01,2007-08-15,208.028
2007-08-01,2007-09-19,207.738
2007-09-01,2007-10-17,208.292
2007-10-01,2007-11-15,208.903
2007-11-01,2007-12-14,210.565
2007-12-01,2008-01-16,211.16
2008-01-01,2008-02-20,212.516
2008-02-01,2008-03-14,212.571
2008-03-01,2008-04-16,213.301
2008-04-01,2008-05-14,213.743
2008-05-01,2008-06-13,215.132
2008-06-01,2008-07-16,217.403
2008-07-01,2008-08-14,219.181
2008-08-01,2008-09-16,218.88
2008-09-01,2008-10-16,218.813
2008-10-01,2008-11-19,216.71
2008-11-01,2008-12-16,213.06
2008-12-01,2009-01-16,211.49
2009-01-01,2009-02-20,212.174
2009-02-01,2009-03-18,213.007
2009-03-01,2009-04-15,212.714
2009-04-01,2009-05-15,212.671
2009-05-01,2009-06-17,212.876
2009-06-01,2009-07-15,214.459
2009-07-01,2009-08-14,214.469
2009-08-01,2009-09-16,215.428
2009-09-01,2009-10-15,215.791
2009-10-01,2009-11-18,216.385
2009-11-01,2009-12-16,217.25
2009-12-01,2010-01-15,217.541
2010-01-01,2010-02-19,217.587
2010-02-01,2010-03-18,217.591
2010-03-01,2010-04-14,217.729
2010-04-01,2010-05-19,217.579
2010-05-01,2010-06-17,217.224
2010-06-01,2010-07-16,216.929
2010-07-01,2010-08-13,217.597
2010-08-01,2010-09-17,218.15
2010-09-01,2010-10-15,218.372
2010-10-01,2010-11-17,218.879
2010-11-01,2010-12-15,219.146
2010-12-01,2011-01-14,220.252
2011-01-01,2011-02-17,221.062
2011-02-01,2011-03-17,222.27
2011-03-01,2011-04-15,223.49
2011-04-01,2011-05-13,224.433
2011-05-01,2011-06-15,224.804
2011-06-01,2011-07-15,224.304
2011-07-01,2011-08-18,225.425
2011-08-01,2011-09-15,226.268
2011-09-01,2011-10-19,226.955
2011-10-01,2011-11-16,226.763
2011-11-01,2011-12-16,226.72
2011-12-01,2012-01-19,226.747
2012-01-01,2012-02-17,227.505
2012-02-01,2012-03-16,228.433
2012-03-01,2012-04-13,229.098
2012-04-01,2012-05-15,229.177
2012-05-01,2012-06-14,228.527
2012-06-01,2012-07-17,228.618
2012-07-01,2012-08-15,228.723
2012-08-01,2012-09-14,230.102
2012-09-01,2012-10-16,231.414
2012-10-01,2012-11-15,231.751
2012-11-01,2012-12-14,231.025
2012-12-01,2013-01-16,230.979
2013-01-01,2013-02-21,231.198
2013-02-01,2013-03-15,232.77
2013-03-01,2013-04-16,232.34
2013-04-01,2013-05-16,231.485
2013-05-01,2013-06-18,231.831
2013-06-01,2013-07-16,232.944
2013-07-01,2013-08-15,233.318
2013-08-01,2013-09-17,233.526
2013-09-01,2013-10-30,233.947
2013-10-01,2013-11-20,233.808
2013-11-01,2013-12-17,233.887
2013-12-01,2014-01-16,234.582
2014-01-01,2014-02-20,234.933
2014-02-01,2014-03-18,235.169
2014-03-01,2014-04-15,235.64
2014-04-01,2014-05-15,236.254
2014-05-01,2014-06-17,237.083
2014-06-01,2014-07-22,237.693
2014-07-01,2014-08-19,237.909
2014-08-01,2014-09-17,237.428
2014-09-01,2014-10-22,237.633
2014-10-01,2014-11-20,237.642
2014-11-01,2014-12-17,237.032
2014-12-01,2015-01-16,236.149
2015-01-01,2015-02-26,234.677
2015-02-01,2015-03-24,235.186
2015-03-01,2015-04-17,235.74
2015-04-01,2015-05-22,235.982
2015-05-01,2015-06-18,237.031
2015-06-01,2015-07-17,237.786
2015-07-01,2015-08-19,238.099
2015-08-01,2015-09-16,237.931
2015-09-01,2015-10-15,237.566
2015-10-01,2015-11-17,238.042
2015-11-01,2015-12-15,238.111
2015-12-01,2016-01-20,237.847
2016-01-01,2016-02-19,238.107
2016-02-01,2016-03-16,237.707
2016-03-01,2016-04-14,237.92
2016-04-01,2016-05-17,238.89
2016-05-01,2016-06-16,239.41
2016-06-01,2016-07-15,239.927
2016-07-01,2016-08-16,239.828
2016-08-01,2016-09-16,240.305
2016-09-01,2016-10-18,241.002
2016-10-01,2016-11-17,241.863
2016-11-01,2016-12-15,242.348
2016-12-01,2017-01-18,243.032
2017-01-01,2017-02-15,244.158
2017-02-01,2017-03-15,244.456
2017-03-01,2017-04-14,243.752
2017-04-01,2017-05-12,244.158
2017-05-01,2017-06-14,243.846
2017-06-01,2017-07-14,243.79
2017-07-01,2017-08-11,244.048
2017-08-01,2017-09-14,245.03
2017-09-01,2017-10-13,246.373
2017-10-01,2017-11-15,246.639
2017-11-01,2017-12-13,247.592
2017-12-01,2018-01-12,247.963
2018-01-01,2018-02-14,249.245
2018-02-01,2018-03-13,249.619
2018-03-01,2018-04-11,249.462
2018-04-01,2018-05-10,250.013
2018-05-01,2018-06-12,250.535
2018-06-01,2018-07-12,250.857
2018-07-01,2018-08-10,251.286
2018-08-01,2018-09-13,251.846
2018-09-01,2018-10-11,251.994
2018-10-01,2018-11-14,252.827
2018-11-01,2018-12-12,252.876
2018-12-01,2019-01-11,252.733
2019-01-01,2019-02-13,252.673
2019-02-01,2019-03-12,253.113
2019-03-01,2019-04-10,254.148
2019-04-01,2019-05-10,254.958
2019-05-01,2019-06-12,255.155
2019-06-01,2019-07-11,255.305
2019-07-01,2019-08-13,256.161
2019-08-01,2019-09-12,256.3
2019-09-01,2019-10-10,256.358
2019-10-01,2019-11-13,257.271
2019-11-01,2019-12-11,257.936
2019-12-01,2020-01-14,258.501
2020-01-01,2020-02-13,258.82
2020-02-01,2020-03-11,259.05
2020-03-01,2020-04-10,257.953
2020-04-01,2020-05-12,255.902
2020-05-01,2020-06-10,255.768
2020-06-01,2020-07-14,257.214
2020-07-01,2020-08-12,258.723
2020-08-01,2020-09-11,259.681
2020-09-01,2020-10-13,260.209
2020-10-01,2020-11-12,260.325
2020-11-01,2020-12-10,260.817
2020-12-01,2021-01-13,261.775
2021-01-01,2021-02-10,262.231
2021-02-01,2021-03-10,263.161
2021-03-01,2021-04-13,264.793
2021-04-01,2021-05-12,266.832
2021-05-01,2021-06-10,268.551
2021-06-01,2021-07-13,270.981
2021-07-01,2021-08-11,272.265
2021-08-01,2021-09-14,273.012
2021-09-01,2021-10-13,274.138
2021-10-01,2021-11-10,276.724
2021-11-01,2021-12-10,278.88
2021-12-01,2022-01-12,280.192
2022-01-01,2022-02-10,281.933
2022-02-01,2022-03-10,284.182
2022-03-01,2022-04-12,287.708
2022-04-01,2022-05-11,288.663
2022-05-01,2022-06-10,291.474
2022-06-01,2022-07-13,295.328
2022-07-01,2022-08-10,295.271
2022-08-01,2022-09-13,295.62
2022-09-01,2022-10-13,296.761
2022-10-01,2022-11-10,298.062
2022-11-01,2022-12-13,298.349
2022-12-01,2023-01-12,298.112
2023-01-01,2023-02-14,300.536
2023-02-01,2023-03-14,301.648
2023-03-01,2023-04-12,301.808
2023-04-01,2023-05-10,302.918
2023-05-01,2023-06-13,303.294
2023-06-01,2023-07-12,303.841
2023-07-01,2023-08-10,304.348
2023-08-01,2023-09-13,306.269
2023-09-01,2023-10-12,307.481
2023-10-01,2023-11-14,307.619
2023-11-01,2023-12-12,307.917
2023-12-01,2024-01-11,308.85
2024-01-01,2024-02-13,309.685
2024-02-01,2024-03-12,311.054
2024-03-01,2024-04-10,312.23
2024-04-01,2024-05-15,313.207
2024-05-01,2024-06-12,313.225
2024-06-01,2024-07-11,313.049
2024-07-01,2024-08-14,313.534
2024-08-01,2024-09-11,314.121
2024-09-01,2024-10-10,314.686
2024-10-01,2024-11-13,315.454
2024-11-01,2024-12-11,316.441
2024-12-01,2025-01-15,317.685
2025-01-01,2025-02-12,319.086
2025-02-01,2025-03-12,319.775
2025-03-01,2025-04-10,319.615
2025-04-01,2025-05-13,320.321
2025-05-01,2025-06-11,320.58
2025-06-01,2025-07-15,321.5
2025-07-01,2025-08-12,322.132
2025-08-01,2025-09-11,323.364
2025-09-01,2025-10-24,324.368
2025-11-01,2025-12-18,325.031
2025-12-01,2026-01-13,326.03
2026-01-01,2026-02-13,326.588
2026-02-01,2026-03-11,327.46
2026-03-01,2026-04-10,330.293
2026-04-01,2026-05-12,332.407
2026-05-01,2026-06-10,333.979
2026-06-01,2026-07-14,332.568
