obs_date,release_date,value
2022-06-01,2022-07-15,104.3648
2022-07-01,2022-08-16,104.8075
2022-08-01,2022-09-15,104.5464
2022-09-01,2022-10-18,105.1762
2022-10-01,2022-11-16,104.6894
2022-11-01,2022-12-15,104.5175
2022-12-01,2023-01-18,103.4332
2023-01-01,2023-02-15,102.9525
2023-02-01,2023-03-17,102.646
2023-03-01,2023-04-14,103.0258
2023-04-01,2023-05-16,103.0398
2023-05-01,2023-06-15,103.0107
2023-06-01,2023-07-18,102.2468
2023-07-01,2023-08-16,102.8957
2023-08-01,2023-09-15,103.4886
2023-09-01,2023-10-17,103.6115
2023-10-01,2023-11-16,102.7081
2023-11-01,2023-12-15,102.6651
2023-12-01,2024-01-17,102.484
2024-01-01,2024-02-15,102.5739
2024-02-01,2024-03-15,102.3313
2024-03-01,2024-04-16,102.6577
2024-04-01,2024-05-16,102.7623
2024-05-01,2024-06-18,103.3284
2024-06-01,2024-07-17,103.9941
2024-07-01,2024-08-15,102.8887
2024-08-01,2024-09-17,103.1389
2024-09-01,2024-10-17,102.6418
2024-10-01,2024-11-15,102.2805
2024-11-01,2024-12-17,101.9621
2024-12-01,2025-01-17,103.1942
2025-01-01,2025-02-14,103.511
2025-02-01,2025-03-18,104.2062
2025-03-01,2025-04-16,103.8892
2025-04-01,2025-05-15,103.8799
2025-05-01,2025-06-17,103.5948
2025-06-01,2025-07-16,104.0071
2025-07-01,2025-08-15,103.9867
2025-08-01,2025-09-16,103.9203
2025-09-01,2025-12-03,101.4279
2025-10-01,2025-12-23,101.616
2025-11-01,2025-12-23,101.7935
2025-12-01,2026-01-16,102.325
2026-01-01,2026-02-18,102.3412
2026-02-01,2026-03-16,102.551
2026-03-01,2026-04-16,101.7898
2026-04-01,2026-05-15,102.4963
2026-05-01,2026-06-15,102.6475
2026-06-01,2026-07-17,102.6395
