,M1_base,M2_vix,M3_epu,M4_finstress,M5_sentiment,M6_all,M7_altonly
2022-04-30,-1.6179087899158135,-1.622977293132265,-1.6062121211251248,-1.6108025731801066,-1.6246944944966735,-1.6128189977871081,-1.6100322657069477
2022-05-31,-1.3591754996619367,-1.3619079612803164,-1.3479119550015546,-1.3426262384743697,-1.3678523942051308,-1.3346541382878974,-1.3411399292179256
2022-06-30,-1.4401451554741986,-1.44193929323498,-1.434639933682494,-1.4309775612859483,-1.4464069075050874,-1.4358360093240543,-1.435786511633373
2022-07-31,-1.8534153060352567,-1.8517211039742971,-1.8581630522235604,-1.859093057224712,-1.8292492093202437,-1.8498045285345865,-1.8474277716351342
2022-08-31,-1.8436506391670466,-1.847245999665023,-1.8430035714919142,-1.8447288110519373,-1.8481121618288392,-1.8476730594974446,-1.8475071141365558
2022-09-30,-1.6013407162402291,-1.6063843062289134,-1.6005625518261655,-1.602324660837836,-1.6204231616921159,-1.6046631758495373,-1.60877629053875
2022-10-31,-1.4920772644558329,-1.5002465724498153,-1.48834218084905,-1.4878664077436927,-1.5060668550616638,-1.4982695810299262,-1.4957261256539465
2022-11-30,-1.5341229332293473,-1.5380175671082268,-1.529653928132347,-1.5319382801914527,-1.5396017524683099,-1.5374090131678055,-1.5354315661706182
2022-12-31,-1.9180101148995043,-1.9211441717352975,-1.9205456670865524,-1.9210641258210104,-1.9031591687675435,-1.9187891134887143,-1.913144509928701
2023-01-31,-2.0465294897210193,-2.0445392628572794,-2.0458484487742608,-2.044845769037971,-2.0354683672128546,-2.041026035093452,-2.0397996581054447
2023-02-28,-2.161847857027576,-2.1593566246361013,-2.1594719792276376,-2.158552493648231,-2.1498600871857265,-2.154474250912026,-2.152834819525685
2023-03-31,-1.8913976979577378,-1.8990382184290449,-1.8963626953198969,-1.8968370755158677,-1.9005060710154644,-1.8943927641413045,-1.8976356213836811
2023-04-30,-2.3372471516980196,-2.3295224578919167,-2.3348353078871913,-2.3376813548028377,-2.3053089210768727,-2.3219976525220387,-2.320481135338559
2023-05-31,-2.30116058297539,-2.300195685387027,-2.300148648850561,-2.2979615912034337,-2.2930684161024257,-2.296202899687914,-2.2942263286126745
2023-06-30,-2.4041550085391523,-2.401632761813458,-2.399123258806254,-2.3934666401728464,-2.3792122723473224,-2.393195777344172,-2.385435817669646
2023-07-31,-2.6687743791100287,-2.688841073731675,-2.6519902169619938,-2.6437260543581296,-2.6292073320331806,-2.671795319347427,-2.633657404017469
2023-08-31,-2.29645528255163,-2.2912679479461078,-2.303165406903621,-2.307288947569189,-2.3073782330525594,-2.3041989262039255,-2.3085495343100977
2023-09-30,-2.418792454039561,-2.4229226355747544,-2.4154465392122475,-2.412820833147261,-2.4087576467818126,-2.417621110375672,-2.41043906877755
2023-10-31,-2.1973207100349414,-2.19492176055987,-2.1989609273577164,-2.2003501811925568,-2.201626724255515,-2.199464705061252,-2.2012992842521033
2023-11-30,-2.2939475420836484,-2.2906147573897644,-2.2927048497575644,-2.2915423073238053,-2.2828866063908073,-2.287076889030664,-2.288037342573335
2023-12-31,-2.5211443876301542,-2.538886470846199,-2.511766509072188,-2.511747870831857,-2.4869238242519005,-2.5280261934000814,-2.500516323231307
2024-01-31,-2.449785077099485,-2.452941364120524,-2.447543879107082,-2.4443184582801227,-2.444537168628659,-2.4521382986549094,-2.4441900258366553
2024-02-29,-2.348377379439037,-2.349143098290307,-2.3477885162128054,-2.346948183402197,-2.3471188252134585,-2.3494102440772515,-2.3468081750134737
2024-03-31,-2.5354216633615665,-2.5521876460291977,-2.5241994811421984,-2.5321427698063337,-2.515620264578412,-2.5442174705375433,-2.5216685103841683
2024-04-30,-2.2315679841700273,-2.223375075511258,-2.2357089027551695,-2.23539910229207,-2.232555778913388,-2.2229271832739803,-2.2344013904291273
2024-05-31,-2.4753983883004818,-2.4817219694753256,-2.469964911755027,-2.4757047382195663,-2.4697459149036147,-2.4820119426792235,-2.473618669664752
2024-06-30,-2.813700955189607,-2.8461240051571752,-2.7969176340792137,-2.8024425951707608,-2.7783416587337264,-2.8340295429638536,-2.7922069890690047
2024-07-31,-2.092346987511241,-2.062935219904369,-2.105461044682081,-2.1178303237096983,-2.122959483866725,-2.085885386362472,-2.1181529795329013
2024-08-31,-1.85675119608118,-1.8354903075042552,-1.855478569278021,-1.858524840727414,-1.8697726594048374,-1.8447146632078761,-1.8616166298488168
2024-09-30,-2.2281250291909194,-2.2311314034347833,-2.2244572878578763,-2.2323517769153955,-2.2177480494631676,-2.2358186158741344,-2.228839498863912
2024-10-31,-2.3904929446093863,-2.3876920654258127,-2.3875531798529925,-2.3879204762284485,-2.3825489057993066,-2.3864842316395194,-2.386542661082305
2024-11-30,-2.351436369949914,-2.3442766192210063,-2.3491082481579757,-2.3506688664475477,-2.346468706002341,-2.343863358460259,-2.3493109066931566
2024-12-31,-2.1933739711592137,-2.1928077001017257,-2.194498869974446,-2.193702822084557,-2.194905822147595,-2.1933997366241895,-2.194498135271136
2025-01-31,-2.24637810417853,-2.2488739137344,-2.2421862410544104,-2.247291121678657,-2.2442793428127343,-2.250976157331669,-2.247306635281844
2025-02-28,-2.3330312118611483,-2.3341610758610614,-2.3297869475596586,-2.334357574287197,-2.331006414606609,-2.340700233758223,-2.3356946514723926
2025-03-31,-1.709795444035256,-1.7145880235994735,-1.7172772981349609,-1.7060399917263305,-1.7458904104712183,-1.6819797708930233,-1.712739942384824
2025-04-30,-0.242307036816928,-0.2576347160391408,-0.25838213955061606,-0.17413743983300956,-0.29947471481897114,-0.10017977264260969,-0.17362451206774532
2025-05-31,-1.7486740109412884,-1.7768410949424216,-1.7425990734643695,-1.7866845334312724,-1.7415542236141865,-1.7932979395625717,-1.7689655070384267
2025-06-30,-2.4205446647163935,-2.4108303861538176,-2.403439333475733,-2.4241667807251077,-2.375477969447907,-2.4300099866622134,-2.4053083020755874
2025-07-31,-2.7865261842150097,-2.7574014307600914,-2.762376210597341,-2.7775381080481436,-2.7374821475220195,-2.7936586643531256,-2.7667541219753926
2025-08-31,-2.370130966035493,-2.378400159120574,-2.375053910689825,-2.374366481355815,-2.3811266669420226,-2.3633532921781706,-2.3744295025039928
2025-09-30,-2.6969259517946864,-2.704344687505508,-2.6959630594643467,-2.7001723805273423,-2.659597955076065,-2.7385202600346603,-2.6984224126812526
2025-10-31,-2.1465424645805653,-2.1585501054470857,-2.149466381756107,-2.152786984273144,-2.181353304427689,-2.1340613774749837,-2.15676018958421
2025-11-30,-2.1917564689854587,-2.1912569032546445,-2.192025615639168,-2.192456300780668,-2.184154864090556,-2.192417316395372,-2.1920978636552704
2025-12-31,-2.5649821987201764,-2.5461132139533955,-2.5675564728583122,-2.573726370625572,-2.5186039757649854,-2.575495083835056,-2.565401783558634
2026-01-31,-2.549276058209131,-2.547537494887071,-2.5510521328757023,-2.547888137221393,-2.5312426545356934,-2.556573653665252,-2.5490154958718807
2026-02-28,-2.329383402572975,-2.329639602680496,-2.3291636510254894,-2.32943592896346,-2.328490062920155,-2.323042915078048,-2.328944722575385
2026-03-31,-1.8903137580688794,-1.9064457629121703,-1.8820815184368398,-1.8829372403463538,-1.9054932617986955,-1.8677696982923506,-1.874417232480048
