auctionDate,term,bidToCoverRatio,z,category,pre_cum_vol,post_cum_vol,vix_at_T
2017-06-13,30-Year,2.32,0.2996628815966874,benign,0.043665469168196046,0.012565898273380015,10.420000076293945
2017-07-12,10-Year,2.45,0.17047189024010717,benign,0.054827339122320504,0.049151432143042066,10.300000190734863
2017-07-13,30-Year,2.31,0.20084390136039967,benign,0.05421815679317319,0.044542877847059126,9.899999618530273
2017-08-09,10-Year,2.23,-1.6157191699032503,weak,0.054106892787725694,0.056785110301106466,11.109999656677246
2017-08-10,30-Year,2.32,0.47668218953426333,benign,0.0688573834843724,0.06272490684116491,16.040000915527344
2017-09-12,10-Year,2.28,-0.9933804629323995,other,0.08842562303179163,0.022129919752853965,10.579999923706055
2017-09-13,30-Year,2.21,-0.6920075118823545,other,0.04626640058518947,0.025094181289927756,10.5
2017-10-11,10-Year,2.54,0.8543009707474014,other,0.037712893287786896,0.07152418994942683,9.850000381469727
2017-10-12,30-Year,2.53,2.6714352522461704,other,0.04117524770009458,0.06901868523312932,9.90999984741211
2017-11-08,10-Year,2.48,0.4363311384610044,benign,0.07106942755376917,0.06137565752312562,9.779999732971191
2017-11-09,30-Year,2.23,-0.5892680171895874,other,0.07053493470434048,0.04537294069686933,10.5
2017-12-11,10-Year,2.37,-0.5030835356157091,other,0.042349019279556664,0.06965535880789263,9.34000015258789
2017-12-12,30-Year,2.48,1.88848261160397,other,0.04138065285131359,0.06202801018938484,9.920000076293945
2018-01-10,10-Year,2.69,1.8835775072403675,other,0.05684305907834967,0.10530048674925802,9.819999694824219
2018-01-11,30-Year,2.74,4.121139090408327,other,0.06012467362559495,0.10460629584446801,9.880000114440918
2018-02-07,10-Year,2.34,-0.7063064336961309,other,0.09967872388383947,0.07738528019742588,27.729999542236328
2018-02-08,30-Year,2.26,-0.5298283555887713,other,0.10315345247789463,0.08459318583072563,33.459999084472656
2018-03-12,10-Year,2.5,0.5197319298845937,other,0.056347549507631205,0.06671740226045227,15.779999732971191
2018-03-13,30-Year,2.38,0.19324420376263482,benign,0.07776813909620857,0.0590378882995929,16.350000381469727
2018-04-11,10-Year,2.46,0.18590160264671798,benign,0.08828675480928415,0.05697061870460752,20.239999771118164
2018-04-12,30-Year,2.41,0.3709387448986572,benign,0.0853110805243508,0.06450902115862457,18.489999771118164
2018-05-09,10-Year,2.56,0.9716361549892129,other,0.06503298001692517,0.1034110815394101,13.420000076293945
2018-05-10,30-Year,2.38,0.09498930231227821,benign,0.04823382785009169,0.1036509262585344,13.229999542236328
2018-06-11,10-Year,2.59,1.0536462922280136,other,0.06943193263654304,0.04978373704489572,12.350000381469727
2018-06-12,30-Year,2.38,-0.005631242220210155,benign,0.07676334273817337,0.031606041974225535,12.34000015258789
2018-07-11,10-Year,2.57,0.842739080021378,other,0.0311380982089239,0.05692334887876799,13.630000114440918
2018-07-12,30-Year,2.34,-0.312322228137637,benign,0.049350408294665804,0.06951919506165792,12.579999923706055
2018-08-08,10-Year,2.55,0.6007859141122044,other,0.02202398490658725,0.07906999338009861,10.850000381469727
2018-08-09,30-Year,2.27,-0.8127747606391603,other,0.023241064936608095,0.04205437319580914,11.270000457763672
2018-09-12,10-Year,2.58,0.7367744179423124,other,0.04709921839492073,0.04561294307906954,13.140000343322754
2018-09-13,30-Year,2.34,-0.2975923257053432,benign,0.04938680366403694,0.036118246893246816,12.369999885559082
2018-10-10,10-Year,2.39,-1.3329508998402608,other,0.147075938327385,0.10307967857101297,22.959999084472656
2018-10-11,30-Year,2.42,0.17986923354612463,benign,0.10635366244162049,0.09903993740200626,24.979999542236328
2018-11-06,10-Year,2.54,0.3222911369544588,benign,0.0679576525584867,0.09992915532367008,19.90999984741211
2018-11-07,30-Year,2.06,-2.4542131683315738,weak,0.14827838348787808,0.09992915532367008,16.360000610351562
2018-12-12,10-Year,2.35,-1.7826291446179505,weak,0.1410604234800642,0.07147896328815202,21.459999084472656
2018-12-13,30-Year,2.31,-0.32101495653306067,benign,0.13093216497999996,0.08547712817992575,20.649999618530273
2019-01-09,10-Year,2.51,0.0,benign,0.10200915634453882,0.057734834817953114,19.979999542236328
2019-01-10,30-Year,2.19,-1.0832099466923495,other,0.09102092163378718,0.05669622821355524,19.5
2019-02-06,10-Year,2.35,-1.6147397443362528,weak,0.04453177861745929,0.04277977178529357,15.380000114440918
2019-02-07,30-Year,2.27,-0.39965020482761143,benign,0.04547848299578578,0.05136696449198377,16.3700008392334
2019-03-12,10-Year,2.59,1.0669013020323768,other,0.022836790485291476,0.05153012894350032,13.770000457763672
2019-03-13,30-Year,2.25,-0.601849975529875,other,0.023201336619864007,0.06710704631122438,13.40999984741211
2019-04-10,10-Year,2.55,0.5051814855409201,other,0.07219444811061207,0.051443028436408786,13.300000190734863
2019-04-11,30-Year,2.25,-0.5019027754042027,other,0.06953263274085608,0.032982886201878815,13.020000457763672
2019-05-08,10-Year,2.17,-3.6970213070591798,weak,0.1046463324784359,0.10077414489569632,19.399999618530273
2019-05-09,30-Year,2.2,-0.9025459905182277,other,0.12284356816852744,0.09817636985333172,19.100000381469727
2019-06-12,10-Year,2.49,0.1621895613618455,benign,0.11187775662752214,0.11032675019713273,15.90999984741211
2019-06-13,30-Year,2.32,0.595268426466842,other,0.14033741914233447,0.09435697859074257,15.819999694824219
2019-06-21,10-Year,3.43,7.47564955528474,other,0.09435697859074257,0.07871260797122043,15.399999618530273
2019-07-10,10-Year,2.41,-0.45638778431624094,benign,0.05675275845125579,0.027252280106854092,13.029999732971191
2019-07-11,30-Year,2.13,-1.5079810084620184,weak,0.057341393591807364,0.029501546066281456,12.930000305175781
2019-08-07,10-Year,2.2,-1.1222112943078912,other,0.23665306837079086,0.1352073233738348,19.489999771118164
2019-08-08,30-Year,2.24,-0.11201297907340173,benign,0.17668410527128448,0.13565301015672382,16.90999984741211
2019-09-11,10-Year,2.46,-0.14427615185241835,benign,0.03982094883701766,0.11825031107108444,14.609999656677246
2019-09-12,30-Year,2.22,-0.29342079727339904,benign,0.03577925882776611,0.07096349357708792,14.220000267028809
2019-10-09,10-Year,2.43,-0.21188279709188212,benign,0.06444399759525063,0.02909960613910069,18.639999389648438
2019-10-10,30-Year,2.25,0.12636269899803748,benign,0.06319779868840912,0.0375320889865478,17.56999969482422
2019-11-05,10-Year,2.6,0.3300472757821482,benign,0.1683198819664264,0.13396987158717938,13.100000381469727
2019-11-06,10-Year,2.49,-0.05294178322398004,benign,0.15508267125427966,0.10916858048024827,12.619999885559082
2019-11-07,30-Year,2.23,0.07999560704090126,benign,0.17142948614291875,0.10884095528267153,12.729999542236328
2019-12-10,10-Year,2.43,-0.24316847141048523,benign,0.056633219393055365,0.09638922247414364,15.680000305175781
2019-12-12,30-Year,2.46,4.304803518551505,other,0.10303618824222634,0.0404356995082579,13.9399995803833
2020-01-08,10-Year,2.45,-0.19660345636851886,benign,0.07702066435109414,0.08761995010106359,13.449999809265137
2020-01-09,30-Year,2.54,3.591907858655224,other,0.0887586257676974,0.041829403288563716,12.539999961853027
2020-02-12,10-Year,2.58,0.21307664353325387,benign,0.10498976037735502,0.11032320360511641,13.739999771118164
2020-02-13,30-Year,2.43,1.2560579515617838,other,0.09477360810931357,0.18830273467911013,14.149999618530273
2020-03-11,10-Year,2.36,-0.5482004645407904,other,0.4721836121495011,0.260498465474738,53.900001525878906
2020-03-12,30-Year,2.36,0.5505956537502076,other,0.4980938678816373,0.24797658204358922,75.47000122070312
2020-04-07,10-Year,2.43,-0.25017022616305806,benign,0.19722536001209426,0.09242795869068104,46.70000076293945
2020-04-08,30-Year,2.35,0.39041761921816404,benign,0.2026316645911922,0.0907481293901533,43.349998474121094
2020-05-12,10-Year,2.69,0.5851641321982868,other,0.11261163616840797,0.0704035920801252,33.040000915527344
2020-05-13,30-Year,2.3,-0.1718189067130197,benign,0.12442264419863332,0.08654485480093643,35.279998779296875
2020-06-09,10-Year,2.26,-0.9623388549365394,other,0.1027787483407765,0.09295441559936019,27.56999969482422
2020-06-11,30-Year,2.3,-0.16496503049629196,benign,0.07943689068422631,0.09267939854300397,40.790000915527344
2020-07-08,10-Year,2.62,1.3265443713894078,other,0.06023607006104883,0.08369414087563792,28.079999923706055
2020-07-09,30-Year,2.5,1.5689939384313096,other,0.058370438940040494,0.0833996705992714,29.260000228881836
2020-08-12,10-Year,2.41,-0.608682252820874,other,0.08282932663903915,0.08278009339638383,22.280000686645508
2020-08-13,30-Year,2.14,-1.9691721480685733,weak,0.08256410262904648,0.07049863336531369,22.1299991607666
2020-09-09,10-Year,2.3,-1.5170634559583067,weak,0.09092168030395634,0.11609053092352084,28.809999465942383
2020-09-10,30-Year,2.31,-0.24391636334549863,benign,0.11836611242493286,0.11072112037398518,29.709999084472656
2020-10-07,10-Year,2.47,0.03630644901412062,benign,0.3740572454649925,0.07064890252277067,28.059999465942383
2020-10-08,30-Year,2.29,-0.4887887435978446,benign,0.37382515158669877,0.09665697651193307,26.360000610351562
2020-11-10,10-Year,2.32,-1.0238990875640759,other,0.347199813319593,0.0353562366765284,24.799999237060547
2020-11-12,30-Year,2.29,-0.6299752375439838,other,0.18226152583654168,0.03568805774666648,25.350000381469727
2020-12-09,10-Year,2.33,-0.8640063576316686,other,0.1327594347767554,0.07881628893137965,22.270000457763672
2020-12-10,30-Year,2.48,1.1220985508728116,other,0.13177480325681087,0.07920057086364327,22.520000457763672
2021-01-12,10-Year,2.47,0.2565821700747136,benign,0.12297765804447301,0.06838138721989655,23.329999923706055
2021-01-13,30-Year,2.47,1.2726446525394046,other,0.12474359159497576,0.06701637865266655,22.209999084472656
2021-02-10,10-Year,2.37,-0.4918783922870073,benign,0.04596533930253711,0.20460500568746376,21.989999771118164
2021-02-11,30-Year,2.18,-1.6562840685836178,weak,0.045986913653111534,0.20589520768317143,21.25
2021-03-10,10-Year,2.38,-0.30424927123596945,benign,0.10224666968319755,0.13055598798872617,22.559999465942383
2021-03-11,30-Year,2.28,-0.45667819970991397,benign,0.09695286477874705,0.08381799390100308,21.90999984741211
2021-04-12,10-Year,2.36,-0.4469653503542689,benign,0.07247797988594404,0.06717492537642672,16.90999984741211
2021-04-13,30-Year,2.47,1.2670962320135593,other,0.07752537957649511,0.0724631968665519,16.649999618530273
2021-05-12,10-Year,2.45,0.2709856869039662,benign,0.08398120603916952,0.08411709935583521,27.59000015258789
2021-05-13,30-Year,2.22,-0.9559512059552737,other,0.08897420720590114,0.07950149305530997,23.1299991607666
2021-06-09,10-Year,2.58,1.8998788880004918,other,0.1015590829338412,0.08729476218899329,17.889999389648438
2021-06-10,30-Year,2.29,-0.30323710502439505,benign,0.1342013921248642,0.118856012791684,16.100000381469727
2021-07-12,10-Year,2.39,-0.1643358313137568,benign,0.10956359859871369,0.16361142136076254,16.170000076293945
2021-07-13,30-Year,2.19,-1.0364405550289986,other,0.07889275745977085,0.16389809031622263,17.1200008392334
2021-08-11,10-Year,2.65,3.124412295334123,other,0.10709580325188793,0.08982261479629476,16.170000076293945
2021-08-12,30-Year,2.21,-0.7791715784492281,other,0.11973703295909652,0.0835273141034086,15.59000015258789
2021-09-08,10-Year,2.59,1.5686248800625353,other,0.09550792504832649,0.058343356327028334,17.959999084472656
2021-09-09,30-Year,2.49,1.6769879870132909,other,0.1224478947987971,0.07049274928358722,18.799999237060547
2021-10-12,10-Year,2.58,1.1840471773986017,other,0.07678378869627007,0.1460570073830854,19.850000381469727
2021-10-13,30-Year,2.36,0.2791845987447775,benign,0.07592141931051613,0.15540205922765615,18.639999389648438
2021-11-09,10-Year,2.35,-0.9133575472209269,other,0.12249864629138779,0.09806434270589506,17.780000686645508
2021-11-10,30-Year,2.2,-1.0492526859698421,other,0.14103684088696675,0.09915335144783982,18.729999542236328
2021-12-08,10-Year,2.43,-0.25081991724613595,benign,0.14666999660622662,0.12373847730780911,19.899999618530273
2021-12-09,30-Year,2.22,-0.7892252892497732,other,0.1468823074264708,0.11415178022497988,21.579999923706055
2022-01-12,10-Year,2.51,0.408358137981108,benign,0.07512160801664958,0.12628312970181474,17.6200008392334
2022-01-13,30-Year,2.35,0.4347382591051452,benign,0.07886884221906847,0.118939238508548,20.309999465942383
2022-02-09,10-Year,2.68,1.965263632823041,other,0.061907754763431855,0.13909334482628732,19.959999084472656
2022-02-10,30-Year,2.3,0.10842145739002533,benign,0.10017213822062278,0.12673424964701493,23.90999984741211
2022-03-09,10-Year,2.47,-0.21998644870275044,benign,0.24528303083049743,0.13140507853757005,32.45000076293945
2022-03-10,30-Year,2.46,1.5841185798134831,other,0.24687817031386763,0.11613283510790165,30.229999542236328
2022-04-12,10-Year,2.43,-0.6540922782405191,other,0.12428548861183887,0.05964525904845992,24.260000228881836
2022-04-13,30-Year,2.3,-0.1191847474952819,benign,0.10793928452534562,0.05617337655469536,21.81999969482422
2022-05-11,10-Year,2.49,-0.18148277007523878,benign,0.07947146452280764,0.06147315198439791,32.560001373291016
2022-05-12,30-Year,2.38,0.8050769180437547,other,0.07945506699221686,0.06125516565036235,31.770000457763672
2022-06-08,10-Year,2.41,-0.9837224505644887,other,0.1112650268853971,0.2249243764479496,23.959999084472656
2022-06-09,30-Year,2.35,0.37667306213070306,benign,0.05453331737534999,0.21207031694677628,26.09000015258789
2022-07-12,10-Year,2.34,-1.4975281582063682,other,0.048620678897039755,0.06854128662559256,27.290000915527344
2022-07-13,30-Year,2.44,1.227093422204964,other,0.09191098908707117,0.06896825592823091,26.81999969482422
2022-08-10,10-Year,2.53,0.32215715827116687,benign,0.08589566884075148,0.08872680454037069,19.739999771118164
2022-08-11,30-Year,2.31,-0.2925663100439871,benign,0.09260605854440236,0.08211917340038362,20.200000762939453
2022-09-12,10-Year,2.37,-1.0471694998395982,other,0.12521381996141162,0.0750803933251294,23.8700008392334
2022-09-13,30-Year,2.42,1.0774050139234372,other,0.08725182747713954,0.07639143924380391,27.270000457763672
2022-10-12,10-Year,2.34,-1.2601006227590843,other,0.06612284351987432,0.06572882087106637,33.56999969482422
2022-10-13,30-Year,2.39,0.6115863167551897,other,0.07496994082391882,0.06474195473996784,31.940000534057617
2022-11-09,10-Year,2.23,-2.1813422513179868,weak,0.07237261397222243,0.1040806745953004,26.09000015258789
2022-11-10,30-Year,2.42,0.9406829583998186,other,0.12494180089902594,0.0784434113336799,23.530000686645508
2022-12-12,10-Year,2.31,-1.0535625397602837,other,0.07640489407633651,0.14768033472482953,25.0
2022-12-13,30-Year,2.25,-2.1855890163678784,weak,0.08873495634358959,0.10029683291711992,22.549999237060547
2023-01-11,10-Year,2.53,0.8678044910367654,other,0.08659050857743376,0.11248282148354465,21.09000015258789
2023-01-12,30-Year,2.45,1.3174454230589572,other,0.07429176070914258,0.11197312954784246,18.829999923706055
2023-02-08,10-Year,2.66,1.9145222078438613,other,0.07422610090425821,0.07389227742671706,19.6299991607666
2023-02-09,30-Year,2.25,-1.7643798637567714,weak,0.0759609302435003,0.03062913554148107,20.709999084472656
2023-03-08,10-Year,2.35,-0.6440705377283056,other,0.07149846969860325,0.2304469695428597,19.110000610351562
2023-03-09,30-Year,2.35,-0.24308953809338407,benign,0.0671629075099958,0.22708861335786298,22.610000610351562
2023-04-12,10-Year,2.36,-0.4702141214466904,benign,0.1026642100149605,0.04451731728414484,19.09000015258789
2023-04-13,30-Year,2.36,0.01195011354291554,benign,0.12231115918393017,0.043577377816714266,17.799999237060547
2023-05-10,10-Year,2.45,0.3341782861042193,benign,0.11657599908647671,0.11684801364439211,16.940000534057617
2023-05-11,30-Year,2.43,0.9794909014747865,other,0.10943327376518151,0.10693110603507167,16.93000030517578
2023-06-12,10-Year,2.36,-0.3752516588114872,benign,0.08701616230204791,0.09885631163638336,15.010000228881836
2023-06-13,30-Year,2.52,2.056531864151555,other,0.07777206663587144,0.09567785943926066,14.609999656677246
2023-07-12,10-Year,2.53,1.0753916772501013,other,0.23014287176032264,0.07178437535449748,13.539999961853027
2023-07-13,30-Year,2.43,0.5798133683872071,other,0.12034544863122278,0.09106621384350971,13.609999656677246
2023-08-09,10-Year,2.56,1.1603425921765873,other,0.12827879747022436,0.09108849299431682,15.960000038146973
2023-08-10,30-Year,2.42,0.4713100360688801,benign,0.10716664860119789,0.08558343962412555,15.850000381469727
2023-09-12,10-Year,2.52,0.7942195027976641,other,0.06803204068532714,0.07294101681486005,14.229999542236328
2023-09-13,30-Year,2.46,0.8791160452461684,other,0.07339147905716623,0.10411310851079184,13.479999542236328
2023-10-11,10-Year,2.5,0.5257533977595267,other,0.14440314050490588,0.046954639752450046,16.09000015258789
2023-10-12,30-Year,2.35,-0.5463257745500554,other,0.10468048274923256,0.04478434246955773,16.690000534057617
2023-11-08,10-Year,2.45,0.026776595216014797,benign,0.04123439058481301,0.08333023802973548,14.449999809265137
2023-11-09,30-Year,2.24,-1.842826640452966,weak,0.038018238926908234,0.08723972035918555,15.289999961853027
2023-12-11,10-Year,2.53,0.6236282016484005,other,0.11315660830945272,0.06987843346111598,12.630000114440918
2023-12-12,30-Year,2.43,0.5894406398735721,other,0.10854590100167183,0.06257929681065386,12.069999694824219
2024-01-10,10-Year,2.56,0.8220961282810756,other,0.07407470847045551,0.10108692534707847,12.6899995803833
2024-01-11,30-Year,2.37,-0.24853569364434341,benign,0.089804613191171,0.09844087304721902,12.4399995803833
2024-02-07,10-Year,2.56,0.7806362290382158,other,0.0955835052032159,0.0516194692532186,12.829999923706055
2024-02-08,30-Year,2.4,0.19344589043428698,benign,0.0746756164466818,0.05340109468317795,12.789999961853027
2024-03-12,10-Year,2.51,0.2796820305436629,benign,0.09877790366080506,0.09692290972513619,13.84000015258789
2024-03-13,30-Year,2.47,0.9609788335263173,other,0.09753073392339158,0.09768220110929014,13.75
2024-04-10,10-Year,2.34,-2.1084903501964276,weak,0.11980997548275778,0.10577881231905203,15.800000190734863
2024-04-11,30-Year,2.37,-0.5135886347758362,other,0.11863232360788292,0.10233079090691437,14.90999984741211
2024-05-08,10-Year,2.49,0.011109614967422344,benign,0.067514870295159,0.17125190545015648,13.0
2024-05-09,30-Year,2.41,0.03528324245058863,benign,0.06993957648915056,0.17337944595742844,12.6899995803833
2024-06-11,10-Year,2.67,2.3988676933181767,other,0.10712582432894366,0.09593139134072247,12.850000381469727
2024-06-13,30-Year,2.49,1.4861389575210793,other,0.11913914587695033,0.04454562025178175,11.9399995803833
2024-07-10,10-Year,2.58,0.7951099496760771,other,0.07098850097070213,0.09711065502252211,12.850000381469727
2024-07-11,30-Year,2.3,-1.5535347822416894,weak,0.0660655990948012,0.09479154605580076,12.920000076293945
2024-08-07,10-Year,2.32,-2.5452987606506063,weak,0.13950456520115204,0.14291375518745028,27.850000381469727
2024-08-08,30-Year,2.31,-1.1438192215264766,other,0.13893105972741318,0.14182790401101653,23.790000915527344
2024-09-11,10-Year,2.64,1.4112267460958712,other,0.09870628203108024,0.07416751507370244,17.690000534057617
2024-09-12,30-Year,2.38,-0.04430444283063004,benign,0.10782457532744001,0.07176452014366327,17.06999969482422
2024-10-09,10-Year,2.48,-0.30882431979462444,benign,0.21625055793076337,0.08534163556817037,20.860000610351562
2024-10-10,30-Year,2.5,1.7306148745671857,other,0.22146711659839893,0.09566597180057379,20.93000030517578
2024-11-05,10-Year,2.58,0.6549160833149968,other,0.0646510227972149,0.16783295824814112,20.489999771118164
2024-11-06,30-Year,2.64,3.178796490911659,other,0.12151202331992186,0.11864303055975538,16.270000457763672
2024-12-11,10-Year,2.7,1.6194832265633994,other,0.14307287461487195,0.08602920781230869,13.579999923706055
2024-12-12,30-Year,2.39,-0.32514347633145635,benign,0.14286187943117537,0.07966523813439558,13.920000076293945
2025-01-07,10-Year,2.53,-0.04967435938449591,benign,0.07959705513677291,0.1231806888739556,17.81999969482422
2025-01-08,30-Year,2.52,1.0754889280022886,other,0.08198583383051049,0.11960417758799691,17.700000762939453
2025-02-12,10-Year,2.48,-0.41526849710278696,benign,0.06704676714635502,0.06910998700625197,15.890000343322754
2025-02-13,30-Year,2.33,-1.0378401997907296,other,0.07055907148963222,0.07867437831487385,15.100000381469727
2025-03-12,10-Year,2.59,0.537596678959726,other,0.13720337799017066,0.09462249519364821,24.229999542236328
2025-03-13,30-Year,2.37,-0.5545857361264347,other,0.1316445193230865,0.08131091691184873,24.65999984741211
2025-04-09,10-Year,2.67,1.1481068832886578,other,0.1757043642099197,0.11892527414633325,33.619998931884766
2025-04-10,30-Year,2.43,0.1239757950745402,benign,0.1680633916577379,0.15090256630937815,40.720001220703125
2025-05-06,10-Year,2.6,0.3629547765819376,benign,0.08110715876855484,0.04288954433819965,24.760000228881836
2025-05-08,30-Year,2.31,-1.1279519188271052,other,0.09099726502485983,0.04710887372156837,22.479999542236328
2025-06-11,10-Year,2.52,-0.47169048049024204,benign,0.0724951698121982,0.09722228961503941,17.260000228881836
2025-06-12,30-Year,2.43,0.1509077587560991,benign,0.06842043444163765,0.08707868429999852,18.020000457763672
2025-07-09,10-Year,2.61,0.5151990607773536,other,0.08221274512310246,0.09057273435180918,15.9399995803833
2025-07-10,30-Year,2.38,-0.2848945767984503,benign,0.08556397958279667,0.08217070678522367,15.779999732971191
2025-08-06,10-Year,2.35,-2.0414518787362756,weak,0.09634605908034898,0.06465496886694388,16.770000457763672
2025-08-07,30-Year,2.27,-1.5020390295248884,weak,0.10356619607719345,0.06356215546181855,16.56999969482422
2025-09-10,10-Year,2.65,0.9050134560885957,other,0.05633506624180684,0.0769773833909508,15.350000381469727
2025-09-11,30-Year,2.38,-0.3197737098677023,benign,0.07953747571242786,0.07395864874105945,14.710000038146973
