proxy,anchor_date,year,horizon,underlying_log_rv_ratio
AAXJ,2020-08-03,2020,22,-0.8769046182451882
AAXJ,2020-08-04,2020,5,-0.9603335183478626
AAXJ,2020-08-04,2020,22,-0.7949054520573063
AAXJ,2020-08-05,2020,5,-0.7257573865138662
AAXJ,2020-08-05,2020,22,-0.8118710124345753
AAXJ,2020-08-06,2020,5,-0.7127458838419216
AAXJ,2020-08-06,2020,22,-0.7080778876959016
AAXJ,2020-08-07,2020,5,-1.6354877728489496
AAXJ,2020-08-07,2020,22,-0.7971003118324304
AAXJ,2020-08-10,2020,5,-1.1157989634688263
AAXJ,2020-08-10,2020,22,-0.7144374582343548
AAXJ,2020-08-11,2020,5,-1.1368344205765688
AAXJ,2020-08-11,2020,22,-0.6938990797015535
AAXJ,2020-08-12,2020,5,-1.3905228968922816
AAXJ,2020-08-12,2020,22,-0.6983999494509757
AAXJ,2020-08-13,2020,5,-1.3195471425205598
AAXJ,2020-08-13,2020,22,-0.602224303301189
AAXJ,2020-08-14,2020,5,-1.183630952591045
AAXJ,2020-08-14,2020,22,-0.6045314544678783
AAXJ,2020-08-17,2020,5,-1.2844042058238627
AAXJ,2020-08-17,2020,22,-0.6501412445052355
AAXJ,2020-08-18,2020,5,-0.9292436770619469
AAXJ,2020-08-18,2020,22,-0.6215178203357832
AAXJ,2020-08-19,2020,5,-1.1637228436225378
AAXJ,2020-08-19,2020,22,-0.6178649660559556
AAXJ,2020-08-20,2020,5,-1.0379090346097029
AAXJ,2020-08-20,2020,22,-0.5823682386446307
AAXJ,2020-08-21,2020,5,-0.890309069947134
AAXJ,2020-08-21,2020,22,-0.5558711077044474
AAXJ,2020-08-24,2020,5,-0.5602044628480574
AAXJ,2020-08-24,2020,22,-0.6088804789380303
AAXJ,2020-08-25,2020,5,-0.37011009864327243
AAXJ,2020-08-25,2020,22,-0.6305670942481797
AAXJ,2020-08-26,2020,5,-0.33902234414912824
AAXJ,2020-08-26,2020,22,-0.5232773699524367
AAXJ,2020-08-27,2020,5,0.07270153535307858
AAXJ,2020-08-27,2020,22,-0.5185822397070728
AAXJ,2020-08-28,2020,5,0.001598339126118041
AAXJ,2020-08-28,2020,22,-0.44382868861083474
AAXJ,2020-08-31,2020,5,-0.032247840815715335
AAXJ,2020-08-31,2020,22,-0.5090809228681706
AAXJ,2020-09-01,2020,5,-0.1065223229681737
AAXJ,2020-09-01,2020,22,-0.5250016829465112
AAXJ,2020-09-02,2020,5,0.1292955265155737
AAXJ,2020-09-02,2020,22,-0.48066073566736833
AAXJ,2020-09-03,2020,5,-0.23291584108285326
AAXJ,2020-09-03,2020,22,-0.6656989521344922
AAXJ,2020-09-04,2020,5,-0.014993909796244435
AAXJ,2020-09-04,2020,22,-0.5762759195881629
AAXJ,2020-09-08,2020,5,0.05955668424544726
AAXJ,2020-09-08,2020,22,-0.43008542746264955
