Date,EEM,INDA,EWZ,EWY,EWT,EWW,FXI,SMH,SOXX,NVDA,MSFT,QQQ,SPY,^VIX
2014-03-26,30.55511474609375,22.6739559173584,23.94804573059082,48.073184967041016,16.139469146728516,46.447967529296875,25.94976806640625,19.726011276245117,22.974292755126953,0.4264158308506012,33.1132926940918,79.6444320678711,150.90855407714844,14.930000305175781
2014-03-27,30.953330993652344,22.778968811035156,25.05758285522461,48.69636917114258,16.28743553161621,46.8950080871582,26.135927200317383,19.615833282470703,22.80449867248535,0.4207397997379303,32.75545883178711,79.19770812988281,150.59036254882812,14.619999885559082
2014-03-28,31.19838523864746,23.076505661010742,25.271604537963867,48.840179443359375,16.28743553161621,47.00676345825195,26.679492950439453,19.76127052307129,22.953792572021484,0.4233413636684418,33.53771209716797,79.35271453857422,151.33274841308594,14.40999984741211
2014-03-31,31.40514373779297,23.129009246826172,25.367351531982422,49.143795013427734,16.378490447998047,47.64753341674805,26.64226531982422,20.100618362426758,23.328495025634766,0.42357778549194336,34.1119384765625,79.91787719726562,152.57289123535156,13.880000114440918
2014-04-01,31.77273178100586,23.444047927856445,25.42930793762207,49.7669792175293,16.583362579345703,47.64753341674805,26.731616973876953,20.400293350219727,23.700288772583008,0.4410790801048279,34.46977996826172,81.32170104980469,153.58450317382812,13.100000381469727
2014-04-02,31.833999633789062,23.48780059814453,26.043214797973633,49.774959564208984,16.617509841918945,47.930660247802734,26.68694496154785,20.298933029174805,23.6651554107666,0.4382410943508148,34.41153335571289,81.53136444091797,154.09854125976562,13.09000015258789
2014-04-03,31.71146583557129,23.129009246826172,25.72781753540039,49.80691909790039,16.583362579345703,47.431453704833984,26.619918823242188,20.35181427001953,23.700288772583008,0.44297105073928833,34.128570556640625,80.8841781616211,153.8945770263672,13.369999885559082
2014-04-04,31.627220153808594,23.094003677368164,25.992530822753906,49.790950775146484,16.549219131469727,47.96791458129883,26.53057289123535,19.84941291809082,23.029905319213867,0.42925387620925903,33.17986297607422,78.73283386230469,152.07521057128906,13.960000038146973
2014-04-07,31.765060424804688,23.120258331298828,26.690919876098633,49.71904373168945,16.515073776245117,47.878509521484375,26.664600372314453,19.739234924316406,22.82206153869629,0.430672824382782,33.121612548828125,77.98533630371094,150.39456176757812,15.569999694824219
2014-04-08,32.132652282714844,23.321533203125,26.634599685668945,50.541961669921875,16.69718360900879,48.23613739013672,27.089031219482422,20.021284103393555,23.120655059814453,0.4460456669330597,33.13826370239258,78.70545959472656,151.01458740234375,14.890000343322754
2014-04-09,32.3776969909668,23.69782829284668,26.555755615234375,51.22906494140625,16.867910385131836,48.310638427734375,27.416658401489258,20.259267807006836,23.363632202148438,0.4455726146697998,33.6791877746582,80.05460357666016,152.6381378173828,13.819999694824219
2014-04-10,32.03310775756836,23.120258331298828,26.426197052001953,50.653812408447266,16.731325149536133,47.45381546020508,27.31241798400879,19.651094436645508,22.64055824279785,0.43469345569610596,32.75545883178711,77.57513427734375,149.43185424804688,15.890000343322754
2014-04-11,32.03310775756836,23.330286026000977,26.690919876098633,50.71773147583008,16.719947814941406,47.49851989746094,26.910320281982422,19.369041442871094,22.286346435546875,0.42854440212249756,32.63060760498047,76.67266845703125,148.08567810058594,17.030000686645508
2014-04-14,31.96417999267578,23.40028953552246,26.61207389831543,50.76567459106445,16.719947814941406,47.81144714355469,26.954998016357422,19.540918350219727,22.464916229248047,0.4332744777202606,32.605655670166016,77.27430725097656,149.2523193359375,16.110000610351562
2014-04-15,31.481727600097656,23.094003677368164,25.874248504638672,50.31026840209961,16.81100082397461,47.38675308227539,26.277402877807617,19.677536010742188,22.611286163330078,0.43634894490242004,33.07999801635742,77.52954864501953,150.28028869628906,15.609999656677246
2014-04-16,31.879934310913086,23.050249099731445,26.25160026550293,51.06128692626953,16.867910385131836,48.094573974609375,26.605030059814453,19.633464813232422,22.573226928710938,0.43729493021965027,33.620941162109375,78.55963134765625,151.8549041748047,14.180000305175781
2014-04-17,32.170936584472656,23.36528968811035,26.752866744995117,50.88551712036133,16.97034454345703,48.31810760498047,26.67204475402832,19.8758544921875,22.99770736694336,0.4389505684375763,33.29637908935547,78.57785034179688,152.0670928955078,13.359999656677246
2014-04-21,31.971832275390625,23.23402214050293,26.634599685668945,51.00535583496094,16.833765029907227,47.75929260253906,26.50078773498535,19.986032485961914,23.205554962158203,0.4424980878829956,33.23811721801758,79.1612548828125,152.59738159179688,13.25
2014-04-22,31.887596130371094,23.146509170532227,26.555755615234375,51.01334762573242,16.890674591064453,47.5059700012207,26.366758346557617,20.12705421447754,23.413402557373047,0.4462820887565613,33.27974319458008,79.7902603149414,153.2908172607422,13.1899995803833
2014-04-23,31.657854080200195,23.032745361328125,26.516328811645508,50.61387252807617,16.74271011352539,47.20049285888672,26.009347915649414,20.060949325561523,23.392908096313477,0.4514852464199066,33.03008270263672,79.08834075927734,152.9318389892578,13.270000457763672
2014-04-24,31.688491821289062,23.155263900756836,26.735977172851562,50.701751708984375,16.81100082397461,47.364402770996094,26.046566009521484,20.21079444885254,23.524642944335938,0.45550572872161865,33.171546936035156,79.84496307373047,153.2418670654297,13.319999694824219
2014-04-25,31.259653091430664,23.050249099731445,26.30793571472168,49.8388786315918,16.40125274658203,46.99932861328125,25.838083267211914,19.571765899658203,22.754728317260742,0.44297105073928833,33.21315383911133,78.5687484741211,151.98545837402344,14.0600004196167
