date,btc_usd_adj_close,spy_adj_close,vix_adj_close,btc_usd_close,spy_close,vix_close,btc_usd_high,spy_high,vix_high,btc_usd_low,spy_low,vix_low,btc_usd_open,spy_open,vix_open,btc_usd_volume,spy_volume,vix_volume
2015-01-28,233.9149932861328,165.74417114257812,20.440000534057617,233.9149932861328,200.13999938964844,20.440000534057617,266.5350036621094,204.2899932861328,20.440000534057617,227.04600524902344,199.91000366210938,16.920000076293945,263.35101318359375,204.1699981689453,16.969999313354492,44352200,168514300.0,0.0
2015-01-29,233.51300048828125,167.2761993408203,18.760000228881836,233.51300048828125,201.99000549316406,18.760000228881836,238.70599365234375,202.3000030517578,21.559999465942383,220.71200561523438,198.67999267578125,18.65999984741211,233.34800720214844,200.3800048828125,20.459999084472656,32213400,173585400.0,0.0
2015-01-30,226.4250030517578,165.1727294921875,20.969999313354492,226.4250030517578,199.4499969482422,20.969999313354492,242.8509979248047,202.1699981689453,22.18000030517578,225.83900451660156,199.1300048828125,19.239999771118164,232.77200317382812,200.57000732421875,20.229999542236328,26605200,197729700.0,0.0
2015-01-31,217.46400451660156,,,217.46400451660156,,,233.50399780273438,,,216.3090057373047,,,226.4409942626953,,,23348200,,
2015-02-01,226.9720001220703,,,226.9720001220703,,,231.57400512695312,,,212.01499938964844,,,216.86700439453125,,,29128500,,
2015-02-02,238.22900390625,167.21820068359375,19.43000030517578,238.22900390625,201.9199981689453,19.43000030517578,242.1750030517578,202.02999877929688,22.809999465942383,222.65899658203125,197.86000061035156,19.350000381469727,226.49099731445312,200.0500030517578,20.889999389648438,30612100,163107000.0,0.0
2015-02-03,227.26800537109375,169.6363983154297,17.329999923706055,227.26800537109375,204.83999633789062,17.329999923706055,245.95700073242188,204.85000610351562,18.889999389648438,224.48300170898438,202.5500030517578,17.200000762939453,237.45399475097656,203.0,18.40999984741211,40783700,124212900.0,0.0
2015-02-04,226.85299682617188,168.9904022216797,18.329999923706055,226.85299682617188,204.05999755859375,18.329999923706055,230.05799865722656,205.3800048828125,18.3799991607666,221.11300659179688,203.50999450683594,16.81999969482422,227.51100158691406,203.9199981689453,17.81999969482422,26594300,134306700.0,0.0
2015-02-05,217.11099243164062,170.69642639160156,16.850000381469727,217.11099243164062,206.1199951171875,16.850000381469727,239.40499877929688,206.3000030517578,17.43000030517578,214.72500610351562,204.77000427246094,16.670000076293945,227.6649932861328,204.86000061035156,17.290000915527344,22516400,97953200.0,0.0
2015-02-06,222.26600646972656,170.22439575195312,17.290000915527344,222.26600646972656,205.5500030517578,17.290000915527344,230.50999450683594,207.24000549316406,18.739999771118164,216.23199462890625,204.9199981689453,16.059999465942383,216.92300415039062,206.55999755859375,16.290000915527344,24435300,125672000.0,0.0
2015-02-07,227.75399780273438,,,227.75399780273438,,,230.2989959716797,,,222.60699462890625,,,222.63299560546875,,,21604200,,
2015-02-08,223.41200256347656,,,223.41200256347656,,,229.43800354003906,,,221.07699584960938,,,227.6929931640625,,,17145200,,
2015-02-09,220.11000061035156,169.4624481201172,18.549999237060547,220.11000061035156,204.6300048828125,18.549999237060547,223.9770050048828,205.63999938964844,19.280000686645508,217.0189971923828,204.13999938964844,18.209999084472656,223.38900756835938,204.77000427246094,19.15999984741211,27791300,87219000.0,0.0
2015-02-10,219.83900451660156,171.2678680419922,17.229999542236328,219.83900451660156,206.80999755859375,17.229999542236328,221.8070068359375,207.1199951171875,18.360000610351562,215.33200073242188,204.67999267578125,16.969999313354492,220.28199768066406,205.8800048828125,17.719999313354492,21115100,96164200.0,0.0
2015-02-11,219.18499755859375,171.36724853515625,16.959999084472656,219.18499755859375,206.92999267578125,16.959999084472656,223.406005859375,207.4499969482422,17.809999465942383,218.07400512695312,205.8300018310547,16.81999969482422,219.73199462890625,206.61000061035156,17.43000030517578,17201900,91087800.0,0.0
2015-02-12,221.76400756835938,173.0152130126953,15.34000015258789,221.76400756835938,208.9199981689453,15.34000015258789,222.19900512695312,208.99000549316406,16.469999313354492,217.61399841308594,206.97000122070312,15.279999732971191,219.20799255371094,207.88999938964844,16.389999389648438,15206200,97545900.0,0.0
2015-02-13,235.427001953125,173.72744750976562,14.6899995803833,235.427001953125,209.77999877929688,14.6899995803833,240.25900268554688,209.83999633789062,15.640000343322754,221.26199340820312,208.75999450683594,14.6899995803833,221.968994140625,209.07000732421875,15.109999656677246,42744400,93670400.0,0.0
2015-02-14,257.3210144042969,,,257.3210144042969,,,259.8080139160156,,,235.5279998779297,,,235.5279998779297,,,49732500,,
2015-02-15,234.8249969482422,,,234.8249969482422,,,265.6109924316406,,,227.6840057373047,,,257.5069885253906,,,56552400,,
2015-02-16,233.84300231933594,,,233.84300231933594,,,239.52099609375,,,229.02200317382812,,,234.8249969482422,,,28153700,,
2015-02-17,243.61000061035156,174.000732421875,15.800000190734863,243.61000061035156,210.11000061035156,15.800000190734863,245.77499389648438,210.32000732421875,16.329999923706055,232.31399536132812,209.10000610351562,15.529999732971191,233.4219970703125,209.39999389648438,15.850000381469727,27363100,76968200.0,0.0
2015-02-18,236.3260040283203,174.01727294921875,15.449999809265137,236.3260040283203,210.1300048828125,15.449999809265137,244.25100708007812,210.22000122070312,16.739999771118164,232.33999633789062,209.33999633789062,15.4399995803833,243.77999877929688,209.66000366210938,16.739999771118164,25200800,80652900.0,0.0
2015-02-19,240.2830047607422,173.89303588867188,15.289999961853027,240.2830047607422,209.97999572753906,15.289999961853027,242.6719970703125,210.4199981689453,16.219999313354492,235.5919952392578,209.24000549316406,15.100000381469727,236.41000366210938,209.41000366210938,16.110000610351562,18270500,91462500.0,0.0
2015-02-20,243.7790069580078,174.93649291992188,14.300000190734863,243.7790069580078,211.24000549316406,14.300000190734863,247.1009979248047,211.3300018310547,16.290000915527344,239.2989959716797,208.72999572753906,14.270000457763672,240.25100708007812,209.47999572753906,15.729999542236328,23876700,140896400.0,0.0
2015-02-21,244.53399658203125,,,244.53399658203125,,,255.32000732421875,,,243.1840057373047,,,243.7519989013672,,,12284200,,
2015-02-22,235.9770050048828,,,235.9770050048828,,,246.39199829101562,,,233.8509979248047,,,244.54400634765625,,,19527000,,
2015-02-23,238.89199829101562,174.9116668701172,14.5600004196167,238.89199829101562,211.2100067138672,14.5600004196167,240.10899353027344,211.2100067138672,15.479999542236328,232.42100524902344,210.47999572753906,14.489999771118164,235.9949951171875,210.94000244140625,15.050000190734863,16400000,74411100.0,0.0
2015-02-24,238.73500061035156,175.4085235595703,13.6899995803833,238.73500061035156,211.80999755859375,13.6899995803833,239.9010009765625,212.0500030517578,14.630000114440918,236.40199279785156,210.75999450683594,13.529999732971191,238.9980010986328,211.1199951171875,14.5,14200400,72472300.0,0.0
2015-02-25,237.47000122070312,175.25949096679688,13.84000015258789,237.47000122070312,211.6300048828125,13.84000015258789,239.33999633789062,212.24000549316406,14.0600004196167,235.52999877929688,211.22000122070312,12.859999656677246,238.88999938964844,211.66000366210938,13.640000343322754,11496200,73061700.0,0.0
2015-02-26,236.42599487304688,175.05250549316406,13.90999984741211,236.42599487304688,211.3800048828125,13.90999984741211,237.7100067138672,211.7100067138672,14.569999694824219,234.2570037841797,210.64999389648438,13.550000190734863,237.33700561523438,211.52000427246094,13.550000190734863,13619400,72697900.0,0.0
2015-02-27,253.8280029296875,174.4561767578125,13.34000015258789,253.8280029296875,210.66000366210938,13.34000015258789,256.65301513671875,211.5800018310547,14.170000076293945,236.43600463867188,210.60000610351562,13.289999961853027,236.43600463867188,211.25999450683594,14.069999694824219,44013900,108076000.0,0.0
2015-02-28,254.26300048828125,,,254.26300048828125,,,254.69200134277344,,,249.47900390625,,,253.52000427246094,,,13949300,,
2015-03-01,260.2019958496094,,,260.2019958496094,,,261.6600036621094,,,245.93299865722656,,,254.2830047607422,,,25213700,,
2015-03-02,275.6700134277344,175.5576171875,13.039999961853027,275.6700134277344,211.99000549316406,13.039999961853027,276.3009948730469,212.05999755859375,13.899999618530273,258.31298828125,210.72000122070312,12.869999885559082,260.35699462890625,210.77999877929688,13.899999618530273,40465700,87491400.0,0.0
2015-03-03,281.7019958496094,174.8371124267578,13.859999656677246,281.7019958496094,211.1199951171875,13.859999656677246,285.7959899902344,212.0500030517578,14.6899995803833,268.1610107421875,210.0800018310547,13.25,275.0459899902344,211.47000122070312,13.350000381469727,50461300,110325800.0,0.0
2015-03-04,273.0920104980469,174.10006713867188,14.229999542236328,273.0920104980469,210.22999572753906,14.229999542236328,284.2250061035156,210.49000549316406,14.710000038146973,268.1260070800781,209.05999755859375,14.130000114440918,281.989990234375,210.39999389648438,14.279999732971191,41383000,114497200.0,0.0
2015-03-05,276.1780090332031,174.29055786132812,14.039999961853027,276.1780090332031,210.4600067138672,14.039999961853027,281.6669921875,210.8000030517578,14.579999923706055,264.7690124511719,209.85000610351562,13.880000114440918,272.739013671875,210.6199951171875,14.010000228881836,41302400,76873000.0,0.0
2015-03-06,272.7229919433594,171.83924865722656,15.199999809265137,272.7229919433594,207.5,15.199999809265137,277.6080017089844,209.94000244140625,15.829999923706055,270.0150146484375,207.10000610351562,14.180000305175781,275.6000061035156,209.4199981689453,14.609999656677246,28918900,188128000.0,0.0
2015-03-07,276.260986328125,,,276.260986328125,,,277.85400390625,,,270.13299560546875,,,272.29400634765625,,,17825900,,
2015-03-08,274.35400390625,,,274.35400390625,,,277.8580017089844,,,272.56500244140625,,,276.4330139160156,,,22067900,,
