"總體統計資料庫XML檔連結清單"
"領域別","資料項目","連結網址","來源機關"
"04勞工統計","勞動力按年齡分-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0102A1A.xml","行政院主計總處"
"04勞工統計","勞動力按年齡分-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0102A1M.xml","行政院主計總處"
"04勞工統計","勞參率及失業率按教育程度分-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0108A1A.xml","行政院主計總處"
"04勞工統計","勞參率及失業率按教育程度分-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0108A1M.xml","行政院主計總處"
"04勞工統計","勞參率及失業率按年齡分-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0109A1A.xml","行政院主計總處"
"04勞工統計","勞參率及失業率按年齡分-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0109A1M.xml","行政院主計總處"
"04勞工統計","各行業就業人口(第六次修訂 1978-2001年)-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0103A3A.xml","行政院主計總處"
"04勞工統計","各行業就業人口(第六次修訂 1978-2001年)-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0103A3M.xml","行政院主計總處"
"04勞工統計","各行業就業人口(第七次修訂 1999-2006年)-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0103A1A.xml","行政院主計總處"
"04勞工統計","各行業就業人口(第七次修訂 1999-2006年)-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0103A1M.xml","行政院主計總處"
"04勞工統計","各行業就業人口(第八次修訂 2001年以後)-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0103A2A.xml","行政院主計總處"
"04勞工統計","各行業就業人口(第八次修訂 2001年以後)-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0103A2M.xml","行政院主計總處"
"04勞工統計","各行業就業人口(第九次修訂 2012年以後)-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0103A4A.xml","行政院主計總處"
"04勞工統計","各行業就業人口(第九次修訂 2012年以後)-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0103A4M.xml","行政院主計總處"
"04勞工統計","各行業就業人口(第十次修訂 2017年以後)-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0103A5A.xml","行政院主計總處"
"04勞工統計","各行業就業人口(第十次修訂 2017年以後)-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0103A5M.xml","行政院主計總處"
"04勞工統計","職業別就業人口(第五次修訂 67-99年)-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0104A1A.xml","行政院主計總處"
"04勞工統計","職業別就業人口(第五次修訂 67-99年)-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0104A1M.xml","行政院主計總處"
"04勞工統計","職業別就業人口(第六次修訂 90年以後)-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0104A2A.xml","行政院主計總處"
"04勞工統計","職業別就業人口(第六次修訂 90年以後)-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0104A2M.xml","行政院主計總處"
"04勞工統計","從業身分別就業人口-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0105A1A.xml","行政院主計總處"
"04勞工統計","從業身分別就業人口-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0105A1M.xml","行政院主計總處"
"04勞工統計","失業者按失業原因分-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0111A1A.xml","行政院主計總處"
"04勞工統計","失業者按失業原因分-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0111A1M.xml","行政院主計總處"
"04勞工統計","非勞動力人口原因-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0106A1A.xml","行政院主計總處"
"04勞工統計","非勞動力人口原因-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM0106A1M.xml","行政院主計總處"
"04勞工統計","受僱員工人數-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM6101A1A.xml","行政院主計總處"
"04勞工統計","受僱員工人數-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM6101A1M.xml","行政院主計總處"
"04勞工統計","每人每月總薪資-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM6201A1A.xml","行政院主計總處"
"04勞工統計","每人每月總薪資-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM6201A1M.xml","行政院主計總處"
"04勞工統計","每人每月經常性薪資-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM6301A1A.xml","行政院主計總處"
"04勞工統計","每人每月經常性薪資-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM6301A1M.xml","行政院主計總處"
"04勞工統計","受僱員工每人每月工時-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM6401A1A.xml","行政院主計總處"
"04勞工統計","受僱員工每人每月工時-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM6401A1M.xml","行政院主計總處"
"04勞工統計","受僱員工進退狀況-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM6501A1A.xml","行政院主計總處"
"04勞工統計","受僱員工進退狀況-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM6501A1M.xml","行政院主計總處"
"04勞工統計","重要勞動力指數-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM6601A1A.xml","行政院主計總處"
"04勞工統計","重要勞動力指數-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM6601A1M.xml","行政院主計總處"
"04勞工統計","公立職訓機構訓練人數-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM1102A1A.xml","勞動部職訓局"
"04勞工統計","公立職訓機構訓練人數-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM1102A1M.xml","勞動部職訓局"
"04勞工統計","就業服務概況-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM1103A1A.xml","勞動部職訓局"
"04勞工統計","就業服務概況-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM1103A1M.xml","勞動部職訓局"
"04勞工統計","定額進用身心障礙者機構數及人數-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM1104A1A.xml","勞動部職訓局"
"04勞工統計","定額進用身心障礙者機構數及人數-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM1104A1M.xml","勞動部職訓局"
"04勞工統計","勞雇雙方協商減少工時概況-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM1205A1M.xml","勞動部統計處"
"04勞工統計","勞資爭議協商調處績效-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM1201A1M.xml","勞動部統計處"
"04勞工統計","舊制勞工退休準備金提撥概況-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM1203A1M.xml","勞動部統計處"
"04勞工統計","新制勞工退休金提繳概況-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM1204A1M.xml","勞動部統計處"
"04勞工統計","產業及社福移工人數-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM1301A1A.xml","勞動部勞動力發展署"
"04勞工統計","產業及社福移工人數-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM1301A1M.xml","勞動部勞動力發展署"
"04勞工統計","外國專業人員有效聘僱許可人數-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM1302A1A.xml","勞動部勞動力發展署"
"04勞工統計","外國專業人員有效聘僱許可人數-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM1302A1M.xml","勞動部勞動力發展署"
"04勞工統計","勞工保險職業災害保險給付-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM1401A1M.xml","勞動部勞工保險局會計室"
"04勞工統計","勞工保險投保單位數及人數-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM1402A1M.xml","勞動部勞工保險局會計室"
"04勞工統計","就業保險失業給付情形-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM1403A1M.xml","勞動部勞工保險局會計室"
"04勞工統計","就業保險投保單位數及人數-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM1404A1M.xml","勞動部勞工保險局會計室"
"04勞工統計","職業災害勞工保護補助-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/LaborForce/LM1405A1M.xml","勞動部勞工保險局會計室"
"19社會保障支出","社會保障支出-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/SocialProtection/SP0101A1A.xml","行政院主計總處"
"19社會保障支出","社會給付功能別-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/SocialProtection/SP0102A1A.xml","行政院主計總處"
"19社會保障支出","社會保障支出-按計畫別(103年以前)-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/SocialProtection/SP0103A1A.xml","行政院主計總處"
"19社會保障支出","社會保障支出-按計畫別(104年以後)-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/SocialProtection/SP0103A2A.xml","行政院主計總處"
"19社會保障支出","社會給付-按功能別及計畫別(103年以前)-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/SocialProtection/SP0104A1A.xml","行政院主計總處"
"19社會保障支出","社會給付-按功能別及計畫別(104年以後)-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/SocialProtection/SP0104A2A.xml","行政院主計總處"
"05工商業統計","工業生產指數-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/EconomicStatistics/ES0104A1A.xml","經濟部統計處"
"05工商業統計","工業生產指數-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/EconomicStatistics/ES0104A1M.xml","經濟部統計處"
"05工商業統計","外銷訂單按主要接單地區-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/EconomicStatistics/ES0105A1A.xml","經濟部統計處"
"05工商業統計","外銷訂單按主要接單地區-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/EconomicStatistics/ES0105A1M.xml","經濟部統計處"
"05工商業統計","外銷訂單按主要接單貨品-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/EconomicStatistics/ES0106A1A.xml","經濟部統計處"
"05工商業統計","外銷訂單按主要接單貨品-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/EconomicStatistics/ES0106A1M.xml","經濟部統計處"
"05工商業統計","租賃業、專業及技術服務業營業額-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/EconomicStatistics/ES0107A2A.xml","經濟部統計處"
"05工商業統計","租賃業、專業及技術服務業營業額-季","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/EconomicStatistics/ES0107A2Q.xml","經濟部統計處"
"05工商業統計","批發零售及餐飲業營業額-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/EconomicStatistics/ES0107A3A.xml","經濟部統計處"
"05工商業統計","批發零售及餐飲業營業額-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/EconomicStatistics/ES0107A3M.xml","經濟部統計處"
"05工商業統計","工廠-新登記及歇業(行業分類第八、九次修訂96年以後)-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/EconomicStatistics/ES0108A4M.xml","經濟部統計處"
"05工商業統計","工廠-營運中(行業分類第十一次修訂 86年以後)-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/EconomicStatistics/ES0108A7A.xml","經濟部統計處"
"05工商業統計","公司動態(行業分類第八、九次修訂 96-105年)-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/EconomicStatistics/ES0109A1A.xml","經濟部統計處"
"05工商業統計","公司動態(行業分類第八、九次修訂 96-105年)-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/EconomicStatistics/ES0109A1M.xml","經濟部統計處"
"05工商業統計","公司動態(行業分類第十次修訂 106年以後)-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/EconomicStatistics/ES0109A2A.xml","經濟部統計處"
"05工商業統計","公司動態(行業分類第十次修訂 106年以後)-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/EconomicStatistics/ES0109A2M.xml","經濟部統計處"
"05工商業統計","商業動態(第八、九次修正 96年-105年)-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/EconomicStatistics/ES0110A1A.xml","經濟部統計處"
"05工商業統計","商業動態(第八、九次修正 96年-105年)-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/EconomicStatistics/ES0110A1M.xml","經濟部統計處"
"05工商業統計","商業動態(第十次修正 106年以後)-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/EconomicStatistics/ES0110A2A.xml","經濟部統計處"
"05工商業統計","商業動態(第十次修正 106年以後)-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/EconomicStatistics/ES0110A2M.xml","經濟部統計處"
"06營建與不動產統計","核發建築物建造執照總樓地板面積-按用途別分-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/Construction/HC0101A1A.xml","內政部營建署"
"06營建與不動產統計","核發建築物建造執照總樓地板面積-按用途別分-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/Construction/HC0101A1M.xml","內政部營建署"
"06營建與不動產統計","核發建築物建造執照總樓地板面積及工程造價-按構造別分-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/Construction/HC0102A1A.xml","內政部營建署"
"06營建與不動產統計","核發建築物建造執照總樓地板面積及工程造價-按構造別分-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/Construction/HC0102A1M.xml","內政部營建署"
"06營建與不動產統計","核發建築物使用執照總樓地板面積-按用途別分-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/Construction/HC0103A1M.xml","內政部營建署"
"07交通統計","鐵道客運量-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/Transportation/TK0101A1A.xml","交通部統計處"
"07交通統計","鐵道客運量-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/Transportation/TK0101A1M.xml","交通部統計處"
"07交通統計","鐵道貨運量-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/Transportation/TK0101A2A.xml","交通部統計處"
"07交通統計","鐵道貨運量-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/Transportation/TK0101A2M.xml","交通部統計處"
"07交通統計","汽車客運營運狀況-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/Transportation/TK0102A1A.xml","交通部統計處"
"07交通統計","汽車客運營運狀況-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/Transportation/TK0102A1M.xml","交通部統計處"
"07交通統計","公路汽車貨運營運狀況-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/Transportation/TK0102A2A.xml","交通部統計處"
"07交通統計","公路汽車貨運營運狀況-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/Transportation/TK0102A2M.xml","交通部統計處"
"07交通統計","航空客、貨運-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/Transportation/TK0103A1A.xml","交通部統計處"
"07交通統計","航空客、貨運-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/Transportation/TK0103A1M.xml","交通部統計處"
"07交通統計","各國際商港進出港旅客人數-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/Transportation/TK0104A1M.xml","交通部統計處"
"07交通統計","各國際商港貨物吞吐量-月","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/Transportation/TK0104A2M.xml","交通部統計處"
"07交通統計","各國際商港貨櫃裝卸量-年","https://nstatdb.dgbas.gov.tw/dgbasAll/download/XML/Transportation/TK0104A3A.xml","交通部統計處"
