ticker,group,metric,n_pre,n_post,pre_mean,post_mean,post_minus_pre,welch_t,welch_p,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_p_diff_gt_0,hac_post_coef,hac_post_t,hac_post_p,bh_q_metric_family,harvey_abs_pass
EFA,intl_etf,log_cc_var,601,518,-10.611883789054794,-10.849822322192544,-0.2379385331377506,-1.5037030044947792,0.13294793256965343,-0.5639523545938937,0.10600372655919171,0.098,-0.06561333998362542,-1.079891469054252,0.2801905125995794,0.3152143266745268,False
EFA,intl_etf,log_range_var,601,518,-10.399279599416918,-10.760164461527781,-0.3608848621108631,-5.985771459199431,2.924174635802045e-09,-0.553482210822928,-0.16203111138225762,0.001,-0.31428725466908664,-3.677817805593825,0.00023523788720211308,0.0003308032788779715,True
HYG,credit_etf,log_gap_var,601,518,-13.279636193914884,-14.8801133897555,-1.6004771958406163,-7.5316484000217,1.0795472038185114e-13,-2.1117689871941616,-1.1491051603184645,0.0,-0.5296466900539679,-7.663171552008732,1.813967831295227e-14,7.420777491662291e-14,True
HYG,credit_etf,log_cc_var,601,518,-11.80516562807515,-13.386150667680864,-1.5809850396057143,-10.03406921460831,1.0846510686120117e-22,-1.9766772179413996,-1.2385052396404417,0.0,-0.703448114368782,-10.174201333778782,2.5851193050986065e-24,2.9082592182359324e-23,True
HYG,credit_etf,log_range_var,601,518,-11.3618368556952,-12.850986910577449,-1.4891500548822485,-24.51262340398614,2.4298024276809553e-106,-1.6955624652747452,-1.2707471442058966,0.0,-1.3515404153314439,-18.095933433818907,3.430818844027384e-73,1.5438684798123227e-71,True
IWM,us_etf,log_gap_var,601,518,-11.185105770682618,-11.179580371209427,0.005525399473190973,0.03685541428086709,0.970606928024472,-0.34267648424989294,0.31732584620291016,0.479,-0.14500203339265902,-2.000155607416609,0.045483463721155,0.05386199651189407,False
IWM,us_etf,log_cc_var,601,518,-9.692784528916901,-10.014047991862752,-0.3212634629458506,-2.468605701718472,0.013717201530834212,-0.6008361052302522,-0.02911194598613361,0.015,-0.3767530088492719,-6.314731315311611,2.706312489241067e-10,6.089203100792401e-10,True
IWM,us_etf,log_range_var,601,518,-9.1420058035596,-9.399622333215166,-0.25761652965556614,-5.094022770511581,4.14299665453334e-07,-0.41160561455597966,-0.09309837157183769,0.0,-0.6714601841140224,-7.13001780919957,1.0035594168531921e-12,2.822510859899603e-12,True
LQD,credit_etf,log_gap_var,601,518,-12.033155995096324,-12.945989897569284,-0.9128339024729595,-6.374811275541807,2.7407095396922235e-10,-1.2514011115546517,-0.6104447980801637,0.0,-0.48063970991157107,-6.464401372333395,1.0170060238935059e-10,2.5425150597337647e-10,True
LQD,credit_etf,log_cc_var,601,518,-11.3217271139976,-12.414651396389615,-1.0929242823920156,-7.785364046725806,1.7278167620082693e-14,-1.4131197963960267,-0.8298411778827816,0.0,-0.558283602658183,-7.808088455251576,5.806183262236907e-15,2.612782468006608e-14,True
LQD,credit_etf,log_range_var,601,518,-11.233101758036115,-12.10508057937402,-0.8719788213379047,-16.206626908017263,3.751040807583047e-53,-1.0454550183104026,-0.7057827574084181,0.0,-1.0411278139653146,-11.42500069744435,3.1365309678958962e-30,4.704796451843844e-29,True
NVO,adr,log_gap_var,601,518,-10.094054432464056,-9.32783140918835,0.766223023275705,5.327860814410599,1.2038682572136667e-07,0.46167006622760576,1.0781690770908814,1.0,-0.2009947305483346,-2.165414290897574,0.03035597260917479,0.03691942614629366,False
NVO,adr,log_cc_var,601,518,-9.624293120278345,-9.035467927195914,0.5888251930824318,3.5485322557339902,0.00040502843769178216,0.19789061280421225,0.9597653509384749,1.0,-0.20273839281478326,-2.256836003888183,0.024018324093981115,0.030022905117476392,False
NVO,adr,log_range_var,601,518,-9.260477273922202,-8.714299630634605,0.5461776432875975,10.784536731462879,9.040303477657468e-26,0.40595767424267826,0.694063785533216,1.0,-0.11297227166439479,-1.0588685214199058,0.2896596620644042,0.3179191412901997,False
QQQ,us_etf,log_gap_var,601,518,-11.281525454122098,-11.382974263349526,-0.10144880922742772,-0.6699050772752204,0.5030567623845125,-0.44333200673163453,0.18958436169802223,0.253,-0.16447249642855266,-2.44976439474064,0.014294971738890903,0.018919815536767373,False
QQQ,us_etf,log_cc_var,601,518,-9.899348969736554,-10.384380244265987,-0.4850312745294332,-3.3246816677959825,0.0009144547227507374,-0.8127057624135894,-0.15556248881804938,0.002,-0.36936389691619054,-5.781188934905327,7.417452969374598e-09,1.4512407983558997e-08,True
QQQ,us_etf,log_range_var,601,518,-9.281878769531273,-9.74066065288254,-0.458781883351266,-7.73376305360873,2.3663286460029474e-14,-0.6552606392087774,-0.25640029720267044,0.0,-0.7304323791112242,-7.375735522160988,1.634401861833871e-13,5.657544906348015e-13,True
SAP,adr,log_gap_var,601,518,-10.201450022438753,-10.15594483696634,0.04550518547241289,0.3082619388671069,0.757942824173503,-0.3079712382326406,0.35065197863858394,0.578,-0.6015108498874802,-5.896101020600572,3.7219116218901435e-09,7.975524904050307e-09,True
SAP,adr,log_cc_var,601,518,-9.669538450377377,-9.462101520596736,0.20743692978064132,1.511653134588397,0.13090820428623007,-0.07578965511465338,0.46343919029645636,0.91,-0.40986104718515465,-4.43629117985306,9.152203150244295e-06,1.5253671917073826e-05,True
SAP,adr,log_range_var,601,518,-9.597653664834333,-9.326396214962331,0.2712574498720013,4.875023124833383,1.2514391194640323e-06,0.11432917703862332,0.4530206896906445,1.0,-0.7249556134994886,-6.852961490282423,7.233656432113724e-12,1.9147914085006916e-11,True
SPY,us_etf,log_gap_var,601,518,-11.686662882118164,-12.17578807242025,-0.48912519030208657,-3.146384735682996,0.0016992526265242095,-0.8572802797312371,-0.15007404379488717,0.003,-0.2716720970731407,-3.97930312625055,6.911756893018512e-05,0.00010033195489865582,True
SPY,us_etf,log_cc_var,601,518,-10.530196066678544,-11.073318572956362,-0.5431225062778182,-3.612731641568316,0.0003167846951927399,-0.869812689636184,-0.21916298723554703,0.001,-0.30999784925917506,-4.719823231128079,2.3604968110926185e-06,4.085475249967994e-06,True
SPY,us_etf,log_range_var,601,518,-9.924916871573489,-10.385945537684004,-0.46102866611051496,-7.1296298759518555,1.8203875599751878e-12,-0.6856579447393997,-0.2227240863351082,0.0,-0.5656082101219624,-5.638498032697021,1.715397801229968e-08,3.2163708773061906e-08,True
TLT,bond_etf,log_gap_var,601,518,-10.854145554034249,-11.559602391708072,-0.7054568376738235,-4.886470506675182,1.1801174716412013e-06,-1.0520505204914503,-0.417062234568765,0.0,-0.4162480904724524,-5.886016281943071,3.956153569675768e-09,8.092132301609526e-09,True
TLT,bond_etf,log_cc_var,601,518,-10.043900559558118,-10.99712351086142,-0.9532229513033013,-7.39886338762268,2.792879877406242e-13,-1.2324558247489585,-0.6978694848525218,0.0,-0.6293271921165535,-9.04716001915781,1.4673490999669722e-19,1.100511824975229e-18,True
TLT,bond_etf,log_range_var,601,518,-10.113682384578212,-10.91269431733883,-0.7990119327606191,-15.783330254558539,1.0910145372021682e-50,-0.9526369629325616,-0.6453276628014477,0.0,-1.012866934180056,-11.708499575112242,1.1530196480048606e-31,2.5942942080109364e-30,True
TM,adr,log_gap_var,601,518,-10.347417796192527,-10.097033319945274,0.2503844762472536,1.5233235328107524,0.1279669727462038,-0.09316491447004079,0.6141102190841969,0.921,-0.2917663138294203,-4.355080986642954,1.3301773037827258e-05,2.137784952507952e-05,True
TM,adr,log_cc_var,601,518,-9.701621701745845,-9.560801328785095,0.14082037296075,1.0292695953910567,0.30358167508496203,-0.14912903185725607,0.4195519138384445,0.859,-0.34293236819202594,-5.209147487535981,1.8971027075115056e-07,3.4147848735207097e-07,True
TM,adr,log_range_var,601,518,-9.952388459001698,-10.031167966316522,-0.07877950731482386,-1.4973080994198595,0.13461085479779072,-0.2248863907829747,0.08385809047295097,0.176,-0.4336757305220695,-4.246077245685593,2.1754565719044203e-05,3.263184857856631e-05,True
TSM,adr,log_gap_var,601,518,-9.997348188991186,-9.754869875520876,0.24247831347030946,1.5070173239809455,0.1320904849460612,-0.05614287422828763,0.5783708247800262,0.937,-0.6021859322788994,-7.468685047725823,8.100014960853351e-14,3.037505610320007e-13,True
TSM,adr,log_cc_var,601,518,-9.154566320958013,-8.722059144515434,0.43250717644257897,3.12657583522439,0.0018146536306525285,0.17117690557679283,0.7084944062418853,1.0,-0.6724689516913092,-7.361359930472564,1.8204597165161427e-13,5.851477660230458e-13,True
TSM,adr,log_range_var,601,518,-8.630188563122239,-8.291917287909369,0.33827127521287004,6.618347768839784,5.734380670237137e-11,0.20175037421683414,0.48568087092334206,1.0,-0.9114187959024641,-9.44324216125776,3.614195547923512e-21,3.252775993131161e-20,True
VTI,us_etf,log_gap_var,601,518,-11.961328804314856,-12.046684537297928,-0.08535573298307142,-0.48836308050485044,0.6253890300778524,-0.46642386737510366,0.2789371487623565,0.303,-0.20852360858461294,-3.070327231039644,0.002138243559419393,0.002915786671935536,True
VTI,us_etf,log_cc_var,601,518,-10.444972741431839,-11.01597206212056,-0.5709993206887223,-3.716286129220384,0.00021255650450588732,-0.8860453911268056,-0.22974342688101543,0.001,-0.4283375122854541,-6.421667804986896,1.3478931731345967e-10,3.1923785679503604e-10,True
VTI,us_etf,log_range_var,601,518,-9.88707153598169,-10.36883167652752,-0.4817601405458305,-7.438210426725371,2.0564121909178565e-13,-0.7059665872599665,-0.2477295615159654,0.0,-0.825810129513672,-8.035740737855807,9.301523872375964e-16,4.650761936187982e-15,True
