symbol,pre_spread_usd,weight_order_shares,source_rows,source_dates
AWI,0.0394133352506,24117822,2759,21
AWR,0.0770644794499,5901747,2493,21
AWRE,0.040043893199,4539095,1511,21
AWX,0.12064391183,272972,229,20
AXAS,0.0399531934974,4599675,391,2
AXDX,0.0608164479325,25381342,3364,21
AXE,0.163325384566,16431949,2033,21
AXGN,0.0421567334302,6765415,2163,21
AXL,0.012473326808,2438707,368,2
AXON,0.0466458373196,48374480,3223,21
AXR,0.0767816014103,6999493,1237,21
AXSM,0.132991745458,22609601,1586,21
AXTI,0.0261185955702,9890334,2673,21
AYA,0.0392160443635,11349319,1878,21
AYR,0.0282988444441,18703466,2869,21
AZPN,0.0274519006224,5889413,355,2
AZZ,0.164527511903,11466295,2296,21
B,0.0556875413448,6502628,2008,21
BABY,0.0675719439543,24460179,3513,21
BAH,0.0128319859833,2401999,271,2
BANC,0.0214856847049,21264724,3401,21
BANF,0.365628362969,4543463,1161,21
BANR,0.0714184661951,14228876,1875,21
BAS,0.00233282973051,21480883,637,2
BASI,0.0693429130853,30133,39,2
BBGI,0.341479201931,1211449,557,21
BBOX,0.0813187966259,37615219,1998,21
BBRG,0.0318249694467,6993523,2109,21
BBSI,0.239713074499,10742247,1852,21
BBW,0.0295676267764,3631078,1786,21
BBX,0.0858999108929,5002969,784,21
BC,0.0355699755976,872044,294,2
BCBP,0.101820032643,917802,651,21
BCC,0.0477901106225,19542049,2840,21
BCLI,0.0304788126704,20764108,1484,21
BCO,0.0307259134368,9656963,2314,21
BCOM,1.10652556879,526908,463,21
BCOR,0.0233257325721,9096374,2445,21
BCOV,0.0288536092122,16669247,2914,21
BCPC,0.254848821751,10297826,2129,21
BCRH,0.109549062346,9784310,1327,21
BCRX,0.0181932712135,706591,256,2
BDC,0.124402198584,723511,310,2
BDE,0.0290747678993,2167378,1430,21
BDGE,0.101689787019,17330621,1756,21
BDL,0.979332547693,664044,570,21
BDSI,0.014846441399,27056616,3383,21
BEAT,0.0350296938602,7301011,2506,21
BEAV,0.0363082959155,3703449,392,2
BECN,0.0406932636922,12907976,2882,21
BEL,0.0144910478443,4949266,1863,21
BELFA,1.39673133309,2579407,319,21
BELFB,0.134006729891,10484509,1529,21
BEP,0.0582029381759,166634,115,2
BERY,0.0205854985764,1490233,420,2
BETR,0.0227295226599,9372709,3008,21
BFAM,0.0651788561133,1795545,234,2
BFIN,0.0650378117697,1700534,949,21
BGC,0.0254836810829,11406964,2852,21
BGCP,0.249280370567,1354410,285,2
BGFV,0.0297408494911,15687980,2722,21
BGG,0.0159891650516,6118091,2396,21
BGS,0.0407312914082,30867799,4155,21
BGSF,0.148636320269,42544712,2851,21
BH,6.38327000925,2208154,1011,21
BHAC,0.1,2400,2,1
BHB,0.478316341226,2303903,919,21
BHBK,0.0600694241758,4310170,1379,21
BHE,0.0273361226787,2309610,1776,21
BHLB,0.0439171062124,16581777,2036,21
BID,0.0178535968118,3881076,431,2
BIG,0.037566759582,934543,337,2
BIO,0.482843897366,4332490,266,2
BIO B,1.66397785834,41650,58,20
BIOA,0.0650645053788,2517866,1315,21
BIOC,0.0962803062218,566844,173,2
BIOS,0.0311460654485,422653,179,2
BJRI,0.0463303921961,8067775,2365,21
BKE,0.0360046914984,10712910,2804,21
BKEP,0.0806751258425,15388481,1549,21
BKFS,0.0718047497798,30772332,2303,21
BKH,0.0605571609737,376925,222,2
BKJ,0.172611319407,236629,359,21
BKMU,0.0350762669442,1931340,1116,21
BKS,0.017259477235,22038469,4029,21
BKSC,0.65993016076,820165,459,21
BKU,0.0231796104833,4049993,476,2
BLBD,0.0815440628769,22179732,1703,21
BLCM,0.0752711580016,19056710,2935,21
BLD,0.0418277616367,9399734,2182,21
BLDP,0.0121804877453,2946456,397,2
BLDR,0.0230791356848,1094994,292,2
BLFS,0.0441600573199,5770424,252,2
BLKB,0.128481649843,1231717,242,2
BLMN,0.0342857802608,3039894,329,2
BLMT,0.398706327544,4500103,795,21
BLOX,0.0137945335977,89329484,4160,21
BLPH,0.0653655555949,366913,118,2
BLUE,0.147341762191,110056743,6596,21
BLVD,0.0745080281579,25286,25,8
BLX,0.0657100154465,5319643,2110,21
BMCH,0.0455244446729,5076918,1717,21
BMI,0.135977190702,6631151,2160,21
BMRC,1.02707970102,6944414,893,21
BMS,0.0217124105886,1957804,359,2
BMTC,0.114806080121,16390316,1415,21
BNCL,0.0162491055488,6190276,1511,21
BNCN,0.0471324351948,14346376,1840,21
BNED,0.0196583797722,12684969,2271,21
BNFT,0.12718015281,18674492,2019,21
BNSO,0.0316590110341,873296,229,2
BOBE,0.058083131973,15036145,2298,21
BOCH,0.0368955343922,1558041,665,21
BOFI,0.0357558482445,1255941,433,2
BOH,0.0746848008088,447083,219,2
BOJA,0.0452559923361,6369102,2067,21
BOKF,0.170077356253,1054927,205,2
BONT,0.0311835744161,152299,118,2
BOOM,0.0566256406209,7462721,1220,21
