Ticker_Symbol|Security_Name|Listing_Exchange|Effective_Date|Tick_Size_Pilot_Program_Group
PFS|Provident Financial Services Inc|N|20160906|C
PFSI|PennyMac Financial Services, Inc|N|20160906|G3
PGEM|Ply Gem Holdings, Inc.|N|20160906|G2
PGND|Press Ganey Holdings, Inc.|N|20160906|C
PHH|PHH Corporation|N|20160906|C
PHX|Panhandle Oil And Gas Inc|N|20160906|G1
PIP|Pharmathene Inc|A|20160906|G3
PJC|Piper Jaffray Companies|N|20160906|G1
PJT|PJT Partners Inc.|N|20160906|C
PKD|Parker Drilling|N|20160906|G2
PKE|Park Electrochemical|N|20160906|C
PLG|Platinum Grp Metals|A|20160906|C
PLNT|Planet Fitness, Inc.|N|20160906|C
PLOW|Douglas Dynamics Inc|N|20160906|G2
PLT|Plantronics|N|20160906|C
PMC|PharMerica Corporation|N|20160906|G3
PN|Patriot National, Inc.|N|20160906|C
PNM|PNM Resources Inc.|N|20160906|G1
POL|Polyone Corp|N|20160906|C
PRA|ProAssurance Corporation|N|20160906|G3
PRI|Primerica Inc|N|20160906|G2
PRK|Park National Corp|A|20160906|C
PRLB|Proto Labs Inc|N|20160906|G3
PRO|Pros Holdings Inc|N|20160906|C
PRTY|Party City Holdco Inc.|N|20160906|G3
PZN|Pzena Inv Mgnt Inc|N|20160906|C
QTWO|Q2 Holdings, Inc.|N|20160906|G2
QUAD|Quad Graphics Inc|N|20160906|C
QUOT|Quotient Technology Inc.|N|20160906|G3
RATE|Bankrate Inc|N|20160906|G2
RBC|Regal Beloit Corporation|N|20160906|G1
REED|Reed's Inc.|A|20160906|G2
REI|Ring Energy, Inc.|A|20160906|C
REV|Revlon|N|20160906|G2
REX|Rex American Resources Corp|N|20160906|C
RFP|Resolute Forest Products Inc|N|20160906|G2
RGR|Sturm Ruger & Co|N|20160906|G2
RGS|Regis Corp|N|20160906|C
RIC|Richmont Mines Inc|A|20160906|G3
RIGP|Transocean Partners LLC|N|20160906|C
RLGT|Radiant Logistics Inc|A|20160906|C
RLH|Red Lion Hotels Corp|N|20160906|G1
RM|Regional Management Corp|N|20160906|C
RMAX|RE/MAX Holdings, Inc.|N|20160906|G1
RMP|Rice Midstream Partners LP|N|20160906|C
RNG|RingCentral, Inc.|N|20160906|G2
ROG|Rogers|N|20160906|C
RRMS|Rose Rock Midstream Lp|N|20160906|C
RRTS|Roadrunner Transportation Sys In|N|20160906|C
RST|Rosetta Stone Inc|N|20160906|C
RT|Ruby Tuesday Georgia|N|20160906|C
RTEC|Rudolph Technologies, Inc.|N|20160906|G3
RUBI|The Rubicon Project, Inc.|N|20160906|C
RVP|Retractable Technolo|A|20160906|C
RWC|Relm Wireless Corp|A|20160906|G2
RXN|Rexnord Corporation|N|20160906|C
RYAM|Rayonier Advanced Materials Inc.|N|20160906|C
RYI|Ryerson Holding Corporation|N|20160906|G3
SA|Seabridge Gold Inc|N|20160906|G3
SAH|Sonic Automotive Inc|N|20160906|G1
SAIC|Science Applications Intl Corp.|N|20160906|C
SALT|Scorpio Bulkers Inc.|N|20160906|G3
SAM|Boston Beer|N|20160906|G2
SBR|Sabine Royalty Tr Ut Bi|N|20160906|G3
SBY|Silver Bay Realty Trust Corp.|N|20160906|C
SCL|Stepan|N|20160906|C
SCM|Stellus Capital Investment Corp.|N|20160906|C
SCNB|Suffolk Bancorp|N|20160906|C
SCS|Steelcase|N|20160906|G1
SCX|Starrett Ls Cla Common|N|20160906|G2
SEM|Select Medical Holdings Corp|N|20160906|G1
SEMG|Semgroup Corporation|N|20160906|G1
SF|Stifel Financial|N|20160906|C
SFE|Safeguard Scientifics|N|20160906|G3
SFL|Ship Finance International|N|20160906|G3
SFS|Smart & Final Stores, Inc.|N|20160906|G1
SGA|Saga Communications Inc|A|20160906|G1
SGB|Southwest Georgia|A|20160906|C
SGM|Stonegate Mortgage Corporation|N|20160906|C
SGU|Star Gas Partners|N|20160906|C
SIF|Sifco Industries Inc|A|20160906|G3
SJI|South Jersey Inds|N|20160906|C
SJT|San Juan Basin Royalty Tr|N|20160906|C
SJW|Sjw Corp|N|20160906|C
SKY|Skyline Corporation|A|20160906|C
SMLP|Summit Midstream Partners, LP|N|20160906|G2
SMP|Standard Mtr Prods|N|20160906|C
SNOW|Intrawest Resorts Holdings, Inc.|N|20160906|C
SPA|Sparton|N|20160906|C
SPH|Suburban Propane Partners|N|20160906|C
SPLP|Steel Partners Holdings Lp|N|20160906|G2
SPP|Sanchez Production Partners LP|A|20160906|G3
SPXC|SPX Corporation|N|20160906|C
SR|Spire Inc.|N|20160906|G1
SRI|Stoneridge|N|20160906|C
SRLP|Sprague Resources LP|N|20160906|G2
SRT|Startek|N|20160906|C
SSD|Simpson Manufacturing|N|20160906|C
SSI|Stage Stores|N|20160906|C
SSNI|Silver Spring Networks, Inc.|N|20160906|C
SSP|Scripps Ew (new)|N|20160906|C
SSTK|Shutterstock, Inc.|N|20160906|C
SSW|Seaspan Corp|N|20160906|C
STC|Stewart Information Services|N|20160906|C
STL|Sterling Bancorp|N|20160906|G2
STN|Stantec Inc|N|20160906|G3
STON|Stonemor Partners Lp|N|20160906|C
STRP|Straight Path Communications Inc|A|20160906|C
STS|Supreme Industries|A|20160906|C
SUN|Sunoco LP|N|20160906|C
SUP|Superior Industries Intl|N|20160906|G3
SVT|Servotronics Inc|A|20160906|C
SWM|Schweitzer-mauduit International|N|20160906|C
SXC|SunCoke Energy Inc.|N|20160906|C
SXCP|SunCoke Energy Partners, L.P.|N|20160906|G2
SXI|Standex International|N|20160906|G1
SYX|Systemax|N|20160906|C
TAC|Transalta Corp|N|20160906|G3
TBI|Trueblue Inc|N|20160906|G2
TCI|Transcontinental Rlty Invstrs|N|20160906|C
TCS|The Container Store Group, Inc.|N|20160906|C
TDOC|Teladoc, Inc.|N|20160906|G2
TEGP|Tallgrass Energy GP, LP|N|20160906|C
TG|Tredegar|N|20160906|G1
TGH|Textainer Gp Hldgs Limited|N|20160906|G1
TGI|Triumph Group|N|20160906|G2
TGP|Teekay Lng Partners L.p.|N|20160906|G2
THR|Thermon Group Holdings Inc|N|20160906|C
TIK|Tel Instrument Elect|A|20160906|G1
TIME|Time Inc.|N|20160906|G2
TIS|Orchids Paper Prod|A|20160906|C
TISI|Team Inc|N|20160906|G2
TKR|Timken|N|20160906|G3
TLP|Transmontaigne|N|20160906|C
TLYS|Tillys Inc|N|20160906|C
TMH|Team Health Holdings Inc|N|20160906|G1
TMHC|Taylor Morrison Home Corporation|N|20160906|C
TMP|Tompkins Finan Corp|A|20160906|C
TMST|TimkenSteel Corporation|N|20160906|C
TNC|Tennant|N|20160906|G3
TNET|TriNet Group, Inc.|N|20160906|C
TNH|Terra Nitrogen|N|20160906|C
TNP|Tsakos Energy Navigation Limited|N|20160906|C
TOF|Tofutti Brands Inc|A|20160906|G2
TOO|Teekay Offshore Partners L P|N|20160906|C
TOWR|Tower International Inc|N|20160906|G2
TPC|Tutor Perini Corporation|N|20160906|G1
TPHS|Trinity Place Holdings, Inc.|A|20160906|C
TPL|Texas Pac Ld Tr Sub Sh Ctfs|N|20160906|C
TPRE|Third Point Reinsurance Ltd.|N|20160906|G2
TR|Tootsie Roll Industries|N|20160906|G3
TRC|Tejon Ranch|N|20160906|C
TREC|Trecora Resources|N|20160906|G3
TREX|Trex|N|20160906|C
TRK|Speedway Motorsports|N|20160906|C
TRR|Trc Companies|N|20160906|G1
TRT|Trio Tech Intl|A|20160906|C
TSE|Trinseo, S.A.|N|20160906|G2
TSQ|Townsquare Media, Inc.|N|20160906|C
TVPT|Travelport Worldwide Limited|N|20160906|C
TWI|Titan International|N|20160906|C
UAM|Universal American Corp|N|20160906|C
UAN|Cvr Partners Lp|N|20160906|C
UCP|UCP, Inc.|N|20160906|G1
UFAB|Unique Fabricating, Inc.|A|20160906|C
UFI|Unifi|N|20160906|C
UFS|Domtar Corporation|N|20160906|C
UIS|Unisys|N|20160906|G1
UNF|UniFirst Corp.|N|20160906|G1
UNT|Unit|N|20160906|C
UNVR|Univar Inc.|N|20160906|C
USAC|USA Compression Partners, LP|N|20160906|C
USDP|USD Partners LP|N|20160906|G3
USNA|Usana Health Sciences|N|20160906|G1
USPH|U.S. Physical Therapy, Inc.|N|20160906|G3
UTI|Universal Technical Institute|N|20160906|C
UTL|Unitil Corporation|N|20160906|C
UUU|Universal Sec Inst|A|20160906|G1
UUUU|Energy Fuels Inc.|A|20160906|C
UVE|Universal Insurance Holdings|N|20160906|G2
UVV|Universal Holding Co|N|20160906|G2
VAC|Marriott Vacations Worldwide Cor|N|20160906|C
VC|Visteon Corporation|N|20160906|C
VCRA|Vocera Communications Inc|N|20160906|C
VEC|Vectrus, Inc.|N|20160906|C
VGR|Vector Group Ltd|N|20160906|C
VHC|Virnetx Hldg Corp|A|20160906|G1
VISI|Volt Information Sciences, Inc.|A|20160906|G3
VLP|Valero Energy Partners LP|N|20160906|C
VMI|Valmont Industries|N|20160906|G1
VNCE|Vince Holding Corp.|N|20160906|G2
VNRX|VolitionRx Limited|A|20160906|C
VOC|Voc Energy Trust|N|20160906|C
VPG|Vishay Precision Group Inc|N|20160906|G3
VRTV|Veritiv Corporation|N|20160906|G2
VSH|Vishay Intertechnology|N|20160906|G1
VSI|Vitamin Shoppe Inc|N|20160906|G1
VSLR|Vivint Solar, Inc.|N|20160906|G1
VSTO|Vista Outdoor Inc.|N|20160906|C
VTTI|VTTI Energy Partners LP|N|20160906|G1
VVI|Viad Corp|N|20160906|G2
WAC|Walter Investment Mgt Corp|N|20160906|G2
WAGE|WageWorks, Inc.|N|20160906|G1
WAIR|Wesco Aircraft Holdings Inc|N|20160906|G3
WCC|Wesco International|N|20160906|G1
WCIC|WCI Communities, Inc.|N|20160906|G2
WD|Walker & Dunlop Inc|N|20160906|C
WGO|Winnebago Inds|N|20160906|G3
WHG|Westwood Holdings Group Inc|N|20160906|C
WK|Workiva Inc.|N|20160906|G1
WLH|William Lyon Homes|N|20160906|C
WLKP|Westlake Chemical Partners LP|N|20160906|G3
WMK|Weis Markets|N|20160906|C
WMLP|Westmoreland Resrc Partners, L.P|N|20160906|C
WMS|Advanced Drainage Systems, Inc.|N|20160906|G2
WNRL|Western Refining Logistics, LP|N|20160906|G3
WOR|Worthington Industries|N|20160906|C
WPT|World Point Terminals, LP|N|20160906|C
WSO B|Watsco Inc|N|20160906|C
WTS|Watts Water Technologies Inc|N|20160906|G1
WWE|World Wrestling Entertainment|N|20160906|C
XOXO|Xo Group Inc|N|20160906|C
XRM|Xerium Technologies Inc (new)|N|20160906|C
XTLY|Xactly Corporation|N|20160906|G1
YDKN|Yadkin Financial Corporation|N|20160906|C
YUME|YuMe, Inc.|N|20160906|C
ZFC|ZAIS Financial Corp.|N|20160906|G2
AAME|Atlantic American Corporation Common Stock|Q|20160906|G2
AAOI|Applied Optoelectronics, Inc. Common Stock|Q|20160906|C
AAON|AAON, Inc. Common Stock|Q|20160906|G1
AAPC|Atlantic Alliance Partnership Corp. Ordinary Shares|Q|20160906|C
AAWW|Atlas Air Worldwide Holdings NEW Common Stock|Q|20160906|G2
ABAX|ABAXIS, Inc. Common Stock|Q|20160906|C
ABCB|Ameris Bancorp Common Stock|Q|20160906|G1
ABCD|Cambium Learning Group, Inc. Common Stock|Q|20160906|C
ABCO|Advisory Board Company (The) Common Stock|Q|20160906|G3
ABEO|Abeona Therapeutics Inc. Common Stock|Q|20160906|G3
ABIL|Ability Inc Ordinary Shares|Q|20160906|C
ABIO|ARCA biopharma, Inc. Common Stock|Q|20160906|G3
ABTL|Autobytel Inc. Common Stock|Q|20160906|C
ABTX|Allegiance Bancshares, Inc. Common Stock|Q|20160906|G2
ABUS|Arbutus Biopharma Corporation Common Stock|Q|20160906|G3
ABY|Atlantica Yield plc Ordinary Shares|Q|20160906|C
ACAT|Arctic Cat Inc. Common Stock|Q|20160906|C
ACBI|Atlantic Capital Bancshares, Inc. Common Stock|Q|20160906|G1
ACET|Aceto Corporation Common Stock|Q|20160906|C
ACFC|Atlantic Coast Financial Corporation Common Stock|Q|20160906|C
ACIW|ACI Worldwide, Inc. Common Stock|Q|20160906|C
ACLS|Axcelis Technologies, Inc. Common Stock|Q|20160906|G2
ACNB|ACNB Corporation Common Stock|Q|20160906|G1
ACOR|Acorda Therapeutics, Inc. Common Stock|Q|20160906|G1
ACRS|Aclaris Therapeutics, Inc. Common Stock|Q|20160906|C
ACRX|AcelRx Pharmaceuticals, Inc. Common Stock|Q|20160906|G2
ACSF|American Capital Senior Floating, Ltd. Common Stock|Q|20160906|G2
ACTA|Actua Corporation Common Stock|Q|20160906|G1
ACTG|Acacia Research Corporation (Acacia Tech) Common Stock|Q|20160906|G2
ACXM|Acxiom Corporation Common Stock|Q|20160906|C
ADHD|Alcobra Ltd. Ordinary Shares|Q|20160906|C
ADMA|ADMA Biologics Inc Common Stock|Q|20160906|C
ADMP|Adamis Pharmaceuticals Corporation Common Stock|Q|20160906|G3
ADMS|Adamas Pharmaceuticals, Inc. Common Stock|Q|20160906|C
ADRO|Aduro Biotech, Inc. Common Stock|Q|20160906|G3
ADTN|ADTRAN, Inc. Common Stock|Q|20160906|G1
ADUS|Addus HomeCare Corporation Common Stock|Q|20160906|G3
ADVM|Adverum Biotechnologies, Inc. Common Stock|Q|20160906|G3
AEGN|Aegion Corp Common Stock|Q|20160906|C
AEIS|Advanced Energy Industries, Inc. Common Stock|Q|20160906|C
AEMD|Aethlon Medical, Inc. Common Stock|Q|20160906|C
AEPI|AEP Industries Inc. Common Stock|Q|20160906|G2
AERI|Aerie Pharmaceuticals, Inc. Common Stock|Q|20160906|G3
AETI|American Electric Technologies, Inc. Common Stock|Q|20160906|G1
AEZS|AEterna Zentaris Inc. Common Stock|Q|20160906|G3
AFAM|Almost Family Inc Common Stock|Q|20160906|G1
AFH|Atlas Financial Holdings, Inc. Ordinary Shares|Q|20160906|G2
AFMD|Affimed N.V.|Q|20160906|G1
AGFS|AgroFresh Solutions, Inc. Common Stock|Q|20160906|C
AGII|Argo Group International Holdings, Ltd.|Q|20160906|G1
AGIO|Agios Pharmaceuticals, Inc. Common Stock|Q|20160906|C
AGRX|Agile Therapeutics, Inc. Common Stock|Q|20160906|C
AGTC|Applied Genetic Technologies Corporation Common Stock|Q|20160906|G2
AGYS|Agilysys, Inc. Common Stock|Q|20160906|C
AHGP|Alliance Holdings GP, L.P. Common Units Representing Limited Partner Interest|Q|20160906|C
AIMC|Altra Industrial Motion Corp. Common Stock|Q|20160906|G1
AIMT|Aimmune Therapeutics, Inc. Common Stock|Q|20160906|C
AIQ|Alliance HealthCare Services, Inc. Common Stock|Q|20160906|G1
AIRM|Air Methods Corporation Common Stock|Q|20160906|G1
AIRT|Air T, Inc. Common Stock|Q|20160906|G3
AKAO|Achaogen, Inc. Common Stock|Q|20160906|C
AKBA|Akebia Therapeutics, Inc. Common Stock|Q|20160906|C
AKER|Akers Biosciences Inc Common Stock|Q|20160906|G2
ALCO|Alico, Inc. Common Stock|Q|20160906|G3
ALDR|Alder BioPharmaceuticals, Inc. Common Stock|Q|20160906|G1
ALDX|Aldeyra Therapeutics, Inc. Common Stock|Q|20160906|G3
ALGT|Allegiant Travel Company Common Stock|Q|20160906|G1
ALLT|Allot Communications Ltd. Ordinary Shares|Q|20160906|C
ALOG|Analogic Corporation Common Stock|Q|20160906|G2
ALOT|AstroNova, Inc. Common Stock|Q|20160906|G1
ALRM|Alarm.com Holdings, Inc. Common Stock|Q|20160906|C
AMAG|AMAG Pharmaceuticals, Inc. Common Stock|Q|20160906|G1
AMBC|Ambac Financial Group, Inc. Common Stock|Q|20160906|C
AMCC|Applied Micro Circuits Corporation Common Stock|Q|20160906|G3
AMNB|American National Bankshares, Inc. Common Stock|Q|20160906|G2
AMOT|Allied Motion Technologies, Inc.|Q|20160906|C
AMPH|Amphastar Pharmaceuticals, Inc. Common Stock|Q|20160906|C
AMRB|American River Bankshares Common Stock|Q|20160906|C
AMRI|Albany Molecular Research, Inc. Common Stock|Q|20160906|C
AMRK|A-Mark Precious Metals, Inc. Common Stock|Q|20160906|C
AMSC|American Superconductor Corporation Common Stock|Q|20160906|C
AMSF|AMERISAFE, Inc. Common Stock|Q|20160906|G2
AMSWA|American Software, Inc. Class A Common Stock|Q|20160906|C
AMWD|American Woodmark Corporation Common Stock|Q|20160906|G1
ANCB|Anchor Bancorp Common Stock|Q|20160906|G1
ANCX|Access National Corporation Common Stock|Q|20160906|C
ANDE|Andersons, Inc. (The) Common Stock|Q|20160906|G2
ANGI|Angie's List, Inc. Common Stock|Q|20160906|C
ANGO|AngioDynamics, Inc. Common Stock|Q|20160906|C
ANIK|Anika Therapeutics Inc. Common Stock|Q|20160906|C
ANTH|Anthera Pharmaceuticals, Inc.|Q|20160906|C
AOSL|Alpha and Omega Semiconductor Limited Common Shares|Q|20160906|C
APDN|Applied DNA Sciences, Inc. Common Stock|Q|20160906|G3
APEI|American Public Education, Inc. Common Stock|Q|20160906|G1
APIC|Apigee Corporation Common Stock|Q|20160906|G3
APLP|Archrock Partners, L.P. Common Units representing Limited Partner Interests|Q|20160906|C
APOG|Apogee Enterprises, Inc. Common Stock|Q|20160906|C
APPF|AppFolio, Inc. Class A Common Stock|Q|20160906|G3
APTO|Aptose Biosciences, Inc. Common Shares|Q|20160906|G3
APWC|Asia Pacific Wire & Cable Corporation, Ltd. Ordinary Shares (Bermuda)|Q|20160906|G3
AQMS|Aqua Metals, Inc. Common Stock|Q|20160906|C
AQXP|Aquinox Pharmaceuticals, Inc. Common Stock|Q|20160906|C
ARAY|Accuray Incorporated Common Stock|Q|20160906|G1
ARCB|ArcBest Corporation Common Stock|Q|20160906|G1
ARCW|ARC Group Worldwide, Inc. Common Stock|Q|20160906|G2
ARDM|Aradigm Corporation Common Stock|Q|20160906|C
ARDX|Ardelyx, Inc. Common Stock|Q|20160906|G2
ARGS|Argos Therapeutics, Inc. Common Stock|Q|20160906|G3
ARII|American Railcar Industries, Inc. Common Stock (ND)|Q|20160906|C
ARIS|ARI Network Services, Inc. Common Stock|Q|20160906|C
ARKR|Ark Restaurants Corp. Common Stock|Q|20160906|C
ARLP|Alliance Resource Partners, L.P. Common Units representing Limited Partners Interests|Q|20160906|G1
ARLZ|Aralez Pharmaceuticals Inc. Common Shares|Q|20160906|C
AROW|Arrow Financial Corporation Common Stock|Q|20160906|G3
ARTNA|Artesian Resources Corporation Class A Common Stock|Q|20160906|C
ARTW|Art's-Way Manufacturing Co., Inc. Common Stock|Q|20160906|G1
ARTX|Arotech Corporation Common Stock|Q|20160906|G3
ARWA|Arowana Inc. Ordinary Shares|Q|20160906|C
ARWR|Arrowhead Pharmaceuticals, Inc. Common Stock|Q|20160906|C
ASBB|ASB Bancorp, Inc. Common Stock|Q|20160906|G3
ASCMA|Ascent Capital Group, Inc. Series A Common Stock|Q|20160906|C
ASFI|Asta Funding, Inc. Common Stock|Q|20160906|G1
ASMB|Assembly Biosciences, Inc. Common Stock|Q|20160906|C
ASPS|Altisource Portfolio Solutions S.A. Common Stock|Q|20160906|C
ASRV|AmeriServ Financial Inc. Common Stock|Q|20160906|G3
ASTE|Astec Industries, Inc. Common Stock|Q|20160906|C
ASUR|Asure Software, Inc Common Stock|Q|20160906|C
ASYS|Amtech Systems, Inc. Common Stock|Q|20160906|C
ATAX|America First Multifamily Investors, L.P. Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests|Q|20160906|G3
ATLC|Atlanticus Holdings Corporation Common Stock|Q|20160906|C
ATLO|Ames National Corporation Common Stock|Q|20160906|G3
ATNI|ATN International, Inc. Common Stock|Q|20160906|C
ATRA|Atara Biotherapeutics, Inc. Common Stock|Q|20160906|G2
ATRC|AtriCure, Inc. Common Stock|Q|20160906|C
ATRI|Atrion Corporation Common Stock|Q|20160906|G3
ATRO|Astronics Corporation Common Stock|Q|20160906|C
ATSG|Air Transport Services Group, Inc|Q|20160906|C
ATTU|Attunity Ltd. Ordinary Shares|Q|20160906|C
AUBN|Auburn National Bancorporation, Inc. Common Stock|Q|20160906|C
AUDC|AudioCodes Ltd. Common Stock|Q|20160906|C
AVAV|AeroVironment, Inc. Common Stock|Q|20160906|C
AVGR|Avinger, Inc. Common Stock|Q|20160906|G3
AVHI|A V Homes, Inc. Common Stock|Q|20160906|G1
AVID|Avid Technology, Inc. Common Stock|Q|20160906|C
AWRE|Aware, Inc. Common Stock|Q|20160906|G1
AXAR|Axar Acquisition Corp. Common Stock|Q|20161011|G1
AXDX|Accelerate Diagnostics, Inc. Common Stock|Q|20160906|G2
AXGN|AxoGen, Inc. Common Stock|Q|20160906|G1
AXSM|Axsome Therapeutics, Inc. Common Stock|Q|20160906|G3
AXTI|AXT Inc Common Stock|Q|20160906|G3
AYA|Amaya Inc. Common Stock|Q|20160906|G3
BABY|Natus Medical Incorporated Common Stock|Q|20160906|G1
BANF|BancFirst Corporation Common Stock|Q|20160906|G1
BANR|Banner Corporation Common Stock|Q|20160906|C
BBGI|Beasley Broadcast Group, Inc. Class A Common Stock|Q|20160906|G2
BBOX|Black Box Corporation Common Stock|Q|20160906|G2
BBRG|Bravo Brio Restaurant Group, Inc. Common Stock|Q|20160906|G1
BBSI|Barrett Business Services, Inc. Common Stock|Q|20160906|C
BCBP|BCB Bancorp, Inc. (NJ) Common Stock|Q|20160906|G1
BCLI|Brainstorm Cell Therapeutics Inc. Common Stock|Q|20160906|C
BCOM|B Communications Ltd|Q|20160906|C
BCOR|Blucora, Inc. Common Stock|Q|20160906|G2
BCOV|Brightcove Inc. Common Stock|Q|20160906|G3
BCPC|Balchem Corporation Common Stock|Q|20160906|C
BDE|Black Diamond, Inc Common Stock|Q|20160906|G1
BDGE|Bridge Bancorp, Inc. Common Stock|Q|20160906|G1
BDSI|BioDelivery Sciences International, Inc. Common Stock|Q|20160906|G3
BEAT|BioTelemetry, Inc. Common Stock|Q|20160906|G1
BECN|Beacon Roofing Supply, Inc. Common Stock|Q|20160906|C
BELFA|Bel Fuse Inc. Class A Common Stock|Q|20160906|C
BELFB|Bel Fuse Inc. Class B Common Stock|Q|20160906|G1
BFIN|BankFinancial Corporation Common Stock|Q|20160906|C
BGFV|Big 5 Sporting Goods Corporation Common Stock|Q|20160906|G2
BHBK|Blue Hills Bancorp, Inc. Common Stock|Q|20160906|G3
BJRI|BJ's Restaurants, Inc. Common Stock|Q|20160906|G3
BKEP|Blueknight Energy Partners L.P. Common Units|Q|20160906|G1
BKMU|Bank Mutual Corporation Common Stock|Q|20160906|G1
BKSC|Bank of South Carolina Corp. Common Stock|Q|20160906|G1
BLBD|Blue Bird Corporation Common Stock|Q|20160906|G3
BLCM|Bellicum Pharmaceuticals, Inc. Common Stock|Q|20160906|C
BLMT|BSB Bancorp, Inc. Common Stock|Q|20160906|G2
BLUE|bluebird bio, Inc. Common Stock|Q|20160906|G2
BLVD|Boulevard Acquisition Corp. II Class A Common Stock|Q|20160906|C
BMCH|BMC Stock Holdings, Inc. Common Stock|Q|20160906|G1
BMRC|Bank of Marin Bancorp Common Stock|Q|20160906|G1
BMTC|Bryn Mawr Bank Corporation Common Stock|Q|20160906|G2
BNCL|Beneficial Bancorp, Inc. Common Stock|Q|20160906|G1
BNCN|BNC Bancorp|Q|20160906|G2
BNFT|Benefitfocus, Inc. Common Stock|Q|20160906|G1
BOBE|Bob Evans Farms, Inc. Common Stock|Q|20160906|C
BOCH|Bank of Commerce Holdings (CA) Common Stock|Q|20160906|G1
BOJA|Bojangles', Inc. Common Stock|Q|20160906|G1
BOOM|Dynamic Materials Corporation Common Stock|Q|20160906|G3
BOSC|B.O.S. Better Online Solutions Common Stock|Q|20160906|C
BOTJ|Bank of the James Financial Group, Inc. Common Stock|Q|20160906|C
BPFH|Boston Private Financial Holdings, Inc. Common Stock|Q|20160906|G3
BPMC|Blueprint Medicines Corporation Common Stock|Q|20160906|C
BREW|Craft Brew Alliance, Inc Common Stock|Q|20160906|G2
BRID|Bridgford Foods Corporation Common Stock|Q|20160906|C
BRKL|Brookline Bancorp, Inc. Common Stock|Q|20160906|G2
BRKS|Brooks Automation, Inc.|Q|20160906|C
BSET|Bassett Furniture Industries, Incorporated Common Stock|Q|20160906|G3
BSF|Bear State Financial, Inc. Common Stock|Q|20160906|C
BSFT|BroadSoft, Inc. Common Stock|Q|20160906|G1
BSQR|BSQUARE Corporation Common Stock|Q|20160906|G1
BSRR|Sierra Bancorp Common Stock|Q|20160906|C
BSTC|BioSpecifics Technologies Corp. Common Stock|Q|20160906|C
BUSE|First Busey Corporation Class A Common Stock|Q|20160906|C
BV|Bazaarvoice, Inc. Common Stock|Q|20160906|G2
BVSN|BroadVision, Inc. Common Stock|Q|20160906|G3
BWEN|Broadwind Energy, Inc. Common Stock|Q|20160906|C
BWFG|Bankwell Financial Group, Inc. Common Stock|Q|20160906|C
BWINA|Baldwin & Lyons, Inc. Class A Common Stock|Q|20160906|C
BWINB|Baldwin & Lyons, Inc. Class B Common Stock|Q|20160906|G2
BWLD|Buffalo Wild Wings, Inc. Common Stock|Q|20160906|G2
BYBK|Bay Bancorp, Inc. Common Stock|Q|20160906|G3
CAAS|China Automotive Systems, Inc. Common Stock|Q|20160906|C
CAC|Camden National Corporation Common Stock|Q|20160906|C
CACB|Cascade Bancorp Common Stock|Q|20160906|C
CACQ|Caesars Acquisition Company Class A Common Stock|Q|20160906|G3
CADC|China Advanced Construction Materials Group, Inc. Common Stock (NV)|Q|20160906|G1
CAFD|8point3 Energy Partners LP Class A shares|Q|20160906|C
CAKE|Cheesecake Factory Incorporated (The) Common Stock|Q|20160906|C
CALA|Calithera Biosciences, Inc. Common Stock|Q|20160906|G2
CALD|Callidus Software, Inc. Common Stock|Q|20160906|G3
CALL|magicJack VocalTec Ltd Ordinary Shares|Q|20160906|G1
CALM|Cal-Maine Foods, Inc. Common Stock|Q|20160906|G3
CAMP|CalAmp Corp. Common Stock|Q|20160906|C
CAMT|Camtek Ltd. Ordinary Shares|Q|20160906|C
CAPR|Capricor Therapeutics, Inc. Common Stock|Q|20160906|C
CARA|Cara Therapeutics, Inc. Common Stock|Q|20160906|C
CARB|Carbonite, Inc. Common Stock|Q|20160906|G3
CARO|Carolina Financial Corporation Common Stock|Q|20160906|C
CART|Carolina Trust BancShares|Q|20160906|C
CARV|Carver Bancorp, Inc. Common Stock|Q|20160906|C
CASH|Meta Financial Group, Inc. Common Stock|Q|20160906|G1
CASS|Cass Information Systems, Inc Common Stock|Q|20160906|C
CATB|Catabasis Pharmaceuticals, Inc. Common Stock|Q|20160906|C
CATM|Cardtronics plc Class A Ordinary Shares (UK)|Q|20160906|C
CATY|Cathay General Bancorp Common Stock|Q|20160906|C
CBAK|China BAK Battery, Inc. Common Stock|Q|20160906|G2
CBAN|Colony Bankcorp, Inc. Common Stock|Q|20160906|G2
CBF|Capital Bank Financial Corp. Class A Common Stock|Q|20160906|G1
CBFV|CB Financial Services, Inc. Common Stock|Q|20160906|G1
CBMG|Cellular Biomedicine Group, Inc. Common Stock|Q|20160906|G2
CBMX|CombiMatrix Corporation Common Stock|Q|20160906|G2
CBNK|Chicopee Bancorp, Inc. Common Stock|Q|20160906|C
CBPO|China Biologic Products, Inc. Common Stock|Q|20160906|C
CCBG|Capital City Bank Group Common Stock|Q|20160906|C
CCLP|CSI Compressco LP Common Units|Q|20160906|C
CCMP|Cabot Microelectronics Corporation Common Stock|Q|20160906|C
CCN|CardConnect Corp. Common Stock|Q|20160906|G1
CCNE|CNB Financial Corporation Common Stock|Q|20160906|C
CCOI|Cogent Communications Holdings, Inc.|Q|20160906|G3
CCRN|Cross Country Healthcare, Inc. Common Stock $0.0001 Par Value|Q|20160906|C
CCUR|Concurrent Computer Corporation Common Stock|Q|20160906|C
