symbol,group,listing_exchange,yahoo_symbol,pre_spread_usd,weight_order_shares,source_rows,source_dates,spread_stratum
CEMP,G3,Q,CEMP,0.0506095117905,30510428,5065,21,narrow
CENT,C,Q,CENT,0.0482397997199,10210602,2369,21,narrow
CEQP,G2,N,CEQP,0.0639618322123,14524976,2989,21,narrow
CERC,C,Q,CERC,0.0854673969954,7312826,1440,21,narrow
CETV,G1,Q,CETV,0.0208356599699,2675622,1013,21,narrow
CETX,C,Q,CETX,0.0400154908718,9993821,2573,21,narrow
CEVA,G2,Q,CEVA,0.0929056900266,8573879,2517,21,narrow
CFCB,C,Q,CFCB,0.651412250979,2581859,580,21,wide
CFFI,G3,Q,CFFI,0.986104139458,1205979,561,21,wide
CFFN,C,Q,CFFN,0.0170793206744,3869720,1703,21,narrow
CFI,G1,N,CFI,0.0918081151044,11061090,1876,21,narrow
CFMS,C,Q,CFMS,0.0329336658742,12512546,2673,21,narrow
CFNB,G1,Q,CFNB,0.487994206975,241411,206,21,wide
CFNL,C,Q,CFNL,0.0402755310443,16159999,2298,21,narrow
CFRX,G3,Q,CFRX,0.0397617956332,13757019,1870,21,narrow
CG,G2,Q,CG,0.0264055930542,11698510,3561,21,narrow
CGEN,G2,Q,CGEN,0.0273315630104,7930248,2154,21,narrow
CGI,G3,N,CGI,0.038653581152,6910807,2762,21,narrow
CGIX,G3,Q,CGIX,0.0276479608987,9646014,2260,21,narrow
CHCO,C,Q,CHCO,0.190928287892,6673721,1559,21,wide
CHDN,G3,Q,CHDN,0.472093598125,12720196,1881,21,wide
CHE,C,N,CHE,0.586329160778,14133992,2369,21,wide
CHEF,G1,Q,CHEF,0.0442238203996,8299315,2051,21,narrow
CHFC,C,Q,CHFC,0.032454118901,24599450,2794,21,narrow
CHFN,C,Q,CHFN,0.11327698879,8220524,1120,21,middle_excluded
CHGG,C,N,CHGG,0.014499313999,16753473,2572,21,narrow
CHH,G1,N,CHH,0.0514361644332,10810934,1992,21,narrow
CHKE,G3,Q,CHKE,0.0940829697277,18611417,1954,21,narrow
CHKR,G1,N,CHKR,0.0284179172973,8380572,2492,21,narrow
CHMA,G3,Q,CHMA,0.0438098407309,8582767,2243,21,narrow
CHMG,C,Q,CHMG,0.661174492558,1984166,819,21,wide
CHMT,G3,N,CHMT,0.0208506847742,41540919,3149,21,narrow
CHRS,G3,Q,CHRS,0.105523388203,39479139,2862,21,middle_excluded
CHUY,G3,Q,CHUY,0.0459346380639,14668086,2566,21,narrow
CIA,C,N,CIA,0.0572353455318,6719483,1787,21,narrow
CIFC,G1,Q,CIFC,0.0625314721815,1043010,624,21,narrow
CIGI,G2,Q,CIGI,0.161745206281,8439398,1153,21,wide
CINR,C,N,CINR,0.341405596694,39697113,2052,21,wide
CIR,C,N,CIR,0.239266412429,10943027,1547,21,wide
CIVB,C,Q,CIVB,0.132147353765,2712042,1011,21,middle_excluded
CIVI,G2,N,CIVI,0.0613858393051,7367541,1608,21,narrow
CIX,G1,A,CIX,0.238172919691,2411361,805,21,wide
CIZN,G2,Q,CIZN,1.35313917836,143615,219,21,wide
CKEC,G1,Q,CKEC,0.0623111329081,5530846,1730,21,narrow
CKH,C,N,CKH,0.198014793392,13308976,1989,21,wide
CKX,G3,A,CKX,0.519226591102,54082,59,13,wide
CLAC,G3,Q,CLAC,0.106691456052,150235,19,13,middle_excluded
CLBH,C,Q,CLBH,0.288682680383,608316,227,21,wide
CLCD,G3,Q,CLCD,0.113459154801,114270245,5821,21,middle_excluded
CLCT,C,Q,CLCT,0.135657954305,2058577,1206,21,middle_excluded
CLFD,G3,Q,CLFD,0.0710790359797,3065309,1131,21,narrow
CLH,C,N,CLH,0.0524651373987,10476952,2688,21,narrow
CLIR,G2,Q,CLIR,0.0651573815377,12467592,1540,21,narrow
CLMS,C,Q,CLMS,0.0357407127356,2828314,1861,21,narrow
CLMT,G2,Q,CLMT,0.0218370348072,48534658,4516,21,narrow
CLRO,G3,Q,CLRO,0.245219969841,667797,489,21,wide
CLS,C,N,CLS,0.0127534838117,2256049,1138,21,narrow
CLUB,G1,Q,CLUB,0.0604063353157,3183251,1246,21,narrow
CLW,G3,N,CLW,0.232904628637,7028764,1724,21,wide
CLWT,G3,Q,CLWT,0.153769623137,9852775,1270,21,wide
CMCO,C,Q,CMCO,0.0755411876457,5816499,1249,21,narrow
CMCT,G2,Q,CMCT,0.573504686398,5704915,936,21,wide
CMFN,G3,Q,CMFN,0.0762926803685,6023295,1549,21,narrow
CMP,G2,N,CMP,0.0929333376198,19619694,3290,21,narrow
CMRE,C,N,CMRE,0.0332214103942,13343617,3101,21,narrow
CMT,C,A,CMT,0.110329916877,41086244,2526,21,middle_excluded
CMTL,C,Q,CMTL,0.0259748000312,10511267,2385,21,narrow
CNBKA,G2,Q,CNBKA,0.511117293267,393552,404,21,wide
CNCE,C,Q,CNCE,0.0554307486401,12815383,1884,21,narrow
CNFR,G3,Q,CNFR,0.328646441255,9738714,991,21,wide
CNMD,C,Q,CNMD,0.0746163540367,9408833,1787,21,narrow
CNNX,C,N,CNNX,0.0839054547055,71141567,2628,21,narrow
CNOB,G2,Q,CNOB,0.0794986148031,1786172,1047,21,narrow
CNS,C,N,CNS,0.0933980353663,10821254,1909,21,narrow
CNSL,C,Q,CNSL,0.0464486520577,4957371,2186,21,narrow
CNTY,C,Q,CNTY,0.041599178539,3524574,1043,21,narrow
CNV,C,Q,CNV,0.019260893707,1089216,696,21,narrow
CNXC,G2,N,CNXC,0.161620525614,20818500,2131,21,wide
CNXN,C,Q,CNXN,0.123697868061,2141759,755,16,middle_excluded
CO,C,N,CO,0.0337104140898,2382551,718,21,narrow
COB,C,Q,COB,0.158184384328,2111635,637,21,wide
COBZ,C,Q,COBZ,0.0485110434117,10829081,1386,21,narrow
CODI,G3,N,CODI,0.038365508439,11435403,2477,21,narrow
COGT,C,Q,COGT,0.0638519191348,2421117,533,5,narrow
COHR,C,Q,COHR,0.216723444059,5996628,2172,21,wide
COHU,C,Q,COHU,0.049413491074,6869038,1409,21,narrow
COKE,C,Q,COKE,0.693297599132,35305444,2467,21,wide
COLB,C,Q,COLB,0.0320571539229,24588041,2420,21,narrow
COLL,C,Q,COLL,0.0682014939856,29470364,3330,21,narrow
CONN,G3,Q,CONN,0.0251165086714,49861293,5198,21,narrow
CORE,C,Q,CORE,0.0445912130311,20551114,2700,21,narrow
CORI,C,Q,CORI,0.0894308688914,4980979,1261,21,narrow
CORR,C,N,CORR,0.0796667487294,13865819,2668,21,narrow
CORT,C,Q,CORT,0.0212358902622,9587361,2275,21,narrow
COT,C,N,COT,0.0131772099333,12465874,2581,21,narrow
COVS,G3,Q,COVS,0.0627402838218,1650613,975,21,narrow
COWN,G1,Q,COWN,0.0131869109499,8806827,2008,21,narrow
CPAH,C,Q,CPAH,0.166447072858,240576,240,21,wide
CPF,C,N,CPF,0.0401363146017,3490483,1348,21,narrow
CPHC,G2,Q,CPHC,0.377587910161,273155,263,21,wide
CPHD,G3,Q,CPHD,0.0138441959885,116127526,4240,21,narrow
CPHR,C,Q,CPHR,0.254720784839,3958241,887,21,wide
CPIX,C,Q,CPIX,0.361253194199,420935,289,21,wide
CPK,G2,N,CPK,0.191864445407,8445207,2095,21,wide
CPLA,G3,Q,CPLA,0.238045777591,7267036,1486,21,wide
CPLP,C,Q,CPLP,0.0399616340965,20949044,3620,21,narrow
CPPL,G2,N,CPPL,0.0227015323634,34795598,3261,21,narrow
CPS,C,N,CPS,0.156229202361,13289237,2516,21,wide
CPSI,G3,Q,CPSI,0.0489328885236,19418491,2950,21,narrow
CPSS,C,Q,CPSS,0.0469940926568,5877820,1578,21,narrow
CPTA,C,Q,CPTA,0.0377311944825,17666044,2626,21,narrow
CRAI,C,Q,CRAI,0.176822050943,39080293,1769,21,wide
CRAY,G3,Q,CRAY,0.0337246934076,27014206,3309,21,narrow
CRBP,G1,Q,CRBP,0.0296626411683,70675936,5883,21,narrow
CRCM,C,N,CRCM,0.0458490662732,2312293,1535,21,narrow
CRD A,C,N,CRD A,0.060013822329,2074115,837,21,narrow
CRD B,C,N,CRD B,0.0836679857448,2207754,1181,21,narrow
CRHM,G3,A,CRHM,0.0210510002919,2243895,785,21,narrow
CRME,C,Q,CRME,0.0339602192784,2923680,1301,21,narrow
CRMT,G1,Q,CRMT,0.172129727633,9692346,1808,21,wide
CROX,C,Q,CROX,0.0237601468174,7769244,2432,21,narrow
CRR,C,N,CRR,0.0251471869746,13987165,3487,21,narrow
CRS,C,N,CRS,0.0764492393609,17380581,2667,21,narrow
CRT,C,N,CRT,0.227537716125,2907698,1410,21,wide
CRVL,G3,Q,CRVL,0.351519059045,12846866,1499,21,wide
CRWS,G3,Q,CRWS,0.111597418433,722933,587,21,middle_excluded
CRY,G1,N,CRY,0.0296900518755,13007105,3040,21,narrow
CSBK,C,Q,CSBK,0.0499494911569,1146031,976,21,narrow
CSFL,C,Q,CSFL,0.0355957297567,11023002,1685,21,narrow
CSGS,C,Q,CSGS,0.0807454164164,4202956,1699,21,narrow
CSII,C,Q,CSII,0.0461374523848,10952384,2570,21,narrow
CSLT,G1,N,CSLT,0.0145486668913,7759945,2152,21,narrow
CSOD,C,Q,CSOD,0.0626317556174,23608960,3052,21,narrow
CSPI,C,Q,CSPI,0.146719339703,11649248,1488,21,middle_excluded
CSS,C,N,CSS,0.197676618601,1736021,1039,21,wide
CSTE,G1,Q,CSTE,0.0915394238077,24314034,2634,21,narrow
CSTM,G2,N,CSTM,0.0129725354107,18769831,2617,21,narrow
CSU,C,N,CSU,0.0366537931346,6060502,2015,21,narrow
CSV,C,N,CSV,0.050708074808,2780933,1389,21,narrow
CSWC,C,Q,CSWC,0.114853937414,5799618,1000,21,middle_excluded
CSWI,G2,Q,CSWI,0.110625945893,9363528,1652,21,middle_excluded
CTB,G3,N,CTB,0.0383061392757,6074267,2993,21,narrow
CTBI,G3,Q,CTBI,0.169734357492,3517067,1124,21,wide
CTG,C,Q,CTG,0.032260329487,2967340,968,21,narrow
CTIB,C,Q,CTIB,0.25082709839,453300,261,21,wide
CTMX,C,Q,CTMX,0.100757649065,51955769,2407,21,middle_excluded
CTO,C,A,CTO,0.593603305614,4257091,1176,21,wide
CTRE,C,Q,CTRE,0.0262871279667,7125269,2231,21,narrow
CTRL,C,Q,CTRL,0.0283603563,12204658,2656,21,narrow
CTRN,C,Q,CTRN,0.0638667692959,8638541,1405,21,narrow
CTS,G3,N,CTS,0.0518232039476,1174576,974,21,narrow
CTSO,G1,Q,CTSO,0.0449316368533,7094906,2177,21,narrow
CTWS,C,Q,CTWS,0.216931913825,10825177,1896,21,wide
CUB,G1,N,CUB,0.074586743845,4560259,1933,21,narrow
CUBI,C,N,CUBI,0.0490342013114,13962757,1737,21,narrow
CUBN,C,Q,CUBN,0.653468566686,7422994,905,21,wide
CUDA,C,N,CUDA,0.0520650844319,6128252,2905,21,narrow
CUI,C,Q,CUI,0.0642278966349,4156064,1397,21,narrow
CUNB,G3,Q,CUNB,0.242702955131,13641866,1195,21,wide
CUO,G2,A,CUO,0.818907962453,1174726,600,21,wide
CUTR,G2,Q,CUTR,0.076637717631,6893723,1222,21,narrow
CVA,G2,N,CVA,0.012113075977,12436738,3365,21,narrow
CVBF,C,Q,CVBF,0.0209240168548,4626580,1737,21,narrow
CVCO,G1,Q,CVCO,0.995787428053,38554195,2298,21,wide
CVCY,C,Q,CVCY,0.125451172455,12896610,1308,21,middle_excluded
CVG,C,N,CVG,0.0189347501291,4727781,2317,21,narrow
CVGI,C,Q,CVGI,0.0287523201726,18289997,2775,21,narrow
CVGW,G2,Q,CVGW,0.256342794735,22778358,2726,21,wide
CVLT,G3,Q,CVLT,0.0658818699667,13385447,2304,21,narrow
CVLY,C,Q,CVLY,0.131925144441,1383606,746,21,middle_excluded
CVR,C,A,CVR,1.05130941417,309289,434,21,wide
CVRR,G3,N,CVRR,0.0333585212338,42822144,5333,21,narrow
CVT,C,N,CVT,0.0528318663329,10889113,2300,21,narrow
CVTI,C,Q,CVTI,0.0783586071288,13160370,1773,21,narrow
CVU,G3,A,CVU,0.106172221755,1793605,463,21,middle_excluded
CVV,C,Q,CVV,0.15355278688,15398726,1299,21,wide
CWAY,G3,Q,CWAY,0.232521134418,158372,257,21,wide
CWBC,G3,Q,CWBC,0.137899542974,83365,142,21,middle_excluded
CWCO,G3,Q,CWCO,0.0449555524083,4056465,1802,21,narrow
CWEI,C,N,CWEI,0.350992800161,120709968,4686,21,wide
CWST,C,Q,CWST,0.028401359785,5696636,1854,21,narrow
CWT,G1,N,CWT,0.0460573622526,2879927,2230,21,narrow
CXDC,G2,Q,CXDC,0.08607103357,5359366,1056,21,narrow
CXRX,C,Q,CXRX,0.0185310300714,48100376,5444,21,narrow
CYAN,G3,Q,CYAN,0.242841108411,606905,431,21,wide
CYBE,G1,Q,CYBE,0.193739519281,26831156,2657,21,wide
CYBR,C,Q,CYBR,0.0734915820421,98126673,5038,21,narrow
CYD,C,N,CYD,0.0970112214964,4325154,1200,21,narrow
CYNO,G3,Q,CYNO,0.0906823269268,13829700,2910,21,narrow
CYRN,G3,Q,CYRN,0.040357466237,4517818,913,21,narrow
CYTK,G3,Q,CYTK,0.0231079637937,18342891,2943,21,narrow
CZFC,C,Q,CZFC,0.591537218928,947354,494,21,wide
CZNC,C,Q,CZNC,0.204143876468,2733488,1045,21,wide
CZR,G1,Q,CZR,0.0193300994686,45061161,4148,21,narrow
CZWI,C,Q,CZWI,0.380211875017,5769255,927,21,wide
DAC,G3,N,DAC,0.0358673525483,3130958,1592,21,narrow
DAIO,C,Q,DAIO,0.0979976042057,597088,517,21,narrow
DAKT,C,Q,DAKT,0.0160059151222,45299690,2945,21,narrow
DAVE,G1,Q,DAVE,0.0732493295133,3069412,1125,21,narrow
DBD,G1,N,DBD,0.0218606866686,19058858,3687,21,narrow
DCO,C,N,DCO,0.0929392012369,36107552,2445,21,narrow
DCOM,G1,Q,DCOM,0.0318843097919,12948936,1703,21,narrow
DDC,C,N,DDC,0.0140866242143,7554502,2522,21,narrow
DDS,C,N,DDS,0.0731518586045,21740182,3516,21,narrow
DECK,C,N,DECK,0.0565896310618,13675026,3338,21,narrow
DEL,C,N,DEL,0.427793633316,21650376,1587,21,wide
DENN,C,Q,DENN,0.01619484937,5974376,1785,21,narrow
DERM,C,Q,DERM,0.0815547269726,15701720,2223,21,narrow
DEST,C,Q,DEST,0.0741447558694,45612909,1988,21,narrow
DFBG,G2,Q,DFBG,0.20509410535,12435309,1498,21,wide
DFRG,G1,Q,DFRG,0.0467839591836,8102337,1651,21,narrow
DGAS,C,Q,DGAS,0.302627090476,14607499,1410,21,wide
DGI,G2,N,DGI,0.0303468945847,7860720,2374,21,narrow
DGICA,C,Q,DGICA,0.123793314976,3226256,915,21,middle_excluded
DGICB,G3,Q,DGICB,1.10084949227,19203,37,6,wide
DGII,G3,Q,DGII,0.0375379333957,9620913,1568,21,narrow
DGLY,G1,Q,DGLY,0.0797253214997,3509879,1944,21,narrow
DHIL,C,Q,DHIL,3.3934718237,4991020,966,21,wide
DHX,G1,N,DHX,0.0142604376568,3191770,1574,21,narrow
DHXM,G1,Q,DHXM,0.136844314673,38879425,341,21,middle_excluded
DIN,C,N,DIN,0.0809884397766,17657029,2440,21,narrow
DIOD,C,Q,DIOD,0.060548265163,2785622,1653,21,narrow
DISCB,G2,Q,DISCB,1.76823967005,223854,41,17,wide
DIT,G3,A,DIT,2.1128662689,158302,288,21,wide
DJCO,C,Q,DJCO,7.04513566631,2504495,659,21,wide
DKL,G2,N,DKL,0.216260468056,22912144,2089,21,wide
DLA,C,A,DLA,0.149700345067,9367171,1716,21,middle_excluded
DLHC,C,Q,DLHC,0.159671608477,3338338,869,21,wide
DLNG,C,N,DLNG,0.0602744398563,11670979,2607,21,narrow
DLTH,C,Q,DLTH,0.0905565774409,16881117,2873,21,narrow
DM,G1,N,DM,0.0922843854636,22436068,2763,21,narrow
DMD,G2,N,DMD,0.0411620368909,1210109,1107,21,narrow
DMLP,G1,Q,DMLP,0.23246989232,15191343,1738,21,wide
DMRC,G3,Q,DMRC,0.242911947499,16785094,1821,21,wide
DMTX,G3,Q,DMTX,0.117821025449,40693809,2323,21,middle_excluded
DNBF,G2,Q,DNBF,0.636614079463,710645,201,18,wide
DOOR,G2,N,DOOR,0.119588595853,5186464,1832,21,middle_excluded
DORM,C,Q,DORM,0.125732644245,15809546,2159,21,middle_excluded
DPLO,C,N,DPLO,0.0435286396879,26429677,3843,21,narrow
DPRX,G1,Q,DPRX,0.237074152149,15582305,2187,21,wide
DRAD,G2,Q,DRAD,0.0395045693041,5277390,1686,21,narrow
DRNA,C,Q,DRNA,0.038141402018,24076609,3042,21,narrow
DRQ,G1,N,DRQ,0.0604970964828,18318748,3007,21,narrow
DRWI,G3,Q,DRWI,0.0407134839879,3123082,946,21,narrow
DSCI,G1,Q,DSCI,0.0402563481719,3093426,1033,21,narrow
DSGX,G1,Q,DSGX,0.0739866422777,2149603,645,21,narrow
DSPG,G2,Q,DSPG,0.0476687474818,6204764,1489,21,narrow
DSX,C,N,DSX,0.0150338407863,18076421,3203,21,narrow
DTEA,G1,Q,DTEA,0.0599373736347,11548363,1739,21,narrow
DTLK,C,Q,DTLK,0.0319727071303,5055815,1931,21,narrow
DTSI,C,Q,DTSI,0.0663856597558,11104002,2294,21,narrow
DV,G3,N,DV,0.019483309206,5850201,2495,21,narrow
DVAX,G2,Q,DVAX,0.0249710786649,106417238,5701,21,narrow
DVCR,C,Q,DVCR,0.32112196818,10777165,1177,21,wide
DVD,G3,N,DVD,0.0577853476183,1267439,438,21,narrow
DW,G3,N,DW,0.158936002957,20963914,2819,21,wide
DWCH,G1,Q,DWCH,0.122376541285,15479808,1650,21,middle_excluded
DWSN,C,Q,DWSN,0.068250393988,7977146,1880,21,narrow
DXLG,G2,Q,DXLG,0.0277130572848,1997475,1068,21,narrow
DXPE,C,Q,DXPE,0.0606896572579,57137739,2686,21,narrow
DXR,C,A,DXR,0.238851184401,357058,191,21,wide
DXYN,G3,Q,DXYN,0.0825282096533,3261614,1067,21,narrow
DY,C,N,DY,0.107607050553,41289883,4191,21,middle_excluded
DYNT,G1,Q,DYNT,0.18847109864,444595,393,21,wide
EACQ,G3,Q,EACQ,0.140446685552,503387,165,20,middle_excluded
EAGL,G3,Q,EAGL,0.0908280497234,168130,60,14,narrow
EBF,G3,N,EBF,0.0368998066399,5964519,2032,21,narrow
EBIX,G1,Q,EBIX,0.112930056515,10862091,2831,21,middle_excluded
EBMT,G2,Q,EBMT,0.305436251528,1193809,291,21,wide
EBS,C,N,EBS,0.0432314189541,27477140,3189,21,narrow
EBSB,G3,Q,EBSB,0.0314661673023,3815117,1154,21,narrow
EBTC,C,Q,EBTC,0.653099263401,7197948,1094,21,wide
ECAC,C,Q,ECAC,0.116438356164,14600,19,10,middle_excluded
ECHO,G1,Q,ECHO,0.0594903167905,14358669,2515,21,narrow
ECOL,G1,Q,ECOL,0.176724390894,12664390,1739,21,wide
ECOM,G1,N,ECOM,0.0430593798138,5892585,1850,21,narrow
ECPG,G2,Q,ECPG,0.0491434480749,8273637,2172,21,narrow
ECT,G3,N,ECT,0.064391377492,3203859,1507,21,narrow
ECYT,C,Q,ECYT,0.0385579678298,5153348,1925,21,narrow
EDE,C,N,EDE,0.0160541638624,4833457,2312,21,narrow
EDGE,C,Q,EDGE,0.0994658810456,16723244,1895,21,narrow
EDGW,C,Q,EDGW,0.411396129775,697453,450,21,wide
EDUC,G2,Q,EDUC,0.230652472361,5659610,1164,21,wide
EE,G3,N,EE,0.0691144177453,6091965,1816,21,narrow
EEI,G1,Q,EEI,0.230063059133,701421,482,21,wide
EEQ,C,N,EEQ,0.0305856606383,14282686,2335,21,narrow
EFC,C,N,EFC,0.0444936187139,4824482,2045,21,narrow
EFII,C,Q,EFII,0.0638318667462,10314150,2471,21,narrow
EFOI,C,Q,EFOI,0.0362893107226,8574864,2220,21,narrow
EFSC,G2,Q,EFSC,0.0875443433974,5601684,1377,21,narrow
EFUT,C,Q,EFUT,0.117625310016,2444226,742,21,middle_excluded
EGAN,G1,Q,EGAN,0.0797537971966,13140510,1390,21,narrow
EGAS,G1,A,EGAS,0.0800054758977,1871894,847,21,narrow
EGBN,G3,Q,EGBN,0.120443187054,21957367,1777,21,middle_excluded
EGHT,G3,Q,EGHT,0.0253228081187,11047154,2898,21,narrow
EGL,C,N,EGL,0.0707090980678,4889159,1767,21,narrow
EGOV,G2,Q,EGOV,0.0337174039909,8787835,1854,21,narrow
EGRX,C,Q,EGRX,0.199204387993,50077592,3370,21,wide
EHTH,C,Q,EHTH,0.0307265266872,13109070,2034,21,narrow
EIG,G2,N,EIG,0.0497430856253,3150039,1501,21,narrow
EIGI,G2,Q,EIGI,0.0145337937115,16970397,2707,21,narrow
EIGR,G3,Q,EIGR,0.129104121171,2409485,968,21,middle_excluded
ELEC,C,Q,ELEC,0.037827647623,36495,44,10,narrow
ELLI,C,N,ELLI,0.138357991752,32453641,3715,21,middle_excluded
ELLO,C,A,ELLO,0.31177836306,420443,406,20,wide
ELMD,C,A,ELMD,0.0487520459135,125274408,3175,21,narrow
ELNK,C,Q,ELNK,0.0168513978102,5942545,2083,21,narrow
ELON,C,Q,ELON,0.109837371882,2680732,627,21,middle_excluded
ELOS,G1,Q,ELOS,0.0350544259515,4129982,1342,21,narrow
ELSE,C,Q,ELSE,0.116499795196,1158181,404,21,middle_excluded
ELY,C,N,ELY,0.0132915416892,11878873,2661,21,narrow
EMAN,G2,A,EMAN,0.0387005475989,10373286,1762,21,narrow
EMCF,C,Q,EMCF,0.71608059137,380202,374,21,wide
EMCI,C,Q,EMCI,0.271214279516,15108740,1359,21,wide
EMES,C,N,EMES,0.0626264375399,18049168,3895,21,narrow
EMG,C,N,EMG,0.0304061109322,5207307,1263,21,narrow
EMKR,G2,Q,EMKR,0.0146581750154,13278556,2205,21,narrow
EML,G1,Q,EML,0.286247952155,1419077,743,21,wide
ENFC,G3,Q,ENFC,0.14330513316,975559,409,21,middle_excluded
ENLC,G1,N,ENLC,0.030070645838,12603160,2894,21,narrow
ENOC,G3,Q,ENOC,0.0258295563682,3585383,1853,21,narrow
ENSG,C,Q,ENSG,0.0338257617413,7843115,2306,21,narrow
ENT,C,Q,ENT,0.0169571208563,12091102,1780,21,narrow
ENTA,C,Q,ENTA,0.0558524304525,19726738,2592,21,narrow
ENTG,G3,Q,ENTG,0.0165268280503,8909000,2128,21,narrow
ENTL,C,Q,ENTL,0.194864185292,23440646,1736,21,wide
ENV,G3,N,ENV,0.057931803725,7911938,2392,21,narrow
ENVA,G2,N,ENVA,0.0289789006573,4275773,1829,21,narrow
ENZ,C,N,ENZ,0.0209868259921,8517575,2022,21,narrow
ENZY,G3,Q,ENZY,0.12026613652,5922454,1199,21,middle_excluded
EPAY,C,Q,EPAY,0.0327435291911,13033015,2466,21,narrow
EPM,G3,A,EPM,0.0477810450609,13960488,1859,21,narrow
EPZM,G1,Q,EPZM,0.0317844018522,20394524,3099,21,narrow
EQBK,C,Q,EQBK,0.400211295256,15082005,1154,21,wide
EQFN,G2,Q,EQFN,0.368609268531,182359,178,21,wide
ERA,C,N,ERA,0.047283409935,4954634,1612,21,narrow
ERI,G1,Q,ERI,0.0343317019624,19607496,2570,21,narrow
ERII,C,Q,ERII,0.029535145153,35205324,4422,21,narrow
ERN,G2,A,ERN,0.0337112312,18482611,1930,21,narrow
EROS,G2,N,EROS,0.0495569892682,6449495,2167,21,narrow
ERS,C,Q,ERS,0.298857929062,3796250,836,21,wide
ESBK,G1,Q,ESBK,0.641451394374,463613,428,21,wide
ESCA,G2,Q,ESCA,0.168282205801,7412916,1023,21,wide
ESE,G2,N,ESE,0.0987189464258,13867196,1963,21,narrow
ESES,C,Q,ESES,0.0521590920823,2092216,854,21,narrow
ESGR,G2,Q,ESGR,1.69541048463,18751040,1446,21,wide
ESIO,C,Q,ESIO,0.0283332727426,3477979,1524,21,narrow
ESL,G1,N,ESL,0.148804607719,18164694,2436,21,middle_excluded
ESND,C,Q,ESND,0.0359151304637,5572354,2015,21,narrow
ESNT,C,N,ESNT,0.0204308552736,9209006,2818,21,narrow
ESP,C,A,ESP,0.776563859695,760713,454,21,wide
ESPR,C,Q,ESPR,0.0462628685441,22454980,3581,21,narrow
ESSA,C,Q,ESSA,0.0863886911176,3620455,950,21,narrow
ESTE,C,A,ESTE,0.0714288472969,17385414,2413,21,narrow
ESXB,G3,Q,ESXB,0.0596569699094,342300,252,21,narrow
ETH,G1,N,ETH,0.0578092824044,7570657,1895,21,narrow
ETM,G2,N,ETM,0.0630011094916,1210915,1120,21,narrow
EURN,G1,N,EURN,0.0126157291793,14866192,2906,21,narrow
EVA,G3,N,EVA,0.0709314232376,30102627,3121,21,narrow
EVBN,G1,A,EVBN,0.587236861556,1651124,770,21,wide
EVBS,C,Q,EVBS,0.207920992143,4895565,871,21,wide
EVC,G3,N,EVC,0.0140694737546,3529874,1525,21,narrow
EVDY,G2,N,EVDY,0.0266107680341,7830408,2259,21,narrow
EVEP,C,Q,EVEP,0.0261541227148,14444026,2731,21,narrow
EVGN,C,N,EVGN,0.102093024028,713578,356,21,middle_excluded
EVH,G3,N,EVH,0.0343082541881,27376454,3170,21,narrow
EVI,G2,A,EVI,0.180799422002,5093445,1128,21,wide
EVK,G2,Q,EVK,0.134130687076,1561211,590,21,middle_excluded
EVOL,G3,Q,EVOL,0.0387076563641,3148740,1405,21,narrow
EVR,G1,N,EVR,0.0619020963494,7836146,2495,21,narrow
EVTC,G1,N,EVTC,0.021063229947,5346775,1895,21,narrow
EXA,C,Q,EXA,0.110172150721,12620869,1766,21,middle_excluded
EXAC,G3,Q,EXAC,0.130852650678,18902619,1616,21,middle_excluded
EXAR,C,N,EXAR,0.0177042496993,4434149,1639,21,narrow
EXFO,G3,Q,EXFO,0.043983646691,1178153,623,21,narrow
EXLS,C,Q,EXLS,0.0891243393837,19992051,2296,21,narrow
EXPO,G3,Q,EXPO,0.145848841795,5593830,1868,21,middle_excluded
EXTN,C,N,EXTN,0.0581344113129,6214311,1638,21,narrow
EXTR,C,Q,EXTR,0.0163750743773,12057111,2662,21,narrow
EYES,C,Q,EYES,0.0205010503923,6834875,2561,21,narrow
EZPW,G3,Q,EZPW,0.0199195330893,15700476,2845,21,narrow
FARM,G3,Q,FARM,0.120236169526,29982511,2292,21,middle_excluded
FARO,G1,Q,FARO,0.103002619783,8336796,1850,21,middle_excluded
FATE,C,Q,FATE,0.0349071232783,20016472,3044,21,narrow
FBC,C,N,FBC,0.0426469496452,5772099,1671,21,narrow
FBIO,C,Q,FBIO,0.0483584490662,7680186,1709,21,narrow
FBIZ,C,Q,FBIZ,0.288763249153,2681628,844,21,wide
FBMS,G2,Q,FBMS,0.66875683289,1528365,456,21,wide
FBNC,C,Q,FBNC,0.0863293468885,9085171,1299,21,narrow
FBNK,G2,Q,FBNK,0.138722180879,4146044,975,21,middle_excluded
FBP,C,N,FBP,0.0163905415474,5434483,2120,21,narrow
FBRC,G2,Q,FBRC,0.12781402529,5068537,1223,21,middle_excluded
FBSS,C,Q,FBSS,0.257084239742,76382,167,21,wide
FC,G2,N,FC,0.0965204160898,5500495,1355,21,narrow
FCAP,C,Q,FCAP,1.3623522772,804278,490,21,wide
FCB,G2,N,FCB,0.0363477408611,6941406,1977,21,narrow
FCBC,C,Q,FCBC,0.175325987794,13049207,1234,21,wide
FCCO,G2,Q,FCCO,0.219865659407,250316,327,21,wide
FCCY,G2,Q,FCCY,0.362474794039,860479,484,21,wide
FCEL,G2,Q,FCEL,0.0236038443299,20298180,3860,21,narrow
FCF,C,N,FCF,0.0211117923106,1343333,1236,21,narrow
