n_fcm,hhi_seg,cr4_seg,total_seg,hhi_total,cr4_total,asof_file,year,month,era,month_end,avail_date
56,0.07008677586915801,0.4385554141292333,169266689304.0,0.07504822261965591,0.4504493750512868,2017-03-31,2017,3,B,2017-03-31,2017-05-15
56,0.07032556117536745,0.43943944210278557,167382221366.0,0.07602537869497124,0.45347558643413877,2017-04-30,2017,4,B,2017-04-30,2017-06-14
56,0.06883008960084534,0.4343815573473557,162820907920.0,0.07564373763128868,0.4520046125730666,2017-05-31,2017,5,B,2017-05-31,2017-07-15
58,0.06920914719604705,0.43577642560013985,159688748436.0,0.0760102430298783,0.4544174409908041,2017-06-30,2017,6,B,2017-06-30,2017-08-14
58,0.06769620460114749,0.4311260494746398,154876881929.0,0.07499634713828505,0.4505203405602946,2017-07-31,2017,7,B,2017-07-31,2017-09-14
57,0.07006698639274844,0.4387144322337336,155812467593.0,0.07645319901426577,0.46219184265751745,2017-08-31,2017,8,B,2017-08-31,2017-10-15
57,0.06726348763268059,0.42713347352917574,155989832273.0,0.07596723702306231,0.45889553615153617,2017-09-30,2017,9,B,2017-09-30,2017-11-14
57,0.0679484428626171,0.4322847395990856,152303362129.0,0.07715418219812763,0.4629453119581644,2017-10-31,2017,10,B,2017-10-31,2017-12-15
57,0.06717116280559939,0.4290702971116859,154000604397.0,0.077298126118713,0.4646489430280708,2017-11-30,2017,11,B,2017-11-30,2018-01-14
57,0.06863520564780382,0.4413831104066288,150456153784.0,0.07879231095612879,0.47454667634341635,2017-12-31,2017,12,B,2017-12-31,2018-02-14
57,0.06829637898523512,0.43656837820946187,157813943242.0,0.07892537233149027,0.47530782984250286,2018-01-31,2018,1,B,2018-01-31,2018-03-17
56,0.06866278684621954,0.4429862083412793,157965068170.0,0.08022496021322303,0.4815095888588089,2018-02-28,2018,2,B,2018-02-28,2018-04-14
56,0.07084638980823561,0.4519270272807304,159490972688.0,0.08216070943124207,0.4924183163976774,2018-03-31,2018,3,B,2018-03-31,2018-05-15
56,0.07119379333538137,0.45064448654395317,155774216610.0,0.08257838283247446,0.4928636194272377,2018-04-30,2018,4,A,2018-04-30,2018-06-14
56,0.0701297348945116,0.4420016143276974,159572606241.0,0.08178300074902739,0.4888689716060127,2018-05-31,2018,5,A,2018-05-31,2018-07-15
56,0.07167224435653347,0.45600259061743725,162077096358.0,0.0826342630860696,0.4941597511270167,2018-06-30,2018,6,A,2018-06-30,2018-08-14
56,0.07118171448821203,0.4479502283938122,164293728620.0,0.08209015670444048,0.4920813366274601,2018-07-31,2018,7,A,2018-07-31,2018-09-14
56,0.07188886351456175,0.45452368265653,165409425376.0,0.0826059272125081,0.4954611319263437,2018-08-31,2018,8,A,2018-08-31,2018-10-15
56,0.07296905418250917,0.4604356919355323,167413813549.0,0.0821793035427736,0.4892822466746615,2018-09-30,2018,9,A,2018-09-30,2018-11-14
56,0.07221543829305953,0.45807386210137097,169799199254.0,0.08227711338518366,0.493529209136669,2018-10-31,2018,10,A,2018-10-31,2018-12-15
56,0.07341306161940522,0.46104001894591834,170749702952.0,0.08286467351151178,0.4963156572983336,2018-11-30,2018,11,A,2018-11-30,2019-01-14
56,0.07393439804373378,0.4607215512330258,171866832574.0,0.08312745794459571,0.497363536399722,2018-12-31,2018,12,A,2018-12-31,2019-02-14
56,0.07529720175841759,0.465645948944266,168425167795.0,0.08396693917145252,0.5011916187361979,2019-01-31,2019,1,A,2019-01-31,2019-03-17
55,0.07366212084971821,0.4608997542946481,164814264252.0,0.08412652760576414,0.49703398959916706,2019-02-28,2019,2,A,2019-02-28,2019-04-14
56,0.0743809524267925,0.4682550240052857,164067482044.0,0.08495508525598595,0.49871363179816564,2019-03-31,2019,3,A,2019-03-31,2019-05-15
57,0.07474853647873306,0.4679728251659229,165406011284.0,0.0851522403107576,0.5031603684830015,2019-04-30,2019,4,A,2019-04-30,2019-06-14
57,0.07225449108677114,0.4583432031129077,162877843882.0,0.08443164697837095,0.49843561554361954,2019-05-31,2019,5,A,2019-05-31,2019-07-15
57,0.07294735425560599,0.4599509253005451,164993047944.0,0.08528903530666714,0.5022358965506737,2019-06-30,2019,6,A,2019-06-30,2019-08-14
57,0.07293764706862005,0.46108359166418644,167270831800.0,0.08563848803872502,0.5043660719625412,2019-07-31,2019,7,A,2019-07-31,2019-09-14
57,0.07371918882881018,0.4642413332221568,174772999685.0,0.08650475133470711,0.5076035770791401,2019-08-31,2019,8,A,2019-08-31,2019-10-15
57,0.07487760335969701,0.46483223863880496,176828919536.0,0.08746105544464107,0.5118468758299982,2019-09-30,2019,9,A,2019-09-30,2019-11-14
56,0.07441474398035894,0.46772486333977514,180432864059.0,0.08672072377775554,0.5105266492533915,2019-10-31,2019,10,A,2019-10-31,2019-12-15
56,0.07165358872098325,0.4513519138930694,175902562522.0,0.0857533536327353,0.5037026479821012,2019-11-30,2019,11,A,2019-11-30,2020-01-14
56,0.07383094333091735,0.4688568174987194,179476757482.0,0.08711994565122992,0.5124580374623575,2019-12-31,2019,12,A,2019-12-31,2020-02-14
55,0.07336309123090966,0.46300617975817343,174960777535.0,0.08679484030799915,0.5106314981461537,2020-01-31,2020,1,A,2020-01-31,2020-03-16
55,0.07408068717711465,0.4620325633215643,185426162994.0,0.08755053343657028,0.5173732227573489,2020-02-29,2020,2,A,2020-02-29,2020-04-14
55,0.0821631825194648,0.5024361078742974,279109881247.0,0.08994594927341938,0.5256672450666376,2020-03-31,2020,3,A,2020-03-31,2020-05-15
55,0.08183991676519692,0.4961401558821637,277444661185.0,0.08851014523791441,0.5225417823835256,2020-04-30,2020,4,A,2020-04-30,2020-06-14
55,0.08376539523005447,0.5039882449584879,275638835363.0,0.08978357975562516,0.5272849112897025,2020-05-31,2020,5,A,2020-05-31,2020-07-15
55,0.08611656209676902,0.5087956866305766,263879712464.0,0.09173839890933651,0.5358300083668744,2020-06-30,2020,6,A,2020-06-30,2020-08-14
55,0.08866456121390436,0.5175847869306571,263479394989.0,0.09314077874330269,0.5377888076494777,2020-07-31,2020,7,A,2020-07-31,2020-09-14
55,0.08938806744008262,0.5248797124422024,265010904982.0,0.09345569101073287,0.5402805844776625,2020-08-31,2020,8,A,2020-08-31,2020-10-15
55,0.09042905454827062,0.5269061180404361,256621271977.0,0.09391009216942407,0.5423013940968082,2020-09-30,2020,9,A,2020-09-30,2020-11-14
55,0.08768787061473064,0.5201148355133163,253828069020.0,0.09198608425539398,0.5336736025795288,2020-10-31,2020,10,A,2020-10-31,2020-12-15
55,0.08599584644867335,0.5167877214482356,249417616763.0,0.09096760047641689,0.5313768666010333,2020-11-30,2020,11,A,2020-11-30,2021-01-14
55,0.08915066347014067,0.5247433553526779,248553177382.0,0.09265582784697346,0.5385579207856996,2020-12-31,2020,12,A,2020-12-31,2021-02-14
54,0.08671670428656883,0.513105623524031,246056334793.0,0.09142759905077316,0.5338171663431118,2021-01-31,2021,1,A,2021-01-31,2021-03-17
53,0.08361305299301505,0.5004176385538682,256703868709.0,0.08887845353241458,0.525267987132855,2021-02-28,2021,2,A,2021-02-28,2021-04-14
53,0.08421041352970507,0.5050139800456988,252848852298.0,0.08993822215121403,0.5329231430176492,2021-03-31,2021,3,A,2021-03-31,2021-05-15
54,0.08379330676814742,0.5018105122681829,255197380940.0,0.09009606177938495,0.5350538916558758,2021-04-30,2021,4,A,2021-04-30,2021-06-14
54,0.08798754150345707,0.5120204806128081,264824699281.0,0.0915629463170573,0.5395522061753619,2021-05-31,2021,5,A,2021-05-31,2021-07-15
54,0.08637829543016345,0.510244599643335,256651969578.0,0.09166368213012054,0.5436244264373837,2021-06-30,2021,6,A,2021-06-30,2021-08-14
54,0.08378700819810384,0.4972284713778662,264324200064.0,0.0894819623576144,0.5323575964497028,2021-07-31,2021,7,A,2021-07-31,2021-09-14
53,0.08256178343264434,0.49113824087768415,265831251954.0,0.08917080312052002,0.5295300829034727,2021-08-31,2021,8,A,2021-08-31,2021-10-15
53,0.08035350081833273,0.48502237666461023,267884735926.0,0.08803996342096136,0.5260240750392846,2021-09-30,2021,9,A,2021-09-30,2021-11-14
53,0.07986521368778078,0.47869981977991133,270413390919.0,0.0868455827275003,0.518805107735988,2021-10-31,2021,10,A,2021-10-31,2021-12-15
52,0.080723547230136,0.4795622684937507,272772721121.0,0.08700028089055599,0.5184611329196844,2021-11-30,2021,11,A,2021-11-30,2022-01-14
51,0.08263807441688964,0.4843476795927743,280210427361.0,0.08786086821868277,0.5241829519223888,2021-12-31,2021,12,A,2021-12-31,2022-02-14
51,0.07893383992661387,0.4753034568641116,278563859389.0,0.08613454848989056,0.5188475937428498,2022-01-31,2022,1,A,2022-01-31,2022-03-17
51,0.0820307601495697,0.49063570049328437,287686013574.0,0.08717000861747522,0.5189096832127513,2022-02-28,2022,2,A,2022-02-28,2022-04-14
51,0.07925251382174997,0.4732297153687663,317849383270.0,0.08502800790686041,0.5081497569945119,2022-03-31,2022,3,A,2022-03-31,2022-05-15
51,0.07619288900316645,0.46261392960681325,316940660422.0,0.08426623207559565,0.5059680643537171,2022-04-30,2022,4,A,2022-04-30,2022-06-14
51,0.07322624300568441,0.4491875430119158,325289095455.0,0.08320101569650777,0.5029625954697492,2022-05-31,2022,5,A,2022-05-31,2022-07-15
51,0.07651623998965748,0.46511033705698934,307402593657.0,0.08613975985679337,0.5154823893230746,2022-06-30,2022,6,A,2022-06-30,2022-08-14
51,0.07375414733638816,0.458166791718075,311582505737.0,0.08470751126620762,0.5062976749505332,2022-07-31,2022,7,A,2022-07-31,2022-09-14
51,0.07086283894629737,0.44439327609382034,309922110617.0,0.08333633250542444,0.4998599378980035,2022-08-31,2022,8,A,2022-08-31,2022-10-15
52,0.07150538429243992,0.446676828727489,308240042523.0,0.08333362805122309,0.49721383207678177,2022-09-30,2022,9,A,2022-09-30,2022-11-14
52,0.07210882993932137,0.454958897415818,298500356466.0,0.08425331032035159,0.4990617075943369,2022-10-31,2022,10,A,2022-10-31,2022-12-15
52,0.07441899369338889,0.4654969010792143,298193004087.0,0.08597521283972678,0.5054028418136243,2022-11-30,2022,11,A,2022-11-30,2023-01-14
52,0.07264546805381751,0.45620519454559694,296133986404.0,0.08494139721284799,0.500003257723674,2022-12-31,2022,12,A,2022-12-31,2023-02-14
52,0.07234690149003128,0.457254681351821,295873630516.0,0.08501757816829952,0.502098051912234,2023-01-31,2023,1,A,2023-01-31,2023-03-17
52,0.07313918007442355,0.45746412897408917,285218630920.0,0.0856704549004376,0.5058077020685758,2023-02-28,2023,2,A,2023-02-28,2023-04-14
52,0.07220428392963538,0.4564587796737153,296806176266.0,0.08563424962409293,0.5040346713813905,2023-03-31,2023,3,A,2023-03-31,2023-05-15
52,0.07330013412187648,0.4623765101955146,297048135090.0,0.0868961666006368,0.506872882690893,2023-04-30,2023,4,A,2023-04-30,2023-06-14
52,0.07564981564985608,0.4720017129207858,297816947655.0,0.08836868893111709,0.5142624522336678,2023-05-31,2023,5,A,2023-05-31,2023-07-15
52,0.07391619962307595,0.4674491849421714,293156264138.0,0.08737545063835671,0.5053864269715824,2023-06-30,2023,6,A,2023-06-30,2023-08-14
52,0.07319542473069215,0.4647270822892463,292528497929.0,0.08651035661425527,0.5030988993671186,2023-07-31,2023,7,A,2023-07-31,2023-09-14
52,0.07700343720326862,0.47924614075540334,280997790978.0,0.089404376865739,0.5113568469040914,2023-08-31,2023,8,A,2023-08-31,2023-10-15
52,0.07646977331977887,0.47691926894058967,281214257893.0,0.08892043719392138,0.5133962190583448,2023-09-30,2023,9,A,2023-09-30,2023-11-14
52,0.07572043915020976,0.4712648878248892,279216385936.0,0.08817428511182387,0.5089879408432573,2023-10-31,2023,10,A,2023-10-31,2023-12-15
53,0.0754272293798183,0.46952454834877627,280395385581.0,0.0889975525947346,0.5083308302931223,2023-11-30,2023,11,A,2023-11-30,2024-01-14
53,0.07626665692328444,0.47388596975903513,289723100578.0,0.088859251119134,0.5056045252686158,2023-12-31,2023,12,A,2023-12-31,2024-02-14
53,0.0751820994312052,0.4675005573726496,290377187717.0,0.08833316928538905,0.5044309573470291,2024-01-31,2024,1,A,2024-01-31,2024-03-16
54,0.07690671226479998,0.47560937567829226,287566894721.0,0.08917084870992369,0.5114709018369114,2024-02-29,2024,2,A,2024-02-29,2024-04-14
54,0.07524184197261226,0.4669978144587311,291291919333.0,0.08721474414807104,0.4994971586672353,2024-03-31,2024,3,A,2024-03-31,2024-05-15
54,0.07510309922880558,0.4636786223134979,281860964605.0,0.08751136512663962,0.49876792756862376,2024-04-30,2024,4,A,2024-04-30,2024-06-14
55,0.07772815544602744,0.4785466086051028,291662848513.0,0.08880172847406272,0.5048308058287279,2024-05-31,2024,5,A,2024-05-31,2024-07-15
55,0.07437707892081505,0.4606165660749053,275671118373.0,0.08770584360291109,0.5043782044396967,2024-06-30,2024,6,A,2024-06-30,2024-08-14
55,0.07470129480661276,0.46689065838053373,294459648505.0,0.08730218682096828,0.5022949480209313,2024-07-31,2024,7,A,2024-07-31,2024-09-14
55,0.07636033176254155,0.4716085210282578,289932829237.0,0.08884022836236581,0.5068641599054983,2024-08-31,2024,8,A,2024-08-31,2024-10-15
