Date,ticker,ret,log_rv_1d,log_range_var,log_forward5_rv,left_tail5,har_d_l1,har_w_l1,har_m_l1,range_l1,forecast_revision_shock_raw,growth_revision_raw,inflation_revision_raw,labor_revision_raw,speech_count_raw,chair_weighted_shock_raw,forecast_revision_shock_z_l1,chair_weighted_shock_z_l1,growth_revision_z_l1,inflation_revision_z_l1,labor_revision_z_l1,speech_count_z_l1
2025-07-15,SPY,-0.0042823684543158436,-10.90649809053704,-10.379430727812235,-9.555279230638137,0.0,-12.525113098419403,-12.165087897746192,-11.442253493062108,-11.466536684119887,0.4633920296570899,-0.4633920296570899,0.0,0.0,2.0,0.4633920296570899,-0.4014891554654092,-0.3954825841198449,-0.17462035118859698,-0.33294917707421656,-0.24342969006393433,-0.5712277935050425
2025-07-16,SPY,0.0033376970713794307,-11.404948418789372,-10.08544615456886,-9.85454143762107,0.0,-10.90649809053704,-11.342609717516027,-11.405429228558305,-10.379430727812235,1.0353615801210578,0.0,0.7167887862376554,0.31857279388340237,1.0,1.0353615801210578,-0.3164051960815359,-0.3197417097500859,-0.39819345008010854,-0.33294917707421656,-0.24342969006393433,1.9951194615077197
2025-07-17,SPY,0.006100988336816826,-10.1986089969962,-11.01971564804381,-9.086936378413776,0.0,-11.404948418789372,-11.575781741821903,-11.421118084057758,-10.08544615456886,36.68397317550334,-5.146082287828628,18.74143517579614,4.053985690992496,3.0,36.68397317550334,-0.21204443149962937,-0.22685039540806742,-0.17274083205481608,-0.004569647543369995,-0.07000387113521742,0.6953305463193541
2025-07-18,SPY,-0.0007327011500946057,-14.437545294266283,-11.700900373535147,-9.484492731730795,0.0,-10.1986089969962,-11.266569426749186,-11.476691393072693,-11.01971564804381,0.0,0.0,0.0,0.0,0.0,0.0,5.514095271965864,5.011023129335156,-2.584357797439894,6.6330806053060885,1.9333913785587742,3.1163736193232134
2025-07-21,SPY,0.0018943480812732005,-12.537761040145318,-11.58475519930744,-9.280175957046549,0.0,-14.437545294266283,-11.894542779801661,-11.709333007751928,-11.700900373535147,0.0,0.0,0.0,0.0,0.0,0.0,-0.3981334679046604,-0.39831799073659313,-0.14871436949187297,-0.32501599788591573,-0.2586071918666087,-0.5996807280085679
2025-07-22,SPY,0.00014318518761413657,-17.702743494473243,-11.376488016863753,-9.318714200667321,0.0,-12.537761040145318,-11.897072368146842,-11.846674412789861,-11.58475519930744,0.0,0.0,0.0,0.0,1.0,0.0,-0.3981334679046604,-0.39831799073659313,-0.14871436949187297,-0.32501599788591573,-0.2586071918666087,-0.5996807280085679
2025-07-23,SPY,0.008471491723121005,-9.542097334785945,-10.918192296713285,-9.24406418652204,0.0,-17.702743494473243,-13.256321448934084,-11.85133935943192,-11.376488016863753,0.0,0.0,0.0,0.0,0.0,0.0,-0.3981334679046604,-0.39831799073659313,-0.14871436949187297,-0.32501599788591573,-0.2586071918666087,0.6290813033916867
2025-07-24,SPY,0.0003309748728641537,-16.026936196531704,-12.387001902588514,-10.538141932868445,0.0,-9.542097334785945,-12.8837512321334,-11.734815226322985,-10.918192296713285,0.0,0.0,0.0,0.0,0.0,0.0,-0.3981334679046604,-0.39831799073659313,-0.14871436949187297,-0.32501599788591573,-0.2586071918666087,-0.6094225126606965
2025-07-25,SPY,0.004215440684552263,-10.938002282996493,-11.914927100717033,-10.113700377970924,0.0,-16.026936196531704,-14.049416672040502,-12.0430907950233,-12.387001902588514,0.0,0.0,0.0,0.0,0.0,0.0,-0.3981334679046604,-0.39831799073659313,-0.14871436949187297,-0.32501599788591573,-0.2586071918666087,-0.6094225126606965
2025-07-28,SPY,-0.00025110052784516057,-16.57931437934336,-12.100077200717925,-8.12560116782198,0.0,-10.938002282996493,-13.349508069786543,-12.130175579116882,-11.914927100717033,0.0,0.0,0.0,0.0,0.0,0.0,-0.3981334679046604,-0.39831799073659313,-0.14871436949187297,-0.32501599788591573,-0.2586071918666087,-0.6094225126606965
