Date,ticker,ret,log_rv_1d,log_range_var,log_forward5_rv,left_tail5,har_d_l1,har_w_l1,har_m_l1,range_l1,forecast_revision_shock_raw,growth_revision_raw,inflation_revision_raw,labor_revision_raw,speech_count_raw,chair_weighted_shock_raw,forecast_revision_shock_z_l1,chair_weighted_shock_z_l1,growth_revision_z_l1,inflation_revision_z_l1,labor_revision_z_l1,speech_count_z_l1
2023-08-15,QQQ,-0.01066826570089141,-9.0809635332545,-9.85886894857262,-7.410602181999841,0.0,-8.990921172953511,-10.043955465666242,-11.108346130803499,-9.328309225802911,0.0,0.0,0.0,0.0,0.0,0.0,-0.31986358631525347,-0.32309050157244745,-0.13494875834139233,-0.13227667255173176,-0.26824446704266613,-0.5393771503155738
2023-08-16,QQQ,-0.010645404914910728,-9.085253886644955,-9.604320870735817,-7.614922537627583,0.0,-9.0809635332545,-9.954893719545177,-10.751651809558696,-9.85886894857262,0.0,0.0,0.0,0.0,0.0,0.0,-0.3146892865705471,-0.317925276323139,-0.13365808212610938,-0.1252696167493458,-0.2634593489791312,-0.5281725789385946
2023-08-17,QQQ,-0.01098307473148008,-9.02279970382489,-9.165888387859269,-7.378576275534683,0.0,-9.085253886644955,-9.97000746243226,-10.739321215879926,-9.604320870735817,0.0,0.0,0.0,0.0,0.0,0.0,-0.3146892865705471,-0.317925276323139,-0.13365808212610938,-0.1252696167493458,-0.2634593489791312,-0.5281725789385946
2023-08-18,QQQ,-0.001255950712790721,-13.359724906229513,-9.68043000636934,-6.937452058298491,0.0,-9.02279970382489,-9.256818654115445,-10.71216967248619,-9.165888387859269,0.0,0.0,0.0,0.0,0.0,0.0,-0.31272689956350097,-0.31596568289199906,-0.1268744100427708,-0.1252696167493458,-0.2634593489791312,-0.5169766591882686
2023-08-21,QQQ,0.015983256855877315,-8.272427102314882,-9.4147547905992,-6.879375785051462,0.0,-13.359724906229513,-9.907932640581475,-10.559110485504547,-9.68043000636934,0.0,0.0,0.0,0.0,0.0,0.0,-0.31272689956350097,-0.31596568289199906,-0.1268744100427708,-0.1252696167493458,-0.2634593489791312,-0.5057840100301786
2023-08-22,QQQ,-0.0014298197375257615,-13.1004138006611,-10.105801147465941,-7.0946224128614075,0.0,-8.272427102314882,-9.764233826453747,-10.593461206916851,-9.4147547905992,5.0,2.0,2.0,1.0,1.0,5.0,-0.31272689956350097,-0.31596568289199906,-0.1268744100427708,-0.1252696167493458,-0.2634593489791312,-0.5057840100301786
2023-08-23,QQQ,0.01564529089538702,-8.315170617058131,-9.295737807443201,-6.649803370723541,0.0,-13.1004138006611,-10.568123879935069,-10.66094114187125,-10.105801147465941,0.0,0.0,0.0,0.0,0.0,0.0,0.950370097844387,0.9432766659790724,1.7925902250592614,1.0380071270108813,0.4679176224839242,1.197209105488622
2023-08-24,QQQ,-0.021607369430980405,-7.669441690239149,-7.9053574321611055,-6.830396038464301,0.0,-8.315170617058131,-10.414107226017702,-10.45343096878595,-9.295737807443201,0.0,0.0,0.0,0.0,0.0,0.0,-0.3218055256281096,-0.3250227719082555,-0.14057046506537701,-0.13403402515657145,-0.26915010854616506,-0.5169766591882686
2023-08-25,QQQ,0.007721632163796954,-9.727459034221193,-8.866867451130624,-7.3817429598440105,0.0,-7.669441690239149,-10.143435623300556,-10.347724497129995,-7.9053574321611055,10.182079540009582,-4.671777671298514,-4.312410158121706,-1.1978917105893627,1.0,15.273119310014373,-0.3218055256281096,-0.3250227719082555,-0.14057046506537701,-0.13403402515657145,-0.26915010854616506,-0.5169766591882686
2023-08-28,QQQ,0.0074988279081233955,-9.786017099139151,-10.342391655877668,-7.480434485863077,0.0,-9.727459034221193,-9.41698244889889,-10.271317515044641,-8.866867451130624,0.0,0.0,0.0,0.0,0.0,0.0,2.20620095225152,3.357100140843116,-4.2735478662931605,-2.5675546979525175,-1.1384939034082635,1.197209105488622
