date,exchange,asset,quote,open,high,low,close,volume
2024-09-24,kraken,BTC,USD,63332.4,64681.0,62739.4,64271.8,1731.18720351
2024-09-25,kraken,BTC,USD,64271.9,64770.0,62917.4,63139.2,1472.03011434
2024-09-26,kraken,BTC,USD,63139.2,65764.9,62673.3,65183.5,2376.40345616
2024-09-27,kraken,BTC,USD,65179.3,66452.8,64841.2,65788.9,1580.52059663
2024-09-28,kraken,BTC,USD,65788.8,66218.7,65475.7,65878.4,434.17709796
2024-09-29,kraken,BTC,USD,65862.7,66055.0,65474.4,65610.0,541.96337683
2024-09-30,kraken,BTC,USD,65610.1,65610.1,62883.9,63338.5,1812.35809052
2024-10-01,kraken,BTC,USD,63325.0,64100.0,60203.4,60819.1,2632.62350634
2024-10-02,kraken,BTC,USD,60819.1,62350.0,60000.0,60635.3,1636.61948719
2024-10-03,kraken,BTC,USD,60643.9,61467.5,59850.0,60739.6,1794.05177805
2024-10-04,kraken,BTC,USD,60739.7,62470.0,60451.6,62081.0,1614.92871105
2024-10-05,kraken,BTC,USD,62081.0,62328.3,61700.0,62049.0,543.8720812
2024-10-06,kraken,BTC,USD,62048.5,62921.0,61824.9,62809.3,558.72425339
2024-10-07,kraken,BTC,USD,62809.4,64419.3,62150.8,62234.6,1753.12946058
2024-10-08,kraken,BTC,USD,62221.1,63180.2,61825.4,62117.9,1451.97055407
2024-10-09,kraken,BTC,USD,62120.6,62493.0,60300.0,60558.0,1425.15802177
2024-10-10,kraken,BTC,USD,60558.0,61237.4,58888.0,60279.5,1660.04543018
2024-10-11,kraken,BTC,USD,60275.9,63414.5,60063.4,62502.5,1956.73441154
2024-10-12,kraken,BTC,USD,62502.5,63445.0,62495.0,63184.0,687.2439732
2024-10-13,kraken,BTC,USD,63184.9,63273.0,62029.9,62834.9,808.19554302
2024-10-14,kraken,BTC,USD,62834.9,66400.0,62465.0,66025.5,2419.74862017
2024-10-15,kraken,BTC,USD,66025.6,67871.1,64686.1,67060.5,3990.01286365
2024-10-16,kraken,BTC,USD,67056.0,68328.6,66751.5,67589.9,1989.74847719
2024-10-17,kraken,BTC,USD,67590.0,67899.9,66644.5,67407.8,1581.80315377
2024-10-18,kraken,BTC,USD,67407.8,68980.3,67189.9,68440.3,1519.44740947
2024-10-19,kraken,BTC,USD,68440.2,68632.7,68062.2,68374.9,402.00012426
2024-10-20,kraken,BTC,USD,68375.0,69315.0,68129.4,69010.5,696.12320319
2024-10-21,kraken,BTC,USD,69010.5,69447.8,66838.6,67385.1,2249.69267837
2024-10-22,kraken,BTC,USD,67385.1,67750.0,66564.4,67387.6,1332.15318315
2024-10-23,kraken,BTC,USD,67384.2,67407.5,65199.0,66633.4,1637.67388406
2024-10-24,kraken,BTC,USD,66630.5,68794.2,66452.2,68170.1,1711.06407067
2024-10-25,kraken,BTC,USD,68170.1,68699.0,65531.0,66606.8,1962.900885
