Date,DPZ
2022-06-22,366.8824768066406
2022-06-23,374.7611083984375
2022-06-24,373.2644958496094
2022-06-27,374.243408203125
2022-06-28,367.7766418457031
2022-06-29,366.20465087890625
2022-06-30,366.8352966308594
2022-07-01,379.9194641113281
2022-07-05,373.5091857910156
2022-07-06,374.2341003417969
2022-07-07,381.7362365722656
2022-07-08,377.79217529296875
2022-07-11,373.93280029296875
2022-07-12,368.5108947753906
2022-07-13,377.8109436035156
2022-07-14,375.72125244140625
2022-07-15,382.7340087890625
2022-07-18,382.9316711425781
2022-07-19,386.16033935546875
2022-07-20,386.74395751953125
2022-07-21,381.83038330078125
2022-07-22,375.834228515625
2022-07-25,365.21630859375
2022-07-26,364.04913330078125
2022-07-27,369.9228210449219
2022-07-28,366.93890380859375
2022-07-29,369.094482421875
2022-08-01,367.2213134765625
2022-08-02,368.11553955078125
2022-08-03,367.9649658203125
2022-08-04,368.3696594238281
2022-08-05,365.15985107421875
2022-08-08,371.7113037109375
2022-08-09,369.51812744140625
2022-08-10,381.9338684082031
2022-08-11,380.4089660644531
2022-08-12,388.04296875
2022-08-15,386.74395751953125
2022-08-16,386.8097839355469
2022-08-17,387.8076171875
2022-08-18,392.4765319824219
2022-08-19,381.4161682128906
2022-08-22,377.66033935546875
2022-08-23,369.4239196777344
2022-08-24,373.6597900390625
2022-08-25,383.08233642578125
2022-08-26,367.3718566894531
2022-08-29,356.292724609375
2022-08-30,358.0436706542969
2022-08-31,350.0330810546875
2022-09-01,349.8072204589844
2022-09-02,344.3287353515625
2022-09-06,341.4766540527344
2022-09-07,341.3260498046875
2022-09-08,340.7518310546875
2022-09-09,345.5712890625
2022-09-12,343.048583984375
2022-09-13,329.8138732910156
2022-09-14,321.3154602050781
2022-09-15,330.03106689453125
2022-09-16,323.8555603027344
2022-09-19,314.42230224609375
2022-09-20,313.8274230957031
2022-09-21,314.63006591796875
2022-09-22,302.2978820800781
2022-09-23,311.6083984375
2022-09-26,306.64154052734375
2022-09-27,296.6795349121094
2022-09-28,303.27996826171875
2022-09-29,298.71917724609375
2022-09-30,292.9119873046875
2022-10-03,298.8041687011719
2022-10-04,312.18438720703125
2022-10-05,316.4525146484375
2022-10-06,306.1504821777344
2022-10-07,296.9911804199219
2022-10-10,292.4114990234375
2022-10-11,286.5853271484375
2022-10-12,284.9422912597656
2022-10-13,314.68670654296875
2022-10-14,299.6540222167969
2022-10-17,303.2610778808594
2022-10-18,310.5697326660156
2022-10-19,305.376220703125
2022-10-20,301.6935729980469
2022-10-21,303.63873291015625
2022-10-24,305.14959716796875
2022-10-25,310.5508117675781
2022-10-26,304.0731201171875
2022-10-27,313.0248107910156
2022-10-28,316.1408996582031
2022-10-31,313.72357177734375
2022-11-01,314.856689453125
2022-11-02,320.1351318359375
2022-11-03,332.4483947753906
2022-11-04,339.6059265136719
2022-11-07,328.5390930175781
2022-11-08,318.68096923828125
2022-11-09,319.6724853515625
2022-11-10,337.87799072265625
2022-11-11,346.093017578125
2022-11-14,349.5963439941406
2022-11-15,346.30084228515625
2022-11-16,344.15728759765625
2022-11-17,346.2913818359375
2022-11-18,347.38671875
2022-11-21,356.772705078125
2022-11-22,355.1108093261719
2022-11-23,369.90753173828125
2022-11-25,367.37689208984375
2022-11-28,360.9841613769531
2022-11-29,361.7113037109375
2022-11-30,367.0653076171875
2022-12-01,364.0908203125
2022-12-02,361.42803955078125
2022-12-05,360.01153564453125
2022-12-06,348.7748107910156
2022-12-07,351.3999328613281
2022-12-08,354.0438537597656
2022-12-09,342.4387512207031
2022-12-12,343.09979248046875
2022-12-13,341.7021789550781
2022-12-14,347.356689453125
2022-12-15,338.1220703125
2022-12-16,338.349365234375
2022-12-19,337.4969177246094
2022-12-20,335.0343017578125
2022-12-21,339.39117431640625
2022-12-22,333.59466552734375
2022-12-23,334.3618469238281
2022-12-27,335.6689147949219
2022-12-28,326.2069396972656
2022-12-29,331.3119812011719
2022-12-30,328.09173583984375
2023-01-03,321.3385314941406
2023-01-04,326.1878967285156
2023-01-05,320.92181396484375
2023-01-06,324.51153564453125
2023-01-09,316.2334899902344
2023-01-10,321.7742919921875
2023-01-11,331.35943603515625
2023-01-12,319.7757568359375
2023-01-13,319.6053161621094
2023-01-17,325.99853515625
2023-01-18,328.16748046875
2023-01-19,330.4122314453125
2023-01-20,329.64501953125
2023-01-23,327.1919250488281
2023-01-24,321.4048767089844
2023-01-25,332.1076354980469
2023-01-26,335.3279724121094
2023-01-27,336.3982238769531
2023-01-30,330.07122802734375
2023-01-31,334.34295654296875
2023-02-01,340.77398681640625
2023-02-02,341.4180603027344
2023-02-03,340.61297607421875
2023-02-06,337.1654052734375
2023-02-07,338.3209533691406
2023-02-08,334.9017333984375
2023-02-09,336.2087707519531
2023-02-10,335.3469543457031
2023-02-13,336.2845764160156
2023-02-14,329.2093200683594
2023-02-15,341.0677185058594
2023-02-16,337.970458984375
2023-02-17,338.47247314453125
2023-02-21,331.71929931640625
2023-02-22,330.04278564453125
2023-02-23,291.5886535644531
2023-02-24,281.7478332519531
2023-02-27,280.0051574707031
2023-02-28,278.470703125
2023-03-01,285.78271484375
2023-03-02,289.1829528808594
2023-03-03,288.652587890625
2023-03-06,299.6015930175781
2023-03-07,294.42071533203125
2023-03-08,295.633056640625
2023-03-09,292.7820739746094
2023-03-10,284.295654296875
2023-03-13,286.59716796875
2023-03-14,292.0366516113281
2023-03-15,297.2669372558594
2023-03-16,298.5411376953125
2023-03-17,295.4315490722656
2023-03-20,301.6221923828125
2023-03-21,302.0596923828125
2023-03-22,296.9625549316406
2023-03-23,299.9580993652344
2023-03-24,296.2303161621094
2023-03-27,306.4150085449219
2023-03-28,308.326416015625
2023-03-29,311.5119934082031
2023-03-30,311.5786437988281
2023-03-31,313.6898193359375
2023-04-03,316.2097473144531
2023-04-04,312.83392333984375
2023-04-05,312.27288818359375
2023-04-06,314.3649597167969
2023-04-10,313.5376281738281
2023-04-11,316.1336669921875
2023-04-12,310.4280090332031
2023-04-13,316.2858581542969
2023-04-14,314.1748352050781
2023-04-17,313.7182922363281
2023-04-18,310.6752624511719
2023-04-19,309.6863098144531
2023-04-20,307.0616149902344
2023-04-21,314.3078918457031
2023-04-24,314.07012939453125
2023-04-25,313.4615478515625
2023-04-26,322.40045166015625
2023-04-27,301.58428955078125
2023-04-28,301.89801025390625
2023-05-01,295.9831237792969
2023-05-02,296.3064270019531
2023-05-03,299.416015625
2023-05-04,296.13525390625
2023-05-05,295.8499755859375
2023-05-08,293.7864074707031
2023-05-09,293.5011291503906
2023-05-10,291.83697509765625
2023-05-11,291.8749694824219
2023-05-12,292.49310302734375
2023-05-15,292.7498779296875
2023-05-16,287.044189453125
2023-05-17,290.0871887207031
2023-05-18,296.08770751953125
2023-05-19,297.1337585449219
2023-05-22,293.75787353515625
2023-05-23,289.364501953125
2023-05-24,291.7513427734375
2023-05-25,289.564208984375
2023-05-26,285.123291015625
2023-05-30,277.09722900390625
2023-05-31,275.6328125
2023-06-01,282.1182556152344
2023-06-02,288.3184509277344
2023-06-05,283.2213134765625
2023-06-06,283.1357727050781
