date,added,removed,reason
2017-03-20,ARE,FSLR,Market capitalization change.[130]
2017-03-20,AMD,URBN,Market capitalization change.[130]
2017-03-20,RJF,FTR,Market capitalization change.[130]
2017-04-04,DXC,SWN,"HPE spins off Everett, merged with CSC to form DXC[128][129]"
2017-04-05,IT,DNB,IT acquiring CEB[127]
2017-06-02,INFO,TGNA,TGNA spins off Cars.com[126]
2017-06-19,HLT,YHOO,VZ acquired YHOO operations; remainder of YHOO converted to closed-end company known as Altaba.[124]
2017-06-19,RE,MJN,Reckitt Benckiser acquired Mead Johnson Nutrition.[125]
2017-06-19,ANSS,R,Market capitalization changes.[124]
2017-06-19,ALGN,TDC,Market capitalization changes.[124]
2017-07-07,BKR,BHI,Baker Hughes merged with GE Oil & Gas to form new company.[123]
2017-07-26,MGM,RAI,British American Tobacco (NYSE MKT:BTI) acquired Reynolds American.[122]
2017-07-26,RMD,MNK,Market capitalization change.[122]
2017-07-26,PKG,MUR,Market capitalization change.[122]
2017-07-26,AOS,BBBY,Market capitalization change.[122]
2017-07-26,DRE,RIG,Market capitalization change.[122]
2017-08-08,BHF,AN,"BHF replaced AN,[121] MET spun off BHF[121]"
2017-08-29,Q,WFM,Amazon acquired Whole Foods Market.[120]
2017-09-01,DWDP,DOW,The Dow Chemical Company renamed to DowDuPont Inc. and ticker changed from DOW to DWDP after acquiring DuPont.[120]
2017-09-01,SBAC,DD,The Dow Chemical Company acquired DuPont.[120]
2017-09-18,CDNS,SPLS,Sycamore Partners acquired Staples.[119]
2017-10-13,NCLH,LVLT,CenturyLink acquired LVLT.[118]
2018-01-03,HII,BCR,Becton Dickinson acquired BCR.[117]
2018-03-07,IPGP,SNI,Discovery Communications acquired SNI.[116]
2018-03-19,TTWO,SIG,Market capitalization change.[115]
2018-03-19,NKTR,CHK,Market capitalization change.[115]
2018-03-19,SIVB,PDCO,Market capitalization change.[115]
2018-04-04,MSCI,CSRA,S&P 500 constituent General Dynamics (NYSE: GD) acquired CSRA.[114]
2018-05-31,ABMD,WYN,Wyndham Worldwide spun off Wyndham Hotels & Resorts (NYSE:WH).[113]
2018-06-05,EVRG,NAVI,Westar Energy (NYSE: WR) acquired Great Plains Energy (NYSE: GXP) and changed name to Evergy.[112]
2018-06-07,TWTR,MON,Bayer acquired Monsanto.[111]
2018-06-18,HFC,AYI,Market capitalization change.[110]
2018-06-18,BR,RRC,Market capitalization change.[110]
2018-06-20,FLT,TWX,AT&T acquired Time Warner.[109]
2018-07-02,CPRT,DPS,DPS acquired by Keurig Green Mountain.[108]
2018-08-28,ANET,GGP,GGP acquired by Brookfield Property Partners.[107]
2018-09-14,WCG,XL,XL acquired by Axa.[106]
2018-10-01,ROL,ANDV,ANDV acquired by Marathon Petroleum.[105]
2018-10-11,FTNT,EVHC,EVHC acquired by KKR.[104]
2018-11-06,KEYS,CA,CA acquired by Broadcom.[103]
2018-11-13,JKHY,EQT,EQT spun off ETRN[102]
2018-12-03,MXIM,AET,CVS acquired Aetna[101]
2018-12-03,LW,COL,UTX acquired COL[101]
2018-12-03,FANG,SRCL,Market Capitalization change[101]
2018-12-24,CE,ESRX,S&P 500 constituent Cigna (NYSE: CI) acquired ESRX[100]
2019-01-02,FRC,SCG,Dominion Energy acquired SCANA Corporation[99]
2019-01-18,TFX,PCG,PCG filed for bankruptcy[98]
2019-02-15,ATO,NFX,ECA acquired NFX[97]
2019-02-27,WAB,GT,WAB acquired GE transportation business[96]
2019-03-19,FOX,FOX,21st Century Fox merged with Disney and some parts spun off as Fox Corporation.[95]
2019-03-19,FOXA,FOXA,21st Century Fox merged with Disney and some parts spun off as Fox Corporation.[95]
2019-04-02,DOW,BHF,DOW spun off from DWDP[94]
2019-06-03,DD,DWDP,DWDP changed to DD after spinning off Corteva.[93]
2019-06-03,CTVA,FLR,CTVA spun off from DWDP (which then changed symbol to DD)[93]
