start,end,ticker
2003-01-31,2003-04-29,2409.TW
2003-01-31,2003-04-29,2412.TW
2003-01-31,2003-04-29,2454.TW
2003-01-31,2003-04-29,2475.TW
2003-01-31,2003-04-29,2603.TW
2003-01-31,2003-04-29,2610.TW
2003-01-31,2003-04-29,2801.TW
2003-01-31,2003-04-29,2880.TW
2003-01-31,2003-04-29,2881.TW
2003-01-31,2003-04-29,2882.TW
2003-01-31,2003-04-29,2883.TW
2003-01-31,2003-04-29,2886.TW
2003-01-31,2003-04-29,2887.TW
2003-01-31,2003-04-29,2890.TW
2003-01-31,2003-04-29,2891.TW
2003-01-31,2003-04-29,2892.TW
2003-01-31,2003-04-29,2912.TW
2003-01-31,2003-04-29,3009.TW
2003-01-31,2003-04-29,3045.TW
2003-01-31,2003-04-29,3711.TW
2003-01-31,2003-04-29,5880.TW
2003-01-31,2003-04-29,9904.TW
2003-04-30,2003-07-30,1216.TW
2003-04-30,2003-07-30,1301.TW
2003-04-30,2003-07-30,1303.TW
2003-04-30,2003-07-30,1326.TW
2003-04-30,2003-07-30,1402.TW
2003-04-30,2003-07-30,2002.TW
2003-04-30,2003-07-30,2105.TW
2003-04-30,2003-07-30,2201.TW
2003-04-30,2003-07-30,2204.TW
2003-04-30,2003-07-30,2301.TW
2003-04-30,2003-07-30,2303.TW
2003-04-30,2003-07-30,2308.TW
2003-04-30,2003-07-30,2317.TW
2003-04-30,2003-07-30,2323.TW
2003-04-30,2003-07-30,2324.TW
2003-04-30,2003-07-30,2325.TW
2003-04-30,2003-07-30,2330.TW
2003-04-30,2003-07-30,2337.TW
2003-04-30,2003-07-30,2344.TW
2003-04-30,2003-07-30,2352.TW
2003-04-30,2003-07-30,2353.TW
2003-04-30,2003-07-30,2356.TW
2003-04-30,2003-07-30,2357.TW
2003-04-30,2003-07-30,2377.TW
2003-04-30,2003-07-30,2379.TW
2003-04-30,2003-07-30,2382.TW
2003-04-30,2003-07-30,2388.TW
2003-04-30,2003-07-30,2401.TW
2003-04-30,2003-07-30,2408.TW
2003-04-30,2003-07-30,2409.TW
2003-04-30,2003-07-30,2412.TW
2003-04-30,2003-07-30,2454.TW
2003-04-30,2003-07-30,2475.TW
2003-04-30,2003-07-30,2603.TW
2003-04-30,2003-07-30,2610.TW
2003-04-30,2003-07-30,2801.TW
2003-04-30,2003-07-30,2880.TW
2003-04-30,2003-07-30,2881.TW
2003-04-30,2003-07-30,2882.TW
2003-04-30,2003-07-30,2883.TW
2003-04-30,2003-07-30,2886.TW
2003-04-30,2003-07-30,2887.TW
2003-04-30,2003-07-30,2890.TW
2003-04-30,2003-07-30,2891.TW
2003-04-30,2003-07-30,2892.TW
2003-04-30,2003-07-30,2912.TW
2003-04-30,2003-07-30,3009.TW
2003-04-30,2003-07-30,3045.TW
2003-04-30,2003-07-30,3711.TW
2003-04-30,2003-07-30,5880.TW
2003-04-30,2003-07-30,9904.TW
2003-07-31,2003-10-30,1216.TW
2003-07-31,2003-10-30,1301.TW
2003-07-31,2003-10-30,1303.TW
2003-07-31,2003-10-30,1326.TW
2003-07-31,2003-10-30,1402.TW
2003-07-31,2003-10-30,2002.TW
2003-07-31,2003-10-30,2105.TW
2003-07-31,2003-10-30,2201.TW
2003-07-31,2003-10-30,2204.TW
2003-07-31,2003-10-30,2301.TW
2003-07-31,2003-10-30,2303.TW
2003-07-31,2003-10-30,2308.TW
2003-07-31,2003-10-30,2317.TW
2003-07-31,2003-10-30,2323.TW
2003-07-31,2003-10-30,2324.TW
2003-07-31,2003-10-30,2325.TW
2003-07-31,2003-10-30,2330.TW
2003-07-31,2003-10-30,2344.TW
2003-07-31,2003-10-30,2349.TW
2003-07-31,2003-10-30,2352.TW
2003-07-31,2003-10-30,2353.TW
2003-07-31,2003-10-30,2356.TW
2003-07-31,2003-10-30,2357.TW
2003-07-31,2003-10-30,2377.TW
2003-07-31,2003-10-30,2379.TW
2003-07-31,2003-10-30,2382.TW
2003-07-31,2003-10-30,2388.TW
2003-07-31,2003-10-30,2401.TW
2003-07-31,2003-10-30,2408.TW
2003-07-31,2003-10-30,2409.TW
2003-07-31,2003-10-30,2412.TW
2003-07-31,2003-10-30,2454.TW
2003-07-31,2003-10-30,2475.TW
2003-07-31,2003-10-30,2603.TW
2003-07-31,2003-10-30,2610.TW
2003-07-31,2003-10-30,2801.TW
2003-07-31,2003-10-30,2880.TW
2003-07-31,2003-10-30,2881.TW
2003-07-31,2003-10-30,2882.TW
2003-07-31,2003-10-30,2883.TW
2003-07-31,2003-10-30,2886.TW
2003-07-31,2003-10-30,2887.TW
2003-07-31,2003-10-30,2890.TW
2003-07-31,2003-10-30,2891.TW
2003-07-31,2003-10-30,2892.TW
2003-07-31,2003-10-30,2912.TW
2003-07-31,2003-10-30,3009.TW
2003-07-31,2003-10-30,3045.TW
2003-07-31,2003-10-30,3711.TW
2003-07-31,2003-10-30,5880.TW
2003-07-31,2003-10-30,9904.TW
2003-10-31,2004-01-30,1216.TW
2003-10-31,2004-01-30,1301.TW
2003-10-31,2004-01-30,1303.TW
2003-10-31,2004-01-30,1326.TW
2003-10-31,2004-01-30,1402.TW
2003-10-31,2004-01-30,2002.TW
2003-10-31,2004-01-30,2105.TW
2003-10-31,2004-01-30,2201.TW
2003-10-31,2004-01-30,2204.TW
2003-10-31,2004-01-30,2301.TW
2003-10-31,2004-01-30,2303.TW
2003-10-31,2004-01-30,2308.TW
2003-10-31,2004-01-30,2317.TW
2003-10-31,2004-01-30,2323.TW
2003-10-31,2004-01-30,2324.TW
2003-10-31,2004-01-30,2325.TW
2003-10-31,2004-01-30,2330.TW
2003-10-31,2004-01-30,2344.TW
2003-10-31,2004-01-30,2349.TW
2003-10-31,2004-01-30,2352.TW
2003-10-31,2004-01-30,2353.TW
2003-10-31,2004-01-30,2356.TW
2003-10-31,2004-01-30,2357.TW
2003-10-31,2004-01-30,2379.TW
2003-10-31,2004-01-30,2382.TW
2003-10-31,2004-01-30,2388.TW
2003-10-31,2004-01-30,2401.TW
2003-10-31,2004-01-30,2408.TW
2003-10-31,2004-01-30,2409.TW
2003-10-31,2004-01-30,2412.TW
2003-10-31,2004-01-30,2454.TW
2003-10-31,2004-01-30,2475.TW
2003-10-31,2004-01-30,2603.TW
2003-10-31,2004-01-30,2609.TW
2003-10-31,2004-01-30,2610.TW
2003-10-31,2004-01-30,2801.TW
2003-10-31,2004-01-30,2880.TW
2003-10-31,2004-01-30,2881.TW
2003-10-31,2004-01-30,2882.TW
2003-10-31,2004-01-30,2883.TW
2003-10-31,2004-01-30,2886.TW
2003-10-31,2004-01-30,2887.TW
2003-10-31,2004-01-30,2890.TW
2003-10-31,2004-01-30,2891.TW
2003-10-31,2004-01-30,2892.TW
2003-10-31,2004-01-30,2912.TW
2003-10-31,2004-01-30,3009.TW
2003-10-31,2004-01-30,3045.TW
2003-10-31,2004-01-30,3711.TW
2003-10-31,2004-01-30,5880.TW
2003-10-31,2004-01-30,9904.TW
2004-01-31,2004-04-29,1216.TW
2004-01-31,2004-04-29,1301.TW
2004-01-31,2004-04-29,1303.TW
2004-01-31,2004-04-29,1326.TW
2004-01-31,2004-04-29,1402.TW
2004-01-31,2004-04-29,2002.TW
2004-01-31,2004-04-29,2105.TW
2004-01-31,2004-04-29,2201.TW
2004-01-31,2004-04-29,2204.TW
2004-01-31,2004-04-29,2301.TW
2004-01-31,2004-04-29,2303.TW
2004-01-31,2004-04-29,2308.TW
2004-01-31,2004-04-29,2317.TW
2004-01-31,2004-04-29,2323.TW
2004-01-31,2004-04-29,2324.TW
2004-01-31,2004-04-29,2325.TW
2004-01-31,2004-04-29,2330.TW
2004-01-31,2004-04-29,2344.TW
2004-01-31,2004-04-29,2349.TW
2004-01-31,2004-04-29,2352.TW
2004-01-31,2004-04-29,2353.TW
2004-01-31,2004-04-29,2356.TW
2004-01-31,2004-04-29,2357.TW
2004-01-31,2004-04-29,2382.TW
2004-01-31,2004-04-29,2388.TW
2004-01-31,2004-04-29,2401.TW
2004-01-31,2004-04-29,2408.TW
2004-01-31,2004-04-29,2409.TW
2004-01-31,2004-04-29,2412.TW
2004-01-31,2004-04-29,2454.TW
2004-01-31,2004-04-29,2475.TW
2004-01-31,2004-04-29,2603.TW
2004-01-31,2004-04-29,2609.TW
2004-01-31,2004-04-29,2610.TW
2004-01-31,2004-04-29,2801.TW
2004-01-31,2004-04-29,2880.TW
2004-01-31,2004-04-29,2881.TW
2004-01-31,2004-04-29,2882.TW
2004-01-31,2004-04-29,2883.TW
2004-01-31,2004-04-29,2886.TW
2004-01-31,2004-04-29,2887.TW
2004-01-31,2004-04-29,2890.TW
2004-01-31,2004-04-29,2891.TW
2004-01-31,2004-04-29,2892.TW
2004-01-31,2004-04-29,2912.TW
2004-01-31,2004-04-29,3009.TW
2004-01-31,2004-04-29,3045.TW
2004-01-31,2004-04-29,3711.TW
2004-01-31,2004-04-29,5880.TW
2004-01-31,2004-04-29,6505.TW
2004-01-31,2004-04-29,9904.TW
2004-04-30,2004-07-30,1216.TW
2004-04-30,2004-07-30,1301.TW
2004-04-30,2004-07-30,1303.TW
2004-04-30,2004-07-30,1326.TW
2004-04-30,2004-07-30,1402.TW
2004-04-30,2004-07-30,1605.TW
2004-04-30,2004-07-30,2002.TW
2004-04-30,2004-07-30,2201.TW
2004-04-30,2004-07-30,2204.TW
2004-04-30,2004-07-30,2301.TW
2004-04-30,2004-07-30,2303.TW
2004-04-30,2004-07-30,2308.TW
2004-04-30,2004-07-30,2317.TW
2004-04-30,2004-07-30,2323.TW
2004-04-30,2004-07-30,2324.TW
2004-04-30,2004-07-30,2325.TW
2004-04-30,2004-07-30,2330.TW
2004-04-30,2004-07-30,2344.TW
2004-04-30,2004-07-30,2352.TW
2004-04-30,2004-07-30,2353.TW
2004-04-30,2004-07-30,2357.TW
2004-04-30,2004-07-30,2382.TW
2004-04-30,2004-07-30,2388.TW
2004-04-30,2004-07-30,2401.TW
2004-04-30,2004-07-30,2408.TW
2004-04-30,2004-07-30,2409.TW
2004-04-30,2004-07-30,2412.TW
2004-04-30,2004-07-30,2454.TW
2004-04-30,2004-07-30,2475.TW
2004-04-30,2004-07-30,2603.TW
2004-04-30,2004-07-30,2609.TW
2004-04-30,2004-07-30,2610.TW
2004-04-30,2004-07-30,2801.TW
2004-04-30,2004-07-30,2880.TW
2004-04-30,2004-07-30,2881.TW
2004-04-30,2004-07-30,2882.TW
2004-04-30,2004-07-30,2883.TW
2004-04-30,2004-07-30,2886.TW
2004-04-30,2004-07-30,2887.TW
2004-04-30,2004-07-30,2888.TW
2004-04-30,2004-07-30,2890.TW
2004-04-30,2004-07-30,2891.TW
2004-04-30,2004-07-30,2892.TW
2004-04-30,2004-07-30,2912.TW
2004-04-30,2004-07-30,3009.TW
2004-04-30,2004-07-30,3012.TW
2004-04-30,2004-07-30,3045.TW
2004-04-30,2004-07-30,3711.TW
2004-04-30,2004-07-30,5880.TW
2004-04-30,2004-07-30,6505.TW
2004-04-30,2004-07-30,9904.TW
2004-07-31,2004-10-30,1216.TW
2004-07-31,2004-10-30,1301.TW
2004-07-31,2004-10-30,1303.TW
2004-07-31,2004-10-30,1326.TW
2004-07-31,2004-10-30,1402.TW
2004-07-31,2004-10-30,1605.TW
2004-07-31,2004-10-30,2002.TW
2004-07-31,2004-10-30,2201.TW
2004-07-31,2004-10-30,2204.TW
2004-07-31,2004-10-30,2301.TW
2004-07-31,2004-10-30,2303.TW
2004-07-31,2004-10-30,2308.TW
2004-07-31,2004-10-30,2317.TW
2004-07-31,2004-10-30,2323.TW
2004-07-31,2004-10-30,2324.TW
2004-07-31,2004-10-30,2325.TW
2004-07-31,2004-10-30,2330.TW
2004-07-31,2004-10-30,2344.TW
2004-07-31,2004-10-30,2352.TW
2004-07-31,2004-10-30,2353.TW
2004-07-31,2004-10-30,2357.TW
2004-07-31,2004-10-30,2371.TW
2004-07-31,2004-10-30,2382.TW
2004-07-31,2004-10-30,2401.TW
2004-07-31,2004-10-30,2408.TW
2004-07-31,2004-10-30,2409.TW
2004-07-31,2004-10-30,2412.TW
2004-07-31,2004-10-30,2454.TW
2004-07-31,2004-10-30,2475.TW
2004-07-31,2004-10-30,2603.TW
2004-07-31,2004-10-30,2609.TW
2004-07-31,2004-10-30,2610.TW
2004-07-31,2004-10-30,2801.TW
2004-07-31,2004-10-30,2880.TW
2004-07-31,2004-10-30,2881.TW
2004-07-31,2004-10-30,2882.TW
2004-07-31,2004-10-30,2883.TW
2004-07-31,2004-10-30,2886.TW
2004-07-31,2004-10-30,2887.TW
2004-07-31,2004-10-30,2888.TW
2004-07-31,2004-10-30,2890.TW
2004-07-31,2004-10-30,2891.TW
2004-07-31,2004-10-30,2892.TW
2004-07-31,2004-10-30,2912.TW
2004-07-31,2004-10-30,3009.TW
2004-07-31,2004-10-30,3012.TW
2004-07-31,2004-10-30,3045.TW
2004-07-31,2004-10-30,3711.TW
2004-07-31,2004-10-30,5880.TW
2004-07-31,2004-10-30,6505.TW
2004-07-31,2004-10-30,9904.TW
2004-10-31,2005-01-30,1216.TW
2004-10-31,2005-01-30,1301.TW
2004-10-31,2005-01-30,1303.TW
2004-10-31,2005-01-30,1326.TW
2004-10-31,2005-01-30,1402.TW
2004-10-31,2005-01-30,1605.TW
2004-10-31,2005-01-30,2002.TW
2004-10-31,2005-01-30,2201.TW
2004-10-31,2005-01-30,2204.TW
2004-10-31,2005-01-30,2301.TW
2004-10-31,2005-01-30,2303.TW
2004-10-31,2005-01-30,2308.TW
2004-10-31,2005-01-30,2317.TW
2004-10-31,2005-01-30,2323.TW
2004-10-31,2005-01-30,2324.TW
2004-10-31,2005-01-30,2325.TW
2004-10-31,2005-01-30,2330.TW
2004-10-31,2005-01-30,2344.TW
2004-10-31,2005-01-30,2352.TW
2004-10-31,2005-01-30,2353.TW
2004-10-31,2005-01-30,2357.TW
2004-10-31,2005-01-30,2371.TW
2004-10-31,2005-01-30,2382.TW
2004-10-31,2005-01-30,2408.TW
2004-10-31,2005-01-30,2409.TW
2004-10-31,2005-01-30,2412.TW
2004-10-31,2005-01-30,2454.TW
2004-10-31,2005-01-30,2475.TW
2004-10-31,2005-01-30,2603.TW
2004-10-31,2005-01-30,2609.TW
2004-10-31,2005-01-30,2610.TW
2004-10-31,2005-01-30,2801.TW
2004-10-31,2005-01-30,2880.TW
2004-10-31,2005-01-30,2881.TW
2004-10-31,2005-01-30,2882.TW
2004-10-31,2005-01-30,2883.TW
2004-10-31,2005-01-30,2886.TW
2004-10-31,2005-01-30,2887.TW
2004-10-31,2005-01-30,2888.TW
2004-10-31,2005-01-30,2890.TW
2004-10-31,2005-01-30,2891.TW
2004-10-31,2005-01-30,2892.TW
2004-10-31,2005-01-30,2912.TW
2004-10-31,2005-01-30,3009.TW
2004-10-31,2005-01-30,3012.TW
2004-10-31,2005-01-30,3045.TW
2004-10-31,2005-01-30,3711.TW
2004-10-31,2005-01-30,5880.TW
2004-10-31,2005-01-30,6004.TW
2004-10-31,2005-01-30,6505.TW
2004-10-31,2005-01-30,9904.TW
2005-01-31,2005-04-29,1216.TW
2005-01-31,2005-04-29,1301.TW
2005-01-31,2005-04-29,1303.TW
2005-01-31,2005-04-29,1326.TW
2005-01-31,2005-04-29,1402.TW
2005-01-31,2005-04-29,1605.TW
2005-01-31,2005-04-29,2002.TW
2005-01-31,2005-04-29,2201.TW
2005-01-31,2005-04-29,2204.TW
2005-01-31,2005-04-29,2301.TW
2005-01-31,2005-04-29,2303.TW
2005-01-31,2005-04-29,2308.TW
2005-01-31,2005-04-29,2317.TW
2005-01-31,2005-04-29,2323.TW
2005-01-31,2005-04-29,2324.TW
2005-01-31,2005-04-29,2325.TW
2005-01-31,2005-04-29,2330.TW
2005-01-31,2005-04-29,2344.TW
2005-01-31,2005-04-29,2352.TW
2005-01-31,2005-04-29,2353.TW
2005-01-31,2005-04-29,2357.TW
2005-01-31,2005-04-29,2371.TW
2005-01-31,2005-04-29,2382.TW
2005-01-31,2005-04-29,2408.TW
2005-01-31,2005-04-29,2409.TW
2005-01-31,2005-04-29,2412.TW
2005-01-31,2005-04-29,2454.TW
2005-01-31,2005-04-29,2475.TW
2005-01-31,2005-04-29,2603.TW
2005-01-31,2005-04-29,2609.TW
2005-01-31,2005-04-29,2610.TW
2005-01-31,2005-04-29,2801.TW
2005-01-31,2005-04-29,2880.TW
2005-01-31,2005-04-29,2881.TW
2005-01-31,2005-04-29,2882.TW
2005-01-31,2005-04-29,2883.TW
2005-01-31,2005-04-29,2884.TW
2005-01-31,2005-04-29,2886.TW
2005-01-31,2005-04-29,2887.TW
2005-01-31,2005-04-29,2888.TW
2005-01-31,2005-04-29,2890.TW
2005-01-31,2005-04-29,2891.TW
2005-01-31,2005-04-29,2892.TW
2005-01-31,2005-04-29,3009.TW
2005-01-31,2005-04-29,3012.TW
2005-01-31,2005-04-29,3045.TW
2005-01-31,2005-04-29,3711.TW
2005-01-31,2005-04-29,5880.TW
2005-01-31,2005-04-29,6004.TW
2005-01-31,2005-04-29,6505.TW
2005-01-31,2005-04-29,9904.TW
2005-04-30,2005-07-30,1216.TW
2005-04-30,2005-07-30,1301.TW
2005-04-30,2005-07-30,1303.TW
2005-04-30,2005-07-30,1326.TW
2005-04-30,2005-07-30,1402.TW
2005-04-30,2005-07-30,1605.TW
2005-04-30,2005-07-30,2002.TW
2005-04-30,2005-07-30,2201.TW
2005-04-30,2005-07-30,2204.TW
2005-04-30,2005-07-30,2301.TW
2005-04-30,2005-07-30,2303.TW
2005-04-30,2005-07-30,2308.TW
2005-04-30,2005-07-30,2317.TW
2005-04-30,2005-07-30,2324.TW
2005-04-30,2005-07-30,2325.TW
2005-04-30,2005-07-30,2330.TW
2005-04-30,2005-07-30,2344.TW
2005-04-30,2005-07-30,2352.TW
2005-04-30,2005-07-30,2353.TW
2005-04-30,2005-07-30,2357.TW
2005-04-30,2005-07-30,2371.TW
2005-04-30,2005-07-30,2382.TW
2005-04-30,2005-07-30,2408.TW
2005-04-30,2005-07-30,2409.TW
2005-04-30,2005-07-30,2412.TW
2005-04-30,2005-07-30,2454.TW
2005-04-30,2005-07-30,2475.TW
2005-04-30,2005-07-30,2603.TW
2005-04-30,2005-07-30,2609.TW
2005-04-30,2005-07-30,2610.TW
2005-04-30,2005-07-30,2801.TW
2005-04-30,2005-07-30,2880.TW
2005-04-30,2005-07-30,2881.TW
2005-04-30,2005-07-30,2882.TW
2005-04-30,2005-07-30,2883.TW
2005-04-30,2005-07-30,2884.TW
2005-04-30,2005-07-30,2886.TW
2005-04-30,2005-07-30,2887.TW
2005-04-30,2005-07-30,2888.TW
2005-04-30,2005-07-30,2890.TW
2005-04-30,2005-07-30,2891.TW
2005-04-30,2005-07-30,2892.TW
2005-04-30,2005-07-30,3009.TW
2005-04-30,2005-07-30,3012.TW
2005-04-30,2005-07-30,3045.TW
2005-04-30,2005-07-30,3711.TW
2005-04-30,2005-07-30,5880.TW
2005-04-30,2005-07-30,6004.TW
2005-04-30,2005-07-30,6505.TW
2005-04-30,2005-07-30,9904.TW
2005-07-31,2005-10-30,1301.TW
2005-07-31,2005-10-30,1303.TW
2005-07-31,2005-10-30,1326.TW
2005-07-31,2005-10-30,1402.TW
2005-07-31,2005-10-30,2002.TW
2005-07-31,2005-10-30,2201.TW
2005-07-31,2005-10-30,2301.TW
2005-07-31,2005-10-30,2303.TW
2005-07-31,2005-10-30,2308.TW
2005-07-31,2005-10-30,2317.TW
2005-07-31,2005-10-30,2324.TW
2005-07-31,2005-10-30,2325.TW
2005-07-31,2005-10-30,2330.TW
2005-07-31,2005-10-30,2344.TW
2005-07-31,2005-10-30,2352.TW
2005-07-31,2005-10-30,2353.TW
2005-07-31,2005-10-30,2354.TW
2005-07-31,2005-10-30,2357.TW
2005-07-31,2005-10-30,2382.TW
2005-07-31,2005-10-30,2408.TW
2005-07-31,2005-10-30,2409.TW
2005-07-31,2005-10-30,2412.TW
2005-07-31,2005-10-30,2454.TW
2005-07-31,2005-10-30,2475.TW
2005-07-31,2005-10-30,2498.TW
2005-07-31,2005-10-30,2603.TW
2005-07-31,2005-10-30,2609.TW
2005-07-31,2005-10-30,2610.TW
2005-07-31,2005-10-30,2801.TW
2005-07-31,2005-10-30,2880.TW
2005-07-31,2005-10-30,2881.TW
2005-07-31,2005-10-30,2882.TW
2005-07-31,2005-10-30,2883.TW
2005-07-31,2005-10-30,2884.TW
2005-07-31,2005-10-30,2886.TW
2005-07-31,2005-10-30,2887.TW
2005-07-31,2005-10-30,2888.TW
2005-07-31,2005-10-30,2890.TW
2005-07-31,2005-10-30,2891.TW
2005-07-31,2005-10-30,2892.TW
2005-07-31,2005-10-30,3009.TW
2005-07-31,2005-10-30,3012.TW
2005-07-31,2005-10-30,3045.TW
2005-07-31,2005-10-30,3711.TW
2005-07-31,2005-10-30,4904.TW
2005-07-31,2005-10-30,5880.TW
2005-07-31,2005-10-30,6004.TW
2005-07-31,2005-10-30,6116.TW
2005-07-31,2005-10-30,6505.TW
2005-07-31,2005-10-30,9904.TW
2005-10-31,2006-01-30,1301.TW
2005-10-31,2006-01-30,1303.TW
2005-10-31,2006-01-30,1326.TW
2005-10-31,2006-01-30,1402.TW
2005-10-31,2006-01-30,2002.TW
2005-10-31,2006-01-30,2201.TW
2005-10-31,2006-01-30,2301.TW
2005-10-31,2006-01-30,2303.TW
2005-10-31,2006-01-30,2308.TW
2005-10-31,2006-01-30,2317.TW
2005-10-31,2006-01-30,2324.TW
2005-10-31,2006-01-30,2325.TW
2005-10-31,2006-01-30,2330.TW
2005-10-31,2006-01-30,2352.TW
2005-10-31,2006-01-30,2353.TW
2005-10-31,2006-01-30,2354.TW
2005-10-31,2006-01-30,2357.TW
2005-10-31,2006-01-30,2382.TW
2005-10-31,2006-01-30,2408.TW
2005-10-31,2006-01-30,2409.TW
2005-10-31,2006-01-30,2412.TW
2005-10-31,2006-01-30,2454.TW
2005-10-31,2006-01-30,2474.TW
2005-10-31,2006-01-30,2475.TW
2005-10-31,2006-01-30,2498.TW
2005-10-31,2006-01-30,2603.TW
2005-10-31,2006-01-30,2609.TW
2005-10-31,2006-01-30,2610.TW
2005-10-31,2006-01-30,2801.TW
2005-10-31,2006-01-30,2880.TW
2005-10-31,2006-01-30,2881.TW
2005-10-31,2006-01-30,2882.TW
2005-10-31,2006-01-30,2883.TW
2005-10-31,2006-01-30,2884.TW
2005-10-31,2006-01-30,2886.TW
2005-10-31,2006-01-30,2887.TW
2005-10-31,2006-01-30,2888.TW
2005-10-31,2006-01-30,2890.TW
2005-10-31,2006-01-30,2891.TW
2005-10-31,2006-01-30,2892.TW
2005-10-31,2006-01-30,3009.TW
2005-10-31,2006-01-30,3012.TW
2005-10-31,2006-01-30,3045.TW
2005-10-31,2006-01-30,3711.TW
2005-10-31,2006-01-30,4904.TW
2005-10-31,2006-01-30,5880.TW
2005-10-31,2006-01-30,6004.TW
2005-10-31,2006-01-30,6116.TW
2005-10-31,2006-01-30,6505.TW
2005-10-31,2006-01-30,9904.TW
2006-01-31,2006-04-29,1301.TW
2006-01-31,2006-04-29,1303.TW
2006-01-31,2006-04-29,1326.TW
2006-01-31,2006-04-29,1402.TW
2006-01-31,2006-04-29,2002.TW
2006-01-31,2006-04-29,2201.TW
2006-01-31,2006-04-29,2301.TW
2006-01-31,2006-04-29,2303.TW
2006-01-31,2006-04-29,2308.TW
2006-01-31,2006-04-29,2317.TW
2006-01-31,2006-04-29,2324.TW
2006-01-31,2006-04-29,2325.TW
2006-01-31,2006-04-29,2330.TW
2006-01-31,2006-04-29,2352.TW
2006-01-31,2006-04-29,2353.TW
2006-01-31,2006-04-29,2354.TW
2006-01-31,2006-04-29,2357.TW
2006-01-31,2006-04-29,2382.TW
2006-01-31,2006-04-29,2408.TW
2006-01-31,2006-04-29,2409.TW
2006-01-31,2006-04-29,2412.TW
2006-01-31,2006-04-29,2454.TW
2006-01-31,2006-04-29,2474.TW
2006-01-31,2006-04-29,2475.TW
2006-01-31,2006-04-29,2498.TW
2006-01-31,2006-04-29,2603.TW
2006-01-31,2006-04-29,2609.TW
2006-01-31,2006-04-29,2610.TW
2006-01-31,2006-04-29,2801.TW
2006-01-31,2006-04-29,2880.TW
2006-01-31,2006-04-29,2881.TW
2006-01-31,2006-04-29,2882.TW
2006-01-31,2006-04-29,2883.TW
2006-01-31,2006-04-29,2884.TW
2006-01-31,2006-04-29,2886.TW
