asset,method,alpha,n_obs,expected_violations,actual_violations,obs_rate,kupiec_stat,kupiec_p,kupiec_pass,chris_stat,chris_p,chris_pass,dq_stat,dq_p,dq_pass,trinity
QQQ,FHS,0.025,501,12.5,16,0.0319,0.91,0.34,True,0.0,1.0,True,12.843,0.0456,False,2
QQQ,Normal,0.05,501,25.1,23,0.0459,0.181,0.6702,True,0.0,1.0,True,11.823,0.066,True,3
QQQ,Student-t(5),0.05,501,25.1,28,0.0559,0.353,0.5525,True,0.0,1.0,True,10.692,0.0984,True,3
QQQ,Skewed-t,0.05,501,25.1,23,0.0459,0.181,0.6702,True,0.0,1.0,True,11.774,0.0672,True,3
QQQ,CF-VaR,0.05,501,25.1,20,0.0399,1.148,0.284,True,0.0,1.0,True,9.114,0.1673,True,3
QQQ,FHS,0.05,501,25.1,25,0.0499,0.0,0.9918,True,0.0,1.0,True,10.136,0.1191,True,3
GLD,Normal,0.01,501,5.0,6,0.012,0.186,0.6664,True,0.0,1.0,True,16.146,0.013,False,2
GLD,Student-t(5),0.01,501,5.0,3,0.006,0.951,0.3294,True,0.0,1.0,True,1.088,0.9821,True,3
GLD,Skewed-t,0.01,501,5.0,3,0.006,0.951,0.3294,True,0.0,1.0,True,1.078,0.9825,True,3
GLD,CF-VaR,0.01,501,5.0,2,0.004,2.365,0.1241,True,0.0,1.0,True,1.812,0.9361,True,3
GLD,FHS,0.01,501,5.0,4,0.008,0.221,0.6383,True,0.0,1.0,True,0.776,0.9927,True,3
GLD,Normal,0.025,501,12.5,14,0.0279,0.172,0.6786,True,0.713,0.3985,True,3.93,0.6862,True,3
GLD,Student-t(5),0.025,501,12.5,12,0.024,0.023,0.8798,True,1.155,0.2825,True,4.719,0.5803,True,3
GLD,Skewed-t,0.025,501,12.5,10,0.02,0.56,0.4542,True,1.755,0.1853,True,6.961,0.3245,True,3
GLD,CF-VaR,0.025,501,12.5,10,0.02,0.56,0.4542,True,1.755,0.1853,True,6.955,0.3251,True,3
GLD,FHS,0.025,501,12.5,11,0.022,0.198,0.656,True,1.432,0.2314,True,5.708,0.4567,True,3
GLD,Normal,0.05,501,25.1,19,0.0379,1.672,0.196,True,1.706,0.1915,True,4.302,0.6359,True,3
GLD,Student-t(5),0.05,501,25.1,23,0.0459,0.181,0.6702,True,2.732,0.0984,True,5.402,0.4934,True,3
GLD,Skewed-t,0.05,501,25.1,21,0.0419,0.728,0.3937,True,3.581,0.0584,True,7.171,0.3053,True,3
GLD,CF-VaR,0.05,501,25.1,19,0.0379,1.672,0.196,True,1.706,0.1915,True,4.302,0.6359,True,3
GLD,FHS,0.05,501,25.1,20,0.0399,1.148,0.284,True,1.422,0.2332,True,2.886,0.8231,True,3
TLT,Normal,0.01,501,5.0,8,0.016,1.526,0.2167,True,0.0,1.0,True,19.852,0.0029,False,2
TLT,Student-t(5),0.01,501,5.0,3,0.006,0.951,0.3294,True,0.0,1.0,True,1.409,0.9653,True,3
TLT,Skewed-t,0.01,501,5.0,7,0.014,0.711,0.3992,True,0.0,1.0,True,7.929,0.2434,True,3
TLT,CF-VaR,0.01,501,5.0,3,0.006,0.951,0.3294,True,0.0,1.0,True,1.508,0.959,True,3
TLT,FHS,0.01,501,5.0,9,0.018,2.596,0.1071,True,0.0,1.0,True,23.73,0.0006,False,2
TLT,Normal,0.025,501,12.5,19,0.0379,2.971,0.0848,True,0.0,1.0,True,22.624,0.0009,False,2
TLT,Student-t(5),0.025,501,12.5,17,0.0339,1.478,0.2241,True,0.0,1.0,True,18.832,0.0045,False,2
TLT,Skewed-t,0.025,501,12.5,17,0.0339,1.478,0.2241,True,0.0,1.0,True,18.771,0.0046,False,2
TLT,CF-VaR,0.025,501,12.5,14,0.0279,0.172,0.6786,True,0.0,1.0,True,21.249,0.0017,False,2
TLT,FHS,0.025,501,12.5,20,0.0399,3.885,0.0487,False,0.0,1.0,True,21.772,0.0013,False,1
TLT,Normal,0.05,501,25.1,31,0.0619,1.388,0.2388,True,0.599,0.4389,True,16.018,0.0137,False,2
TLT,Student-t(5),0.05,501,25.1,40,0.0798,8.015,0.0046,False,0.222,0.6377,True,24.605,0.0004,False,1
TLT,Skewed-t,0.05,501,25.1,31,0.0619,1.388,0.2388,True,0.599,0.4389,True,16.102,0.0132,False,2
TLT,CF-VaR,0.05,501,25.1,32,0.0639,1.873,0.1711,True,0.45,0.5025,True,15.977,0.0139,False,2
TLT,FHS,0.05,501,25.1,32,0.0639,1.873,0.1711,True,0.45,0.5025,True,16.196,0.0127,False,2
EEM,Normal,0.01,501,5.0,4,0.008,0.221,0.6383,True,0.0,1.0,True,1.173,0.9782,True,3
EEM,Student-t(5),0.01,501,5.0,0,0.0,Inf,0.0,False,0.0,1.0,True,5.02,0.5412,True,2
EEM,Skewed-t,0.01,501,5.0,0,0.0,Inf,0.0,False,0.0,1.0,True,5.02,0.5412,True,2
EEM,CF-VaR,0.01,501,5.0,0,0.0,Inf,0.0,False,0.0,1.0,True,5.02,0.5412,True,2
EEM,FHS,0.01,501,5.0,0,0.0,Inf,0.0,False,0.0,1.0,True,5.02,0.5412,True,2
EEM,Normal,0.025,501,12.5,16,0.0319,0.91,0.34,True,0.0,1.0,True,5.675,0.4605,True,3
EEM,Student-t(5),0.025,501,12.5,16,0.0319,0.91,0.34,True,0.0,1.0,True,5.675,0.4605,True,3
EEM,Skewed-t,0.025,501,12.5,10,0.02,0.56,0.4542,True,0.0,1.0,True,1.576,0.9543,True,3
EEM,CF-VaR,0.025,501,12.5,8,0.016,1.919,0.1659,True,0.0,1.0,True,2.297,0.8904,True,3
EEM,FHS,0.025,501,12.5,11,0.022,0.198,0.656,True,0.0,1.0,True,1.973,0.9222,True,3
EEM,Normal,0.05,501,25.1,25,0.0499,0.0,0.9918,True,0.0,1.0,True,6.694,0.3501,True,3
EEM,Student-t(5),0.05,501,25.1,27,0.0539,0.156,0.6929,True,0.0,1.0,True,6.426,0.3772,True,3
EEM,Skewed-t,0.05,501,25.1,22,0.0439,0.407,0.5235,True,0.0,1.0,True,5.627,0.4662,True,3
EEM,CF-VaR,0.05,501,25.1,22,0.0439,0.407,0.5235,True,0.0,1.0,True,5.751,0.4517,True,3
EEM,FHS,0.05,501,25.1,26,0.0519,0.037,0.8465,True,0.0,1.0,True,5.928,0.4314,True,3
BTC-USD,Normal,0.01,730,7.3,5,0.0068,0.823,0.3643,True,0.0,1.0,True,2.253,0.8951,True,3
BTC-USD,Student-t(5),0.01,730,7.3,1,0.0014,8.679,0.0032,False,0.0,1.0,True,6.021,0.4209,True,2
BTC-USD,Skewed-t,0.01,730,7.3,1,0.0014,8.679,0.0032,False,0.0,1.0,True,6.025,0.4204,True,2
BTC-USD,CF-VaR,0.01,730,7.3,0,0.0,Inf,0.0,False,0.0,1.0,True,7.333,0.2911,True,2
BTC-USD,FHS,0.01,730,7.3,1,0.0014,8.679,0.0032,False,0.0,1.0,True,5.986,0.4247,True,2
BTC-USD,Normal,0.025,730,18.2,13,0.0178,1.719,0.1898,True,0.0,1.0,True,5.44,0.4887,True,3
BTC-USD,Student-t(5),0.025,730,18.2,11,0.0151,3.436,0.0638,True,0.0,1.0,True,6.897,0.3305,True,3
BTC-USD,Skewed-t,0.025,730,18.2,14,0.0192,1.102,0.2938,True,0.0,1.0,True,5.056,0.5366,True,3
BTC-USD,CF-VaR,0.025,730,18.2,1,0.0014,29.106,0.0,False,0.0,1.0,True,16.859,0.0098,False,1
BTC-USD,FHS,0.025,730,18.2,14,0.0192,1.102,0.2938,True,0.0,1.0,True,5.316,0.5039,True,3
BTC-USD,Normal,0.05,730,36.5,19,0.026,10.629,0.0011,False,0.0,1.0,True,10.272,0.1137,True,2
BTC-USD,Student-t(5),0.05,730,36.5,27,0.037,2.85,0.0914,True,0.0,1.0,True,8.428,0.2084,True,3
BTC-USD,Skewed-t,0.05,730,36.5,34,0.0466,0.184,0.6677,True,0.111,0.7393,True,4.178,0.6525,True,3
BTC-USD,CF-VaR,0.05,730,36.5,30,0.0411,1.294,0.2553,True,0.052,0.8203,True,5.908,0.4336,True,3
BTC-USD,FHS,0.05,730,36.5,33,0.0452,0.365,0.546,True,0.201,0.6541,True,4.144,0.6572,True,3
0050.TW,Normal,0.01,480,4.8,9,0.0187,2.952,0.0858,True,2.056,0.1516,True,22.8,0.0009,False,2
0050.TW,Student-t(5),0.01,480,4.8,7,0.0146,0.892,0.3448,True,3.011,0.0827,True,29.15,0.0001,False,2
0050.TW,Skewed-t,0.01,480,4.8,5,0.0104,0.008,0.9274,True,0.0,1.0,True,18.595,0.0049,False,2
0050.TW,CF-VaR,0.01,480,4.8,3,0.0063,0.787,0.3751,True,0.0,1.0,True,4.827,0.5662,True,3
0050.TW,FHS,0.01,480,4.8,8,0.0167,1.795,0.1803,True,2.493,0.1144,True,25.239,0.0003,False,2
0050.TW,Normal,0.025,480,12.0,16,0.0333,1.24,0.2654,True,0.351,0.5537,True,5.71,0.4564,True,3
0050.TW,Student-t(5),0.025,480,12.0,16,0.0333,1.24,0.2654,True,0.351,0.5537,True,5.71,0.4564,True,3
0050.TW,Skewed-t,0.025,480,12.0,15,0.0312,0.714,0.3983,True,0.49,0.4837,True,4.263,0.6412,True,3
0050.TW,CF-VaR,0.025,480,12.0,9,0.0187,0.841,0.3591,True,2.056,0.1516,True,8.435,0.2079,True,3
0050.TW,FHS,0.025,480,12.0,16,0.0333,1.24,0.2654,True,0.351,0.5537,True,5.349,0.4999,True,3
0050.TW,Normal,0.05,480,24.0,20,0.0417,0.742,0.389,True,0.034,0.8547,True,2.199,0.9005,True,3
0050.TW,Student-t(5),0.05,480,24.0,23,0.0479,0.044,0.833,True,0.011,0.9157,True,1.807,0.9366,True,3
0050.TW,Skewed-t,0.05,480,24.0,23,0.0479,0.044,0.833,True,0.011,0.9157,True,1.781,0.9387,True,3
0050.TW,CF-VaR,0.05,480,24.0,22,0.0458,0.18,0.6712,True,0.0,0.9913,True,1.858,0.9323,True,3
0050.TW,FHS,0.05,480,24.0,24,0.05,-0.0,1.0,True,0.04,0.8417,True,1.776,0.9391,True,3
