date,blackout_coverage,blackout_firm_count,any_blackout
2021-08-04,0.27720025368386886,11,True
2021-08-05,0.27720025368386886,11,True
2021-08-06,0.2445018047484408,9,True
2021-08-09,0.2547878039649524,10,True
2021-08-10,0.22690641102978606,9,True
2021-08-11,0.22690641102978606,9,True
2021-08-12,0.22690641102978606,9,True
2021-08-13,0.22690641102978606,9,True
2021-08-16,0.2225077662114803,8,True
2021-08-17,0.22473120355351653,9,True
2021-08-18,0.22473120355351653,9,True
2021-08-19,0.2376152070056538,11,True
2021-08-20,0.2058720838259228,9,True
2021-08-23,0.07443077286280736,7,True
2021-08-24,0.07443077286280736,7,True
2021-08-25,0.07443077286280736,7,True
2021-08-26,0.07443077286280736,7,True
2021-08-27,0.07251334365127052,6,True
2021-08-30,0.069049981942197,5,True
2021-08-31,0.07406870722251138,6,True
2021-09-01,0.07406870722251138,6,True
2021-09-02,0.07406870722251138,6,True
2021-09-03,0.07406870722251138,6,True
2021-09-07,0.030412165290999455,5,True
2021-09-08,0.0532277158567481,6,True
2021-09-09,0.08033368551843112,9,True
2021-09-10,0.08033368551843112,9,True
2021-09-13,0.08033368551843112,9,True
2021-09-14,0.12098481923751145,13,True
2021-09-15,0.17428512593272222,17,True
2021-09-16,0.16756546317346144,17,True
2021-09-17,0.16756546317346144,17,True
2021-09-20,0.2052337864667598,18,True
2021-09-21,0.4642606441819527,24,True
2021-09-22,0.4862960236856284,28,True
2021-09-23,0.6905924921979925,33,True
2021-09-24,0.7295901516806136,36,True
2021-09-27,0.7167061482284763,34,True
2021-09-28,0.7253755527894755,36,True
2021-09-29,0.7301047552408741,37,True
2021-09-30,0.7301047552408741,37,True
2021-10-01,0.7301047552408741,37,True
2021-10-04,0.7579861481760406,38,True
2021-10-05,0.7579861481760406,38,True
2021-10-06,0.7623847929943464,39,True
2021-10-07,0.7623847929943464,39,True
2021-10-08,0.7573660677140319,38,True
2021-10-11,0.7573660677140319,38,True
2021-10-12,0.7891091908937629,40,True
2021-10-13,0.9205505018568786,42,True
2021-10-14,0.9224679310684154,43,True
2021-10-15,0.9224679310684154,43,True
2021-10-18,0.8725464108409837,39,True
2021-10-19,0.8725464108409837,39,True
2021-10-20,0.8725464108409837,39,True
2021-10-21,0.8725464108409837,39,True
2021-10-22,0.8318952771219034,35,True
2021-10-25,0.7750286339694417,30,True
2021-10-26,0.7784919956785151,31,True
2021-10-27,0.7784919956785151,31,True
2021-10-28,0.7408236723852167,30,True
2021-10-29,0.4817968146700238,24,True
2021-11-01,0.21424386982932672,11,True
2021-11-02,0.21424386982932672,11,True
2021-11-03,0.21424386982932672,11,True
2021-11-04,0.2789306932203426,14,True
2021-11-05,0.27026128865934335,12,True
2021-11-08,0.2655320862079448,11,True
2021-11-09,0.23765069327277843,10,True
2021-11-10,0.23765069327277843,10,True
2021-11-11,0.24201385182395957,12,True
2021-11-12,0.24201385182395957,12,True
2021-11-15,0.2376152070056538,11,True
2021-11-16,0.2376152070056538,11,True
2021-11-17,0.2376152070056538,11,True
2021-11-18,0.2376152070056538,11,True
2021-11-19,0.2058720838259228,9,True
2021-11-22,0.07251334365127052,6,True
2021-11-23,0.07251334365127052,6,True
2021-11-24,0.07251334365127052,6,True
2021-11-26,0.07251334365127052,6,True
2021-11-29,0.07251334365127052,6,True
2021-11-30,0.07251334365127052,6,True
2021-12-01,0.07251334365127052,6,True
2021-12-02,0.07251334365127052,6,True
2021-12-03,0.069049981942197,5,True
2021-12-06,0.069049981942197,5,True
2021-12-07,0.069049981942197,5,True
2021-12-08,0.069049981942197,5,True
2021-12-09,0.069049981942197,5,True
2021-12-10,0.09852720697805689,7,True
2021-12-13,0.03384038358704102,4,True
2021-12-14,0.03384038358704102,4,True
2021-12-15,0.06326036045675357,7,True
2021-12-16,0.0715842076801307,8,True
2021-12-17,0.0715842076801307,8,True
2021-12-20,0.07414846995766193,7,True
2021-12-21,0.17542827445052936,11,True
2021-12-22,0.22006843362569145,14,True
2021-12-23,0.3759378134607784,20,True
2021-12-27,0.3845164870454422,21,True
2021-12-28,0.532283244153862,24,True
2021-12-29,0.5913753351990356,28,True
2021-12-30,0.6935346113312876,31,True
2021-12-31,0.6935346113312876,31,True
2022-01-03,0.6986753199474245,32,True
2022-01-04,0.7022040158922868,33,True
2022-01-05,0.7066026607105925,34,True
2022-01-06,0.7345034000591799,38,True
2022-01-07,0.7345034000591799,38,True
2022-01-10,0.7345034000591799,38,True
2022-01-11,0.7345034000591799,38,True
2022-01-12,0.8659447110222956,40,True
2022-01-13,0.8886028151448545,41,True
2022-01-14,0.8886028151448545,41,True
2022-01-18,0.8682106091661668,40,True
2022-01-19,0.8682106091661668,40,True
2022-01-20,0.8701280383777036,41,True
2022-01-21,0.8701280383777036,41,True
2022-01-24,0.8602656072197803,38,True
2022-01-25,0.8637289689288538,39,True
2022-01-26,0.8637289689288538,39,True
2022-01-27,0.9112023722746456,40,True
2022-01-28,0.8099225677817781,36,True
2022-01-31,0.6008343551868649,26,True
2022-02-01,0.6008343551868649,26,True
2022-02-02,0.6008343551868649,26,True
2022-02-03,0.6111203544033765,27,True
2022-02-04,0.46335359729495684,24,True
2022-02-07,0.3021022301175313,17,True
2022-02-08,0.3021022301175313,17,True
2022-02-09,0.3021022301175313,17,True
2022-02-10,0.2991012427105393,17,True
2022-02-11,0.29557254676567696,16,True
2022-02-14,0.2632731625987839,11,True
2022-02-15,0.26549659994082014,12,True
2022-02-16,0.26549659994082014,12,True
2022-02-17,0.26549659994082014,12,True
2022-02-18,0.26549659994082014,12,True
2022-02-22,0.11139718485514583,9,True
2022-02-23,0.11139718485514583,9,True
2022-02-24,0.11139718485514583,9,True
2022-02-25,0.10231216579797367,8,True
2022-02-28,0.10039473658643683,7,True
2022-03-01,0.07251334365127052,6,True
2022-03-02,0.07251334365127052,6,True
2022-03-03,0.07251334365127052,6,True
2022-03-04,0.069049981942197,5,True
2022-03-07,0.014649157767692702,3,True
2022-03-08,0.014649157767692702,3,True
2022-03-09,0.03746470833344134,4,True
2022-03-10,0.05396037168655793,6,True
2022-03-11,0.05396037168655793,6,True
2022-03-14,0.0542846787786128,6,True
2022-03-15,0.08565558228476475,9,True
2022-03-16,0.13648002668174605,12,True
2022-03-17,0.14727833250249683,14,True
2022-03-18,0.15180245565015468,15,True
2022-03-21,0.15887867740463021,15,True
2022-03-22,0.3738711659608067,20,True
2022-03-23,0.42420079677796213,24,True
2022-03-24,0.6725171474345035,33,True
2022-03-25,0.7050807051759722,35,True
2022-03-28,0.7329620981111387,36,True
2022-03-29,0.7579861481760406,38,True
2022-03-30,0.7579861481760406,38,True
2022-03-31,0.7579861481760406,38,True
2022-04-01,0.7579861481760406,38,True
2022-04-04,0.7579861481760406,38,True
2022-04-05,0.7579861481760406,38,True
2022-04-06,0.7623847929943464,39,True
2022-04-07,0.7623847929943464,39,True
2022-04-08,0.7623847929943464,39,True
2022-04-11,0.7623847929943464,39,True
2022-04-12,0.7941279161740773,41,True
2022-04-13,0.8054351894837247,42,True
2022-04-14,0.8054351894837247,42,True
2022-04-18,0.7661239755648594,39,True
2022-04-19,0.7680414047763963,40,True
2022-04-20,0.8881754424298646,41,True
2022-04-21,0.9319659602958024,42,True
2022-04-22,0.9005950567896505,39,True
2022-04-25,0.8344481834242605,33,True
2022-04-26,0.837911545133334,34,True
2022-04-27,0.837911545133334,34,True
2022-04-28,0.8286956021697135,33,True
2022-04-29,0.6137031136135366,28,True
2022-05-02,0.2802701370563352,12,True
2022-05-03,0.25238874412116885,11,True
2022-05-04,0.25238874412116885,11,True
2022-05-05,0.25238874412116885,11,True
2022-05-06,0.22736469405626686,9,True
2022-05-09,0.23765069327277843,10,True
2022-05-10,0.23765069327277843,10,True
2022-05-11,0.23765069327277843,10,True
2022-05-12,0.23987413061481466,11,True
2022-05-13,0.23987413061481466,11,True
2022-05-16,0.2354754857965089,10,True
2022-05-17,0.2354754857965089,10,True
2022-05-18,0.2354754857965089,10,True
2022-05-19,0.2376152070056538,11,True
2022-05-20,0.2058720838259228,9,True
2022-05-23,0.19456481051627536,8,True
2022-05-24,0.19456481051627536,8,True
2022-05-25,0.19456481051627536,8,True
2022-05-26,0.19456481051627536,8,True
2022-05-27,0.19264738130473852,7,True
2022-05-31,0.018112519476766217,4,True
2022-06-01,0.018112519476766217,4,True
2022-06-02,0.018112519476766217,4,True
2022-06-03,0.014649157767692702,3,True
2022-06-06,0.014649157767692702,3,True
2022-06-07,0.01966788304800709,4,True
2022-06-08,0.01966788304800709,4,True
2022-06-09,0.04248343361375573,5,True
2022-06-10,0.05897909696687231,7,True
2022-06-13,0.07651682410415113,9,True
2022-06-14,0.10096030678159071,11,True
2022-06-15,0.14280906950043126,13,True
2022-06-16,0.14332137610467047,14,True
2022-06-17,0.14784549925232832,15,True
2022-06-21,0.36988774855458645,20,True
2022-06-22,0.41507667075560495,23,True
2022-06-23,0.6342879966329056,31,True
2022-06-24,0.6780506733945514,35,True
2022-06-27,0.6759109521854065,34,True
2022-06-28,0.6974063063054462,35,True
2022-06-29,0.6974063063054462,35,True
2022-06-30,0.7301047552408741,37,True
2022-07-01,0.7301047552408741,37,True
2022-07-05,0.7579861481760406,38,True
2022-07-06,0.7623847929943464,39,True
2022-07-07,0.7623847929943464,39,True
2022-07-08,0.7623847929943464,39,True
2022-07-11,0.7623847929943464,39,True
2022-07-12,0.7941279161740773,41,True
2022-07-13,0.8054351894837247,42,True
2022-07-14,0.8054351894837247,42,True
2022-07-15,0.8004164642034103,41,True
2022-07-18,0.761105250284545,38,True
2022-07-19,0.7630226794960818,39,True
2022-07-20,0.8866200788586236,41,True
2022-07-21,0.8690823517213448,39,True
2022-07-22,0.8446388690439053,37,True
2022-07-25,0.7874676773566559,32,True
2022-07-26,0.7874676773566559,32,True
2022-07-27,0.7874676773566559,32,True
2022-07-28,0.8311242192881679,33,True
2022-07-29,0.6068585326438731,27,True
2022-08-01,0.2986956078039085,12,True
2022-08-02,0.2986956078039085,12,True
2022-08-03,0.2986956078039085,12,True
2022-08-04,0.2986956078039085,12,True
2022-08-05,0.27720025368386886,11,True
2022-08-08,0.2547878039649524,10,True
2022-08-09,0.22690641102978606,9,True
2022-08-10,0.22690641102978606,9,True
2022-08-11,0.2291298483718223,10,True
2022-08-12,0.2291298483718223,10,True
2022-08-15,0.22473120355351653,9,True
2022-08-16,0.22473120355351653,9,True
2022-08-17,0.22473120355351653,9,True
2022-08-18,0.2376152070056538,11,True
2022-08-19,0.2058720838259228,9,True
2022-08-22,0.19456481051627536,8,True
2022-08-23,0.19456481051627536,8,True
2022-08-24,0.19456481051627536,8,True
2022-08-25,0.19456481051627536,8,True
2022-08-26,0.19264738130473852,7,True
2022-08-29,0.069049981942197,5,True
2022-08-30,0.069049981942197,5,True
2022-08-31,0.069049981942197,5,True
2022-09-01,0.069049981942197,5,True
2022-09-02,0.069049981942197,5,True
2022-09-06,0.025393440010685067,4,True
2022-09-07,0.030412165290999455,5,True
2022-09-08,0.030412165290999455,5,True
