week_end,obs_date,release_date,value
1989-02-24,1989-02-23,1989-02-24,57.84
1989-03-03,1989-03-02,1989-03-03,45.21
1989-03-10,1989-03-09,1989-03-10,57.62
1989-03-17,1989-03-16,1989-03-17,67.29
1989-03-24,1989-03-23,1989-03-24,57.29
1989-03-31,1989-03-30,1989-03-31,33.96
1989-04-07,1989-04-06,1989-04-07,22.62
1989-04-14,1989-04-13,1989-04-14,32.45
1989-04-21,1989-04-20,1989-04-21,64.95
1989-04-28,1989-04-27,1989-04-28,54.6
1989-05-05,1989-05-04,1989-05-05,54.31
1989-05-12,1989-05-11,1989-05-12,53.52
1989-05-19,1989-05-18,1989-05-19,54.38
1989-05-26,1989-05-25,1989-05-26,54.48
1989-06-02,1989-06-01,1989-06-02,67.3
1989-06-09,1989-06-08,1989-06-09,99.13
1989-06-16,1989-06-15,1989-06-16,22.31
1989-06-23,1989-06-22,1989-06-23,58.62
1989-06-30,1989-06-29,1989-06-30,217.23
1989-07-07,1989-07-06,1989-07-07,87.0
1989-07-14,1989-07-13,1989-07-14,69.23
1989-07-21,1989-07-20,1989-07-21,35.06
1989-07-28,1989-07-27,1989-07-28,57.37
1989-08-04,1989-08-03,1989-08-04,59.33
1989-08-11,1989-08-10,1989-08-11,22.73
1989-08-18,1989-08-17,1989-08-18,23.97
1989-08-25,1989-08-24,1989-08-25,58.42
1989-09-01,1989-08-31,1989-09-01,34.29
1989-09-08,1989-09-07,1989-09-08,92.38
1989-09-15,1989-09-14,1989-09-15,22.35
1989-09-22,1989-09-21,1989-09-22,56.46
1989-09-29,1989-09-28,1989-09-29,44.45
1989-10-06,1989-10-05,1989-10-06,78.53
1989-10-13,1989-10-12,1989-10-13,86.4
1989-10-20,1989-10-19,1989-10-20,53.92
1989-10-27,1989-10-26,1989-10-27,96.96
1989-11-03,1989-11-02,1989-11-03,51.96
1989-11-10,1989-11-09,1989-11-10,41.18
1989-11-17,1989-11-16,1989-11-17,52.19
1989-11-24,1989-11-23,1989-11-24,63.18
1989-12-01,1989-11-30,1989-12-01,132.36
1989-12-08,1989-12-07,1989-12-08,139.29
1989-12-15,1989-12-14,1989-12-15,54.4
1989-12-22,1989-12-21,1989-12-22,67.91
1989-12-29,1989-12-28,1989-12-29,50.8
1990-01-05,1990-01-04,1990-01-05,76.38
1990-01-12,1990-01-11,1990-01-12,74.22
1990-01-19,1990-01-18,1990-01-19,51.76
1990-01-26,1990-01-25,1990-01-26,142.37
1990-02-02,1990-02-01,1990-02-02,193.29
1990-02-09,1990-02-08,1990-02-09,162.74
1990-02-16,1990-02-15,1990-02-16,49.22
1990-02-23,1990-02-22,1990-02-23,59.52
1990-03-02,1990-03-01,1990-03-02,69.63
1990-03-09,1990-03-08,1990-03-09,9.47
1990-03-16,1990-03-15,1990-03-16,94.66
1990-03-23,1990-03-22,1990-03-23,70.87
1990-03-30,1990-03-29,1990-03-30,59.26
1990-04-06,1990-04-05,1990-04-06,36.99
1990-04-13,1990-04-12,1990-04-13,48.09
1990-04-20,1990-04-19,1990-04-20,120.9
1990-04-27,1990-04-26,1990-04-27,27.44
1990-05-04,1990-05-03,1990-05-04,82.21
1990-05-11,1990-05-10,1990-05-11,47.02
1990-05-18,1990-05-17,1990-05-18,73.49
1990-05-25,1990-05-24,1990-05-25,92.77
1990-06-01,1990-05-31,1990-06-01,47.89
1990-06-08,1990-06-07,1990-06-08,37.65
1990-06-15,1990-06-14,1990-06-15,28.54
1990-06-22,1990-06-21,1990-06-22,85.78
1990-06-29,1990-06-28,1990-06-29,45.9
1990-07-06,1990-07-05,1990-07-06,56.38
1990-07-13,1990-07-12,1990-07-13,130.18
1990-07-20,1990-07-19,1990-07-20,57.04
1990-07-27,1990-07-26,1990-07-27,28.21
1990-08-03,1990-08-02,1990-08-03,64.88
1990-08-10,1990-08-09,1990-08-10,292.15
1990-08-17,1990-08-16,1990-08-17,94.28
