date,actual,lagged_rv,lagged_rk,HAR,HAR_RK
2026-05-12,4.075265346269948e-05,2.5112584230930963e-05,2.6007522205446727,3.1914002067630416e-05,3.962411255415084e-05
2026-05-13,4.455903280917538e-05,1.749303414778288e-05,3.9427965213990235,3.272513703106067e-05,3.9060618200857695e-05
2026-05-14,4.690663313711126e-05,1.6924481859604795e-05,2.762069757245128,3.140824859639051e-05,4.573780280599699e-05
2026-05-15,4.256637179623399e-05,4.108876939867891e-05,3.2811642960611547,4.247982295155012e-05,4.5629588225130497e-05
2026-05-18,2.9577600773581296e-05,7.762443962275751e-05,5.330303402862058,5.642164927179874e-05,4.331360870298561e-05
2026-05-19,2.363929161959745e-05,5.0632542284673274e-05,3.587582126096939,5.321371696522264e-05,4.1855129667895424e-05
2026-05-20,2.0235210440473897e-05,3.652493088016241e-05,6.066568575682126,5.0151747776641485e-05,3.3034404359224946e-05
2026-05-21,1.8026026017282885e-05,2.866248349928421e-05,4.885003830236104,4.666451076498505e-05,2.672639155335865e-05
2026-05-22,1.7100558886311893e-05,1.9387462694292524e-05,5.665340812831593,3.96778070160025e-05,2.189773442527481e-05
2026-05-26,1.5987989685788486e-05,1.2680584509494053e-05,3.1809788439621274,3.139724179218141e-05,2.556528752744837e-05
2026-05-27,1.5941853982262837e-05,2.0940996514754045e-05,4.112253095941814,3.1418023547605824e-05,2.4109326512039705e-05
2026-05-28,1.443467153333713e-05,1.9504524984544662e-05,22.712204041178808,2.9424814145775642e-05,8.603886129146864e-06
2026-05-29,2.400821857754969e-05,1.7616561383329134e-05,3.8481869984043278,2.7547062554140628e-05,1.1093826136336358e-05
2026-06-01,3.292138302851016e-05,1.4760127039437563e-05,4.051320349840972,2.6201242689226332e-05,1.359798970543261e-05
2026-06-02,8.243875971207962e-05,7.1177385068770215e-06,4.371453317369287,2.289433967116609e-05,1.4040182448071942e-05
2026-06-03,0.00010175643472125246,2.0710317997125807e-05,5.368932424724947,2.9301767039781266e-05,1.6857516316851705e-05
2026-06-04,0.000140450902810329,1.1968612739916118e-05,5.19747688796154,2.842414771259282e-05,2.953972348490539e-05
2026-06-05,0.00015294567070494574,6.548429660439194e-05,2.4693630125968604,4.386249592385293e-05,4.6601333028056564e-05
2026-06-08,0.00014349418436302664,5.932594929423991e-05,4.452666197575402,4.9667091432423756e-05,4.3868679025279066e-05
2026-06-09,9.644060628375399e-05,0.0002547046219247243,3.615605400381332,8.085190132121466e-05,6.43808492783884e-05
