start_date,end_date,peak_date,duration_days,core_days,decay_days,peak_news_z,mean_news_z,news_count_total,event_id,start_trade_date,feature_date,response_observed_through,green_response_days,brown_response_days,reaction_gap_green_minus_brown,reaction_gap_abs,slow_response_days,duration_score,duration_reaction_score
2019-03-26,2019-04-02,2019-03-30,8,2,3,1.9610010664499904,1.1139666524138092,54401.0,K1367_event_020,2019-03-26,2019-04-02,2019-04-01,5.0,2.0,3.0,3.0,5.0,2.890371757896165,11.56148703158466
2019-04-14,2019-04-15,2019-04-14,2,1,1,1.6524350162251464,1.3109710606912497,11988.0,K1367_event_021,2019-04-15,2019-04-17,2019-04-17,2.0,3.0,-1.0,1.0,3.0,1.4451858789480825,2.890371757896165
2019-05-26,2019-05-29,2019-05-27,4,1,2,1.6636680391108654,1.1746744691579272,28098.0,K1367_event_022,2019-05-28,2019-05-30,2019-05-30,0.0,2.0,-2.0,2.0,2.0,2.158744056768155,6.476232170304465
2019-06-03,2019-06-08,2019-06-05,6,2,3,2.3700986696078545,1.3966684759306476,47679.0,K1367_event_023,2019-06-03,2019-06-10,2019-06-07,0.0,0.0,0.0,0.0,0.0,2.6390573296152584,2.6390573296152584
2019-06-18,2019-07-02,2019-06-29,15,6,3,3.0031406184041005,1.4965725910902898,115353.0,K1367_event_024,2019-06-18,2019-07-02,2019-06-24,0.0,2.0,-2.0,2.0,2.0,3.4657359027997265,10.39720770839918
2019-08-18,2019-08-30,2019-08-24,13,6,6,3.881855899577434,1.8623987778645557,108755.0,K1367_event_025,2019-08-19,2019-08-30,2019-08-23,1.0,0.0,1.0,1.0,1.0,3.612012404142915,7.22402480828583
2019-09-09,2019-09-15,2019-09-13,7,1,2,2.178786097736484,1.1009505078003323,49741.0,K1367_event_026,2019-09-09,2019-09-16,2019-09-13,1.0,0.0,1.0,1.0,1.0,2.6287476860138907,5.2574953720277815
2019-09-17,2019-10-04,2019-09-20,18,12,14,5.093277064815672,2.4159867088709834,198126.0,K1367_event_027,2019-09-17,2019-10-04,2019-09-23,0.0,0.0,0.0,0.0,0.0,4.2984640797175455,4.2984640797175455
2019-10-06,2019-10-12,2019-10-07,7,2,5,1.6905000543254816,1.2247448825888951,56638.0,K1367_event_028,2019-10-07,2019-10-14,2019-10-11,5.0,5.0,0.0,0.0,5.0,2.9753212762938634,2.9753212762938634
2019-11-02,2019-11-06,2019-11-02,5,1,4,1.896895179294906,1.1051487408073142,37968.0,K1367_event_029,2019-11-04,2019-11-06,2019-11-06,0.0,0.0,0.0,0.0,0.0,2.596478425445105,2.596478425445105
2019-11-27,2019-12-16,2019-12-15,20,7,1,2.691923136731616,1.4123294066099439,180497.0,K1367_event_030,2019-11-27,2019-12-16,2019-12-04,2.0,5.0,-3.0,3.0,5.0,3.3910960280033957,13.564384112013583
2020-01-20,2020-01-23,2020-01-21,4,1,2,1.762874696319709,1.2239136221558713,39676.0,K1367_event_031,2020-01-21,2020-01-23,2020-01-23,3.0,0.0,3.0,3.0,3.0,2.158744056768155,8.63497622707262
2020-09-09,2020-09-19,2020-09-15,11,3,4,2.1296416361762773,1.249556679274656,62260.0,K1367_event_032,2020-09-09,2020-09-21,2020-09-15,2.0,1.0,1.0,1.0,2.0,3.2896256060050506,6.579251212010101
2020-09-21,2020-09-26,2020-09-22,6,4,4,1.8402803823070435,1.4700951489148115,36283.0,K1367_event_033,2020-09-21,2020-09-28,2020-09-25,2.0,0.0,2.0,2.0,2.0,2.7506291052723633,8.25188731581709
2020-09-28,2020-10-03,2020-09-30,6,1,3,1.684967980256273,0.9471293309563783,25415.0,K1367_event_034,2020-09-28,2020-10-05,2020-10-02,0.0,2.0,-2.0,2.0,2.0,2.6390573296152584,7.917171988845775
2020-10-05,2020-10-09,2020-10-08,5,1,1,2.0978724904543724,1.1132660593804984,18878.0,K1367_event_035,2020-10-05,2020-10-09,2020-10-09,0.0,3.0,-3.0,3.0,3.0,2.1383330595080277,8.55333223803211
2020-10-21,2020-10-31,2020-10-23,11,3,8,2.7228856316047687,1.2184577952097106,23352.0,K1367_event_036,2020-10-21,2020-11-02,2020-10-27,0.0,0.0,0.0,0.0,0.0,3.58351893845611,3.58351893845611
2020-11-02,2020-11-25,2020-11-08,24,11,17,3.7378367335715987,1.6625697918082825,75379.0,K1367_event_037,2020-11-02,2020-11-25,2020-11-06,2.0,0.0,2.0,2.0,2.0,4.664061703816283,13.992185111448848
2020-12-07,2020-12-18,2020-12-12,12,3,6,2.3618044907291162,1.140770581972265,64013.0,K1367_event_038,2020-12-07,2020-12-18,2020-12-11,1.0,3.0,-2.0,2.0,3.0,3.5379044319891935,10.61371329596758
2021-01-17,2021-01-29,2021-01-21,13,5,8,2.9580665332177776,1.487169842574956,79789.0,K1367_event_039,2021-01-19,2021-01-29,2021-01-25,0.0,2.0,-2.0,2.0,2.0,3.737669618283368,11.213008854850104
2021-02-17,2021-02-26,2021-02-19,10,1,7,1.8826151094931247,1.0386705400494836,55674.0,K1367_event_040,2021-02-17,2021-02-26,2021-02-23,1.0,3.0,-2.0,2.0,3.0,3.4376160436382888,10.312848130914865
2021-04-18,2021-04-25,2021-04-22,8,6,3,4.591306801593326,2.1769196347794706,60184.0,K1367_event_041,2021-04-19,2021-04-26,2021-04-23,3.0,1.0,2.0,2.0,3.0,2.890371757896165,8.671115273688494
2021-05-18,2021-05-21,2021-05-20,4,1,1,1.693454063854491,1.2853943900400384,27179.0,K1367_event_042,2021-05-18,2021-05-21,2021-05-21,1.0,1.0,0.0,0.0,1.0,1.956011502714073,1.956011502714073
2021-06-02,2021-06-18,2021-06-13,17,8,5,3.4760153321515688,1.6366038885135223,109565.0,K1367_event_043,2021-06-02,2021-06-18,2021-06-08,1.0,4.0,-3.0,3.0,4.0,3.7862514925101918,15.145005970040767
2021-06-28,2021-07-02,2021-06-29,5,1,3,1.5118294886600376,1.158610177784663,33231.0,K1367_event_044,2021-06-28,2021-07-02,2021-07-02,0.0,0.0,0.0,0.0,0.0,2.4849066497880004,2.4849066497880004
2021-07-13,2021-07-29,2021-07-16,17,6,13,2.518305975963011,1.4275746680329608,108741.0,K1367_event_045,2021-07-13,2021-07-29,2021-07-19,1.0,1.0,0.0,0.0,1.0,4.209900422703794,4.209900422703794
2021-08-03,2021-08-16,2021-08-09,14,6,7,4.009760735537606,1.569250486994958,69730.0,K1367_event_046,2021-08-03,2021-08-16,2021-08-09,0.0,1.0,-1.0,1.0,1.0,3.7477709719421277,7.495541943884255
2021-08-30,2021-09-10,2021-09-03,12,3,7,1.940730671558315,1.252159082179714,81502.0,K1367_event_047,2021-08-30,2021-09-10,2021-09-03,2.0,2.0,0.0,0.0,2.0,3.6046701283014544,3.6046701283014544
2021-09-13,2021-10-09,2021-09-21,27,12,18,2.772108582894172,1.5874195754003555,217767.0,K1367_event_048,2021-09-13,2021-10-11,2021-09-17,0.0,0.0,0.0,0.0,0.0,4.8044239997584235,4.8044239997584235
2021-10-11,2021-11-17,2021-10-31,38,25,17,4.518564478808258,1.966309619941916,398583.0,K1367_event_049,2021-10-11,2021-11-17,2021-10-15,0.0,5.0,-5.0,5.0,5.0,5.108747525077728,30.65248515046637
2022-07-15,2022-08-19,2022-07-19,36,16,31,2.853828464995727,1.4620276278915725,213183.0,K1367_event_050,2022-07-15,2022-08-19,2022-07-21,0.0,1.0,-1.0,1.0,1.0,5.343785864044087,10.687571728088175
2022-10-25,2022-10-29,2022-10-27,5,2,2,1.6994417262061385,1.1806334955630358,31260.0,K1367_event_051,2022-10-25,2022-10-31,2022-10-31,0.0,5.0,-5.0,5.0,5.0,2.34106561356211,14.04639368137266
2022-10-31,2022-11-21,2022-11-07,22,16,14,4.460274297057799,2.182243643077322,162567.0,K1367_event_052,2022-10-31,2022-11-21,2022-11-04,1.0,1.0,0.0,0.0,1.0,4.489519316480255,4.489519316480255
2023-07-13,2023-08-03,2023-07-27,22,4,7,2.551118586757171,1.273473018030155,84548.0,K1367_event_053,2023-07-13,2023-08-03,2023-07-19,2.0,1.0,1.0,1.0,2.0,4.175214986769068,8.350429973538136
2023-08-08,2023-08-11,2023-08-08,4,1,3,2.0835484050797084,1.2338817072375066,14089.0,K1367_event_054,2023-08-08,2023-08-11,2023-08-11,1.0,1.0,0.0,0.0,1.0,2.3025850929940455,2.3025850929940455
2023-09-04,2023-09-26,2023-09-09,23,10,17,2.8486693263065286,1.4000229011577128,90166.0,K1367_event_055,2023-09-05,2023-09-26,2023-09-11,1.0,2.0,-1.0,1.0,2.0,4.623239709296028,9.246479418592056
2023-11-20,2023-11-20,2023-11-20,1,1,0,1.545967668151413,1.545967668151413,3195.0,K1367_event_056,2023-11-20,2023-11-22,2023-11-22,3.0,3.0,0.0,0.0,3.0,0.6931471805599453,0.6931471805599453
2023-11-28,2023-12-06,2023-12-02,9,8,4,3.9268192167290574,2.3386798787962126,41693.0,K1367_event_057,2023-11-28,2023-12-06,2023-12-04,1.0,5.0,-4.0,4.0,5.0,3.107304049211096,15.536520246055481
2024-06-03,2024-06-06,2024-06-05,4,1,1,2.225822121209422,1.336816070604666,16005.0,K1367_event_058,2024-06-03,2024-06-06,2024-06-06,3.0,0.0,3.0,3.0,3.0,1.956011502714073,7.824046010856292
2024-09-19,2024-10-02,2024-10-02,14,5,0,2.1633412393906535,1.2622898050265496,45059.0,K1367_event_059,2024-09-19,2024-10-02,2024-09-25,0.0,4.0,-4.0,4.0,4.0,2.70805020110221,13.54025100551105
2024-10-08,2024-10-11,2024-10-09,4,2,2,1.5767687760772766,1.313007251859776,12332.0,K1367_event_060,2024-10-08,2024-10-11,2024-10-11,0.0,0.0,0.0,0.0,0.0,2.158744056768155,2.158744056768155
2024-10-30,2024-11-24,2024-11-17,26,15,7,3.54838454103186,1.9236887057689789,89271.0,K1367_event_061,2024-10-30,2024-11-25,2024-11-05,1.0,1.0,0.0,0.0,1.0,4.335557636844247,4.335557636844247
2025-01-09,2025-01-11,2025-01-10,3,1,1,2.1158193965142296,1.3233398968809205,9220.0,K1367_event_062,2025-01-10,2025-01-14,2025-01-14,1.0,0.0,1.0,1.0,1.0,1.7328679513998633,3.4657359027997265
2025-01-21,2025-01-22,2025-01-21,2,1,1,1.6025238895425962,1.0554780029120638,7880.0,K1367_event_063,2025-01-21,2025-01-23,2025-01-23,0.0,0.0,0.0,0.0,0.0,1.4451858789480825,1.4451858789480825
2025-04-21,2025-04-23,2025-04-21,3,1,2,1.9683432987426404,1.0997543687082214,9127.0,K1367_event_064,2025-04-21,2025-04-23,2025-04-23,1.0,2.0,-1.0,1.0,2.0,1.9356005054539454,3.8712010109078907
2025-08-16,2025-08-18,2025-08-17,3,1,1,1.561923855346316,1.0442076078230091,6770.0,K1367_event_065,2025-08-18,2025-08-20,2025-08-20,0.0,3.0,-3.0,3.0,3.0,1.7328679513998633,6.931471805599453
2025-09-22,2025-09-25,2025-09-25,4,2,0,1.806754674452388,1.508669605151766,12716.0,K1367_event_066,2025-09-22,2025-09-25,2025-09-25,4.0,1.0,3.0,3.0,4.0,1.6094379124341003,6.437751649736401
2025-11-02,2025-11-16,2025-11-06,15,8,10,2.54254494904549,1.4652828652303669,37368.0,K1367_event_067,2025-11-03,2025-11-17,2025-11-07,2.0,3.0,-1.0,1.0,3.0,3.9715363586389665,7.943072717277933
2025-11-18,2025-11-23,2025-11-23,6,3,0,3.203181237694418,1.7633453720430412,16035.0,K1367_event_068,2025-11-18,2025-11-24,2025-11-24,2.0,0.0,2.0,2.0,2.0,1.9459101490553132,5.8377304471659395
