section,location,description,paper_value,source_exp,source_value,status,notes
Table5,T5-CV,"Cross-era CV",0.33,K752,0.370,MISMATCH,"Same CV error as in abstract; mean=0.446 std=0.165 cv=0.370 NOT 0.33"
Table6,T6-Era3,"Overnight VIX GFC incr R2",0.0004,K752,0.0039,MISMATCH,"10x understatement; k752 shows 0.0039 with harvey_pass=True"
Table6,T6-Era5,"Overnight VIX COVID incr R2",0.0003,K752,0.0032,MISMATCH,"10x understatement"
Table6,T6-Era3,"VRP GFC incr R2",0.0008,K752,0.016,MISMATCH,"20x understatement; k752 shows 0.016 with harvey_pass=True"
Table6,T6-Era3,"Vol Momentum GFC incr R2",0.0006,K752,0.0216,MISMATCH,"36x understatement; k752 shows harvey_pass=True"
Table6,T6-Era5,"Vol Momentum COVID incr R2",0.0002,K752,0.0372,MISMATCH,"186x understatement; k752 shows harvey_pass=True (t=9.3)"
Table6,T6-Harvey,"Header 0/5 Harvey pass",0/5,K752,0/5,MISMATCH_CLAIM,"K752 shows 4 era-signal combinations pass Harvey threshold including Era3 GFC (3 signals) and Era5 COVID (1 signal); paper omits this finding entirely"
Table7,T7-Era1,"Era 1 VT Sharpe",1.236,K752,1.2358,MATCH,
Table7,T7-Era1,"Era 1 BH Sharpe",1.261,K752,1.2614,MATCH,
Table7,T7-Era2,"Era 2 VT Sharpe",0.128,K752,0.1278,MATCH,
Table7,T7-Era3,"Era 3 VT Sharpe",0.537,K752,0.537,MATCH,
Table7,T7-Era4,"Era 4 VT Sharpe (12/VIX wins)",1.116,K752,1.116,MATCH,
Table7,T7-Era5,"Era 5 VT Sharpe",0.963,K752,0.9632,MATCH,
Table8_QLIKE,T8-GJR,"GJR QLIKE",1.527,K778,1.5268,MATCH,
Table8_QLIKE,T8-AMEM,"AMEM QLIKE",1.559,K778,1.5586,MATCH,
Table8_QLIKE,T8-MEM,"MEM QLIKE",1.576,K778,1.5762,MATCH,
Table8_QLIKE,T8-GARCH,"GARCH QLIKE",1.576,K778,1.5764,MATCH,
Table8_QLIKE,T8-HAR,"HAR QLIKE",1.649,K778,1.6491,MATCH,
Table8_QLIKE,T8-EWMA,"EWMA QLIKE",1.624,K778,1.6240,MATCH,
Table8_DM,T8-DM1,"GJR vs AMEM DM",3.78,K778,3.778,MATCH,
Table8_DM,T8-DM2,"GJR vs GARCH DM",4.76,K778,4.757,MATCH,
Table8_DM,T8-DM3,"AMEM vs GARCH DM",2.85,K778,2.853,MATCH,
Table9_VaR,T9-AMEM1,"AMEM VaR 1% violation",1.09%,K780,1.09%,MATCH,
Table9_VaR,T9-AMEM-Kupiec,"AMEM Kupiec p",0.549,K780,0.549,MATCH,
Table9_VaR,T9-GJR1,"GJR VaR 1% violation",1.35%,K780,1.35%,MATCH,
Table9_VaR,T9-GJR-Kupiec,"GJR Kupiec p",0.023,K780,0.023,MATCH,
Table9_VaR,T9-EWMA1,"EWMA VaR 1% violation",2.33%,K780,2.33%,MATCH,
Table9_VaR,T9-HAR1,"HAR-ABS VaR 1% violation",2.51%,K780,2.51%,MATCH,
Table9_VaR,T9-HistSim1,"HistSim VaR 1% violation",1.59%,K780,1.59%,MATCH,
Table9_Score,T9-AMEM-Score,"AMEM composite risk score",1.94,K780,2.00,MISMATCH_FORMULA,"k780 raw scores: amem=24/24 max=2.0 after normalization but paper shows 1.94; normalization inconsistent; rank order correct"
Table9_Score,T9-GJR-Score,"GJR composite risk score",1.63,K780,1.67,APPROX,"small discrepancy from normalization formula"
Table10_Insur,T10-Drag12,"12/VIX return drag",3.49%/yr,K738,3.486,MATCH,cross-asset average
Table10_Insur,T10-DragEWMA,"EWMA return drag",2.12%/yr,K738,2.121,MATCH,cross-asset average
Table10_Insur,T10-MDD12,"12/VIX MDD reduction",-8.2pp,K738,varies,UNTRACED,"k738 cross-asset avg gives ~12.3pp; EEM-specific gives 8.2pp; table says SPY/GLD specific"
Table10_Insur,T10-Gamma,"12/VIX break-even gamma",4.5,K738,4.5,MATCH,
Table10_Simpl,simplicity,"Spearman rho complexity-Sharpe",0.077,K748,0.077,MATCH,
Table10_Simpl,simplicity,"Spearman p-value",0.794,K748,0.794,MATCH,
Inline_§8.1,L703,"41.8% QLIKE improvement (5-min HAR-RV)",41.8%,K745,-41.8%,MISMATCH_DIRECTION,"SAME ERROR AS ABSTRACT: K745 improvement_pct=-41.8 means daily beats 5-min; paper claims 5-min beats daily; N=37 preliminary sample only"
Inline_§8.2,L703,"CRRA gamma* threshold",4.5,K738,4.5,MATCH,
