date,rv_aligned,active_delivery,n_returns,anchor_ok,rolled
2021-10-14,0.00012107004065637465,202110,229,True,False
2021-10-15,8.100092884817293e-05,202110,229,True,False
2021-10-18,6.050193143965173e-05,202110,230,True,False
2021-10-19,5.328412687713652e-05,202110,229,True,False
2021-10-20,3.6301317566603626e-05,202110,229,True,False
2021-10-21,5.1849307508539667e-05,202111,229,True,True
2021-10-22,5.763776049831966e-05,202111,229,True,False
2021-10-25,7.271216499892536e-05,202111,229,True,False
2021-10-26,5.77346674685833e-05,202111,230,True,False
2021-10-27,4.428659595014747e-05,202111,229,True,False
2021-10-28,4.179946169780135e-05,202111,229,True,False
2021-10-29,5.7029651752110085e-05,202111,229,True,False
2021-11-01,7.297280586123452e-05,202111,230,True,False
2021-11-02,7.340447388287125e-05,202111,229,True,False
2021-11-03,4.21517498973412e-05,202111,229,True,False
2021-11-04,5.2303577945846126e-05,202111,229,True,False
2021-11-05,4.6730364572194436e-05,202111,229,True,False
2021-11-08,3.512554754161825e-05,202111,229,True,False
2021-11-09,3.4265733851495425e-05,202111,230,True,False
2021-11-10,3.799075808465648e-05,202111,229,True,False
2021-11-11,5.5791037424759914e-05,202111,229,True,False
2021-11-12,5.530875393120708e-05,202111,230,True,False
2021-11-15,2.689415417080066e-05,202111,229,True,False
2021-11-16,2.558166011081931e-05,202111,230,True,False
2021-11-17,2.1528741290826453e-05,202111,229,True,False
2021-11-18,2.114861782263357e-05,202112,229,True,True
2021-11-19,2.7260477746489457e-05,202112,229,True,False
2021-11-22,3.989503912707239e-05,202112,229,True,False
2021-11-23,5.141969139237123e-05,202112,229,True,False
2021-11-24,5.740864597255411e-05,202112,229,True,False
2021-11-25,4.108381445371478e-05,202112,229,True,False
2021-11-26,0.00012346348322392694,202112,229,True,False
2021-11-29,0.0002543778791490766,202112,229,True,False
2021-11-30,8.413676981112723e-05,202112,229,True,False
2021-12-01,0.00013309494829725298,202112,230,True,False
2021-12-02,0.00011187968765379598,202112,229,True,False
2021-12-03,0.0001010758982154711,202112,229,True,False
2021-12-06,7.901787926959028e-05,202112,230,True,False
2021-12-07,6.989238250443237e-05,202112,230,True,False
2021-12-08,3.97958413026777e-05,202112,229,True,False
2021-12-09,3.557688814993917e-05,202112,229,True,False
2021-12-10,4.057254102302971e-05,202112,229,True,False
2021-12-13,5.67630951188231e-05,202112,229,True,False
2021-12-14,7.006125902243426e-05,202112,229,True,False
2021-12-15,5.0962640060018825e-05,202112,228,True,False
2021-12-16,5.205676758436376e-05,202201,229,True,True
2021-12-17,4.4222946361962995e-05,202201,230,True,False
2021-12-20,7.469911924362237e-05,202201,229,True,False
2021-12-21,7.293983123470382e-05,202201,229,True,False
2021-12-22,1.8108638228221734e-05,202201,229,True,False
2021-12-23,4.300221633881389e-05,202201,230,True,False
2021-12-24,1.5292600927376255e-05,202201,229,True,False
2021-12-27,2.4248503643676415e-05,202201,229,True,False
2021-12-28,1.5317735650615402e-05,202201,229,True,False
2021-12-29,2.2010046916072648e-05,202201,230,True,False
2021-12-30,1.973557055887204e-05,202201,229,True,False
2022-01-03,5.556579998695942e-05,202201,229,True,False
2022-01-04,2.890001134592407e-05,202201,229,True,False
2022-01-05,3.672245062366414e-05,202201,229,True,False
2022-01-06,6.699357260218463e-05,202201,229,True,False
2022-01-07,0.00012398588877852567,202201,229,True,False
2022-01-10,8.821675780476876e-05,202201,229,True,False
2022-01-11,8.814384588724159e-05,202201,229,True,False
2022-01-12,5.465118654024435e-05,202201,229,True,False
2022-01-13,4.928476666465023e-05,202201,230,True,False
2022-01-14,0.00013166277904071044,202201,229,True,False
2022-01-17,7.179560776813972e-05,202201,230,True,False
2022-01-18,3.6627637536843007e-05,202201,229,True,False
2022-01-19,5.8417019363430753e-05,202201,229,True,False
2022-01-20,8.139736918149139e-05,202202,229,True,True
2022-01-21,7.883186492529671e-05,202202,229,True,False
2022-01-24,0.00011260224193152493,202202,229,True,False
2022-01-25,0.0002612649741002154,202202,229,True,False
2022-01-26,0.0001955124787770014,202202,229,True,False
2022-02-07,0.00041768129738269783,202202,229,True,False
2022-02-08,7.609428379228299e-05,202202,229,True,False
2022-02-09,3.2220100359694886e-05,202202,230,True,False
2022-02-10,3.549200462481482e-05,202202,229,True,False
2022-02-11,8.400592962487698e-05,202202,230,True,False
2022-02-14,8.80362979762367e-05,202202,229,True,False
2022-02-15,0.00010262919705883089,202202,230,True,False
2022-02-16,4.404867248382699e-05,202202,228,True,False
2022-02-17,8.049155544555004e-05,202203,229,True,True
2022-02-18,5.662698663217532e-05,202203,229,True,False
2022-02-21,0.0001504865150746925,202203,229,True,False
2022-02-22,0.00010490976101885463,202203,229,True,False
2022-02-23,0.0001254761538798343,202203,229,True,False
2022-02-24,0.00015117532352669334,202203,230,True,False
2022-02-25,0.0002873673972947678,202203,229,True,False
2022-03-01,0.0001326328136604769,202203,229,True,False
2022-03-02,0.00012327044411579067,202203,229,True,False
2022-03-03,0.00012874044745711844,202203,229,True,False
2022-03-04,0.00020427052029796465,202203,229,True,False
2022-03-07,0.0003285282064127156,202203,229,True,False
2022-03-08,0.00034849556266430836,202203,229,True,False
2022-03-09,0.0002751239561560918,202203,229,True,False
2022-03-10,8.684459422457375e-05,202203,230,True,False
2022-03-11,0.0001796398397495688,202203,231,True,False
2022-03-14,0.0002758745034127852,202203,230,True,False
2022-03-15,0.0001492470143121557,202203,229,True,False
2022-03-16,0.00020951420743491218,202203,229,True,False
2022-03-17,0.0002247566667059889,202204,229,True,True
2022-03-18,0.00011074638958378098,202204,230,True,False
2022-03-21,6.884341217120803e-05,202204,229,True,False
2022-03-22,5.870510468052504e-05,202204,229,True,False
2022-03-23,4.614576410719347e-05,202204,229,True,False
2022-03-24,5.3592651150894066e-05,202204,229,True,False
2022-03-25,6.399640619809755e-05,202204,229,True,False
2022-03-28,0.00018771251701182336,202204,229,True,False
2022-03-29,4.209957910402223e-05,202204,229,True,False
2022-03-30,4.937638160821246e-05,202204,229,True,False
2022-03-31,6.000728232758972e-05,202204,229,True,False
2022-04-01,4.607417435616241e-05,202204,229,True,False
2022-04-06,9.893841408583362e-05,202204,229,True,False
2022-04-07,0.00013947310478511565,202204,229,True,False
2022-04-08,7.730557122481274e-05,202204,229,True,False
2022-04-11,9.929216636928403e-05,202204,229,True,False
2022-04-12,0.00013755878024844143,202204,229,True,False
2022-04-13,8.671390689651743e-05,202204,230,True,False
2022-04-14,5.9983363306819916e-05,202204,229,True,False
2022-04-15,9.118922648705121e-05,202204,229,True,False
2022-04-18,0.00018671395746475285,202204,228,True,False
2022-04-19,7.384769430817512e-05,202204,229,True,False
2022-04-20,6.450419201596704e-05,202204,229,True,False
2022-04-21,6.204455933545158e-05,202205,229,True,True
2022-04-22,0.0001085504846590003,202205,229,True,False
2022-04-25,0.00012023718895446711,202205,229,True,False
2022-04-26,0.00015261098468650022,202205,229,True,False
2022-04-27,0.0001651853518466928,202205,229,True,False
2022-04-28,0.00015553640308099383,202205,229,True,False
2022-04-29,0.00013265892576852612,202205,229,True,False
2022-05-03,0.0001535521015509043,202205,229,True,False
2022-05-04,0.00010758628105142438,202205,229,True,False
2022-05-05,0.0001457493818554394,202205,229,True,False
2022-05-06,0.000130644672153542,202205,229,True,False
2022-05-09,0.0002447646903556718,202205,229,True,False
2022-05-10,0.0002106161392156988,202205,229,True,False
2022-05-11,0.00015748558018273927,202205,229,True,False
2022-05-12,0.00027241196295283966,202205,229,True,False
2022-05-13,0.00022137963079157382,202205,229,True,False
2022-05-16,9.281257072790285e-05,202205,229,True,False
2022-05-17,8.530095388555178e-05,202205,229,True,False
2022-05-18,5.5497956011893294e-05,202205,229,True,False
2022-05-19,0.00011055224838770653,202206,230,True,True
2022-05-20,0.000190336700724555,202206,229,True,False
2022-05-23,0.0001983418225049579,202206,229,True,False
2022-05-24,0.00012449428294412774,202206,230,True,False
2022-05-25,0.00011234209518399476,202206,230,True,False
2022-05-26,0.00016315863994357973,202206,230,True,False
2022-05-27,8.23130758806381e-05,202206,229,True,False
2022-05-30,5.50591953363353e-05,202206,229,True,False
2022-05-31,5.330883766446955e-05,202206,229,True,False
2022-06-01,0.00011643336155933369,202206,230,True,False
2022-06-02,9.210468391129451e-05,202206,229,True,False
2022-06-06,0.0001237760326221807,202206,229,True,False
2022-06-07,0.00010308789144859498,202206,229,True,False
2022-06-08,5.4325596646061854e-05,202206,229,True,False
2022-06-09,7.680949620211025e-05,202206,229,True,False
2022-06-10,7.514518999537085e-05,202206,229,True,False
2022-06-13,0.0002238803653761884,202206,229,True,False
2022-06-14,0.000206121368726758,202206,229,True,False
2022-06-15,0.00011803270437522282,202206,228,True,False
2022-06-16,0.00020656944239611132,202207,229,True,True
2022-06-17,0.00023231866216248437,202207,229,True,False
2022-06-20,0.0002256404865397102,202207,231,True,False
2022-06-21,7.494666357073471e-05,202207,229,True,False
2022-06-22,0.00012946692795475536,202207,229,True,False
2022-06-23,0.00031145660506170386,202207,229,True,False
2022-06-24,0.0002634547939157551,202207,229,True,False
2022-06-27,9.511825198698184e-05,202207,230,True,False
2022-06-28,0.00011162313166845584,202207,229,True,False
2022-06-29,0.00015917722524689696,202207,229,True,False
2022-06-30,0.00018806476969068886,202207,229,True,False
2022-07-01,0.0004298112210395672,202207,229,True,False
2022-07-04,0.0004898969079651751,202207,229,True,False
2022-07-05,0.0003223252788729337,202207,229,True,False
2022-07-06,0.0003101267023605333,202207,231,True,False
2022-07-07,0.00025856390961474194,202207,229,True,False
2022-07-08,0.00019380016548483544,202207,230,True,False
2022-07-11,0.00022510910620988255,202207,229,True,False
2022-07-12,0.00017196199800252235,202207,229,True,False
2022-07-13,0.000325489416557266,202207,230,True,False
2022-07-14,0.0005352869076205369,202207,229,True,False
2022-07-15,0.00017783768758771365,202207,230,True,False
2022-07-18,0.0001317707781131566,202207,229,True,False
2022-07-19,7.94860452513782e-05,202207,229,True,False
2022-07-20,0.00010478977222006128,202207,228,True,False
2022-07-21,0.00010265031900254968,202208,229,True,True
2022-07-22,9.917494958563519e-05,202208,229,True,False
2022-07-25,8.617038617407737e-05,202208,229,True,False
2022-07-26,0.00011517547612968849,202208,229,True,False
2022-07-27,9.609495672020595e-05,202208,229,True,False
2022-07-28,0.00010548799756627373,202208,230,True,False
2022-07-29,8.711237228376851e-05,202208,229,True,False
2022-08-01,0.00010534559558692167,202208,230,True,False
2022-08-02,0.00012950021356407097,202208,229,True,False
2022-08-03,0.0001172250362593622,202208,229,True,False
2022-08-04,0.0001243132703919049,202208,229,True,False
2022-08-05,0.00010942781080771147,202208,229,True,False
2022-08-08,6.33886443743977e-05,202208,230,True,False
2022-08-09,7.555071837084379e-05,202208,229,True,False
2022-08-10,6.313842956689414e-05,202208,229,True,False
2022-08-11,8.062803028752044e-05,202208,229,True,False
2022-08-12,6.872155494952001e-05,202208,229,True,False
2022-08-15,3.563789161935253e-05,202208,229,True,False
2022-08-16,3.463421628835965e-05,202208,229,True,False
2022-08-17,3.4887190594286196e-05,202208,229,True,False
2022-08-18,5.5973599508294225e-05,202209,229,True,True
2022-08-19,4.429606633657316e-05,202209,229,True,False
2022-08-22,4.9482012915593574e-05,202209,229,True,False
2022-08-23,5.9607957349128277e-05,202209,229,True,False
2022-08-24,5.137519687209321e-05,202209,229,True,False
2022-08-25,5.244253528460703e-05,202209,229,True,False
2022-08-26,5.449389473914555e-05,202209,229,True,False
2022-08-29,0.00017543614945003796,202209,229,True,False
2022-08-30,7.874869198199225e-05,202209,229,True,False
2022-08-31,0.00014911950295159445,202209,229,True,False
2022-09-01,0.00027590135342124545,202209,230,True,False
2022-09-02,0.00016889258309729963,202209,229,True,False
2022-09-05,0.00022512518603158655,202209,229,True,False
2022-09-06,0.00011426839808428178,202209,229,True,False
2022-09-07,0.00014416057280057743,202209,229,True,False
2022-09-08,0.0001058218187011462,202209,229,True,False
2022-09-12,0.00027536817774216404,202209,229,True,False
2022-09-13,4.142771846496476e-05,202209,229,True,False
2022-09-14,0.00016244154596808876,202209,229,True,False
2022-09-15,0.00012297785233046218,202209,229,True,False
2022-09-16,0.00010031246531269102,202209,229,True,False
2022-09-19,0.0001064087279209555,202209,229,True,False
2022-09-20,7.14751498919955e-05,202209,229,True,False
2022-09-21,6.324725411014692e-05,202209,228,True,False
2022-09-22,0.0002676297149639554,202210,229,True,True
2022-09-23,0.0001354641811505941,202210,229,True,False
2022-09-26,0.00017103186611115248,202210,229,True,False
