asset,date,actual_r2,return,open_to_next_open_return,garch,garch_x_vix,gjr,gjr_x_vix,har_r2,har_r2_x_vix
n225,2021-11-02,1.8191424604104283e-05,-0.004265140631222408,0.013486336431584034,0.0001913008467908499,0.00020875480063254086,0.00010274590209378265,9.710724367671537e-05,0.0007933111166499864,0.0006104520638561727
n225,2021-11-04,8.502537191611374e-05,0.009220920339972238,-0.0006366353315798712,0.0001673879478000889,0.00013261835199468436,9.737825041652107e-05,9.205927787911002e-05,0.0006289773004597957,0.0004800115780184743
n225,2021-11-05,3.787475313226155e-05,-0.006154246755880166,-0.0035281056578106984,0.0001565589727417455,0.00011784116903977844,8.832882900735526e-05,8.344554023858524e-05,0.0006640980629635655,0.0005099091699963802
n225,2021-11-08,1.2502797904220787e-05,-0.0035359295672030555,-0.005982705564368085,0.0001413162165998912,0.00011175328366569948,9.033062902658875e-05,8.722019107916022e-05,0.0005961687764249311,0.0005215118824665882
n225,2021-11-09,5.6822426814787315e-05,-0.007538065190404453,-0.011790227037216772,0.00012533572468816244,0.00011064009349532654,8.56090303716832e-05,8.40053926827896e-05,0.0005705697096569268,0.0005388848447782917
n225,2021-11-10,3.745521466820915e-05,-0.006120066557498305,-0.005576046976540794,0.00011805299171080201,0.00012153005077531467,9.28368842519524e-05,9.3513218239231e-05,0.0004431635607776343,0.0004679284046987438
n225,2021-11-11,3.4345050832823184e-05,0.005860465069670084,0.011542297696778725,0.00010945023314666695,0.00012963111949877059,9.397838406412471e-05,9.662686870234695e-05,0.0004356592540789404,0.0004968229424634893
n225,2021-11-12,0.00012722881319065968,0.011279575044772727,0.014496218981710163,0.00010192810002908663,0.0001239256051141069,8.549811391445979e-05,8.848005424985581e-05,0.0003944144280274929,0.00043326807774712677
n225,2021-11-15,3.156687211841072e-05,0.005618440363518218,-0.0019343606895657617,0.00010811851975772815,0.00012716511797572697,7.843747499035396e-05,8.111447083852271e-05,0.00044861403129293305,0.00042457763225639875
n225,2021-11-16,1.105058724885007e-06,0.0010512177342896223,0.005276311770886499,0.00010045694437076975,0.00011420293643733394,7.255881533249295e-05,7.538308314283035e-05,0.0004416383747312637,0.00042879826474452305
n225,2021-11-17,1.6214867415666056e-05,-0.004026768855505125,-0.010323780614437394,9.005955527433671e-05,0.0001037031277005275,6.766426687244132e-05,7.075065889792559e-05,0.0003708572982741927,0.0003842966848763514
n225,2021-11-18,9.150302031571854e-06,-0.003024946616317692,0.0014568956074050288,8.348811999720608e-05,0.00010751221725807154,6.767175324100655e-05,7.181712339256106e-05,0.000361408392211771,0.00039907949767568397
n225,2021-11-19,2.461325361820477e-05,0.00496117462081358,-0.0007590824011621811,7.711596734552815e-05,0.00011124662519019692,6.589923154261023e-05,7.111968099114921e-05,0.0003471204696663954,0.00040285719617117594
n225,2021-11-22,9.004738772455012e-07,0.0009489330204210944,0.0015158890734257024,7.391695871724898e-05,0.00011749857475019852,6.211952411126313e-05,6.83684826759906e-05,0.00029713048274964955,0.00036887778849208763
n225,2021-11-24,0.0002547503523578959,-0.01596090073767442,-0.0065332533211445165,6.810743823347672e-05,0.00012741967193185335,5.8972554859044714e-05,6.72273507576011e-05,0.0002471809666457294,0.00036408213464731636
n225,2021-11-25,4.472306038195814e-05,0.006687530215405246,-0.0049264136348962095,9.720943574972513e-05,0.0001658586319865356,0.00012049483459059958,0.00013293374889804065,0.00040775635110001804,0.0004782946944520483
n225,2021-11-26,0.0006590386885342646,-0.02567174884058865,-0.03364117891887031,9.320189269905317e-05,0.00014582032154096273,0.00010757560430239895,0.0001179849033810891,0.0004015851846769445,0.00047611773287187383
n225,2021-11-29,0.00026898102753230766,-0.016400641070772437,0.009660876160207943,0.00017193216678594591,0.0003374525917501039,0.00026275546188212417,0.000288974264122602,0.0006246014498068425,0.001084278015085339
n225,2021-11-30,0.00027142571108341133,-0.01647500261254642,-0.02603827128924252,0.0001848799707893477,0.00028296514510497343,0.00029374674293208424,0.000316476297193831,0.0006360555467552547,0.0008337636260939695
n225,2021-12-01,1.6679924865209717e-05,0.004084106372905794,-0.005401826747088556,0.0001959026905424023,0.0003079180849411313,0.00032016549503503073,0.00034303808783915754,0.0007000261097802251,0.0010960739263200414
n225,2021-12-02,4.2840991180794386e-05,-0.0065453029861721745,0.004504642267671999,0.00017098769199589347,0.00032371692399658984,0.00027382059558862256,0.00029694066278572657,0.0006199109267177163,0.0012130044189969504
n225,2021-12-03,9.806529347163877e-05,0.009902792205819466,0.008222037237336055,0.00015389907652816736,0.00029449418651658583,0.0002460207566472385,0.00026801289862142714,0.0006388686735202331,0.0010750480250696075
n225,2021-12-06,1.3343347688484919e-05,-0.003652854731369004,0.0024531339802473795,0.00014715722059451482,0.0003261928196265913,0.0002120879836978122,0.00023675570268107596,0.0005098645063514419,0.0010495526164627433
n225,2021-12-07,0.00035110452150581664,0.018737783260188934,0.02324441128789778,0.00013027325708618275,0.00028171845897250467,0.0001871953538834334,0.000211567819385197,0.00043867268006066547,0.0008181355984837476
n225,2021-12-08,0.0001997428854822442,0.014133042329316226,0.001195770440294286,0.0001614328366141674,0.00026588572840543503,0.0001631101892231001,0.00018306569918787212,0.0005235679972734985,0.0006865953694009369
n225,2021-12-09,2.2031723024255084e-05,-0.004693796227389413,-0.009880221588841054,0.0001669597803850839,0.00021812691990424159,0.00014305697769882258,0.0001588155304971244,0.000569491475322717,0.000643062483988355
