market,ticker,converged,theta0,alpha,gamma,beta,persistence,theta_eav_noVIX,theta_eav_noVIX_se,theta_eav_noVIX_t,loglik_noVIX,theta_vix_full,theta_eav,theta_eav_full_se,theta_eav_full_t,loglik_full,LR_stat,LR_p,n_obs,n_events,sigma2_sample,analyst_count,market_cap,median_daily_turnover
TW,1210.TW,True,0.0002041828557581068,0.0687774882778902,0.021896730668559156,0.8706205194960908,0.9503463731082605,3.3214103805947966e-05,4.242672866873912e-05,0.7828579965539694,11386.945541675494,2.027996762675471e-07,8.501739932063492e-05,5.985951917041216e-05,1.4202820286377775,11411.0600573856,48.229031420214596,3.79229980751461e-12,3911,60,0.00019159348662834257,1.0,46102573056.0,42592737.549856186
TW,2892.TW,True,0.000171619582702744,0.09075075233748334,0.10856389681431894,0.8327169390083882,0.977749639753031,-4.173526280348228e-05,2.2828417796948248e-05,-1.82821530491971,12752.319945037083,2.2908574800398018e-07,-1.8634916075920096e-05,1.757888061022103e-05,-1.0600741019359927,12791.738421840531,78.83695360689671,0.0,3911,60,0.00011814713606737818,2.0,409095897088.0,224375425.49151802
US,AAPL,True,0.0002981206755094838,0.035925233243119865,0.12285397338109572,0.8704706489028314,0.9678228688364992,0.0024549669225501455,0.0005475940698620726,4.483187561122603,8339.994532035735,6.132095799035909e-07,0.0021979582973953,0.0005401805937404,4.068932358668565,8368.056030770334,56.12299746919962,6.80566714095221e-14,3016,48,0.0003176217749350137,40.0,3792822075392.0,7863868934.170532
US,MSFT,True,0.0002697681897347561,0.042234712839637076,0.13355178966376224,0.8621714861251545,0.9711820937966726,0.0030617058648857334,0.0006447025082707719,4.7490211773766395,8611.496437372796,5.649214637609337e-07,0.0020396809273225,0.0004604153041323,4.430089332426,8685.370270797748,147.7476668499039,0.0,3016,48,0.0002743779445526462,54.0,2835080544256.0,4312635324.389648
US,NVDA,True,0.0008548125476872976,0.05467231862618695,0.06760621114062924,0.8905444189522628,0.9790198431487643,0.010598058189524594,0.0022340301074360402,4.74391914157675,6779.425940385639,1.4077663329871863e-06,0.0073171789274462,0.0013741574331896,5.3248476125923565,6805.4508235321255,52.0497662929738,5.411227022023013e-13,3016,48,0.0008716957246528164,56.0,4576631586816.0,3472350728.088379
US,GOOGL,True,0.00029795340037849815,0.04922984571645543,0.06028855226761705,0.9021190613222461,0.98149318317251,0.003566002177080667,0.0007406107695357704,4.81494777522059,8300.429743052759,7.040601574592038e-07,0.0041601324587379,0.0014073959468262,2.955907659190942,8366.577871209844,132.29625631417002,0.0,3016,48,0.0003164708302059941,56.0,3862209232896.0,2432728695.907593
US,AMZN,True,0.0003875987446925665,0.03183889783889935,0.10765293338466501,0.8929420217981826,0.9786073863294145,0.006983604215737703,0.0014567615744551059,4.793923959965709,7975.873512454809,7.549547926579569e-07,0.0072585292029484,0.0024906346552333,2.914329160118515,8006.117912575112,60.488800240606,7.438494264988549e-15,3016,48,0.00042734735067161963,64.0,2563921149952.0,6446649419.574738
US,META,True,0.00047781297823023996,0.019920943264077003,0.07972286775779072,0.9300689942624928,0.9898513714054652,0.010623904912239492,0.0021521458404378936,4.93642424812524,7744.350808026479,8.404521863498711e-07,0.004021964078133,0.0005591399301567,7.19312619473488,7748.517111935784,8.332607818609176,0.0038939719237596204,3015,48,0.0005311952456119746,60.0,1593771687936.0,4034833712.487793
US,TSLA,True,0.00142982494389798,0.046120155243029655,0.01201726767297741,0.9388626783943045,0.9909914674738228,0.009245327420204247,0.0020931213574740606,4.41700496112721,6072.871699274371,1.3063063475508843e-06,0.0127036365528677,0.0029249387871405,4.343214500323623,6078.842138722633,11.940878896522918,0.0005491556754129157,3016,48,0.0012818399373679648,41.0,1326447591424.0,6766300253.540039
US,BRK-B,True,0.00013733108099532617,0.0642675188367938,0.10435029410154226,0.8344478470799146,0.9508905129674795,7.16180400871619e-05,4.086876749079612e-05,1.752390504638798,9498.203397189209,3.017017125510481e-07,0.0001036173482507,6.497803884103895e-05,1.594651825430192,9569.439585058588,142.47237573875827,0.0,3016,48,0.00014127971451866682,3.0,1034780409856.0,901211088.2324219
