Date,MO
2016-04-01,31.62596321105957
2016-04-04,31.71122932434082
2016-04-05,31.56077003479004
2016-04-06,31.876720428466797
2016-04-07,31.80149269104004
2016-04-08,31.997089385986328
2016-04-11,31.75135040283203
2016-04-12,32.00712966918945
2016-04-13,31.129451751708984
2016-04-14,30.88873291015625
2016-04-15,30.933870315551758
2016-04-18,31.17960548400879
2016-04-19,30.948917388916016
2016-04-20,30.833553314208984
2016-04-21,30.18159294128418
2016-04-22,30.352102279663086
2016-04-25,30.703155517578125
2016-04-26,30.768356323242188
2016-04-27,30.868663787841797
2016-04-28,31.18963623046875
2016-04-29,31.450441360473633
2016-05-02,31.656063079833984
2016-05-03,31.696184158325195
2016-05-04,31.71122932434082
2016-05-05,31.515628814697266
2016-05-06,31.56077003479004
2016-05-09,31.926883697509766
2016-05-10,32.3983039855957
2016-05-11,32.4033317565918
2016-05-12,32.60895538330078
2016-05-13,32.388275146484375
2016-05-16,32.478553771972656
2016-05-17,32.03721237182617
2016-05-18,31.590864181518555
2016-05-19,31.771411895751953
2016-05-20,31.575822830200195
2016-05-23,31.716245651245117
2016-05-24,31.992080688476562
2016-05-25,32.05728530883789
2016-05-26,32.09740447998047
2016-05-27,32.07733154296875
2016-05-31,31.916845321655273
2016-06-01,32.27293014526367
2016-06-02,32.25286102294922
2016-06-03,32.74938201904297
2016-06-06,32.69922637939453
2016-06-07,32.64907455444336
2016-06-08,32.90986251831055
2016-06-09,33.03022766113281
2016-06-10,33.1656379699707
2016-06-13,32.79890060424805
2016-06-14,33.03159713745117
2016-06-15,33.046756744384766
2016-06-16,33.36039352416992
2016-06-17,33.082183837890625
2016-06-20,33.32497024536133
2016-06-21,33.476741790771484
2016-06-22,33.46155548095703
2016-06-23,33.5424919128418
2016-06-24,33.901634216308594
2016-06-27,34.36195755004883
2016-06-28,34.35184097290039
2016-06-29,34.31137466430664
2016-06-30,34.88298034667969
2016-07-01,34.91333770751953
2016-07-05,35.21177673339844
2016-07-06,35.26742172241211
2016-07-07,35.054969787597656
2016-07-08,35.323062896728516
