Date,C
2010-06-03,29.093326568603516
2010-06-04,27.844377517700195
2010-06-07,26.742345809936523
2010-06-08,27.330097198486328
2010-06-09,28.43211555480957
2010-06-10,28.652517318725586
2010-06-11,28.50557518005371
2010-06-14,28.50557518005371
2010-06-15,29.31371307373047
2010-06-16,29.31371307373047
2010-06-17,29.093326568603516
2010-06-18,29.460657119750977
2010-06-21,29.53415298461914
2010-06-22,28.94638442993164
2010-06-23,28.579055786132812
2010-06-24,27.77090835571289
2010-06-25,28.94638442993164
2010-06-28,29.387208938598633
2010-06-29,27.403562545776367
2010-06-30,27.62396240234375
2010-07-01,27.77090835571289
2010-07-02,27.844377517700195
2010-07-06,27.844377517700195
2010-07-07,28.652517318725586
2010-07-08,29.166799545288086
2010-07-09,29.68107795715332
2010-07-12,30.19533920288086
2010-07-13,31.591232299804688
2010-07-14,30.93001937866211
2010-07-15,30.56268310546875
2010-07-16,28.652517318725586
2010-07-19,29.240264892578125
2010-07-20,29.31371307373047
2010-07-21,28.94638442993164
2010-07-22,30.048410415649414
2010-07-23,29.53415298461914
2010-07-26,30.489221572875977
2010-07-27,30.56268310546875
2010-07-28,30.048410415649414
2010-07-29,30.268815994262695
2010-07-30,30.12187957763672
2010-08-02,30.7830867767334
2010-08-03,30.342273712158203
2010-08-04,30.415752410888672
2010-08-05,30.12187957763672
2010-08-06,29.828004837036133
2010-08-09,29.97494888305664
2010-08-10,29.387208938598633
2010-08-11,28.28517723083496
2010-08-12,28.43211555480957
2010-08-13,28.50557518005371
2010-08-16,28.43211555480957
2010-08-17,28.28517723083496
2010-08-18,28.358646392822266
2010-08-19,27.844377517700195
2010-08-20,27.550495147705078
2010-08-23,27.550495147705078
2010-08-24,27.256624221801758
2010-08-25,27.036216735839844
2010-08-26,26.889286041259766
2010-08-27,27.62396240234375
2010-08-30,26.96276092529297
2010-08-31,27.256624221801758
2010-09-01,28.28517723083496
2010-09-02,28.50557518005371
2010-09-03,28.72598648071289
2010-09-07,28.13823127746582
2010-09-08,28.211700439453125
2010-09-09,28.72598648071289
2010-09-10,28.72598648071289
2010-09-13,29.31371307373047
2010-09-14,28.94638442993164
2010-09-15,28.799448013305664
2010-09-16,29.166799545288086
2010-09-17,29.019847869873047
2010-09-20,29.31371307373047
2010-09-21,28.94638442993164
2010-09-22,28.50557518005371
2010-09-23,27.917829513549805
2010-09-24,28.652517318725586
2010-09-27,28.43211555480957
2010-09-28,28.50557518005371
2010-09-29,28.799448013305664
2010-09-30,28.72598648071289
2010-10-01,30.048410415649414
2010-10-04,29.607589721679688
2010-10-05,30.342273712158203
2010-10-06,30.12187957763672
2010-10-07,30.709609985351562
2010-10-08,30.7830867767334
2010-10-11,30.709609985351562
