Date,utility_rv_daily,utility_downside_daily,ag_rv_daily,ag_downside_daily,market_log_rv21_lag1,dsci,severe_dose,d2,d3,d4,dsci_lag1,severe_dose_lag1,dsci_delta4w_lag1,utility_rv_5d,utility_rv_past63_5d,utility_rv_logpast63_5d,utility_rv_22d,utility_rv_past63_22d,utility_rv_logpast63_22d,utility_downside_5d,utility_downside_past63_5d,utility_downside_logpast63_5d,utility_downside_22d,utility_downside_past63_22d,utility_downside_logpast63_22d,ag_rv_5d,ag_rv_past63_5d,ag_rv_logpast63_5d,ag_rv_22d,ag_rv_past63_22d,ag_rv_logpast63_22d,ag_downside_5d,ag_downside_past63_5d,ag_downside_logpast63_5d,ag_downside_22d,ag_downside_past63_22d,ag_downside_logpast63_22d
2019-01-31,0.0006192476600974094,0.0006192476600974094,0.0002000788729782849,0.0002000788729782849,-5.84241476539245,101.61999999999999,0.0189,1.89,0.0,0.0,168.61,0.0486,-17.139999999999986,0.0010328670077311504,0.013104774847497908,-4.334778622934446,0.00629647659423983,0.0576610093289908,-2.853174082069196,0.0007314115961799803,0.010796967367346798,-4.528489983510596,0.001739656464774972,0.04750665641632591,-3.0468854426579495,0.00022988571254137292,0.0013826255996229116,-6.583770978334275,0.001556875473826311,0.0060835526383408115,-5.102166437968943,0.00022088563792892465,0.0006585621644372058,-7.3254516366244635,0.0014107301252686997,0.0028976735235237056,-5.843847096873604
2019-02-01,9.001010311281723e-06,0.0,8.644752258070003e-06,0.0,-5.8422735736874225,101.61999999999999,0.0189,1.89,0.0,0.0,101.61999999999999,0.0189,-84.13000000000001,0.0005002688364420904,0.015763861570847297,-4.150035200971411,0.005733443568744558,0.06936099091172811,-2.668430660096214,0.00011216393608257096,0.01079417657264875,-4.5287484964195075,0.0011204088046775627,0.047494376919654496,-3.04714395556688,3.36289217409424e-05,0.0013806262296719315,-6.5852180924027435,0.001441717370261733,0.006074755410556499,-5.103613552038221,2.4628847128494125e-05,0.0006594434603398165,-7.324114319065191,0.0012106512522904148,0.0029015512254951924,-5.8425097793127625
2019-02-04,5.078311657137332e-06,0.0,3.702644706298631e-06,3.702644706298631e-06,-5.8425663565677555,101.61999999999999,0.0189,1.89,0.0,0.0,101.61999999999999,0.0189,-82.00000000000001,0.000492162699661276,0.015901855402986644,-4.14131948448931,0.005736876125678326,0.06996816377314123,-2.659714943613688,0.00011216393608257096,0.010932170404788097,-4.5160454232416,0.0011328423719226132,0.04810154978106762,-3.034440882388069,5.09912996624161e-05,0.0013841682530834247,-6.582655858306272,0.0014920692447550723,0.0060903403135670695,-5.101051317940318,5.0635977308037834e-05,0.0006668774400068736,-7.31290427554851,0.0012696478790418238,0.002934260736030244,-5.831299735783019
2019-02-05,0.000287376089582751,0.0,1.710412024434198e-05,1.710412024434198e-05,-6.046039709505194,101.61999999999999,0.0189,1.89,0.0,0.0,101.61999999999999,0.0189,-82.00000000000001,0.0004970702156624565,0.015887174077273046,-4.142243157026441,0.005923964219045006,0.0699035659400014,-2.6606386161508637,0.00012214976374088894,0.010915040629396694,-4.517613566550447,0.0011328423719226132,0.04802617876934545,-3.036009025697027,4.7444620576827e-05,0.0013454847559741506,-6.611000916754723,0.0015585940427081417,0.005920132926286263,-5.129396376404818,4.708929822244874e-05,0.0006668774400068736,-7.31290427554851,0.0013361726769948934,0.002934260736030244,-5.831299735783019
2019-02-06,0.00011216393608257096,0.00011216393608257096,3.55322354376537e-07,0.0,-6.645997487146341,101.61999999999999,0.0189,1.89,0.0,0.0,101.61999999999999,0.0189,-82.00000000000001,0.001061642693798504,0.016117500008072636,-4.127849640216593,0.005644999603915108,0.0709170000355196,-2.646245099340321,0.00012214976374088894,0.010915040629396694,-4.517613566550447,0.0011328423719226132,0.04802617876934545,-3.036009025697027,9.591603601561029e-05,0.0012662893068992613,-6.671664460119714,0.0015580297873747197,0.00557167295035675,-5.190059919805728,9.556071366123203e-05,0.0005876819909319842,-7.439324586414616,0.001319068556750551,0.0025858007601007307,-5.957720046805273
2019-02-07,8.664948880834936e-05,0.0,3.822082177854379e-06,3.822082177854379e-06,-6.6932334636677036,78.07,0.0189,1.89,0.0,0.0,101.61999999999999,0.0189,-82.00000000000001,0.0009495790976349988,0.01612284543102306,-4.127518041846521,0.005533642048865279,0.07094051989650146,-2.6459135009702335,9.985827658317995e-06,0.010920386052347117,-4.517123956419661,0.0010206784358400421,0.04804969863032732,-3.0355194155662053,9.644577920303207e-05,0.00116953569429575,-6.751148450562513,0.0021193577012065448,0.0051459570549013,-5.269543910299011,9.644577920303035e-05,0.0005988368298846631,-7.420521399486911,0.0018807517929367527,0.0026348820514925176,-5.938916859853076
2019-02-08,8.948735304672402e-07,0.0,2.600713017954371e-05,2.600713017954371e-05,-6.689769216388371,78.07,0.0189,1.89,0.0,0.0,78.07,0.0189,-105.55000000000001,0.0009165184537442458,0.016168451560115902,-4.124693369958865,0.005451244691639824,0.07114118686450997,-2.6430888290824415,9.985827658317995e-06,0.010965992181439958,-4.512956414891291,0.0010249305674229357,0.04825036559833581,-3.031351874037542,0.00019949013856881482,0.0011853198376014324,-6.737742634820342,0.002451279381396247,0.005215407285446302,-5.256138094548041,0.00019949013856881308,0.0006147161055178605,-7.394350012153066,0.0018769297107588982,0.002704750864278586,-5.912745472485898
2019-02-11,9.985827658317995e-06,9.985827658317995e-06,1.5596562070953065e-07,1.5596562070953065e-07,-6.706187516338725,78.07,0.0189,1.89,0.0,0.0,78.07,0.0189,-105.00000000000003,0.0009159449884446562,0.016168458732366893,-4.124692926363548,0.005464113779277284,0.07114121842241433,-2.643088385487124,9.985827658317995e-06,0.01096528498779323,-4.5130209066800235,0.0010249305674229357,0.04824725394629021,-3.0314163658262783,0.00030997690667009946,0.0011436720950700398,-6.773511056419968,0.0025091043238496965,0.005032157218308175,-5.291906516171407,0.0003099769066700977,0.0005723822715374147,-7.465703481171399,0.0019347546532123478,0.0025184819947646243,-5.984098941597203
2019-02-12,0.0008519485677187982,0.0,6.557553568312527e-05,6.557553568312527e-05,-6.716121600418398,78.07,0.0189,1.89,0.0,0.0,78.07,0.0189,-105.00000000000003,0.0032779741101836763,0.016166651066722673,-4.124804734590408,0.005455254552956521,0.07113326469357976,-2.6432001937139904,0.0,0.01096528498779323,-4.5130209066800235,0.0010149447397646177,0.04824725394629021,-3.0314163658262783,0.0005266712914101953,0.0011319781896375952,-6.7837885656079475,0.002569188245628964,0.0049807040344054185,-5.302184025366366,0.0005266712914101935,0.00056068836610497,-7.486345302142844,0.0019345986875916382,0.0024670288108618677,-6.004740762596805
2019-02-13,1.003399190657963e-07,0.0,8.850655417983224e-07,8.850655417983224e-07,-6.58978093337708,78.07,0.0189,1.89,0.0,0.0,78.07,0.0189,-105.00000000000003,0.002575956405640406,0.016189366517447037,-4.123400640010734,0.004605421531086488,0.07123321267676697,-2.6417960991342495,0.0,0.01096528498779323,-4.5130209066800235,0.001017060285613382,0.04824725394629021,-3.0314163658262783,0.0005257087592362218,0.001133159010197756,-6.782745961507702,0.002532581698457253,0.004985899644870126,-5.3011414212654095,0.0005257087592362201,0.0005618691866651309,-7.484241497325588,0.001869023151908513,0.0024722244213265764,-6.0026369577766525
