date,TLT,IEF,ZN=F,SPY
2011-04-29,61.07695770263672,67.66534423828125,121.140625,104.26781463623047
2011-05-02,61.174930572509766,67.6445541381836,121.234375,104.10734558105469
2011-05-03,61.52123260498047,67.82408905029297,121.4375,103.73286437988281
2011-05-04,61.79559326171875,67.99642181396484,121.640625,103.04501342773438
2011-05-05,62.38361358642578,68.33387756347656,122.0625,102.11264038085938
2011-05-06,62.10917282104492,68.36980438232422,122.28125,102.56356048583984
2011-05-09,62.04383850097656,68.4703140258789,122.46875,102.96095275878906
2011-05-10,61.59961700439453,68.14007568359375,122.09375,103.83987426757812
2011-05-11,61.952396392822266,68.38421630859375,122.421875,102.7469711303711
2011-05-12,61.560428619384766,68.23340606689453,122.171875,103.23612976074219
2011-05-13,62.11570739746094,68.49903869628906,122.5,102.44125366210938
2011-05-16,62.461910247802734,68.66419219970703,122.75,101.79165649414062
2011-05-17,63.10221862792969,68.86531066894531,122.9375,101.7763671875
2011-05-18,62.26594543457031,68.4703140258789,122.53125,102.68585205078125
2011-05-19,62.23985290527344,68.54212951660156,122.609375,102.93040466308594
2011-05-20,62.27251434326172,68.70730590820312,122.8125,102.11264038085938
2011-05-23,62.57304763793945,68.80066680908203,123.0,100.92802429199219
2011-05-24,62.80826187133789,68.87249755859375,123.078125,100.84398651123047
2011-05-25,62.514286041259766,68.87967681884766,123.140625,101.18025207519531
2011-05-26,63.0499267578125,69.26021575927734,123.75,101.64644622802734
2011-05-27,63.023807525634766,69.25306701660156,123.859375,102.03619384765625
2011-05-31,63.16753005981445,69.36076354980469,124.03125,103.09854125976562
2011-06-01,64.0212173461914,69.93244171142578,124.734375,100.78279876708984
2011-06-02,62.80167770385742,69.51486206054688,124.390625,100.67578125
2011-06-03,63.162227630615234,69.7884292602539,124.734375,99.67462158203125
2011-06-06,62.68360900878906,69.74520111083984,124.75,98.61995697021484
2011-06-07,62.97216033935547,69.87478637695312,124.65625,98.55883026123047
2011-06-08,63.46390914916992,70.02595520019531,125.09375,98.14608764648438
2011-06-09,63.208194732666016,69.74520111083984,124.65625,98.89510345458984
2011-06-10,63.69336700439453,69.96836853027344,124.921875,97.51943969726562
2011-06-13,63.37211608886719,69.81719207763672,124.765625,97.59586334228516
2011-06-14,62.414794921875,69.26287841796875,123.984375,98.83395385742188
2011-06-15,63.54915237426758,70.0115966796875,125.109375,97.07616424560547
2011-06-16,63.83763122558594,70.20599365234375,125.578125,97.29013061523438
2011-06-17,63.53605270385742,70.15550994873047,125.375,97.58049774169922
2011-06-20,63.61469268798828,70.04755401611328,125.3125,98.0796890258789
2011-06-21,63.332767486572266,69.9540023803711,125.25,99.42378997802734
2011-06-22,63.37211608886719,69.92523193359375,123.65625,98.82472229003906
2011-06-23,63.857330322265625,70.29231262207031,124.34375,98.54054260253906
2011-06-24,63.588497161865234,70.58745574951172,124.734375,97.39617156982422
2011-06-27,62.71638488769531,70.31393432617188,124.40625,98.2640609741211
2011-06-28,62.211524963378906,69.6660385131836,123.328125,99.54669952392578
2011-06-29,61.79848098754883,69.24845886230469,122.84375,100.39920043945312
2011-06-30,61.70011520385742,69.01087951660156,122.328125,101.35929870605469
2011-07-01,61.60139083862305,68.8384017944336,121.984375,102.8569564819336
2011-07-05,61.73953628540039,69.27144622802734,122.65625,102.77245330810547
2011-07-06,62.0554084777832,69.39413452148438,122.984375,102.89537048339844
2011-07-07,61.87117385864258,69.1270980834961,122.46875,103.96295928955078
2011-07-08,62.74618148803711,69.86322021484375,123.71875,103.22559356689453
2011-07-11,63.68706130981445,70.3972396850586,124.546875,101.35929870605469
2011-07-12,63.90414810180664,70.49825286865234,124.625,100.92149353027344
2011-07-13,64.08179473876953,70.61371612548828,124.796875,101.25943756103516
2011-07-14,63.16725540161133,70.20956420898438,124.4375,100.56053924560547
