week_end,NFCI
2021-07-16,-0.70853
2021-07-23,-0.69899
2021-07-30,-0.67717
2021-08-06,-0.69228
2021-08-13,-0.67826
2021-08-20,-0.67943
2021-08-27,-0.66728
2021-09-03,-0.66222
2021-09-10,-0.67999
2021-09-17,-0.69096
2021-09-24,-0.69066
2021-10-01,-0.68249
2021-10-08,-0.69718
2021-10-15,-0.68013
2021-10-22,-0.68231
2021-10-29,-0.6935
2021-11-05,-0.68732
2021-11-12,-0.67611
2021-11-19,-0.65498
2021-11-26,-0.63408
2021-12-03,-0.59446
2021-12-10,-0.55532
2021-12-17,-0.55472
2021-12-24,-0.57336
2021-12-31,-0.58094
2022-01-07,-0.58335
2022-01-14,-0.61298
2022-01-21,-0.62211
2022-01-28,-0.58669
2022-02-04,-0.56722
2022-02-11,-0.57192
2022-02-18,-0.56005
2022-02-25,-0.53151
2022-03-04,-0.47774
2022-03-11,-0.43184
2022-03-18,-0.35082
2022-03-25,-0.32546
2022-04-01,-0.33352
2022-04-08,-0.37737
2022-04-15,-0.3805
2022-04-22,-0.38134
2022-04-29,-0.35886
2022-05-06,-0.27168
2022-05-13,-0.23361
2022-05-20,-0.22522
2022-05-27,-0.20212
2022-06-03,-0.17432
2022-06-10,-0.27765
2022-06-17,-0.26397
2022-06-24,-0.18144
2022-07-01,-0.1431
2022-07-08,-0.11703
2022-07-15,-0.09113
2022-07-22,-0.1855
2022-07-29,-0.20144
2022-08-05,-0.19124
2022-08-12,-0.24561
2022-08-19,-0.28166
2022-08-26,-0.27777
2022-09-02,-0.26816
2022-09-09,-0.21521
2022-09-16,-0.21998
2022-09-23,-0.19464
2022-09-30,-0.14145
2022-10-07,-0.06267
2022-10-14,-0.06158
2022-10-21,-0.06227
2022-10-28,-0.11154
2022-11-04,-0.10226
2022-11-11,-0.11073
2022-11-18,-0.19514
2022-11-25,-0.25579
2022-12-02,-0.26901
2022-12-09,-0.22078
2022-12-16,-0.21479
2022-12-23,-0.21479
2022-12-30,-0.21479
2023-01-06,-0.21215
2023-01-13,-0.26525
2023-01-20,-0.33856
2023-01-27,-0.37016
2023-02-03,-0.35201
2023-02-10,-0.35917
2023-02-17,-0.4432
2023-02-24,-0.45282
2023-03-03,-0.41324
2023-03-10,-0.3762
2023-03-17,-0.35231
2023-03-24,-0.23911
2023-03-31,-0.12072
2023-04-07,-0.12534
2023-04-14,-0.1823
2023-04-21,-0.24309
2023-04-28,-0.30218
2023-05-05,-0.26652
2023-05-12,-0.28289
2023-05-19,-0.29949
2023-05-26,-0.30634
2023-06-02,-0.29
2023-06-09,-0.22305
2023-06-16,-0.27604
2023-06-23,-0.29742
2023-06-30,-0.31908
2023-07-07,-0.2818
2023-07-14,-0.32937
2023-07-21,-0.37011
2023-07-28,-0.39243
2023-08-04,-0.34214
2023-08-11,-0.35131
2023-08-18,-0.3853
2023-08-25,-0.40058
2023-09-01,-0.4
2023-09-08,-0.33845
2023-09-15,-0.38016
2023-09-22,-0.41954
2023-09-29,-0.45798
2023-10-06,-0.36766
2023-10-13,-0.37525
2023-10-20,-0.38567
2023-10-27,-0.38988
2023-11-03,-0.3381
2023-11-10,-0.35997
2023-11-17,-0.40649
2023-11-24,-0.46755
2023-12-01,-0.50404
2023-12-08,-0.46256
2023-12-15,-0.51
2023-12-22,-0.53369
2023-12-29,-0.54284
2024-01-05,-0.47933
2024-01-12,-0.50717
2024-01-19,-0.54453
2024-01-26,-0.57295
2024-02-02,-0.56413
2024-02-09,-0.49078
2024-02-16,-0.51117
2024-02-23,-0.52151
2024-03-01,-0.51816
2024-03-08,-0.46829
2024-03-15,-0.50239
2024-03-22,-0.53056
2024-03-29,-0.55572
2024-04-05,-0.50983
2024-04-12,-0.53124
2024-04-19,-0.5307
2024-04-26,-0.50758
2024-05-03,-0.47494
2024-05-10,-0.48785
2024-05-17,-0.53181
2024-05-24,-0.56222
2024-05-31,-0.58016
2024-06-07,-0.53823
2024-06-14,-0.56393
2024-06-21,-0.58065
2024-06-28,-0.5678
2024-07-05,-0.50131
2024-07-12,-0.5288
2024-07-19,-0.56269
