date,total_spillover
2007-11-07,75.39623362279855
2007-11-14,75.99363609038237
2007-11-21,76.26803148939086
2007-11-28,78.14749685693934
2007-12-05,78.21797101641998
2007-12-12,79.15337322469713
2007-12-19,79.29697462484289
2007-12-26,77.75506156901321
2008-01-03,77.70936184991824
2008-01-10,77.61349005729421
2008-01-17,77.61866890887877
2008-01-24,77.67957925298441
2008-01-31,76.4301234271737
2008-02-15,77.6114080577046
2008-02-22,77.74780528008499
2008-03-03,77.82067470120772
2008-03-10,77.96581916247344
2008-03-17,78.0175574345435
2008-03-24,77.98859293184194
2008-03-31,78.05609252155628
2008-04-08,78.08412476984779
2008-04-15,78.07380513400368
2008-04-22,78.13254481399929
2008-04-29,78.21304106516254
2008-05-07,79.60646172573541
2008-05-14,79.36065936670865
2008-05-21,79.47268441980442
2008-05-28,79.47897118491385
2008-06-04,79.51593109807342
2008-06-11,79.44851414988885
2008-06-18,79.24232251508437
2008-06-25,79.29331014435877
2008-07-02,79.209143759
2008-07-09,40.337254517801746
2008-07-16,39.88700895823556
2008-07-23,39.61514144246593
2008-07-30,82.58989638392832
2008-08-06,78.98633457931038
2008-08-13,77.67429493457036
2008-08-20,79.22699290063629
2008-08-27,79.18752444899178
2008-09-03,79.24825897048228
2008-09-10,77.3410866507812
2008-09-17,77.26092304836743
2008-09-24,75.57501700132492
2008-10-01,78.34499270596456
2008-10-08,78.84296345518244
2008-10-16,77.68751344485119
2008-10-23,76.50408264695895
2008-10-30,74.8180909763728
2008-11-06,73.5426069915196
2008-11-13,74.07283447928195
2008-11-20,73.71322886900818
2008-11-27,73.90268407422234
2008-12-04,73.98987204264158
2008-12-11,73.5738080297487
2008-12-18,73.68615967234678
2008-12-25,72.92769127629546
2009-01-02,78.62557787223628
2009-01-09,78.27448993806223
2009-01-16,78.25042355581442
2009-02-03,78.25319102649028
2009-02-10,78.31122038938966
2009-02-17,78.29896707942714
2009-02-24,78.20102245700043
2009-03-03,78.17533476364447
2009-03-10,78.22179292256534
2009-03-17,78.20728370193939
2009-03-24,78.12101704741052
2009-03-31,78.13584029940903
2009-04-08,78.18268682675925
2009-04-15,78.11021915467914
2009-04-22,78.11346354557139
2009-04-29,78.14158347049627
2009-05-07,76.43483786795368
2009-05-14,71.2019055305258
2009-05-21,71.52946458560592
2009-06-01,70.71271452819946
2009-06-08,70.51406414314887
2009-06-15,70.31492541649233
2009-06-22,70.29717739158798
2009-06-29,71.60103419058782
2009-07-06,72.22741829750032
2009-07-13,73.25796656148601
2009-07-20,71.53786954138245
2009-07-27,71.2475425871326
2009-08-03,72.69985590492595
2009-08-10,79.27648540115595
2009-08-17,79.37617459352562
2009-08-24,79.72307050756979
2009-08-31,79.84699948833305
2009-09-07,81.16959917145317
2009-09-14,81.05533716114624
2009-09-21,81.12214925137887
2009-09-28,81.16061127666224
2009-10-05,82.51880217265773
2009-10-12,82.5027934620211
2009-10-19,78.17072138531218
2009-10-26,78.39208645939473
2009-11-02,78.47915887331725
2009-11-09,78.45291489041726
2009-11-16,78.55162555952919
2009-11-23,78.62117868426692
2009-11-30,78.5430990064408
2009-12-07,78.6052493048769
2009-12-14,78.66024727485292
2009-12-21,78.69922216791394
2009-12-28,78.78049831507822
2010-01-05,78.99302576455754
2010-01-12,78.88446982614253
2010-01-19,78.81222548850864
2010-01-26,78.68847005403447
2010-02-02,81.57430129292241
2010-02-09,83.20564388704453
2010-02-25,83.0560234874142
2010-03-04,83.06013077303956
2010-03-11,84.59851608540424
2010-03-18,84.600680126287
2010-03-25,84.49012292535633
2010-04-01,84.42944132954776
2010-04-09,84.29386210476146
2010-04-16,84.26069892730409
2010-04-23,84.31367632012913
2010-04-30,84.1495731263191
2010-05-07,84.29698304851566
2010-05-14,84.33719231442366
2010-05-21,52.76151436433254
2010-05-28,51.411795212394765
2010-06-04,51.1575465229014
2010-06-11,48.601093939401856
2010-06-21,48.79903495681009
2010-06-28,47.08590966954549
2010-07-05,47.59322002061192
2010-07-12,47.49123217588619
2010-07-19,47.139479788851126
2010-07-26,46.779659289041945
2010-08-02,46.79484533879928
2010-08-09,45.827555112196244
2010-08-16,44.72053385977526
2010-08-23,44.857185770196025
2010-08-30,43.62251578188708
2010-09-06,44.35779870635612
2010-09-13,44.1726671559969
2010-09-20,43.85055553957832
2010-09-28,44.04386243689443
2010-10-05,42.8290851920188
2010-10-12,42.089258110247755
2010-10-19,41.12252837540074
2010-10-26,40.75095000179832
2010-11-02,39.73642656585769
2010-11-09,38.48963022744044
2010-11-16,37.55340387137905
2010-11-23,36.60046458998318
2010-11-30,37.01314946822176
2010-12-07,37.05674204987588
2010-12-14,36.255869558092066
2010-12-21,35.72513150683986
2010-12-28,35.898947197796204
2011-01-04,34.82701912899347
2011-01-11,35.232541545056456
2011-01-18,34.32530759882031
2011-01-25,34.39116104807554
2011-02-09,34.43714247030189
2011-02-16,34.391824482365266
2011-02-23,34.558363145875454
2011-03-03,34.99521621115033
2011-03-10,33.84336610183067
2011-03-17,38.40665205700831
2011-03-24,38.20958183189254
2011-03-31,38.91837413467524
2011-04-11,38.05789193814271
2011-04-18,37.61926967658377
2011-04-25,37.003158045837765
2011-05-03,36.00023643452561
2011-05-10,37.11934603252682
2011-05-17,38.29701580754207
2011-05-24,38.83731704386038
2011-05-31,38.0961235549626
2011-06-08,37.77772602946651
2011-06-15,38.15108638908627
2011-06-22,38.726979804403214
2011-06-29,37.849689234815784
2011-07-06,37.84665001850357
2011-07-13,38.467089539023114
2011-07-20,38.08534249568806
2011-07-27,38.30953188159119
2011-08-03,38.069549872965865
2011-08-10,41.22330061646128
2011-08-17,40.313874469907304
2011-08-24,42.780971757966604
2011-08-31,41.981778902965
2011-09-07,42.64820129808126
2011-09-15,44.09520797590162
2011-09-22,43.94237635808358
2011-09-29,53.85992626114735
2011-10-06,52.608797970836605
2011-10-14,72.39648291151082
2011-10-21,70.11864262162094
2011-10-28,70.12581485414154
2011-11-04,70.193343892359
2011-11-11,70.40960916360535
2011-11-18,70.15341430157407
2011-11-25,70.90729029588657
2011-12-02,70.90321649987798
2011-12-09,70.72756189043446
2011-12-16,70.35532172300643
2011-12-23,67.91886236697019
2011-12-30,67.37975696513145
2012-01-06,67.39227880741055
2012-01-13,67.20435900477959
2012-01-31,67.1807832937957
2012-02-07,67.25892453760432
2012-02-14,67.3894515852709
2012-02-21,67.63922793677766
2012-03-01,67.70556738043676
2012-03-08,67.74644598595361
2012-03-15,67.78430560105345
2012-03-22,67.43823427403626
2012-03-29,67.06206454729863
2012-04-06,66.97618505503031
2012-04-13,66.84658086563911
2012-04-20,67.25504014599586
2012-04-27,65.08865513096431
2012-05-07,64.97670687492341
2012-05-14,64.62665340464585
2012-05-21,66.7088837134347
2012-05-28,66.96862514667701
2012-06-04,66.8801616135767
2012-06-11,66.44211664611119
2012-06-18,66.72163269786746
