date,index_call,index_put,index_total,index_pcr
2004-07-12,136586,267356,403942,1.96
2004-07-13,121540,179285,300825,1.48
2004-07-14,238398,349881,588279,1.47
2004-07-15,226114,335510,561624,1.48
2004-07-16,190255,365652,555907,1.92
2004-07-19,165472,201310,366782,1.22
2004-07-20,137755,145329,283084,1.05
2004-07-21,134003,219660,353663,1.64
2004-07-22,189230,283335,472565,1.5
2004-07-23,93137,162636,255773,1.75
2004-07-26,133144,165168,298312,1.24
2004-07-27,149050,205662,354712,1.38
2004-07-28,121034,165841,286875,1.37
2004-07-29,124298,129612,253910,1.04
2004-07-30,79932,96680,176612,1.21
2004-08-02,91459,121052,212511,1.32
2004-08-03,92669,143337,236006,1.55
2004-08-04,124643,198685,323328,1.59
2004-08-05,148347,203311,351658,1.37
2004-08-06,217898,358900,576798,1.65
2004-08-09,172500,186256,358756,1.08
2004-08-10,186412,247387,433799,1.33
2004-08-11,180287,265636,445923,1.47
2004-08-12,152181,200688,352869,1.32
2004-08-13,156588,271007,427595,1.73
2004-08-16,162962,222226,385188,1.36
2004-08-17,174285,307727,482012,1.77
2004-08-18,265396,348406,613802,1.31
2004-08-19,249816,310160,559976,1.24
2004-08-20,264520,434522,699042,1.64
2004-08-23,128673,145242,273915,1.13
2004-08-24,106750,175543,282293,1.64
2004-08-25,127898,187245,315143,1.46
2004-08-26,121148,163594,284742,1.35
2004-08-27,114941,173084,288025,1.51
2004-08-30,89541,133127,222668,1.49
2004-08-31,152270,154417,306687,1.01
2004-09-01,83176,183111,266287,2.2
2004-09-02,132851,200450,333301,1.51
2004-09-03,129296,211892,341188,1.64
2004-09-07,172676,215778,388454,1.25
2004-09-08,85196,194854,280050,2.29
2004-09-09,132513,209903,342416,1.58
2004-09-10,115043,257845,372888,2.24
2004-09-13,240560,250916,491476,1.04
2004-09-14,208389,336928,545317,1.62
2004-09-15,172878,340886,513764,1.97
2004-09-16,217563,241747,459310,1.11
2004-09-17,163534,265956,429490,1.63
2004-09-20,148779,360944,509723,2.43
2004-09-21,161678,147346,309024,0.91
2004-09-22,128422,212719,341141,1.66
2004-09-23,122972,162084,285056,1.32
2004-09-24,93302,129702,223004,1.39
2004-09-27,104224,188752,292976,1.81
2004-09-28,168810,187821,356631,1.11
2004-09-29,86715,201309,288024,2.32
2004-09-30,97931,160483,258414,1.64
2004-10-01,206943,340094,547037,1.64
2004-10-04,158907,290410,449317,1.83
2004-10-05,108574,211265,319839,1.95
2004-10-06,128651,189368,318019,1.47
2004-10-07,180204,226204,406408,1.26
2004-10-08,173786,278099,451885,1.6
2004-10-11,102860,162974,265834,1.58
2004-10-12,203414,260896,464310,1.28
2004-10-13,331277,536806,868083,1.62
2004-10-14,287591,455340,742931,1.58
2004-10-15,286332,354698,641030,1.24
2004-10-18,158344,165827,324171,1.05
2004-10-19,127216,177211,304427,1.39
2004-10-20,184433,173917,358350,0.94
2004-10-21,94727,127659,222386,1.35
2004-10-22,172332,170902,343234,0.99
2004-10-25,128873,149352,278225,1.16
2004-10-26,135504,159728,295232,1.18
2004-10-27,187308,222238,409546,1.19
2004-10-28,173340,200469,373809,1.16
2004-10-29,138469,183028,321497,1.32
2004-11-01,123686,190478,314164,1.54
2004-11-02,156409,274779,431188,1.76
2004-11-03,244595,347628,592223,1.42
2004-11-04,309639,440633,750272,1.42
2004-11-05,258948,341022,599970,1.32
2004-11-08,126362,184580,310942,1.46
2004-11-09,121354,194357,315711,1.6
2004-11-10,145580,194918,340498,1.34
2004-11-11,203456,286240,489696,1.41
2004-11-12,277970,320979,598949,1.15
2004-11-15,248388,299343,547731,1.21
2004-11-16,205652,239438,445090,1.16
2004-11-17,395108,403728,798836,1.02
2004-11-18,250102,271268,521370,1.08
2004-11-19,195536,494864,690400,2.53
2004-11-22,124644,233801,358445,1.88
2004-11-23,125609,194546,320155,1.55
2004-11-24,90428,127717,218145,1.41
2004-11-26,42547,74925,117472,1.76
2004-11-29,131485,241700,373185,1.84
2004-11-30,117087,196913,314000,1.68
2004-12-01,182280,294139,476419,1.61
2004-12-02,160955,261361,422316,1.62
2004-12-03,165716,265368,431084,1.6
2004-12-06,143152,205639,348791,1.44
2004-12-07,167941,251054,418995,1.49
2004-12-08,146636,264404,411040,1.8
2004-12-09,233017,233628,466645,1.0
2004-12-10,130910,175685,306595,1.34
2004-12-13,178545,270873,449418,1.52
2004-12-14,236615,301804,538419,1.28
2004-12-15,212594,311712,524306,1.47
2004-12-16,266536,404275,670811,1.52
2004-12-17,238402,501301,739703,2.1
2004-12-20,100513,176406,276919,1.76
2004-12-21,141297,289787,431084,2.05
2004-12-22,110827,236564,347391,2.13
2004-12-23,74528,163573,238101,2.19
2004-12-27,93855,139657,233512,1.49
2004-12-28,89007,160311,249318,1.8
2004-12-29,63081,221471,284552,3.51
2004-12-30,96476,178563,275039,1.85
2004-12-31,71945,121038,192983,1.68
2005-01-03,122733,230053,352786,1.87
2005-01-04,248459,336179,584638,1.35
2005-01-05,190498,333445,523943,1.75
2005-01-06,125470,181103,306573,1.44
2005-01-07,202075,323120,525195,1.6
2005-01-10,165991,235400,401391,1.42
2005-01-11,155853,277011,432864,1.78
2005-01-12,200456,345339,545795,1.72
2005-01-13,180982,314877,495859,1.74
2005-01-14,194912,232747,427659,1.19
2005-01-18,346499,443370,789869,1.28
2005-01-19,247474,305725,553199,1.24
2005-01-20,364890,538952,903842,1.48
2005-01-21,258286,492131,750417,1.91
2005-01-24,241873,286259,528132,1.18
2005-01-25,208244,313158,521402,1.5
2005-01-26,152420,308223,460643,2.02
2005-01-27,189782,349000,538782,1.84
2005-01-28,251289,299732,551021,1.19
2005-01-31,187597,274099,461696,1.46
2005-02-01,247015,468356,715371,1.9
2005-02-02,198786,300370,499156,1.51
2005-02-03,221208,311172,532380,1.41
2005-02-04,221337,365080,586417,1.65
2005-02-07,141044,271017,412061,1.92
2005-02-08,158366,278861,437227,1.76
2005-02-09,193486,328692,522178,1.7
2005-02-10,159064,297385,456449,1.87
2005-02-11,227659,327457,555116,1.44
2005-02-14,149034,258405,407439,1.73
2005-02-15,272488,381787,654275,1.4
2005-02-16,430030,468177,898207,1.09
2005-02-17,354637,522500,877137,1.47
2005-02-18,281100,493503,774603,1.76
2005-02-22,339727,494782,834509,1.46
2005-02-23,151095,295999,447094,1.96
2005-02-24,154164,300087,454251,1.95
2005-02-25,260830,344400,605230,1.32
2005-02-28,153821,208446,362267,1.36
2005-03-01,141978,253475,395453,1.79
2005-03-02,224008,312469,536477,1.39
2005-03-03,181214,251206,432420,1.39
2005-03-04,280136,366736,646872,1.31
2005-03-07,233139,322637,555776,1.38
2005-03-08,155322,251606,406928,1.62
2005-03-09,199383,378943,578326,1.9
2005-03-10,192564,419142,611706,2.18
2005-03-11,209980,412988,622968,1.97
2005-03-14,199374,398208,597582,2.0
2005-03-15,359049,505223,864272,1.41
2005-03-16,451740,635177,1086917,1.41
2005-03-17,320348,631351,951699,1.97
2005-03-18,284442,838114,1122556,2.95
2005-03-21,245089,305143,550232,1.25
2005-03-22,239401,387659,627060,1.62
2005-03-23,294108,476641,770749,1.62
2005-03-24,155189,316520,471709,2.04
2005-03-28,125048,178939,303987,1.43
2005-03-29,336889,500589,837478,1.49
2005-03-30,273153,382051,655204,1.4
2005-03-31,241457,267831,509288,1.11
2005-04-01,268459,430899,699358,1.61
2005-04-04,176629,269939,446568,1.53
2005-04-05,232378,344930,577308,1.48
2005-04-06,278445,382866,661311,1.38
2005-04-07,279984,296354,576338,1.06
2005-04-08,244554,446083,690637,1.82
2005-04-11,177567,357383,534950,2.01
2005-04-12,403165,820737,1223902,2.04
2005-04-13,399067,611728,1010795,1.53
2005-04-14,527839,913296,1441135,1.73
2005-04-15,600220,1301871,1902091,2.17
2005-04-18,437391,692683,1130074,1.58
2005-04-19,264994,553894,818888,2.09
2005-04-20,293666,550431,844097,1.87
2005-04-21,463734,595364,1059098,1.28
2005-04-22,214169,406591,620760,1.9
2005-04-25,182831,221581,404412,1.21
2005-04-26,261231,246300,507531,0.94
2005-04-27,227361,407354,634715,1.79
2005-04-28,224927,445129,670056,1.98
2005-04-29,246291,407522,653813,1.65
2005-05-02,162655,289070,451725,1.78
2005-05-03,155551,265864,421415,1.71
2005-05-04,298178,392830,691008,1.32
2005-05-05,209667,447985,657652,2.14
2005-05-06,200445,335495,535940,1.67
2005-05-09,175552,245469,421021,1.4
2005-05-10,239690,412929,652619,1.72
2005-05-11,207636,372880,580516,1.8
2005-05-12,288929,522427,811356,1.81
2005-05-13,342772,540387,883159,1.58
2005-05-16,319621,415720,735341,1.3
2005-05-17,287204,478338,765542,1.67
2005-05-18,647198,777596,1424794,1.2
2005-05-19,574471,636081,1210552,1.11
2005-05-20,346654,771643,1118297,2.23
2005-05-23,224195,404149,628344,1.8
2005-05-24,206145,272180,478325,1.32
2005-05-25,171727,367945,539672,2.14
2005-05-26,252389,356375,608764,1.41
2005-05-27,119670,192551,312221,1.61
2005-05-31,156597,294486,451083,1.88
2005-06-01,424535,377100,801635,0.89
2005-06-02,170134,303612,473746,1.78
2005-06-03,221996,422023,644019,1.9
2005-06-06,185719,357541,543260,1.93
2005-06-07,370701,527032,897733,1.42
2005-06-08,188748,334076,522824,1.77
2005-06-09,212862,424370,637232,1.99
2005-06-10,194957,302214,497171,1.55
2005-06-13,266417,386719,653136,1.45
2005-06-14,296784,421567,718351,1.42
2005-06-15,409920,599245,1009165,1.46
2005-06-16,783694,672470,1456164,0.86
2005-06-17,517354,1000160,1517514,1.93
2005-06-20,193849,451378,645227,2.33
2005-06-21,124606,343152,467758,2.75
2005-06-22,259120,440895,700015,1.7
2005-06-23,227564,417103,644667,1.83
2005-06-24,267587,402033,669620,1.5
2005-06-27,194613,355450,550063,1.83
2005-06-28,246388,317500,563888,1.29
2005-06-29,159852,222581,382433,1.39
2005-06-30,336026,412903,748929,1.23
2005-07-01,162630,341447,504077,2.1
2005-07-05,235675,272699,508374,1.16
2005-07-06,236184,589303,825487,2.5
2005-07-07,329344,632695,962039,1.92
2005-07-08,371726,587091,958817,1.58
2005-07-11,330022,508662,838684,1.54
2005-07-12,330371,505910,836281,1.53
2005-07-13,306835,384719,691554,1.25
2005-07-14,547802,696581,1244383,1.27
2005-07-15,471200,560184,1031384,1.19
2005-07-18,196155,567573,763728,2.89
2005-07-19,292909,434139,727048,1.48
2005-07-20,310401,609771,920172,1.96
2005-07-21,235159,541263,776422,2.3
2005-07-22,129671,255535,385206,1.97
2005-07-25,107997,213640,321637,1.98
2005-07-26,163873,320147,484020,1.95
2005-07-27,197344,304475,501819,1.54
2005-07-28,219227,335556,554783,1.53
2005-07-29,308037,509036,817073,1.65
2005-08-01,152603,324836,477439,2.13
2005-08-02,186444,367793,554237,1.97
2005-08-03,187941,394205,582146,2.1
2005-08-04,196558,465313,661871,2.37
2005-08-05,234085,647701,881786,2.77
2005-08-08,253850,419547,673397,1.65
2005-08-09,201346,366422,567768,1.82
2005-08-10,406720,571539,978259,1.41
2005-08-11,187736,379713,567449,2.02
2005-08-12,271482,760051,1031533,2.8
2005-08-15,377850,311901,689751,0.83
2005-08-16,345785,633739,979524,1.83
2005-08-17,360052,751942,1111994,2.09
2005-08-18,390233,690528,1080761,1.77
2005-08-19,559930,954159,1514089,1.7
2005-08-22,344721,518163,862884,1.5
2005-08-23,185112,441623,626735,2.39
2005-08-24,228374,332400,560774,1.46
2005-08-25,167718,331795,499513,1.98
2005-08-26,219399,436928,656327,1.99
2005-08-29,224250,456594,680844,2.04
2005-08-30,232960,487188,720148,2.09
2005-08-31,296620,468081,764701,1.58
2005-09-01,261677,464317,725994,1.77
2005-09-02,149400,449080,598480,3.01
2005-09-06,284528,436493,721021,1.53
2005-09-07,236343,412626,648969,1.75
2005-09-08,194082,341379,535461,1.76
2005-09-09,244223,391302,635525,1.6
2005-09-12,395147,556064,951211,1.41
2005-09-13,393230,611207,1004437,1.55
2005-09-14,375672,515842,891514,1.37
2005-09-15,611127,642098,1253225,1.05
2005-09-16,606716,788855,1395571,1.3
2005-09-19,208453,529284,737737,2.54
2005-09-20,268101,569285,837386,2.12
2005-09-21,301615,728655,1030270,2.42
2005-09-22,278524,1084438,1362962,3.89
2005-09-23,226646,422995,649641,1.87
2005-09-26,219945,720377,940322,3.28
2005-09-27,140138,238738,378876,1.7
2005-09-28,243131,301987,545118,1.24
2005-09-29,255211,357419,612630,1.4
2005-09-30,223359,386637,609996,1.73
2005-10-03,180050,346735,526785,1.93
2005-10-04,202952,326622,529574,1.61
2005-10-05,416436,653645,1070081,1.57
2005-10-06,585598,1074908,1660506,1.84
2005-10-07,304098,510436,814534,1.68
2005-10-10,219447,395487,614934,1.8
2005-10-11,306263,782065,1088328,2.55
2005-10-12,428062,1055398,1483460,2.47
2005-10-13,405919,917589,1323508,2.26
2005-10-14,387655,640110,1027765,1.65
2005-10-17,305267,450535,755802,1.48
2005-10-18,312351,507220,819571,1.62
2005-10-19,560692,919364,1480056,1.64
2005-10-20,623376,949927,1573303,1.52
2005-10-21,624779,1028479,1653258,1.65
2005-10-24,468138,518512,986650,1.11
2005-10-25,279830,484949,764779,1.73
2005-10-26,246822,496446,743268,2.01
2005-10-27,261978,665484,927462,2.54
2005-10-28,306426,367321,673747,1.2
2005-10-31,385380,652143,1037523,1.69
2005-11-01,225174,397388,622562,1.76
2005-11-02,397974,503191,901165,1.26
2005-11-03,391117,799388,1190505,2.04
2005-11-04,230345,472010,702355,2.05
2005-11-07,236539,299182,535721,1.26
2005-11-08,316997,289340,606337,0.91
2005-11-09,360954,468626,829580,1.3
2005-11-10,393182,434003,827185,1.1
2005-11-11,300939,338724,639663,1.13
2005-11-14,311114,494039,805153,1.59
2005-11-15,371897,401889,773786,1.08
2005-11-16,415118,491025,906143,1.18
2005-11-17,787007,665821,1452828,0.85
2005-11-18,826626,710041,1536667,0.86
2005-11-21,468847,559888,1028735,1.19
2005-11-22,407839,881201,1289040,2.16
2005-11-23,487180,589045,1076225,1.21
2005-11-25,131792,209430,341222,1.59
2005-11-28,250621,513218,763839,2.05
2005-11-29,256469,607692,864161,2.37
2005-11-30,220328,343714,564042,1.56
2005-12-01,348374,546624,894998,1.57
2005-12-02,257533,424805,682338,1.65
2005-12-05,198929,342235,541164,1.72
2005-12-06,391852,416117,807969,1.06
2005-12-07,440211,496739,936950,1.13
2005-12-08,260672,518049,778721,1.99
2005-12-09,268489,367249,635738,1.37
2005-12-12,302447,257257,559704,0.85
2005-12-13,439281,364472,803753,0.83
2005-12-14,624104,533586,1157690,0.85
2005-12-15,1459346,601399,2060745,0.41
2005-12-16,724233,922834,1647067,1.27
2005-12-19,412855,761778,1174633,1.85
2005-12-20,235094,556070,791164,2.37
2005-12-21,444637,319636,764273,0.72
2005-12-22,133002,223764,356766,1.68
2005-12-23,117876,163935,281811,1.39
2005-12-27,183316,330232,513548,1.8
2005-12-28,134598,253359,387957,1.88
2005-12-29,146923,275020,421943,1.87
2005-12-30,265986,368946,634932,1.39
2006-01-03,328668,431518,760186,1.31
2006-01-04,363336,495209,858545,1.36
2006-01-05,251411,319562,570973,1.27
2006-01-06,514084,449150,963234,0.87
2006-01-09,427611,559470,987081,1.31
2006-01-10,342865,419292,762157,1.22
2006-01-11,478026,427115,905141,0.89
2006-01-12,298732,430055,728787,1.44
2006-01-13,207211,339386,546597,1.64
2006-01-17,338903,543022,881925,1.6
2006-01-18,489424,762329,1251753,1.56
2006-01-19,615335,1009627,1624962,1.64
2006-01-20,830225,1589563,2419788,1.91
2006-01-23,472795,764531,1237326,1.62
2006-01-24,299081,503003,802084,1.68
2006-01-25,322501,560647,883148,1.74
2006-01-26,306852,390961,697813,1.27
2006-01-27,389205,563103,952308,1.45
2006-01-30,129146,315027,444173,2.44
2006-01-31,203699,455279,658978,2.24
2006-02-01,187888,500767,688655,2.67
2006-02-02,233868,504163,738031,2.16
2006-02-03,233673,584543,818216,2.5
2006-02-06,155521,243355,398876,1.56
2006-02-07,336072,568299,904371,1.69
2006-02-08,273971,382114,656085,1.39
2006-02-09,337693,518023,855716,1.53
2006-02-10,510226,440287,950513,0.86
2006-02-13,258333,530801,789134,2.05
2006-02-14,434826,591633,1026459,1.36
2006-02-15,697872,643698,1341570,0.92
2006-02-16,736591,652776,1389367,0.89
2006-02-17,732437,993398,1725835,1.36
2006-02-21,324625,663809,988434,2.04
2006-02-22,356937,463856,820793,1.3
2006-02-23,259346,438267,697613,1.69
2006-02-24,191647,395903,587550,2.07
2006-02-27,324377,356662,681039,1.1
2006-02-28,352795,644695,997490,1.83
2006-03-01,258974,301634,560608,1.16
2006-03-02,217785,511755,729540,2.35
2006-03-03,310847,439559,750406,1.41
2006-03-06,224244,433048,657292,1.93
2006-03-07,400239,651263,1051502,1.63
2006-03-08,281720,608716,890436,2.16
2006-03-09,209478,383603,593081,1.83
2006-03-10,272998,551111,824109,2.02
2006-03-13,276133,407535,683668,1.48
2006-03-14,426182,547814,973996,1.29
2006-03-15,509029,484009,993038,0.95
2006-03-16,3236306,782957,4019263,0.24
2006-03-17,830094,872446,1702540,1.05
2006-03-20,269294,615027,884321,2.28
2006-03-21,288399,587655,876054,2.04
2006-03-22,237613,524410,762023,2.21
2006-03-23,199291,274060,473351,1.38
2006-03-24,240314,373104,613418,1.55
2006-03-27,177410,361205,538615,2.04
2006-03-28,271047,635222,906269,2.34
2006-03-29,338000,412452,750452,1.22
2006-03-30,209305,497231,706536,2.38
2006-03-31,207308,348310,555618,1.68
2006-04-03,248950,367617,616567,1.48
2006-04-04,220649,434885,655534,1.97
2006-04-05,225237,393991,619228,1.75
2006-04-06,325628,464128,789756,1.43
2006-04-07,332960,610146,943106,1.83
2006-04-10,286322,398600,684922,1.39
2006-04-11,422658,764461,1187119,1.81
2006-04-12,258499,412521,671020,1.6
2006-04-13,295026,427631,722657,1.45
2006-04-17,298863,493123,791986,1.65
2006-04-18,616162,700894,1317056,1.14
2006-04-19,434015,661894,1095909,1.53
2006-04-20,521371,792844,1314215,1.52
2006-04-21,767388,1267613,2035001,1.65
2006-04-24,307704,565397,873101,1.84
2006-04-25,313070,687781,1000851,2.2
2006-04-26,237930,560108,798038,2.35
2006-04-27,472834,581928,1054762,1.23
2006-04-28,327016,553647,880663,1.69
2006-05-01,323370,621324,944694,1.92
2006-05-02,240853,463141,703994,1.92
2006-05-03,263414,514037,777451,1.95
2006-05-04,316773,358534,675307,1.13
2006-05-05,403421,694592,1098013,1.72
2006-05-08,277581,558437,836018,2.01
2006-05-09,324509,487714,812223,1.5
2006-05-10,434792,582574,1017366,1.34
2006-05-11,729652,1074243,1803895,1.47
2006-05-12,738194,1550698,2288892,2.1
2006-05-15,555501,1346831,1902332,2.42
2006-05-16,425137,865914,1291051,2.04
2006-05-17,905564,2213372,3118936,2.44
2006-05-18,869947,1578914,2448861,1.81
2006-05-19,1107754,2155146,3262900,1.95
2006-05-22,616390,1473375,2089765,2.39
2006-05-23,430178,1040822,1471000,2.42
2006-05-24,486743,1478435,1965178,3.04
2006-05-25,481787,875653,1357440,1.82
2006-05-26,430264,550644,980908,1.28
2006-05-30,304950,773505,1078455,2.54
2006-05-31,439933,701821,1141754,1.6
2006-06-01,408481,751440,1159921,1.84
2006-06-02,376025,781192,1157217,2.08
2006-06-05,499128,851255,1350383,1.71
2006-06-06,716292,960109,1676401,1.34
2006-06-07,391932,900997,1292929,2.3
2006-06-08,899642,1848755,2748397,2.05
2006-06-09,513519,833739,1347258,1.62
2006-06-12,640684,1006497,1647181,1.57
2006-06-13,966989,1927373,2894362,1.99
2006-06-14,1175595,1627560,2803155,1.38
2006-06-15,1187848,1406046,2593894,1.18
2006-06-16,500825,1177859,1678684,2.35
2006-06-19,541695,1051478,1593173,1.94
2006-06-20,527179,664991,1192170,1.26
2006-06-21,490278,754786,1245064,1.54
2006-06-22,290823,542813,833636,1.87
2006-06-23,244809,484438,729247,1.98
2006-06-26,224276,264066,488342,1.18
2006-06-27,264891,569655,834546,2.15
2006-06-28,281443,373082,654525,1.33
2006-06-29,796133,759872,1556005,0.95
2006-06-30,379921,677895,1057816,1.78
2006-07-03,95784,228865,324649,2.39
2006-07-05,239107,683307,922414,2.86
2006-07-06,292658,361894,654552,1.24
2006-07-07,314206,520673,834879,1.66
2006-07-10,234207,463842,698049,1.98
2006-07-11,313353,580620,893973,1.85
2006-07-12,350214,806437,1156651,2.3
2006-07-13,779265,1161036,1940301,1.49
2006-07-14,668731,1213036,1881767,1.81
2006-07-17,479153,869775,1348928,1.82
