date,close30_volume_share,close30_absret_share,is_friday,is_opex,is_triple_witch
2026-05-18,0.06486463704466269,0.05746691313408257,0,0,0
2026-05-19,0.23728860976062677,0.06663373223062896,0,0,0
2026-05-20,0.1734176294157386,0.044518612505198375,0,0,0
2026-05-21,0.10752456723744777,0.08643011262941265,0,0,0
2026-05-22,0.22117072264622295,0.030769456345607467,1,0,0
2026-05-26,0.19099707342588643,0.049859766918806385,0,0,0
2026-05-27,0.21165730850621364,0.04460684907680181,0,0,0
2026-05-28,0.18911897071973255,0.041480734947593315,0,0,0
2026-05-29,0.2395023621345905,0.062096316219389096,1,0,0
2026-06-01,0.16378246216395606,0.06269451877240718,0,0,0
2026-06-02,0.17071547430778172,0.048409606274092826,0,0,0
2026-06-03,0.27500384807781725,0.08108509015441805,0,0,0
2026-06-04,0.24067017057191625,0.07448752522716824,0,0,0
2026-06-05,0.19534793150914212,0.10719551683780346,1,0,0
2026-06-08,0.14064949255643902,0.01012632839855094,0,0,0
2026-06-09,0.1447635808599554,0.0707190138438515,0,0,0
2026-06-10,0.2035652804195286,0.04747104176187135,0,0,0
2026-06-11,0.22230982726466766,0.055802521372260584,0,0,0
2026-06-12,0.13745246602114686,0.02340574805779597,1,0,0
2026-06-15,0.2594142030244581,0.10852996370535947,0,0,0
2026-06-16,0.25804646928262787,0.08579769564434207,0,0,0
2026-06-17,0.27460019921292783,0.08870070335207618,0,0,0
2026-06-18,0.1700468120324558,0.10097844369066174,0,1,1
2026-06-22,0.22618372164841383,0.061976715058570456,0,0,0
