Symbol,yf_symbol,Security,sector,sub_industry,hq_location,county,state_name,county_fips,county_sci_sum,county_log_sci_sum,county_sci_z,county_sci_rank_pct,earnings_date,event_day,surprise_pct,vix_level,high_vix,pre_abs_mean,pre_rv_mean,event_abs,event_rv,post_abs_mean,post_rv_mean,jump_log_abs,jump_log_rv,decay_speed_log_abs,decay_speed_log_rv,abs_event_abn,rv_event_abn,abs_decay_abn,rv_decay_abn,sample_year,sample_quarter
BF.B,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",Jefferson County,Kentucky,21111,27719618.0,17.137650987602775,-1.234159731662179,0.1164169787765293,2021-12-08T12:00:00,2021-12-09T00:00:00,-6.86,21.57999992370605,1,0.009378643623366666,0.0002495856691644968,0.0017015775268207634,2.8953660797814655e-06,0.007973143839825702,7.992604631685598e-05,-1.7068745611493656,-4.456656527494702,-1.5445184738215427,-3.317956944439898,-0.007677066096545903,-0.00024669030308471535,-0.006271566313004939,-7.703068023707451e-05,2021,4
BF.B,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",Jefferson County,Kentucky,21111,27719618.0,17.137650987602775,-1.234159731662179,0.1164169787765293,2021-09-01T11:00:00,2021-09-02T00:00:00,1.23,16.40999984741211,0,0.0066981407330442,7.106755679010629e-05,0.021487812227412917,0.00046172607432055603,0.013151101627281924,0.0002958601943767132,1.1656548883309386,1.8713396832469202,0.4909800771916815,0.4450846546418956,0.014789671494368717,0.00039065851753044976,0.008336710600130992,0.00016586587994384285,2021,3
BF.B,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",Jefferson County,Kentucky,21111,27719618.0,17.137650987602775,-1.234159731662179,0.1164169787765293,2021-06-09T11:00:00,2021-06-10T00:00:00,-24.69,16.100000381469727,0,0.007139642454914918,8.501181747804855e-05,0.0046439821245432,2.1566569973076772e-05,0.003607826190978258,2.2027447629595704e-05,-0.4300897313851548,-1.3716423861366605,0.2524661684432816,-0.02114476888531793,-0.002495660330371718,-6.344524750497179e-05,0.001036155933564942,-4.608776565189317e-07,2021,2
BF.B,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",Jefferson County,Kentucky,21111,27719618.0,17.137650987602775,-1.234159731662179,0.1164169787765293,2021-03-03T12:00:00,2021-03-04T00:00:00,4.45,28.56999969482422,1,0.009832968858066105,0.000144427967022735,0.018824615098292696,0.00035436613359886933,0.019161229727613714,0.0005175687479764249,0.6494239326946685,0.8975493590012904,-0.01772361600562488,-0.3788116193223553,0.008991646240226591,0.00020993816657613432,-0.0003366146293210179,-0.00016320261437755554,2021,1
BF.B,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",Jefferson County,Kentucky,21111,27719618.0,17.137650987602775,-1.234159731662179,0.1164169787765293,2020-12-08T12:00:00,2020-12-09T00:00:00,-2.66,22.270000457763672,1,0.012149869815590098,0.00021684602325215734,0.028388224352235092,0.0008058912818728335,0.010255146748142607,0.0001258257642653146,0.8486554979394374,1.312760978914665,1.018194099502965,1.8570500500537002,0.016238354536644996,0.0005890452586206762,0.018133077604092485,0.000680065517607519,2020,4
BF.B,BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",Jefferson County,Kentucky,21111,27719618.0,17.137650987602775,-1.234159731662179,0.1164169787765293,2020-09-02T00:00:00,2020-09-03T00:00:00,31.94,33.599998474121094,1,0.0075871508673023055,8.523178833047174e-05,0.00460199124525662,2.117832342141858e-05,0.014807529148490062,0.0002895526983248174,-0.49996619694633115,-1.392392739725912,-1.1686451907905073,-2.615354757752746,-0.002985159622045685,-6.405346490905315e-05,-0.010205537903233442,-0.00026837437490339884,2020,3
BIIB,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",Middlesex County,Massachusetts,25017,8979556.0,16.010461107212976,-2.400828192233487,0.0081148564294631,2026-04-29T10:00:00,2026-04-30T00:00:00,23.61,16.889999389648438,0,0.019379556028723988,0.00044074624251839187,0.02658763741437209,0.0007069024632781186,0.006925916747163185,6.479886648660992e-05,0.31622751153697143,0.4724233163231987,1.345174855585556,2.3896031853030726,0.007208081385648102,0.0002661562207597267,0.019661720667208903,0.0006421035967915087,2026,2
BIIB,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",Middlesex County,Massachusetts,25017,8979556.0,16.010461107212976,-2.400828192233487,0.0081148564294631,2026-02-06T11:00:00,2026-02-09T00:00:00,23.18,17.360000610351562,0,0.01749413778557942,0.000544563039363495,0.0373217081841446,0.001392909901782446,0.013768900190098776,0.00026243751872437554,0.7577090014029231,0.9391664701368057,0.9971622483266881,1.669136953378793,0.019827570398565177,0.000848346862418951,0.02355280799404582,0.0011304723830580705,2026,1
BIIB,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",Middlesex County,Massachusetts,25017,8979556.0,16.010461107212976,-2.400828192233487,0.0081148564294631,2025-10-30T10:00:00,2025-10-31T00:00:00,23.88,17.440000534057617,0,0.016509171320255468,0.000688501036953771,0.03067242941278714,0.0009407979260824096,0.0177707806978022,0.0003581878755928483,0.6194478425859815,0.3122115094991474,0.5458083749918986,0.9656705589281664,0.014163258092531671,0.0002522968891286386,0.012901648714984938,0.0005826100504895612,2025,4
BIIB,BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",Middlesex County,Massachusetts,25017,8979556.0,16.010461107212976,-2.400828192233487,0.0081148564294631,2025-07-31T10:00:00,2025-08-01T00:00:00,40.97,20.3799991607666,1,0.01865629403070086,0.0004938829307522539,0.03039277590157763,0.0009237208270035178,0.013828995300086433,0.00028552150659393884,0.4880211676748751,0.6261112896724481,0.7874370546402428,1.1740922928987032,0.01173648187087677,0.00042983789625126393,0.016563780601491197,0.000638199320409579,2025,3
